,RCL
2018-09-14,123.11705780029297
2018-09-17,122.59332275390625
2018-09-18,124.74542236328125
2018-09-19,124.97396850585938
2018-09-20,126.5057373046875
2018-09-21,125.86430358886719
2018-09-24,124.47615051269531
2018-09-25,123.9017105102539
2018-09-26,123.78683471679688
2018-09-27,123.80599212646484
2018-09-28,124.39954376220703
2018-10-01,124.11234283447266
2018-10-02,122.9251937866211
2018-10-03,122.60928344726562
2018-10-04,120.1584243774414
2018-10-05,118.39688110351562
2018-10-08,119.15320587158203
2018-10-09,117.84161376953125
2018-10-10,113.67709350585938
2018-10-11,111.86767578125
2018-10-12,113.97388458251953
2018-10-15,112.75802612304688
2018-10-16,116.42472076416016
2018-10-17,115.44821166992188
2018-10-18,111.65705871582031
2018-10-19,110.26888275146484
2018-10-22,109.72319030761719
2018-10-23,109.95296478271484
2018-10-24,102.40894317626953
2018-10-25,103.33760070800781
2018-10-26,98.67524719238281
2018-10-29,95.276611328125
2018-10-30,97.46895599365234
2018-10-31,100.26445770263672
2018-11-01,103.82584381103516
2018-11-02,101.28883361816406
2018-11-05,101.3079833984375
2018-11-06,101.59519958496094
2018-11-07,104.38111114501953
2018-11-08,103.09825134277344
2018-11-09,102.60042572021484
2018-11-12,100.20701599121094
2018-11-13,101.71007537841797
2018-11-14,101.96855926513672
2018-11-15,105.17572784423828
2018-11-16,105.30017852783203
2018-11-19,102.45681762695312
2018-11-20,102.68658447265625
2018-11-21,102.7918930053711
2018-11-23,105.57781982421875
2018-11-26,106.70751190185547
2018-11-27,106.01820373535156
2018-11-28,107.741455078125
2018-11-29,106.87024688720703
2018-11-30,108.24885559082031
2018-12-03,109.3785400390625
2018-12-04,104.47685241699219
2018-12-06,105.53951263427734
2018-12-07,100.44635772705078
2018-12-10,100.38890838623047
2018-12-11,99.58473205566406
2018-12-12,101.09736633300781
2018-12-13,100.58995819091797
2018-12-14,102.52381896972656
2018-12-17,101.81536865234375
2018-12-18,100.98248291015625
2018-12-19,98.25504302978516
2018-12-20,93.69647216796875
2018-12-21,89.16680908203125
2018-12-24,86.23699951171875
2018-12-26,91.046142578125
2018-12-27,91.32563018798828
2018-12-28,92.55924224853516
2018-12-31,94.24581909179688
2019-01-02,94.24581909179688
2019-01-03,89.19574737548828
2019-01-04,95.18067169189453
2019-01-07,98.139404296875
2019-01-08,100.16329193115234
2019-01-09,100.57769775390625
2019-01-10,101.09813690185547
2019-01-11,102.56304168701172
2019-01-14,101.16559600830078
2019-01-15,101.79203033447266
2019-01-16,101.8305892944336
2019-01-17,103.16056823730469
2019-01-18,105.38684844970703
2019-01-22,104.69295501708984
2019-01-23,104.3845443725586
2019-01-24,105.7723388671875
2019-01-25,107.69023132324219
2019-01-28,108.14320373535156
2019-01-29,107.98899841308594
2019-01-30,116.59535217285156
2019-01-31,115.69905853271484
2019-02-01,114.0221176147461
2019-02-04,114.6871109008789
2019-02-05,113.93538665771484
2019-02-06,113.86791229248047
2019-02-07,111.48743438720703
2019-02-08,110.6778793334961
2019-02-11,111.8922119140625
2019-02-12,112.07532501220703
2019-02-13,113.56914520263672
2019-02-14,112.97161865234375
2019-02-15,113.69444274902344
2019-02-19,115.0340576171875
2019-02-20,116.4507827758789
2019-02-21,116.58570861816406
2019-02-22,116.54715728759766
2019-02-25,116.1905746459961
2019-02-26,115.32318878173828
2019-02-27,114.16667938232422
2019-02-28,114.18595886230469
2019-03-01,114.71601867675781
2019-03-04,113.41494750976562
2019-03-05,115.0822525024414
2019-03-06,113.51176452636719
2019-03-07,112.1739273071289
2019-03-08,112.97856140136719
2019-03-11,113.30816650390625
2019-03-12,112.73622131347656
2019-03-13,113.54084777832031
2019-03-14,112.89131927490234
2019-03-15,113.59901428222656
2019-03-18,114.68477630615234
2019-03-19,113.85107421875
2019-03-20,112.45507049560547
2019-03-21,114.17097473144531
2019-03-22,112.04790496826172
2019-03-25,111.00091552734375
2019-03-26,109.65338134765625
2019-03-27,107.59817504882812
2019-03-28,109.0135498046875
2019-03-29,111.11724090576172
2019-04-01,112.07698059082031
2019-04-02,112.70712280273438
2019-04-03,113.0658187866211
2019-04-04,112.32904815673828
2019-04-05,113.6862564086914
2019-04-08,114.80111694335938
2019-04-09,111.79584503173828
2019-04-10,112.9494857788086
2019-04-11,115.30522918701172
2019-04-12,118.21353912353516
2019-04-15,118.7176513671875
2019-04-16,120.31723022460938
2019-04-17,119.47380828857422
2019-04-18,117.29257202148438
2019-04-22,116.73030853271484
2019-04-23,118.73705291748047
2019-04-24,117.78699493408203
2019-04-25,117.06961059570312
2019-04-26,117.45738220214844
2019-04-29,118.54315948486328
2019-04-30,117.24410247802734
2019-05-01,125.08687591552734
2019-05-02,121.9264907836914
2019-05-03,126.8900375366211
2019-05-06,125.22260284423828
2019-05-07,123.39035034179688
2019-05-08,123.42913055419922
2019-05-09,123.43883514404297
2019-05-10,122.21733093261719
2019-05-13,118.1650619506836
2019-05-14,119.80342864990234
2019-05-15,119.98762512207031
2019-05-16,121.87803649902344
2019-05-17,121.06369018554688
2019-05-20,119.34778594970703
2019-05-21,120.87950897216797
2019-05-22,121.14125061035156
2019-05-23,120.61775970458984
2019-05-24,119.9003677368164
2019-05-28,119.3283920288086
2019-05-29,118.08751678466797
2019-05-30,119.19267272949219
2019-05-31,118.03904724121094
2019-06-03,117.68802642822266
