,CME
2017-01-30,91.43202209472656
2017-01-31,91.91790008544922
2017-02-01,91.78128051757812
2017-02-02,92.05455017089844
2017-02-03,91.06005859375
2017-02-06,90.9537582397461
2017-02-07,90.13389587402344
2017-02-08,88.494140625
2017-02-09,90.02001190185547
2017-02-10,90.32366943359375
2017-02-13,92.1456298828125
2017-02-14,91.86473083496094
2017-02-15,92.6998062133789
2017-02-16,92.48725891113281
2017-02-17,93.08697509765625
2017-02-21,91.8951187133789
2017-02-22,93.00348663330078
2017-02-23,93.01105499267578
2017-02-24,93.08697509765625
2017-02-27,93.24640655517578
2017-02-28,92.20636749267578
2017-03-01,96.41209411621094
2017-03-02,94.31680297851562
2017-03-03,94.17256164550781
2017-03-06,94.17256164550781
2017-03-07,93.80058288574219
2017-03-08,94.0295639038086
2017-03-09,94.4951171875
2017-03-10,94.43407440185547
2017-03-13,95.27360534667969
2017-03-14,94.98357391357422
2017-03-15,95.20492553710938
2017-03-16,95.20492553710938
2017-03-17,95.09043884277344
2017-03-20,94.58672332763672
2017-03-21,91.80093383789062
2017-03-22,91.07587432861328
2017-03-23,90.9690170288086
2017-03-24,91.49563598632812
2017-03-27,90.24395751953125
2017-03-28,90.6866226196289
2017-03-29,90.4423599243164
2017-03-30,90.70954132080078
2017-03-31,90.67135620117188
2017-04-03,89.67915344238281
2017-04-04,89.50361633300781
2017-04-05,89.71731567382812
2017-04-06,89.915771484375
2017-04-07,90.05313873291016
2017-04-10,89.36624145507812
2017-04-11,89.35096740722656
2017-04-12,89.00752258300781
2017-04-13,88.43510437011719
2017-04-17,89.63336944580078
2017-04-18,89.37385559082031
2017-04-19,89.42729187011719
2017-04-20,90.90795135498047
2017-04-21,90.6484603881836
2017-04-24,91.4040298461914
2017-04-25,91.54142761230469
2017-04-26,91.61775970458984
2017-04-27,87.8626937866211
2017-04-28,88.67935180664062
2017-05-01,89.02279663085938
2017-05-02,89.4959716796875
2017-05-03,90.08366394042969
2017-05-04,90.54926300048828
2017-05-05,90.64083862304688
2017-05-08,89.37385559082031
2017-05-09,89.7860107421875
2017-05-10,89.33570861816406
2017-05-11,89.13727569580078
2017-05-12,88.66407012939453
2017-05-15,89.4883804321289
2017-05-16,89.05330657958984
2017-05-17,87.8626937866211
2017-05-18,88.35113525390625
2017-05-19,89.16780853271484
2017-05-22,89.22885131835938
2017-05-23,90.21342468261719
2017-05-24,89.88522338867188
2017-05-25,90.11420440673828
2017-05-26,90.0455093383789
2017-05-30,89.45020294189453
2017-05-31,89.51888275146484
2017-06-01,89.92340087890625
2017-06-02,89.24411010742188
2017-06-05,90.20577239990234
2017-06-06,89.4654541015625
2017-06-07,91.65296173095703
2017-06-08,93.8635025024414
2017-06-09,95.47537231445312
2017-06-12,96.39642333984375
2017-06-13,96.76483917236328
2017-06-14,97.72428894042969
2017-06-15,97.309814453125
2017-06-16,96.84927368164062
2017-06-19,97.8163833618164
2017-06-20,96.76483917236328
2017-06-21,95.86681365966797
2017-06-22,95.2220687866211
2017-06-23,95.26811981201172
2017-06-26,94.9073715209961
2017-06-27,95.65189361572266
2017-06-28,97.3021240234375
2017-06-29,95.97428131103516
2017-06-30,96.12779235839844
2017-07-03,96.94137573242188
2017-07-05,96.67274475097656
2017-07-06,94.93807983398438
2017-07-07,95.81307220458984
2017-07-10,95.26045989990234
2017-07-11,94.53128051757812
2017-07-12,94.70780181884766
2017-07-13,94.70780181884766
2017-07-14,92.54330444335938
2017-07-17,92.59703826904297
2017-07-18,92.53565216064453
2017-07-19,92.23628997802734
2017-07-20,92.53565216064453
2017-07-21,92.87336730957031
2017-07-24,92.42818450927734
2017-07-25,93.55648803710938
2017-07-26,93.51042175292969
2017-07-27,93.14967346191406
2017-07-28,93.0882797241211
2017-07-31,94.11681365966797
2017-08-01,95.01480865478516
2017-08-02,95.29882049560547
2017-08-03,95.93589782714844
2017-08-04,96.58061981201172
2017-08-07,95.92053985595703
2017-08-08,95.75935363769531
2017-08-09,96.85697174072266
2017-08-10,95.32186126708984
2017-08-11,94.60802459716797
2017-08-14,95.69792938232422
2017-08-15,96.64970397949219
2017-08-16,96.87994384765625
2017-08-17,96.2198715209961
2017-08-18,96.2428970336914
2017-08-21,96.15847778320312
2017-08-22,96.9951171875
2017-08-23,96.67274475097656
2017-08-24,96.64970397949219
2017-08-25,97.55541229248047
2017-08-28,97.42491912841797
2017-08-29,97.00277709960938
2017-08-30,96.75716400146484
2017-08-31,96.55760192871094
2017-09-01,96.90299987792969
2017-09-05,96.29663848876953
2017-09-06,98.5685806274414
2017-09-07,97.01013946533203
2017-09-08,98.78460693359375
2017-09-11,99.3709716796875
2017-09-12,100.34307861328125
2017-09-13,100.96797943115234
2017-09-14,101.93238830566406
2017-09-15,101.2920150756836
2017-09-18,101.29977416992188
2017-09-19,101.69320678710938
2017-09-20,103.22852325439453
2017-09-21,103.22852325439453
2017-09-22,103.51399993896484
2017-09-25,103.61429595947266
2017-09-26,102.68075561523438
2017-09-27,103.791748046875
2017-09-28,104.81787109375
2017-09-29,104.67899322509766
2017-10-02,105.23446655273438
2017-10-03,105.95198822021484
2017-10-04,105.60477447509766
2017-10-05,106.48432159423828
2017-10-06,105.85169219970703
2017-10-09,106.461181640625
2017-10-10,105.87480926513672
2017-10-11,105.84394073486328
2017-10-12,106.24518585205078
2017-10-13,105.93655395507812
2017-10-16,106.09856414794922
2017-10-17,105.07242584228516
2017-10-18,105.21131896972656
2017-10-19,104.11578369140625
2017-10-20,104.25465393066406
2017-10-23,103.85346221923828
2017-10-24,103.43685150146484
2017-10-25,103.26712036132812
2017-10-26,105.38877868652344
2017-10-27,106.12168884277344
2017-10-30,105.01072692871094
2017-10-31,105.82852935791016
2017-11-01,105.03386688232422
2017-11-02,108.24337768554688
2017-11-03,108.05821990966797
2017-11-06,106.59234619140625
2017-11-07,106.12168884277344
2017-11-08,106.1602554321289
2017-11-09,106.49977111816406
2017-11-10,106.37630462646484
2017-11-13,108.12763977050781
2017-11-14,108.16620635986328
2017-11-15,107.7573013305664
2017-11-16,108.08136749267578
2017-11-17,107.61846160888672
2017-11-20,109.477783203125
2017-11-21,110.00241088867188
2017-11-22,109.45462799072266
2017-11-24,109.44690704345703
2017-11-27,109.60895538330078
2017-11-28,111.96206665039062
2017-11-29,114.05284881591797
2017-11-30,115.37213134765625
2017-12-01,116.33647155761719
2017-12-04,118.35789489746094
2017-12-05,117.35494995117188
2017-12-06,117.84872436523438
2017-12-07,117.83319091796875
2017-12-08,118.41436004638672
2017-12-11,118.32913970947266
2017-12-12,118.57709503173828
2017-12-13,117.47679901123047
2017-12-14,116.5547103881836
2017-12-15,117.05833435058594
2017-12-18,117.22110748291016
2017-12-19,116.3532485961914
2017-12-20,115.79534149169922
2017-12-21,116.91114807128906
2017-12-22,115.43892669677734
2017-12-26,115.40791320800781
2017-12-27,115.81259155273438
2017-12-28,116.09821319580078
2017-12-29,115.89192199707031
2018-01-02,114.89212036132812
2018-01-03,116.7330551147461
2018-01-04,117.97887420654297
2018-01-05,118.7485580444336
2018-01-08,120.39906311035156
2018-01-09,121.1132583618164
2018-01-10,121.32744598388672
2018-01-11,121.25606536865234
2018-01-12,121.19257354736328
2018-01-16,120.77200317382812
2018-01-17,120.1768798828125
2018-01-18,120.77995300292969
