,WY
2021-12-07,34.34724044799805
2021-12-08,34.460716247558594
2021-12-09,34.69639205932617
2021-12-10,34.93206024169922
2021-12-13,34.958255767822266
2021-12-14,33.94572830200195
2021-12-15,34.451988220214844
2021-12-16,34.59164810180664
2021-12-17,34.60037612915039
2021-12-20,33.2823486328125
2021-12-21,33.570396423339844
2021-12-22,33.89336013793945
2021-12-23,33.727508544921875
2021-12-27,34.617835998535156
2021-12-28,34.79240798950195
2021-12-29,35.508148193359375
2021-12-30,35.761287689208984
2021-12-31,35.944583892822266
2022-01-03,35.412139892578125
2022-01-04,35.866024017333984
2022-01-05,34.9757080078125
2022-01-06,35.25502395629883
2022-01-07,35.211387634277344
2022-01-10,35.04553985595703
2022-01-11,35.551788330078125
2022-01-12,35.831111907958984
2022-01-13,36.363555908203125
2022-01-14,35.770015716552734
2022-01-18,34.28614044189453
2022-01-19,34.19886016845703
2022-01-20,33.42201614379883
2022-01-21,33.1776008605957
2022-01-24,33.91081237792969
2022-01-25,33.579124450683594
2022-01-26,33.23870849609375
2022-01-27,33.0728645324707
2022-01-28,34.60911178588867
2022-01-31,35.28994369506836
2022-02-01,35.464508056640625
2022-02-02,36.19771957397461
2022-02-03,36.06678771972656
2022-02-04,35.34231185913086
2022-02-07,35.770015716552734
2022-02-08,36.4770393371582
2022-02-09,37.157867431640625
2022-02-10,36.50322723388672
2022-02-11,36.27627944946289
2022-02-14,35.70891189575195
2022-02-15,36.511959075927734
2022-02-16,36.53813552856445
2022-02-17,35.41694259643555
2022-02-18,35.425994873046875
2022-02-22,34.793060302734375
2022-02-23,33.70803451538086
2022-02-24,34.56700897216797
2022-02-25,35.44407272338867
2022-02-28,35.15473175048828
2022-03-01,34.919647216796875
2022-03-02,35.70627975463867
2022-03-03,35.57911682128906
2022-03-04,35.69720458984375
2022-03-07,34.94329833984375
2022-03-08,34.98871612548828
2022-03-09,35.41561508178711
2022-03-10,36.423866271972656
2022-03-11,35.98786544799805
2022-03-14,35.215782165527344
2022-03-15,35.85161209106445
2022-03-16,35.66995620727539
2022-03-17,35.88795471191406
2022-03-18,36.323951721191406
2022-03-21,35.597286224365234
2022-03-22,34.698036193847656
2022-03-23,34.65262985229492
2022-03-24,34.57996368408203
2022-03-25,35.061370849609375
2022-03-28,35.006874084472656
2022-03-29,35.442867279052734
2022-03-30,35.006874084472656
2022-03-31,34.42554473876953
2022-04-01,34.534542083740234
2022-04-04,35.22486877441406
2022-04-05,34.380130767822266
2022-04-06,34.053131103515625
2022-04-07,34.42554473876953
2022-04-08,35.134037017822266
2022-04-11,35.442867279052734
2022-04-12,35.951534271240234
2022-04-13,36.387535095214844
2022-04-14,36.24219512939453
2022-04-18,36.16952896118164
2022-04-19,37.631927490234375
2022-04-20,38.267765045166016
2022-04-21,37.90443801879883
2022-04-22,37.71367645263672
2022-04-25,37.80451583862305
2022-04-26,37.123268127441406
2022-04-27,37.114192962646484
2022-04-28,38.0588493347168
2022-04-29,37.441184997558594
2022-05-02,36.37845230102539
2022-05-03,37.39577102661133
2022-05-04,38.34952163696289
2022-05-05,36.92344284057617
2022-05-06,36.4601936340332
2022-05-09,35.624534606933594
2022-05-10,35.170372009277344
2022-05-11,34.32563018798828
2022-05-12,34.71621322631836
2022-05-13,35.16128921508789
2022-05-16,34.67987823486328
2022-05-17,35.76986312866211
2022-05-18,34.44371032714844
2022-05-19,34.389217376708984
2022-05-20,34.180301666259766
2022-05-23,34.72529220581055
2022-05-24,34.107627868652344
2022-05-25,34.96145248413086
2022-05-26,35.370208740234375
2022-05-27,36.64186477661133
2022-05-31,35.89703369140625
2022-06-01,35.16128921508789
2022-06-02,35.334678649902344
2022-06-03,34.987892150878906
2022-06-06,35.53544235229492
2022-06-07,35.663204193115234
2022-06-08,35.01527786254883
2022-06-09,34.5316162109375
2022-06-10,32.69735336303711
2022-06-13,31.27374267578125
2022-06-14,31.41063117980957
2022-06-15,31.49276351928711
2022-06-16,29.904888153076172
2022-06-17,30.105655670166016
2022-06-21,30.51631736755371
2022-06-22,30.3520450592041
2022-06-23,30.379430770874023
2022-06-24,31.3284969329834
2022-06-27,30.926971435546875
2022-06-28,30.470684051513672
2022-06-29,30.15128517150879
2022-06-30,30.22429084777832
2022-07-01,31.00910186767578
2022-07-05,31.209861755371094
2022-07-06,30.963468551635742
2022-07-07,31.465381622314453
2022-07-08,31.94904136657715
2022-07-11,31.647899627685547
2022-07-12,31.584014892578125
2022-07-13,31.77566146850586
2022-07-14,31.35587501525879
2022-07-15,31.739154815673828
2022-07-18,31.31937599182129
2022-07-19,32.08592987060547
2022-07-20,32.11330795288086
2022-07-21,32.396202087402344
2022-07-22,32.405330657958984
2022-07-25,32.35969924926758
2022-07-26,32.02204132080078
2022-07-27,32.63347244262695
2022-07-28,33.19013977050781
2022-07-29,33.14451599121094
2022-08-01,33.673805236816406
2022-08-02,32.733856201171875
2022-08-03,32.423580169677734
2022-08-04,32.11330795288086
2022-08-05,32.049434661865234
2022-08-08,32.48746109008789
2022-08-09,32.149810791015625
2022-08-10,32.92549514770508
2022-08-11,33.244895935058594
2022-08-12,33.6646728515625
2022-08-15,33.71942901611328
2022-08-16,33.847190856933594
2022-08-17,33.381778717041016
2022-08-18,33.491294860839844
2022-08-19,33.03500747680664
2022-08-22,32.250186920166016
2022-08-23,32.405330657958984
2022-08-24,32.86161422729492
2022-08-25,33.41828155517578
2022-08-26,32.28669738769531
2022-08-29,31.7847843170166
2022-08-30,31.01822853088379
2022-08-31,31.173364639282227
2022-09-01,31.228403091430664
2022-09-02,31.072444915771484
2022-09-06,30.788055419921875
2022-09-07,31.09079933166504
2022-09-08,31.127492904663086
2022-09-09,31.760496139526367
2022-09-12,31.705455780029297
2022-09-13,29.687170028686523
2022-09-14,29.063335418701172
2022-09-15,28.74224281311035
2022-09-16,28.191801071166992
2022-09-19,29.090856552124023
2022-09-20,27.356966018676758
2022-09-21,27.485403060913086
2022-09-22,26.98082733154297
2022-09-23,26.595521926879883
2022-09-26,25.870771408081055
2022-09-27,25.512983322143555
2022-09-28,25.861597061157227
2022-09-29,25.457942962646484
2022-09-30,26.20103645324707
2022-10-03,26.944133758544922
2022-10-04,27.42118263244629
2022-10-05,27.347787857055664
2022-10-06,26.760652542114258
2022-10-07,26.29277801513672
2022-10-10,26.48543357849121
2022-10-11,27.02669906616211
2022-10-12,26.962480545043945
2022-10-13,27.338613510131836
2022-10-14,26.604692459106445
2022-10-17,27.301921844482422
2022-10-18,27.384485244750977
2022-10-19,26.650562286376953
2022-10-20,26.549650192260742
2022-10-21,27.485403060913086
2022-10-24,27.57714080810547
2022-10-25,28.356931686401367
2022-10-26,28.402801513671875
2022-10-27,28.448673248291016
2022-10-28,28.53124237060547
2022-10-31,28.37528419494629
2022-11-01,27.879884719848633
2022-11-02,27.210180282592773
2022-11-03,26.962480545043945
2022-11-04,27.778972625732422
2022-11-07,28.402801513671875
2022-11-08,28.457847595214844
2022-11-09,27.57714080810547
2022-11-10,30.145872116088867
2022-11-11,30.356876373291016
2022-11-14,29.668821334838867
2022-11-15,30.035783767700195
2022-11-16,29.421119689941406
2022-11-17,29.375253677368164
2022-11-18,29.604604721069336
2022-11-21,29.375253677368164
2022-11-22,29.641298294067383
2022-11-23,29.494516372680664
2022-11-25,29.641298294067383
2022-11-28,28.63215446472168
2022-11-29,29.1367244720459
2022-11-30,30.008258819580078
2022-12-01,29.777639389038086
2022-12-02,29.906787872314453
2022-12-05,29.076557159423828
2022-12-06,28.615310668945312
2022-12-07,29.233375549316406
2022-12-08,29.214929580688477
2022-12-09,29.039653778076172
2022-12-12,29.81454086303711
2022-12-13,30.34035873413086
2022-12-14,30.137407302856445
2022-12-15,29.297950744628906
2022-12-16,28.87360954284668
2022-12-19,28.440046310424805
2022-12-20,28.513843536376953
2022-12-21,28.69833755493164
2022-12-22,28.642993927001953
2022-12-23,29.048879623413086
2022-12-27,29.030427932739258
2022-12-28,28.25554847717285
2022-12-29,28.892059326171875
2022-12-30,28.596864700317383
2023-01-03,28.46771812438965
2023-01-04,28.809036254882812
2023-01-05,27.951129913330078
2023-01-06,29.159578323364258
2023-01-09,28.98430633544922
2023-01-10,28.46771812438965
2023-01-11,29.4639949798584
2023-01-12,29.639270782470703
2023-01-13,29.353300094604492
2023-01-17,29.2518253326416
2023-01-18,28.901281356811523
2023-01-19,28.689115524291992
2023-01-20,29.547019958496094
2023-01-23,29.8514404296875
2023-01-24,29.703842163085938
2023-01-25,30.21120262145996
2023-01-26,31.04143714904785
2023-01-27,31.65949821472168
2023-01-30,31.1798038482666
2023-01-31,31.760971069335938
2023-02-01,32.2960090637207
2023-02-02,32.941749572753906
2023-02-03,32.53586196899414
2023-02-06,31.594924926757812
2023-02-07,31.6502742767334
2023-02-08,31.401201248168945
2023-02-09,31.18903923034668
2023-02-10,31.032207489013672
2023-02-13,31.548805236816406
2023-02-14,31.04667091369629
2023-02-15,31.122468948364258
2023-02-16,30.73402976989746
2023-02-17,30.506649017333984
2023-02-21,29.151851654052734
2023-02-22,29.218168258666992
2023-02-23,29.426599502563477
2023-02-24,29.246591567993164
2023-02-27,29.275012969970703
2023-02-28,29.60660743713379
2023-03-01,30.013994216918945
2023-03-02,29.880556106567383
2023-03-03,30.176027297973633
2023-03-06,29.5755558013916
2023-03-07,28.58430290222168
2023-03-08,29.327743530273438
2023-03-09,29.003679275512695
2023-03-10,28.46039581298828
2023-03-13,28.746335983276367
2023-03-14,28.58430290222168
2023-03-15,28.203052520751953
2023-03-16,28.36508560180664
2023-03-17,27.840862274169922
2023-03-20,28.441333770751953
2023-03-21,28.441333770751953
2023-03-22,27.459611892700195
2023-03-23,26.9735164642334
2023-03-24,27.202268600463867
2023-03-27,27.354766845703125
2023-03-28,27.087892532348633
2023-03-29,27.70742416381836
2023-03-30,27.87898826599121
2023-03-31,28.717741012573242
2023-04-03,28.593833923339844
2023-04-04,28.54618263244629
2023-04-05,28.193519592285156
2023-04-06,28.45086669921875
2023-04-10,29.003679275512695
2023-04-11,29.42305564880371
2023-04-12,29.14664649963379
2023-04-13,29.71852684020996
2023-04-14,29.623212814331055
2023-04-17,30.042591094970703
2023-04-18,29.947275161743164
2023-04-19,29.994930267333984
2023-04-20,29.689929962158203
2023-04-21,29.5755558013916
2023-04-24,29.165714263916016
2023-04-25,28.488990783691406
2023-04-26,27.821802139282227
2023-04-27,28.012426376342773
2023-04-28,28.508052825927734
2023-05-01,28.355554580688477
2023-05-02,27.697895050048828
2023-05-03,27.907581329345703
2023-05-04,27.650238037109375
