,AON
2016-08-05,102.3851089477539
2016-08-08,102.1815414428711
2016-08-09,102.00575256347656
2016-08-10,101.57084655761719
2016-08-11,101.69114685058594
2016-08-12,101.42279052734375
2016-08-15,101.36730194091797
2016-08-16,101.01568603515625
2016-08-17,101.29326629638672
2016-08-18,101.25625610351562
2016-08-19,100.45121002197266
2016-08-22,101.2192153930664
2016-08-23,101.26549530029297
2016-08-24,101.30252838134766
2016-08-25,101.88543701171875
2016-08-26,101.81143188476562
2016-08-29,103.11610412597656
2016-08-30,102.8847885131836
2016-08-31,103.03282928466797
2016-09-01,103.03282928466797
2016-09-02,103.72681427001953
2016-09-06,103.8285903930664
2016-09-07,103.88412475585938
2016-09-08,103.26417541503906
2016-09-09,100.79358673095703
2016-09-12,102.81076049804688
2016-09-13,101.38578033447266
2016-09-14,100.83985900878906
2016-09-15,102.07051086425781
2016-09-16,101.2284927368164
2016-09-19,101.76516723632812
2016-09-20,102.07051086425781
2016-09-21,103.7360610961914
2016-09-22,104.89269256591797
2016-09-23,103.77308654785156
2016-09-26,103.28266143798828
2016-09-27,104.00440216064453
2016-09-28,103.89336395263672
2016-09-29,102.63493347167969
2016-09-30,104.08769989013672
2016-10-03,103.64352416992188
2016-10-04,103.06060028076172
2016-10-05,103.4029769897461
2016-10-06,104.72614288330078
2016-10-07,104.09696197509766
2016-10-10,103.60650634765625
2016-10-11,101.6448745727539
2016-10-12,102.43138885498047
2016-10-13,101.95946502685547
2016-10-14,102.42213439941406
2016-10-17,101.75592041015625
2016-10-18,102.32962036132812
2016-10-19,102.43138885498047
2016-10-20,101.80216979980469
2016-10-21,101.36730194091797
2016-10-24,101.81143188476562
2016-10-25,99.73873901367188
2016-10-26,100.10888671875
2016-10-27,100.32167053222656
2016-10-28,103.3010025024414
2016-10-31,102.86473846435547
2016-11-01,100.9899673461914
2016-11-02,99.81121826171875
2016-11-03,100.68367004394531
2016-11-04,100.04324340820312
2016-11-07,103.38448333740234
2016-11-08,104.08990478515625
2016-11-09,102.95756530761719
2016-11-10,104.63751220703125
2016-11-11,102.54920196533203
2016-11-14,102.270751953125
2016-11-15,102.215087890625
2016-11-16,102.06658172607422
2016-11-17,103.42164611816406
2016-11-18,103.9135513305664
2016-11-21,104.8045425415039
2016-11-22,105.21293640136719
2016-11-23,105.3521728515625
2016-11-25,105.63058471679688
2016-11-28,104.67463684082031
2016-11-29,105.48210144042969
2016-11-30,105.89972686767578
2016-12-01,103.9970703125
2016-12-02,103.59798431396484
2016-12-05,104.2940902709961
2016-12-06,105.07371520996094
2016-12-07,107.6167984008789
2016-12-08,104.77672576904297
2016-12-09,104.90665435791016
2016-12-12,104.63751220703125
2016-12-13,104.47041320800781
2016-12-14,103.71866607666016
2016-12-15,104.31263732910156
2016-12-16,104.0341796875
2016-12-19,104.25697326660156
2016-12-20,103.79292297363281
2016-12-21,104.1827163696289
2016-12-22,104.39620208740234
2016-12-23,104.77672576904297
2016-12-27,104.41476440429688
2016-12-28,103.69080352783203
2016-12-29,103.41236114501953
2016-12-30,103.51445007324219
2017-01-03,104.0249252319336
2017-01-04,105.16653442382812
2017-01-05,105.32429504394531
2017-01-06,106.13179779052734
2017-01-09,105.25007629394531
2017-01-10,104.53539276123047
2017-01-11,104.57254028320312
2017-01-12,104.57254028320312
2017-01-13,105.1479721069336
2017-01-17,105.45426177978516
2017-01-18,105.85334777832031
2017-01-19,104.2105484008789
2017-01-20,104.01566314697266
2017-01-23,103.67223358154297
2017-01-24,104.14558410644531
2017-01-25,104.73030090332031
2017-01-26,104.83240509033203
2017-01-27,105.24076843261719
2017-01-30,104.31926727294922
2017-01-31,104.9056625366211
2017-02-01,103.48149871826172
2017-02-02,104.70091247558594
2017-02-03,106.17162322998047
2017-02-06,106.19023895263672
2017-02-07,106.34848022460938
2017-02-08,106.45088958740234
2017-02-09,107.2048568725586
2017-02-10,107.5958023071289
2017-02-13,107.85643005371094
2017-02-14,107.83784484863281
2017-02-15,108.49872589111328
2017-02-16,109.16890716552734
2017-02-17,109.40162658691406
2017-02-21,107.57718658447266
2017-02-22,107.60511016845703
2017-02-23,108.15430450439453
2017-02-24,108.49872589111328
2017-02-27,108.32184600830078
2017-02-28,107.65167236328125
2017-03-01,109.38300323486328
2017-03-02,108.40564727783203
2017-03-03,108.42425537109375
2017-03-06,107.7074966430664
2017-03-07,107.54925537109375
2017-03-08,107.62371063232422
2017-03-09,108.28462219238281
2017-03-10,109.70879364013672
2017-03-13,110.71411895751953
2017-03-14,110.23008728027344
2017-03-15,110.7885971069336
2017-03-16,110.99333953857422
2017-03-17,110.68621826171875
2017-03-20,110.00669860839844
2017-03-21,109.4388656616211
2017-03-22,109.5691909790039
2017-03-23,109.35508728027344
2017-03-24,109.41092681884766
2017-03-27,110.01598358154297
2017-03-28,110.65827941894531
2017-03-29,109.61572265625
