,BG
2017-07-12,61.43976974487305
2017-07-13,62.72026824951172
2017-07-14,62.72827911376953
2017-07-17,62.97637939453125
2017-07-18,62.576210021972656
2017-07-19,62.97637939453125
2017-07-20,63.68864822387695
2017-07-21,63.72865295410156
2017-07-24,64.12883758544922
2017-07-25,64.4969711303711
2017-07-26,63.79269027709961
2017-07-27,63.41653823852539
2017-07-28,63.904727935791016
2017-07-31,62.73626708984375
2017-08-01,62.47219467163086
2017-08-02,62.007991790771484
2017-08-03,60.791526794433594
2017-08-04,61.095645904541016
2017-08-07,61.831932067871094
2017-08-08,61.60784912109375
2017-08-09,61.56783676147461
2017-08-10,62.39214324951172
2017-08-11,61.83991241455078
2017-08-14,61.799922943115234
2017-08-15,61.75189971923828
2017-08-16,61.75189971923828
2017-08-17,60.46339797973633
2017-08-18,60.350677490234375
2017-08-21,60.46339416503906
2017-08-22,61.212242126464844
2017-08-23,60.77743911743164
2017-08-24,60.769386291503906
2017-08-25,60.817691802978516
2017-08-28,60.0527458190918
2017-08-29,59.746761322021484
2017-08-30,59.62599182128906
2017-08-31,60.092987060546875
