,NSC
2020-03-20,112.20943450927734
2020-03-23,107.82844543457031
2020-03-24,127.19366455078125
2020-03-25,127.34786224365234
2020-03-26,133.26177978515625
2020-03-27,130.03268432617188
2020-03-30,134.50439453125
2020-03-31,132.42727661132812
2020-04-01,126.99413299560547
2020-04-02,130.35922241210938
2020-04-03,129.08935546875
2020-04-06,140.3638458251953
2020-04-07,139.25723266601562
2020-04-08,144.19155883789062
2020-04-09,144.49087524414062
2020-04-13,139.9466094970703
2020-04-14,141.03504943847656
2020-04-15,139.54750061035156
2020-04-16,139.0032958984375
2020-04-17,145.73348999023438
2020-04-20,139.41146850585938
2020-04-21,136.055419921875
2020-04-22,139.48402404785156
2020-04-23,141.37060546875
2020-04-24,145.7425537109375
2020-04-27,151.3571014404297
2020-04-28,154.776611328125
2020-04-29,163.56581115722656
2020-04-30,155.19387817382812
2020-05-01,154.8582763671875
2020-05-04,152.39111328125
2020-05-05,155.42971801757812
2020-05-06,152.5543975830078
2020-05-07,154.6796875
2020-05-08,159.3953857421875
2020-05-11,158.7660369873047
2020-05-12,152.13482666015625
2020-05-13,150.08251953125
2020-05-14,151.95240783691406
2020-05-15,146.26979064941406
2020-05-18,155.72862243652344
2020-05-19,152.92837524414062
2020-05-20,158.40118408203125
2020-05-21,155.57357788085938
2020-05-22,156.40362548828125
2020-05-26,163.92872619628906
2020-05-27,168.7265167236328
2020-05-28,164.42127990722656
2020-05-29,162.62437438964844
2020-06-01,162.66998291015625
2020-06-02,167.88735961914062
2020-06-03,175.51280212402344
2020-06-04,174.6736297607422
2020-06-05,177.1820068359375
2020-06-08,174.66453552246094
2020-06-09,175.1753387451172
2020-06-10,171.98284912109375
2020-06-11,158.94842529296875
2020-06-12,162.52403259277344
2020-06-15,162.00413513183594
2020-06-16,163.0257110595703
2020-06-17,161.4203338623047
2020-06-18,159.0579071044922
2020-06-19,155.2999267578125
2020-06-22,156.40362548828125
2020-06-23,159.15821838378906
2020-06-24,154.28744506835938
2020-06-25,156.59515380859375
2020-06-26,154.8894500732422
2020-06-29,157.5072784423828
2020-06-30,160.14337158203125
2020-07-01,156.44924926757812
2020-07-02,159.17648315429688
2020-07-06,162.92538452148438
2020-07-07,158.82077026367188
2020-07-08,159.86058044433594
2020-07-09,155.89280700683594
2020-07-10,155.8380889892578
2020-07-13,159.74203491210938
2020-07-14,162.29600524902344
2020-07-15,165.35165405273438
2020-07-16,166.84751892089844
2020-07-17,171.70921325683594
2020-07-20,169.8119659423828
2020-07-21,170.73321533203125
2020-07-22,172.46627807617188
2020-07-23,170.55078125
2020-07-24,170.57815551757812
2020-07-27,173.24159240722656
2020-07-28,168.83599853515625
2020-07-29,175.87767028808594
2020-07-30,172.27471923828125
2020-07-31,175.32122802734375
2020-08-03,173.73414611816406
2020-08-04,175.48548889160156
2020-08-05,176.09654235839844
2020-08-06,179.44215393066406
2020-08-07,182.3936309814453
2020-08-10,187.4440460205078
2020-08-11,188.89224243164062
2020-08-12,187.76486206054688
2020-08-13,187.33404541015625
2020-08-14,189.37806701660156
2020-08-17,190.9729461669922
2020-08-18,189.1214141845703
2020-08-19,188.2689666748047
2020-08-20,189.0297393798828
2020-08-21,191.50454711914062
2020-08-24,194.52017211914062
2020-08-25,195.80337524414062
2020-08-26,195.30845642089844
2020-08-27,195.0976104736328
2020-08-28,197.0957794189453
2020-08-31,194.80429077148438
2020-09-01,197.34327697753906
2020-09-02,196.481689453125
2020-09-03,193.02610778808594
2020-09-04,191.66036987304688
2020-09-08,189.50640869140625
2020-09-09,194.59349060058594
2020-09-10,195.3909149169922
2020-09-11,199.40565490722656
2020-09-14,201.9171142578125
2020-09-15,203.51199340820312
2020-09-16,202.48536682128906
2020-09-17,204.34608459472656
2020-09-18,202.59539794921875
2020-09-21,196.43588256835938
2020-09-22,198.34237670898438
2020-09-23,195.62924194335938
2020-09-24,196.5458526611328
2020-09-25,200.88136291503906
2020-09-28,202.58624267578125
2020-09-29,197.8107452392578
2020-09-30,196.14254760742188
2020-10-01,194.1810760498047
2020-10-02,194.92349243164062
2020-10-05,197.21499633789062
2020-10-06,195.71173095703125
2020-10-07,198.7731475830078
2020-10-08,198.34237670898438
2020-10-09,200.1755828857422
2020-10-12,199.11228942871094
2020-10-13,197.04998779296875
2020-10-14,199.22232055664062
2020-10-15,201.05548095703125
2020-10-16,200.50555419921875
2020-10-19,195.84925842285156
2020-10-20,197.86575317382812
2020-10-21,194.831787109375
2020-10-22,195.35427856445312
2020-10-23,197.4349365234375
2020-10-26,193.09027099609375
2020-10-27,186.65577697753906
2020-10-28,181.5869903564453
2020-10-29,188.4706573486328
2020-10-30,191.67872619628906
2020-11-02,197.12330627441406
2020-11-03,204.85935974121094
2020-11-04,202.3754119873047
2020-11-05,207.84323120117188
2020-11-06,205.4223175048828
2020-11-09,212.10523986816406
2020-11-10,217.40740966796875
2020-11-11,214.56301879882812
2020-11-12,212.32618713378906
2020-11-13,220.2425994873047
2020-11-16,227.1556854248047
2020-11-17,226.115478515625
2020-11-18,222.6451873779297
2020-11-19,222.8568878173828
2020-11-20,221.6602325439453
2020-11-23,223.54727172851562
2020-11-24,223.24349975585938
2020-11-25,222.26773071289062
2020-11-27,223.42762756347656
2020-11-30,218.18063354492188
2020-12-01,219.77313232421875
2020-12-02,220.62001037597656
2020-12-03,218.3003387451172
2020-12-04,221.09869384765625
2020-12-07,220.05853271484375
2020-12-08,219.69952392578125
2020-12-09,221.71543884277344
2020-12-10,217.70199584960938
2020-12-11,216.5513458251953
2020-12-14,211.0282745361328
2020-12-15,211.5345458984375
2020-12-16,210.52197265625
2020-12-17,212.35382080078125
2020-12-18,213.91867065429688
2020-12-21,211.84750366210938
2020-12-22,212.1789093017578
2020-12-23,214.5906219482422
2020-12-24,215.75970458984375
2020-12-28,217.8953094482422
2020-12-29,215.3915252685547
2020-12-30,217.2233123779297
2020-12-31,218.72377014160156
2021-01-04,214.8852081298828
2021-01-05,216.97476196289062
2021-01-06,224.0075225830078
2021-01-07,229.99085998535156
2021-01-08,233.84783935546875
2021-01-11,234.15162658691406
2021-01-12,236.05703735351562
2021-01-13,234.25286865234375
2021-01-14,232.39341735839844
2021-01-15,232.84446716308594
2021-01-19,229.98167419433594
2021-01-20,233.2863006591797
2021-01-21,225.8577880859375
2021-01-22,224.808349609375
2021-01-25,226.41004943847656
2021-01-26,219.1656494140625
2021-01-27,216.9103546142578
2021-01-28,222.571533203125
2021-01-29,217.81246948242188
2021-02-01,220.8409423828125
2021-02-02,226.76907348632812
2021-02-03,226.67703247070312
2021-02-04,226.96356201171875
2021-02-05,227.04672241210938
2021-02-08,225.32763671875
2021-02-09,227.1946258544922
2021-02-10,226.7047119140625
2021-02-11,230.05047607421875
2021-02-12,235.53114318847656
2021-02-16,236.9729766845703
2021-02-17,233.8583221435547
2021-02-18,232.6383056640625
2021-02-19,238.47946166992188
2021-02-22,240.52203369140625
2021-02-23,238.3501434326172
2021-02-24,241.9453582763672
2021-02-25,234.8472137451172
2021-02-26,232.9617919921875
2021-03-01,238.29458618164062
2021-03-02,236.95448303222656
2021-03-03,234.85647583007812
2021-03-04,226.168701171875
2021-03-05,236.603271484375
2021-03-08,239.57928466796875
2021-03-09,239.47760009765625
2021-03-10,239.64401245117188
2021-03-11,240.99337768554688
2021-03-12,241.63108825683594
2021-03-15,240.54974365234375
2021-03-16,236.96372985839844
2021-03-17,238.59963989257812
2021-03-18,243.1375732421875
2021-03-19,240.725341796875
2021-03-22,240.87322998046875
2021-03-23,240.54974365234375
2021-03-24,244.2836456298828
2021-03-25,247.694091796875
2021-03-26,252.23199462890625
2021-03-29,250.45751953125
2021-03-30,249.81057739257812
2021-03-31,248.17462158203125
2021-04-01,250.633056640625
2021-04-05,253.8217315673828
2021-04-06,250.67007446289062
2021-04-07,250.91041564941406
2021-04-08,247.38906860351562
2021-04-09,251.8437957763672
2021-04-12,250.9750518798828
2021-04-13,249.84756469726562
2021-04-14,251.2431182861328
2021-04-15,251.5203857421875
2021-04-16,250.33738708496094
2021-04-19,249.9676513671875
2021-04-20,252.60179138183594
2021-04-21,259.21002197265625
2021-04-22,257.43548583984375
2021-04-23,260.6333312988281
2021-04-26,259.8384704589844
2021-04-27,260.4946594238281
2021-04-28,262.5649108886719
2021-04-29,259.43182373046875
2021-04-30,258.0823669433594
2021-05-03,261.6129455566406
2021-05-04,265.88287353515625
2021-05-05,265.263671875
2021-05-06,266.144775390625
2021-05-07,268.7786865234375
2021-05-10,269.2795104980469
2021-05-11,265.8572082519531
2021-05-12,261.2572021484375
2021-05-13,266.18182373046875
2021-05-14,268.79718017578125
2021-05-17,265.0039978027344
2021-05-18,259.88458251953125
2021-05-19,259.1705322265625
2021-05-20,256.8147888183594
2021-05-21,257.2135925292969
2021-05-24,260.12579345703125
2021-05-25,257.78863525390625
2021-05-26,259.35601806640625
2021-05-27,259.0591735839844
2021-05-28,260.5152587890625
2021-06-01,261.01605224609375
2021-06-02,258.8736877441406
2021-06-03,259.28179931640625
2021-06-04,259.0313415527344
2021-06-07,254.87648010253906
2021-06-08,255.47006225585938
2021-06-09,253.89340209960938
2021-06-10,250.51756286621094
2021-06-11,251.7881317138672
2021-06-14,251.81593322753906
2021-06-15,253.40187072753906
2021-06-16,251.70468139648438
2021-06-17,247.5498046875
2021-06-18,242.45819091796875
2021-06-21,245.54649353027344
2021-06-22,244.91587829589844
2021-06-23,244.09974670410156
2021-06-24,245.7134246826172
2021-06-25,246.5574188232422
2021-06-28,244.38726806640625
2021-06-29,243.0702667236328
2021-06-30,246.1493682861328
2021-07-01,249.73851013183594
2021-07-02,251.2501678466797
2021-07-06,249.794189453125
2021-07-07,253.51318359375
2021-07-08,235.3633270263672
2021-07-09,244.50782775878906
2021-07-12,242.7920379638672
2021-07-13,242.31906127929688
2021-07-14,242.76426696777344
2021-07-15,244.28521728515625
2021-07-16,241.64198303222656
2021-07-19,235.40045166015625
2021-07-20,238.19200134277344
2021-07-21,241.73480224609375
2021-07-22,244.7489471435547
2021-07-23,246.06588745117188
2021-07-26,246.02877807617188
2021-07-27,243.84933471679688
2021-07-28,238.2755126953125
2021-07-29,237.45933532714844
2021-07-30,239.11940002441406
2021-08-02,237.57066345214844
2021-08-03,239.96334838867188
2021-08-04,235.19644165039062
2021-08-05,236.00326538085938
2021-08-06,238.45291137695312
2021-08-09,238.13623046875
2021-08-10,241.30303955078125
2021-08-11,247.48764038085938
