,TT
2016-02-25,37.648197174072266
2016-02-26,37.68819046020508
2016-02-29,37.028377532958984
2016-03-01,38.054725646972656
2016-03-02,38.14136505126953
2016-03-03,38.36796569824219
2016-03-04,38.27466583251953
2016-03-07,38.861148834228516
2016-03-08,38.12137985229492
2016-03-09,38.40957260131836
2016-03-10,38.476585388183594
2016-03-11,39.40147018432617
2016-03-14,39.60923767089844
2016-03-15,39.30094528198242
2016-03-16,39.68966293334961
2016-03-17,40.88262939453125
2016-03-18,41.34507369995117
2016-03-21,41.51932907104492
2016-03-22,41.26465606689453
2016-03-23,41.15740966796875
2016-03-24,41.070289611816406
2016-03-28,41.070289611816406
2016-03-29,41.59975814819336
2016-03-30,41.59975814819336
2016-03-31,41.55953598022461
2016-04-01,41.60646438598633
2016-04-04,41.17082595825195
2016-04-05,40.312950134277344
2016-04-06,40.13199996948242
2016-04-07,39.944332122802734
2016-04-08,40.44700622558594
2016-04-11,40.6480598449707
2016-04-12,41.18423080444336
2016-04-13,42.4442138671875
2016-04-14,42.67877960205078
2016-04-15,42.739105224609375
2016-04-18,42.826236724853516
2016-04-19,42.81283187866211
2016-04-20,42.638572692871094
2016-04-21,42.578250885009766
2016-04-22,43.18814468383789
2016-04-25,42.91336441040039
2016-04-26,43.82484817504883
2016-04-27,44.27387619018555
2016-04-28,43.784637451171875
2016-04-29,43.92537307739258
2016-05-02,44.327484130859375
2016-05-03,44.23367691040039
2016-05-04,43.46293640136719
2016-05-05,43.46293640136719
2016-05-06,43.91865921020508
2016-05-09,43.73101806640625
2016-05-10,44.46152877807617
2016-05-11,44.193450927734375
2016-05-12,44.180057525634766
2016-05-13,43.95886993408203
2016-05-16,44.45482635498047
2016-05-17,43.985694885253906
2016-05-18,43.697505950927734
2016-05-19,42.89995574951172
2016-05-20,43.02729415893555
2016-05-23,43.281982421875
2016-05-24,43.932071685791016
2016-05-25,44.42803192138672
2016-05-26,44.42132568359375
2016-05-27,44.55537033081055
2016-05-31,44.77653121948242
2016-06-01,44.568782806396484
2016-06-02,44.615684509277344
2016-06-03,44.09963607788086
2016-06-06,44.16664123535156
2016-06-07,44.12643814086914
2016-06-08,44.34195327758789
2016-06-09,44.240936279296875
2016-06-10,43.4327507019043
2016-06-13,42.7996826171875
2016-06-14,42.8737678527832
2016-06-15,43.31825637817383
2016-06-16,43.47315979003906
2016-06-17,43.87051010131836
2016-06-20,44.42951583862305
2016-06-21,44.04561996459961
2016-06-22,44.01869201660156
2016-06-23,44.645023345947266
2016-06-24,42.34170913696289
2016-06-27,39.856563568115234
2016-06-28,40.61760330200195
2016-06-29,41.64802932739258
2016-06-30,42.887229919433594
2016-07-01,43.10947799682617
2016-07-05,42.4831428527832
2016-07-06,43.143165588378906
2016-07-07,43.45295333862305
2016-07-08,44.274600982666016
2016-07-11,44.36888122558594
2016-07-12,45.0827751159668
2016-07-13,45.47340393066406
2016-07-14,45.803401947021484
2016-07-15,45.75625228881836
2016-07-18,45.21073532104492
2016-07-19,45.197265625
2016-07-20,45.48013687133789
2016-07-21,45.129920959472656
2016-07-22,45.60809326171875
2016-07-25,45.70237731933594
2016-07-26,45.91114807128906
2016-07-27,44.193782806396484
2016-07-28,44.759498596191406
2016-07-29,44.624813079833984
2016-08-01,44.69889450073242
2016-08-02,44.65849304199219
2016-08-03,45.352169036865234
2016-08-04,45.65523910522461
2016-08-05,46.032379150390625
2016-08-08,45.64176940917969
2016-08-09,45.904415130615234
2016-08-10,45.67544937133789
2016-08-11,46.0256462097168
2016-08-12,45.796669006347656
2016-08-15,45.99871063232422
2016-08-16,45.38584518432617
2016-08-17,45.298282623291016
2016-08-18,45.30501937866211
2016-08-19,45.419517517089844
2016-08-22,45.264610290527344
2016-08-23,45.72258377075195
2016-08-24,45.49360275268555
2016-08-25,45.65523910522461
2016-08-26,45.554222106933594
2016-08-29,46.22769546508789
2016-08-30,45.93810272216797
2016-08-31,45.78993606567383
2016-09-01,45.904415130615234
2016-09-02,46.15361404418945
2016-09-06,45.008689880371094
2016-09-07,45.407955169677734
2016-09-08,45.61774444580078
2016-09-09,42.701080322265625
2016-09-12,44.196624755859375
2016-09-13,43.16124725341797
2016-09-14,43.127410888671875
2016-09-15,43.19508361816406
2016-09-16,42.84317398071289
2016-09-19,43.323665618896484
2016-09-20,43.350738525390625
2016-09-21,44.33873748779297
2016-09-22,44.6973991394043
2016-09-23,43.749996185302734
2016-09-26,44.25077438354492
2016-09-27,45.1305046081543
2016-09-28,45.6718864440918
2016-09-29,45.407955169677734
2016-09-30,45.97639846801758
2016-10-03,45.84105682373047
2016-10-04,45.33352279663086
2016-10-05,45.71925735473633
2016-10-06,46.54484939575195
