,TGT
2019-11-01,95.47663879394531
2019-11-04,96.31790161132812
2019-11-05,97.460205078125
2019-11-06,97.85870361328125
2019-11-07,97.92953491210938
2019-11-08,97.53990936279297
2019-11-11,97.80557250976562
2019-11-12,95.94596862792969
2019-11-13,96.14964294433594
2019-11-14,98.38999938964844
2019-11-15,100.24960327148438
2019-11-18,99.14271545410156
2019-11-19,98.7418441772461
2019-11-20,112.62005615234375
2019-11-21,113.70679473876953
2019-11-22,113.14559936523438
2019-11-25,111.5154800415039
2019-11-26,113.0298080444336
2019-11-27,112.14793395996094
2019-11-29,111.35514831542969
2019-12-02,110.43766021728516
2019-12-03,110.49111938476562
2019-12-04,110.918701171875
2019-12-05,111.06120300292969
2019-12-06,111.37296295166016
2019-12-09,112.63785552978516
2019-12-10,112.03211975097656
2019-12-11,112.05886840820312
2019-12-12,113.59098052978516
2019-12-13,113.32374572753906
2019-12-16,112.20136260986328
2019-12-17,114.3570556640625
2019-12-18,114.08980560302734
2019-12-19,114.64210510253906
2019-12-20,115.04293823242188
2019-12-23,114.32141876220703
2019-12-24,114.50849914550781
2019-12-26,114.81136322021484
2019-12-27,115.09638977050781
2019-12-30,114.81136322021484
2019-12-31,114.20561218261719
2020-01-02,112.29936218261719
2020-01-03,111.1324691772461
2020-01-06,110.08133697509766
2020-01-07,110.27731323242188
2020-01-08,109.92101287841797
2020-01-09,110.01009368896484
2020-01-10,111.1057357788086
2020-01-13,110.33970642089844
2020-01-14,111.57785034179688
2020-01-15,104.2200927734375
2020-01-16,103.61437225341797
2020-01-17,104.1488265991211
2020-01-21,101.58341217041016
2020-01-22,101.45870971679688
2020-01-23,102.91065979003906
2020-01-24,101.83282470703125
2020-01-27,103.13333892822266
2020-01-28,102.83049011230469
2020-01-29,101.78826904296875
2020-01-30,102.14458465576172
2020-01-31,98.64386749267578
2020-02-03,100.22054290771484
2020-02-04,100.87969970703125
2020-02-05,102.91065979003906
2020-02-06,102.56324768066406
2020-02-07,102.98192596435547
2020-02-10,104.20227813720703
2020-02-11,103.94396209716797
2020-02-12,105.20884704589844
2020-02-13,105.36026000976562
2020-02-14,103.89051055908203
2020-02-18,105.5567626953125
2020-02-19,105.16260528564453
2020-02-20,105.94197082519531
2020-02-21,104.82218170166016
2020-02-24,101.9285888671875
2020-02-25,100.08319091796875
2020-02-26,99.13360595703125
2020-02-27,94.61856079101562
2020-02-28,92.27146911621094
2020-03-02,97.70023345947266
2020-03-03,94.81563568115234
2020-03-04,96.58939361572266
2020-03-05,94.9321060180664
2020-03-06,94.91417694091797
2020-03-09,93.19418334960938
2020-03-10,97.04629516601562
2020-03-11,94.58273315429688
2020-03-12,82.97266387939453
2020-03-13,90.4977035522461
2020-03-16,84.02078247070312
2020-03-17,92.8358383178711
2020-03-18,92.1102294921875
2020-03-19,90.03186798095703
2020-03-20,87.25476837158203
2020-03-23,86.61872100830078
2020-03-24,90.08560943603516
2020-03-25,81.55721282958984
2020-03-26,86.06330108642578
2020-03-27,84.871826171875
2020-03-30,86.00955200195312
2020-03-31,83.28618621826172
2020-04-01,85.34661102294922
2020-04-02,84.53141021728516
2020-04-03,82.92787170410156
2020-04-06,87.35330200195312
2020-04-07,88.02519989013672
2020-04-08,93.73167419433594
2020-04-09,93.3464584350586
2020-04-13,93.7764663696289
2020-04-14,97.0910873413086
2020-04-15,95.1739730834961
2020-04-16,97.91525268554688
2020-04-17,101.60610961914062
2020-04-20,97.62860107421875
2020-04-21,95.76522827148438
2020-04-22,95.71149444580078
2020-04-23,93.04187774658203
2020-04-24,96.58939361572266
2020-04-27,98.43482971191406
2020-04-28,100.33403015136719
2020-04-29,100.4236068725586
2020-04-30,98.3094253540039
2020-05-01,96.95671081542969
2020-05-04,100.0742416381836
2020-05-05,100.1190185546875
2020-05-06,101.74943542480469
2020-05-07,101.5523681640625
2020-05-08,103.76510620117188
2020-05-11,107.6619873046875
