,IRM
2018-11-28,23.693544387817383
2018-11-29,23.6865291595459
2018-11-30,23.84092903137207
2018-12-03,23.79180145263672
2018-12-04,23.805831909179688
2018-12-06,24.13569450378418
2018-12-07,23.897069931030273
2018-12-10,23.847949981689453
2018-12-11,24.1848201751709
2018-12-12,23.911115646362305
2018-12-13,24.52871322631836
2018-12-14,25.015151977539062
2018-12-17,23.8365478515625
2018-12-18,24.222272872924805
2018-12-19,23.765117645263672
2018-12-20,23.157955169677734
2018-12-21,22.950801849365234
2018-12-24,21.886476516723633
2018-12-26,22.907941818237305
2018-12-27,22.97222900390625
2018-12-28,23.136520385742188
2018-12-31,23.150806427001953
2019-01-02,22.929372787475586
2019-01-03,23.293668746948242
2019-01-04,23.70082664489746
2019-01-07,23.965126037597656
2019-01-08,24.493717193603516
2019-01-09,24.586572647094727
2019-01-10,24.793724060058594
2019-01-11,24.87944793701172
2019-01-14,24.83658218383789
2019-01-15,24.886585235595703
2019-01-16,25.029449462890625
2019-01-17,25.308032989501953
2019-01-18,25.458024978637695
2019-01-22,25.40802764892578
2019-01-23,25.500885009765625
2019-01-24,25.650897979736328
2019-01-25,25.75090217590332
2019-01-28,25.886625289916992
2019-01-29,26.008047103881836
2019-01-30,26.315210342407227
2019-01-31,26.572355270385742
2019-02-01,26.150915145874023
2019-02-04,26.386634826660156
2019-02-05,26.33663558959961
2019-02-06,26.243772506713867
2019-02-07,26.100914001464844
2019-02-08,26.079483032226562
2019-02-11,25.986623764038086
2019-02-12,25.56517791748047
2019-02-13,25.60089111328125
2019-02-14,25.19373321533203
2019-02-15,25.086585998535156
2019-02-19,25.279451370239258
2019-02-20,25.515174865722656
2019-02-21,25.60089111328125
2019-02-22,25.415178298950195
2019-02-25,25.029449462890625
2019-02-26,25.029449462890625
2019-02-27,25.000873565673828
2019-02-28,25.300880432128906
2019-03-01,25.558032989501953
2019-03-04,25.479461669921875
2019-03-05,25.215164184570312
2019-03-06,25.015151977539062
2019-03-07,24.908010482788086
2019-03-08,24.843721389770508
2019-03-11,24.986587524414062
2019-03-12,25.072301864624023
2019-03-13,25.19373321533203
2019-03-14,25.274423599243164
2019-03-15,25.390727996826172
2019-03-18,25.310766220092773
2019-03-19,25.07815933227539
2019-03-20,25.005464553833008
2019-03-21,25.608797073364258
2019-03-22,25.52883529663086
2019-03-25,25.5651798248291
2019-03-26,25.826862335205078
2019-03-27,25.768726348876953
2019-03-28,25.89956283569336
2019-03-29,25.775985717773438
2019-04-01,25.986785888671875
2019-04-02,26.008594512939453
2019-04-03,26.088552474975586
2019-04-04,26.11762809753418
2019-04-05,26.430194854736328
2019-04-08,26.38658332824707
2019-04-09,26.14670753479004
2019-04-10,26.321163177490234
2019-04-11,26.379314422607422
2019-04-12,26.553775787353516
2019-04-15,26.582843780517578
2019-04-16,26.20486068725586
2019-04-17,26.18305206298828
2019-04-18,26.124900817871094
2019-04-22,25.732376098632812
2019-04-23,26.066743850708008
2019-04-24,26.05220603942871
2019-04-25,23.733388900756836
2019-04-26,23.580734252929688
2019-04-29,23.2827091217041
2019-04-30,23.609817504882812
2019-05-01,23.231822967529297
2019-05-02,22.926523208618164
2019-05-03,22.970138549804688
2019-05-06,22.606689453125
2019-05-07,22.432235717773438
2019-05-08,22.526721954345703
2019-05-09,22.51218605041504
2019-05-10,22.788414001464844
2019-05-13,22.82476043701172
2019-05-14,23.10825538635254
2019-05-15,23.231822967529297
2019-05-16,23.522586822509766
2019-05-17,23.326326370239258
2019-05-20,22.984676361083984
2019-05-21,23.144594192504883
2019-05-22,22.984676361083984
