,CVS
2015-10-27,81.4537124633789
2015-10-28,80.30875396728516
2015-10-29,80.30103302001953
2015-10-30,76.41748809814453
2015-11-02,77.65528869628906
2015-11-03,77.27619934082031
2015-11-04,77.02864837646484
2015-11-05,77.00540924072266
2015-11-06,76.35558319091797
2015-11-09,75.80632781982422
2015-11-10,75.69029235839844
2015-11-11,73.37718200683594
2015-11-12,72.0388412475586
2015-11-13,71.02540588378906
2015-11-16,72.42567443847656
2015-11-17,72.55717468261719
2015-11-18,73.6402359008789
2015-11-19,71.55145263671875
2015-11-20,71.11825561523438
2015-11-23,70.83199310302734
2015-11-24,71.36579895019531
2015-11-25,72.64225769042969
2015-11-27,73.20700073242188
2015-11-30,72.78923034667969
2015-12-01,73.84136962890625
2015-12-02,73.10643005371094
2015-12-03,71.8299560546875
2015-12-04,73.84909057617188
2015-12-07,74.5298843383789
2015-12-08,74.00382995605469
2015-12-09,73.477783203125
2015-12-10,73.2920913696289
2015-12-11,72.13167572021484
2015-12-14,72.80474090576172
2015-12-15,71.62882232666016
2015-12-16,75.47368621826172
2015-12-17,73.26887512207031
2015-12-18,73.38492584228516
2015-12-21,74.22814178466797
2015-12-22,76.02294158935547
2015-12-23,76.20862579345703
2015-12-24,76.4793930053711
2015-12-28,76.13899230957031
2015-12-29,76.86619567871094
2015-12-30,76.38653564453125
2015-12-31,75.63614654541016
2016-01-04,74.62272644042969
2016-01-05,74.8393325805664
2016-01-06,73.92642974853516
2016-01-07,72.85887908935547
2016-01-08,72.37922668457031
2016-01-11,73.43135070800781
2016-01-12,74.02703094482422
2016-01-13,72.80474090576172
2016-01-14,73.8877944946289
2016-01-15,72.64225769042969
2016-01-19,73.5396499633789
2016-01-20,73.13947296142578
2016-01-21,73.41921997070312
2016-01-22,74.32061767578125
2016-01-25,73.1006088256836
2016-01-26,73.07728576660156
2016-01-27,73.3104019165039
2016-01-28,72.6498794555664
2016-01-29,75.05887603759766
2016-02-01,75.62614440917969
2016-02-02,73.77667236328125
2016-02-03,74.1108169555664
2016-02-04,73.53578186035156
2016-02-05,72.34683227539062
2016-02-08,69.66588592529297
2016-02-09,70.33417510986328
2016-02-10,72.35460662841797
2016-02-11,72.9451675415039
2016-02-12,74.49158477783203
2016-02-16,75.33084106445312
2016-02-17,75.91365814208984
2016-02-18,75.2919921875
2016-02-19,75.83595275878906
2016-02-22,75.73491668701172
2016-02-23,75.1832046508789
2016-02-24,75.28421783447266
2016-02-25,76.4654312133789
2016-02-26,75.89031982421875
2016-02-29,75.50957489013672
2016-03-01,76.38766479492188
2016-03-02,76.64411163330078
2016-03-03,77.22692108154297
2016-03-04,77.14920806884766
2016-03-07,76.48094940185547
2016-03-08,76.96273040771484
2016-03-09,78.11282348632812
2016-03-10,77.19584655761719
2016-03-11,77.98847198486328
2016-03-14,78.50135803222656
2016-03-15,78.62569427490234
2016-03-16,78.47029113769531
2016-03-17,78.57128143310547
2016-03-18,78.93650817871094
2016-03-21,79.06085968017578
2016-03-22,79.21630096435547
2016-03-23,78.28378295898438
2016-03-24,78.81997680664062
2016-03-28,79.1385498046875
2016-03-29,79.62814331054688
2016-03-30,80.85596466064453
2016-03-31,80.60726928710938
2016-04-01,81.45429229736328
2016-04-04,81.19009399414062
2016-04-05,80.17985534667969
2016-04-06,80.34305572509766
2016-04-07,78.43917846679688
2016-04-08,78.85104370117188
2016-04-11,78.30709838867188
2016-04-12,78.6645278930664
2016-04-13,78.58684539794922
2016-04-14,78.57128143310547
2016-04-15,79.44940948486328
2016-04-18,79.65144348144531
2016-04-19,80.39744567871094
2016-04-20,79.98779296875
2016-04-21,78.98120880126953
2016-04-22,79.15290069580078
2016-04-25,79.55081939697266
2016-04-26,80.25309753417969
2016-04-27,80.13605499267578
2016-04-28,78.97341918945312
2016-04-29,78.41938018798828
2016-05-02,79.16067504882812
2016-05-03,81.08802032470703
2016-05-04,81.07240295410156
2016-05-05,82.04777526855469
2016-05-06,81.81369018554688
2016-05-09,82.50814819335938
2016-05-10,82.78905487060547
2016-05-11,81.27529907226562
2016-05-12,81.81369018554688
2016-05-13,80.8929443359375
2016-05-16,81.57958221435547
2016-05-17,79.67566680908203
2016-05-18,79.21530151367188
2016-05-19,78.7705307006836
2016-05-20,77.60789489746094
2016-05-23,76.52330780029297
