,SHW
2020-04-02,139.92185974121094
2020-04-03,134.51597595214844
2020-04-06,146.8745574951172
2020-04-07,148.3893280029297
2020-04-08,156.3828582763672
2020-04-09,157.61264038085938
2020-04-13,156.6678924560547
2020-04-14,161.5325927734375
2020-04-15,157.78236389160156
2020-04-16,155.33245849609375
2020-04-17,165.4908447265625
2020-04-20,158.803955078125
2020-04-21,155.29080200195312
2020-04-22,160.21949768066406
2020-04-23,159.7103271484375
2020-04-24,162.06736755371094
2020-04-27,163.79673767089844
2020-04-28,162.92239379882812
2020-04-29,172.57167053222656
2020-04-30,171.77423095703125
2020-05-01,168.59408569335938
2020-05-04,169.3627471923828
2020-05-05,170.5957489013672
2020-05-06,167.81912231445312
2020-05-07,169.27305603027344
2020-05-08,176.03684997558594
2020-05-11,178.97030639648438
2020-05-12,177.2473907470703
2020-05-13,175.60130310058594
2020-05-14,174.7141876220703
2020-05-15,182.0255584716797
2020-05-18,183.26490783691406
2020-05-19,180.53955078125
2020-05-20,180.82461547851562
2020-05-21,182.9785919189453
2020-05-22,185.322021484375
2020-05-26,187.1935577392578
2020-05-27,187.10687255859375
2020-05-28,189.40211486816406
2020-05-29,190.6348114013672
2020-06-01,186.97848510742188
2020-06-02,191.6813201904297
2020-06-03,190.73434448242188
2020-06-04,184.63507080078125
2020-06-05,187.8869171142578
2020-06-08,184.5836944580078
2020-06-09,186.7569580078125
2020-06-10,186.49696350097656
2020-06-11,175.37696838378906
2020-06-12,175.79429626464844
2020-06-15,182.98184204101562
2020-06-16,185.020263671875
2020-06-17,186.830810546875
2020-06-18,186.73451232910156
2020-06-19,187.6879119873047
2020-06-22,186.98165893554688
2020-06-23,185.01063537597656
2020-06-24,181.90322875976562
2020-06-25,184.0090789794922
2020-06-26,178.9755401611328
2020-06-29,181.69454956054688
2020-06-30,185.49859619140625
2020-07-01,185.4054718017578
2020-07-02,187.14218139648438
2020-07-06,190.09226989746094
2020-07-07,188.99444580078125
2020-07-08,188.15341186523438
2020-07-09,186.08921813964844
2020-07-10,187.40866088867188
2020-07-13,184.91754150390625
2020-07-14,188.339599609375
2020-07-15,191.78726196289062
2020-07-16,192.21420288085938
2020-07-17,195.84811401367188
2020-07-20,195.20289611816406
2020-07-21,196.91062927246094
2020-07-22,200.92333984375
2020-07-23,198.54786682128906
2020-07-24,199.03579711914062
2020-07-27,200.8013916015625
2020-07-28,203.37913513183594
2020-07-29,207.8990020751953
2020-07-30,207.8990020751953
2020-07-31,207.9921112060547
2020-08-03,205.81564331054688
2020-08-04,208.95191955566406
2020-08-05,208.89414978027344
2020-08-06,210.1268768310547
2020-08-07,210.81703186035156
2020-08-10,209.06105041503906
2020-08-11,209.4302520751953
2020-08-12,215.68685913085938
2020-08-13,214.83294677734375
2020-08-14,213.97581481933594
2020-08-17,215.401123046875
2020-08-18,215.07369995117188
2020-08-19,213.50393676757812
2020-08-20,214.7262420654297
2020-08-21,217.38638305664062
2020-08-24,215.9678955078125
2020-08-25,215.6076202392578
2020-08-26,217.67269897460938
2020-08-27,216.0933380126953
2020-08-28,217.41537475585938
2020-08-31,215.85211181640625
2020-09-01,220.67381286621094
2020-09-02,224.89402770996094
2020-09-03,218.3578338623047
2020-09-04,218.60870361328125
2020-09-08,215.28916931152344
2020-09-09,223.37254333496094
2020-09-10,226.0198516845703
2020-09-11,227.97557067871094
2020-09-14,230.82546997070312
2020-09-15,230.39126586914062
2020-09-16,230.02777099609375
2020-09-17,229.20111083984375
2020-09-18,223.71351623535156
2020-09-21,219.64126586914062
2020-09-22,223.98049926757812
2020-09-23,217.868896484375
2020-09-24,220.62876892089844
2020-09-25,224.343994140625
2020-09-28,227.4351806640625
2020-09-29,226.98806762695312
2020-09-30,224.1156005859375
2020-10-01,222.2048797607422
2020-10-02,221.6195068359375
2020-10-05,221.81895446777344
2020-10-06,219.49649047851562
2020-10-07,222.52659606933594
2020-10-08,221.3943328857422
2020-10-09,224.64956665039062
2020-10-12,225.92979431152344
2020-10-13,224.257080078125
2020-10-14,223.23104858398438
2020-10-15,221.3042755126953
2020-10-16,223.65882873535156
2020-10-19,219.31961059570312
2020-10-20,217.10015869140625
2020-10-21,216.82350158691406
2020-10-22,218.08763122558594
2020-10-23,219.79568481445312
2020-10-26,215.63658142089844
2020-10-27,216.63052368164062
2020-10-28,218.2999267578125
2020-10-29,222.61988830566406
2020-10-30,221.2978515625
2020-11-02,228.1556854248047
2020-11-03,228.40982055664062
2020-11-04,232.88095092773438
2020-11-05,234.75619506835938
2020-11-06,236.77627563476562
2020-11-09,222.19204711914062
2020-11-10,232.3727264404297
2020-11-11,234.00352478027344
2020-11-12,231.15802001953125
2020-11-13,234.04864501953125
2020-11-16,235.7952880859375
2020-11-17,235.59548950195312
2020-11-18,233.188232421875
2020-11-19,234.8381805419922
2020-11-20,233.38800048828125
2020-11-23,236.57835388183594
2020-11-24,236.9521484375
2020-11-25,235.65025329589844
2020-11-27,237.11976623535156
2020-11-30,240.92881774902344
2020-12-01,239.52056884765625
2020-12-02,230.62307739257812
2020-12-03,228.17388916015625
2020-12-04,227.4842529296875
2020-12-07,228.8280792236328
2020-12-08,231.786376953125
2020-12-09,232.2311248779297
2020-12-10,231.9668731689453
2020-12-11,231.57693481445312
2020-12-14,231.65426635742188
2020-12-15,232.77894592285156
2020-12-16,232.8273162841797
2020-12-17,234.0389862060547
2020-12-18,234.67703247070312
2020-12-21,234.97998046875
2020-12-22,237.52581787109375
2020-12-23,233.4589080810547
2020-12-24,236.50421142578125
2020-12-28,235.0347442626953
2020-12-29,235.43759155273438
2020-12-30,234.32257080078125
2020-12-31,236.82969665527344
2021-01-04,233.14308166503906
2021-01-05,231.97975158691406
2021-01-06,232.78221130371094
2021-01-07,236.900634765625
2021-01-08,234.85110473632812
2021-01-11,236.8394012451172
2021-01-12,238.19932556152344
2021-01-13,234.64804077148438
2021-01-14,231.63172912597656
2021-01-15,233.8134002685547
2021-01-19,233.83274841308594
2021-01-20,237.25186157226562
2021-01-21,237.2937469482422
2021-01-22,235.94671630859375
2021-01-25,236.62672424316406
2021-01-26,233.19786071777344
2021-01-27,231.23211669921875
2021-01-28,229.46295166015625
2021-01-29,222.937255859375
2021-02-01,224.9674530029297
2021-02-02,228.97633361816406
2021-02-03,226.01156616210938
2021-02-04,228.9053955078125
2021-02-05,230.92276000976562
2021-02-08,233.317138671875
2021-02-09,229.77230834960938
2021-02-10,229.54995727539062
2021-02-11,231.79608154296875
2021-02-12,232.36322021484375
2021-02-16,227.97088623046875
2021-02-17,232.4760284423828
2021-02-18,234.20330810546875
2021-02-19,231.02906799316406
2021-02-22,228.36080932617188
2021-02-23,224.48085021972656
2021-02-24,219.7887725830078
2021-02-25,216.93359375
2021-02-26,219.78285217285156
2021-03-01,224.14402770996094
2021-03-02,222.80014038085938
2021-03-03,217.47950744628906
2021-03-04,213.06993103027344
2021-03-05,218.28067016601562
2021-03-08,222.29295349121094
2021-03-09,228.085205078125
2021-03-10,228.10458374023438
2021-03-11,227.4262237548828
2021-03-12,228.76040649414062
2021-03-15,231.61611938476562
2021-03-16,231.64195251464844
2021-03-17,230.1268768310547
2021-03-18,229.40650939941406
2021-03-19,228.15309143066406
2021-03-22,232.6724853515625
2021-03-23,234.51390075683594
2021-03-24,233.93563842773438
2021-03-25,238.80072021484375
2021-03-26,245.20033264160156
2021-03-29,244.32485961914062
2021-03-30,241.0653076171875
2021-03-31,238.41307067871094
2021-04-01,242.04415893554688
2021-04-05,248.00437927246094
2021-04-06,250.96029663085938
2021-04-07,243.9340057373047
2021-04-08,245.65904235839844
2021-04-09,247.4132080078125
2021-04-12,249.65196228027344
2021-04-13,249.4678192138672
2021-04-14,247.18064880371094
2021-04-15,249.20611572265625
2021-04-16,258.6844482421875
2021-04-19,257.4051208496094
2021-04-20,258.9944763183594
2021-04-21,262.5997619628906
2021-04-22,261.4076843261719
