,GL
2018-08-31,83.39855194091797
2018-09-04,83.69259643554688
2018-09-05,84.51785278320312
2018-09-06,84.05304718017578
2018-09-07,83.84437561035156
2018-09-10,80.11648559570312
2018-09-11,80.49590301513672
2018-09-12,79.9552230834961
2018-09-13,80.75200653076172
2018-09-14,82.37408447265625
2018-09-17,81.35911560058594
2018-09-18,81.548828125
2018-09-19,82.68712615966797
2018-09-20,83.78744506835938
2018-09-21,84.31867218017578
2018-09-24,83.55980682373047
2018-09-25,83.06654357910156
2018-09-26,82.10848999023438
2018-09-27,81.83340454101562
2018-09-28,82.23180389404297
2018-10-01,82.07054138183594
2018-10-02,82.32664489746094
2018-10-03,82.73455810546875
2018-10-04,83.59933471679688
2018-10-05,83.07664489746094
2018-10-08,84.29306030273438
2018-10-09,84.43562316894531
2018-10-10,83.0196304321289
2018-10-11,79.42745208740234
2018-10-12,79.80757904052734
2018-10-15,79.62700653076172
2018-10-16,80.5298080444336
2018-10-17,81.565673828125
2018-10-18,80.70087432861328
2018-10-19,81.75572967529297
2018-10-22,80.45381164550781
2018-10-23,79.96913146972656
2018-10-24,76.90911102294922
2018-10-25,78.94277954101562
2018-10-26,78.58165740966797
2018-10-29,78.91426849365234
2018-10-30,80.56780242919922
2018-10-31,80.45381164550781
2018-11-01,81.10000610351562
2018-11-02,80.52030944824219
2018-11-05,81.60367584228516
2018-11-06,82.39241790771484
2018-11-07,83.34275817871094
2018-11-08,83.14317321777344
2018-11-09,82.60149383544922
2018-11-12,81.61317443847656
2018-11-13,82.48747253417969
2018-11-14,82.15485382080078
2018-11-15,82.22135162353516
2018-11-16,82.10733795166016
2018-11-19,82.66802215576172
2018-11-20,81.41360473632812
2018-11-21,81.82223510742188
2018-11-23,81.78422546386719
2018-11-26,82.50647735595703
2018-11-27,80.89093017578125
2018-11-28,83.52332305908203
2018-11-29,82.98162841796875
2018-11-30,82.11685943603516
2018-12-03,82.24989318847656
2018-12-04,78.1350326538086
2018-12-06,76.97559356689453
2018-12-07,76.26289367675781
2018-12-10,74.99896240234375
2018-12-11,74.17218780517578
2018-12-12,74.64734649658203
2018-12-13,74.14369201660156
2018-12-14,73.3073959350586
2018-12-17,72.11949920654297
2018-12-18,72.0624771118164
2018-12-19,70.74156188964844
2018-12-20,70.15235137939453
2018-12-21,68.92645263671875
2018-12-24,67.10183715820312
2018-12-26,69.79122161865234
2018-12-27,70.6085205078125
2018-12-28,70.18087005615234
2018-12-31,70.82709503173828
2019-01-02,72.57566833496094
2019-01-03,71.43289184570312
2019-01-04,73.96603393554688
2019-01-07,74.24221801757812
2019-01-08,75.09927368164062
2019-01-09,75.90872192382812
2019-01-10,76.01351928710938
2019-01-11,76.26112365722656
2019-01-14,76.2039566040039
2019-01-15,76.66107177734375
2019-01-16,77.38484191894531
2019-01-17,77.8038558959961
2019-01-18,78.07050323486328
2019-01-22,77.20387268066406
2019-01-23,77.77528381347656
2019-01-24,78.57522583007812
2019-01-25,79.29898071289062
2019-01-28,78.98473358154297
2019-01-29,78.43238067626953
2019-01-30,78.86092376708984
2019-01-31,79.765625
2019-02-01,80.04177856445312
2019-02-04,79.49896240234375
2019-02-05,79.49896240234375
2019-02-06,78.2323989868164
2019-02-07,77.63241577148438
2019-02-08,77.15628051757812
2019-02-11,77.5086441040039
2019-02-12,78.79425811767578
2019-02-13,78.64188385009766
2019-02-14,77.92764282226562
2019-02-15,79.38469696044922
2019-02-19,79.65132904052734
2019-02-20,80.00372314453125
2019-02-21,79.23230743408203
2019-02-22,78.98473358154297
2019-02-25,78.68000030517578
2019-02-26,78.67044830322266
2019-02-27,78.79425811767578
2019-02-28,78.62284851074219
2019-03-01,78.91806030273438
2019-03-04,78.4990463256836
2019-03-05,78.61331176757812
2019-03-06,77.88955688476562
2019-03-07,77.37530517578125
2019-03-08,77.28007507324219
2019-03-11,78.17523956298828
2019-03-12,78.39429473876953
2019-03-13,78.62284851074219
2019-03-14,78.73710632324219
2019-03-15,79.14659881591797
2019-03-18,80.00372314453125
2019-03-19,79.43231964111328
2019-03-20,78.01336669921875
2019-03-21,78.44190979003906
2019-03-22,76.4801254272461
2019-03-25,76.99440002441406
2019-03-26,77.9657211303711
2019-03-27,78.04190826416016
2019-03-28,77.89908599853516
2019-03-29,78.04190826416016
2019-04-01,80.14652252197266
2019-04-02,79.87036895751953
2019-04-03,80.6512680053711
2019-04-04,80.70185089111328
2019-04-05,81.41754150390625
2019-04-08,81.55113220214844
2019-04-09,80.36784362792969
2019-04-10,81.13125610351562
2019-04-11,81.54158782958984
2019-04-12,82.8680191040039
2019-04-15,82.18095397949219
2019-04-16,83.11610412597656
2019-04-17,82.31454467773438
2019-04-18,84.68109130859375
2019-04-22,83.07794189453125
2019-04-23,82.83938598632812
2019-04-24,82.40040588378906
2019-04-25,82.5912857055664
2019-04-26,83.02069854736328
2019-04-29,83.69822692871094
2019-04-30,83.65049743652344
2019-05-01,83.3165283203125
2019-05-02,83.4978256225586
2019-05-03,83.87952423095703
2019-05-06,83.9177017211914
2019-05-07,82.60081481933594
2019-05-08,82.8966293334961
2019-05-09,83.15428161621094
2019-05-10,84.20398712158203
2019-05-13,82.35271453857422
2019-05-14,83.3165283203125
2019-05-15,82.78214263916016
2019-05-16,83.39287567138672
2019-05-17,83.39287567138672
2019-05-20,84.26123046875
2019-05-21,84.75746154785156
2019-05-22,84.40437316894531
2019-05-23,82.69625091552734
2019-05-24,83.20201110839844
2019-05-28,82.33363342285156
2019-05-29,82.83938598632812
2019-05-30,82.53400421142578
2019-05-31,81.59883117675781
2019-06-03,82.83938598632812
2019-06-04,84.19444274902344
2019-06-05,84.26123046875
2019-06-06,84.86241149902344
2019-06-07,84.80517578125
2019-06-10,84.73837280273438
2019-06-11,84.37576293945312
2019-06-12,84.40437316894531
2019-06-13,84.5761489868164
2019-06-14,85.09143829345703
2019-06-17,84.28031158447266
2019-06-18,84.72882843017578
2019-06-19,84.54750061035156
2019-06-20,85.28230285644531
2019-06-21,84.05128479003906
2019-06-24,84.29940795898438
2019-06-25,84.21353149414062
2019-06-26,83.5741958618164
2019-06-27,84.39484405517578
2019-06-28,85.36817932128906
2019-07-01,86.96178436279297
2019-07-02,86.37016296386719
2019-07-03,87.60638427734375
2019-07-05,87.74021911621094
2019-07-08,86.87975311279297
2019-07-09,87.52033996582031
2019-07-10,87.1187744140625
2019-07-11,87.65415954589844
2019-07-12,88.00794219970703
2019-07-15,88.20870971679688
2019-07-16,87.87406921386719
2019-07-17,87.30043029785156
2019-07-18,87.797607421875
2019-07-19,87.04228210449219
2019-07-22,87.09965515136719
2019-07-23,87.30998992919922
2019-07-24,86.88928985595703
2019-07-25,88.1035385131836
2019-07-26,88.84928131103516
2019-07-29,87.8645248413086
2019-07-30,87.69242095947266
2019-07-31,87.30998992919922
2019-08-01,84.71897888183594
2019-08-02,83.80113983154297
2019-08-05,80.99024200439453
2019-08-06,82.58690643310547
2019-08-07,82.21403503417969
2019-08-08,84.23137664794922
2019-08-09,84.14533996582031
2019-08-12,83.46652221679688
2019-08-13,84.61383056640625
2019-08-14,81.33444213867188
2019-08-15,82.04193878173828
2019-08-16,83.34220886230469
2019-08-19,83.84894561767578
2019-08-20,82.75900268554688
2019-08-21,83.85851287841797
2019-08-22,84.44171142578125
2019-08-23,82.347900390625
2019-08-26,83.2944107055664
2019-08-27,82.72076416015625
2019-08-28,83.25617218017578
2019-08-29,84.20269012451172
2019-08-30,85.34044647216797
2019-09-03,84.2696304321289
2019-09-04,84.86241149902344
2019-09-05,86.85106658935547
2019-09-06,87.65415954589844
2019-09-09,89.01182556152344
2019-09-10,90.13043975830078
2019-09-11,90.95265197753906
2019-09-12,90.57025146484375
2019-09-13,91.16302490234375
2019-09-16,89.60459899902344
2019-09-17,90.19738006591797
2019-09-18,90.77101135253906
2019-09-19,90.17825317382812
2019-09-20,90.49375915527344
2019-09-23,91.16302490234375
2019-09-24,90.86663055419922
2019-09-25,91.24908447265625
2019-09-26,91.84185028076172
2019-09-27,91.97570037841797
2019-09-30,91.5550308227539
2019-10-01,90.14957427978516
2019-10-02,88.42859649658203
2019-10-03,88.74758911132812
2019-10-04,90.52923583984375
2019-10-07,89.84915924072266
2019-10-08,88.46981048583984
2019-10-09,88.93916320800781
