,AOS
2021-03-24,61.15929412841797
2021-03-25,62.53693389892578
2021-03-26,65.12348937988281
2021-03-29,64.8704605102539
2021-03-30,64.84234619140625
2021-03-31,63.36161804199219
2021-04-01,63.60529327392578
2021-04-05,63.7083854675293
2021-04-06,64.57057189941406
2021-04-07,63.164825439453125
2021-04-08,62.63063049316406
2021-04-09,63.0429801940918
2021-04-12,64.11136627197266
2021-04-13,63.39912033081055
2021-04-14,63.07109451293945
2021-04-15,63.31476593017578
2021-04-16,63.94267654418945
2021-04-19,63.60529327392578
2021-04-20,62.893043518066406
2021-04-21,63.6614990234375
2021-04-22,63.492835998535156
2021-04-23,64.06449127197266
2021-04-26,63.63338851928711
2021-04-27,63.83958053588867
2021-04-28,62.358856201171875
2021-04-29,64.36285400390625
2021-04-30,63.74189376831055
2021-05-03,66.13163757324219
2021-05-04,67.29827117919922
2021-05-05,67.0066146850586
2021-05-06,67.11949920654297
2021-05-07,66.92193603515625
2021-05-10,67.97567749023438
2021-05-11,66.67731475830078
2021-05-12,64.4381103515625
2021-05-13,66.85607147216797
2021-05-14,67.5240707397461
2021-05-17,66.67731475830078
2021-05-18,64.7956314086914
2021-05-19,64.56041717529297
2021-05-20,64.85208129882812
2021-05-21,65.1719741821289
2021-05-24,65.08729553222656
2021-05-25,65.06848907470703
2021-05-26,65.8211669921875
2021-05-27,66.8936996459961
2021-05-28,66.86548614501953
2021-06-01,67.30768585205078
2021-06-02,67.03483581542969
2021-06-03,64.75801086425781
2021-06-04,64.96499633789062
2021-06-07,64.16527557373047
2021-06-08,64.34402465820312
2021-06-09,64.3910903930664
2021-06-10,63.779541015625
2021-06-11,64.86149597167969
2021-06-14,64.76741027832031
2021-06-15,65.16256713867188
2021-06-16,64.3346176147461
2021-06-17,62.85750961303711
2021-06-18,62.14247512817383
2021-06-21,63.63840866088867
2021-06-22,63.901832580566406
2021-06-23,64.10881042480469
2021-06-24,63.76070022583008
2021-06-25,65.1719741821289
2021-06-28,66.2069091796875
2021-06-29,67.35472106933594
2021-06-30,67.79690551757812
2021-07-01,67.83455657958984
2021-07-02,66.78082275390625
2021-07-06,66.24453735351562
2021-07-07,67.7686767578125
2021-07-08,66.18807220458984
2021-07-09,66.5644302368164
2021-07-12,66.97837829589844
2021-07-13,66.82784271240234
2021-07-14,66.80903625488281
2021-07-15,66.58321380615234
2021-07-16,65.77410888671875
2021-07-19,64.86149597167969
2021-07-20,66.04695129394531
