,FTV
2019-11-22,57.894432067871094
2019-11-25,58.53316116333008
2019-11-26,59.08180236816406
2019-11-27,59.311302185058594
2019-11-29,59.15558242797851
2019-12-02,58.835906982421875
2019-12-03,58.28672790527344
2019-12-04,58.53261947631836
2019-12-05,59.26213455200195
2019-12-06,59.729347229003906
2019-12-09,60.770320892333984
2019-12-10,60.5244255065918
2019-12-11,61.450645446777344
2019-12-12,62.43425369262695
2019-12-13,61.63097381591797
2019-12-16,62.42605972290039
2019-12-17,62.90147399902344
2019-12-18,62.81949234008789
2019-12-19,62.82769012451172
2019-12-20,62.0817985534668
2019-12-23,62.99163055419922
2019-12-24,62.61458969116211
2019-12-26,62.53261184692383
2019-12-27,62.77031326293945
2019-12-30,62.524417877197266
2019-12-31,62.61458969116211
2020-01-02,63.56539535522461
2020-01-03,63.30310821533203
2020-01-06,62.97523498535156
2020-01-07,63.18016052246094
2020-01-08,63.12277603149414
2020-01-09,63.91785430908203
2020-01-10,63.934268951416016
2020-01-13,64.59001159667969
2020-01-14,64.21292114257812
2020-01-15,63.934268951416016
2020-01-16,64.14738464355469
2020-01-17,64.5735855102539
2020-01-21,64.08179473876953
2020-01-22,63.65556716918945
2020-01-23,63.59817886352539
2020-01-24,63.04080581665039
2020-01-27,61.16376495361328
2020-01-28,61.49982833862305
2020-01-29,61.729347229003906
2020-01-30,62.458839416503906
2020-01-31,61.41787338256836
2020-02-03,61.294918060302734
2020-02-04,62.69655227661133
2020-02-05,63.57359313964844
2020-02-06,63.79490661621094
2020-02-07,64.77033233642578
2020-02-10,65.0326156616211
2020-02-11,65.08179473876953
2020-02-12,64.75390625
2020-02-13,63.31129837036133
2020-02-14,63.778507232666016
2020-02-18,63.647361755371094
2020-02-19,62.99982452392578
2020-02-20,62.94244766235352
2020-02-21,62.139183044433594
2020-02-24,59.4670524597168
2020-02-25,57.60640335083008
2020-02-26,57.99163436889648
2020-02-27,57.67165756225586
2020-02-28,56.7445068359375
2020-03-02,57.96702194213867
2020-03-03,56.925025939941406
2020-03-04,59.132110595703125
2020-03-05,55.924041748046875
2020-03-06,54.81637191772461
2020-03-09,50.960113525390625
2020-03-10,51.24728775024414
2020-03-11,48.761226654052734
2020-03-12,45.72544860839844
2020-03-13,49.00737380981445
2020-03-16,42.53377532958984
2020-03-17,43.206565856933594
2020-03-18,36.97089385986328
2020-03-19,37.783180236816406
2020-03-20,37.39755630493164
2020-03-23,34.46843719482422
2020-03-24,40.958438873291016
2020-03-25,40.933834075927734
2020-03-26,42.394283294677734
2020-03-27,40.73692321777344
2020-03-30,42.747100830078125
2020-03-31,45.28238677978515
2020-04-01,45.10187911987305
2020-04-02,45.94696807861328
2020-04-03,44.53573989868164
2020-04-06,46.97257995605469
2020-04-07,47.957149505615234
2020-04-08,49.754005432128906
2020-04-09,50.08219909667969
2020-04-13,48.753021240234375
2020-04-14,50.05758285522461
2020-04-15,47.169490814208984
2020-04-16,46.58694839477539
2020-04-17,49.524269104003906
2020-04-20,48.16227340698242
2020-04-21,45.81570053100586
2020-04-22,47.37461853027344
2020-04-23,48.080223083496094
2020-04-24,49.50786209106445
2020-04-27,52.494415283203125
2020-04-28,53.09337615966797
2020-04-29,53.78257369995117
2020-04-30,52.51081466674805
2020-05-01,49.84426498413086
2020-05-04,50.04938507080078
2020-05-05,47.85868835449219
2020-05-06,47.39923477172851
2020-05-07,47.53050231933594
2020-05-08,48.62995147705078
2020-05-11,48.260738372802734
2020-05-12,46.0782470703125
2020-05-13,44.68342208862305
2020-05-14,45.75004577636719
2020-05-15,45.33161163330078
2020-05-18,48.564308166503906
2020-05-19,48.4986686706543
2020-05-20,48.49046325683594
2020-05-21,47.81767654418945
2020-05-22,48.02278900146485
2020-05-26,50.35296249389648
2020-05-27,52.23186492919922
2020-05-28,50.54802322387695
2020-05-29,50.08803939819336
2020-06-01,51.06549835205078
2020-06-02,52.5932731628418
2020-06-03,55.0984992980957
2020-06-04,55.41062545776367
2020-06-05,57.99797821044922
2020-06-08,57.80906677246094
2020-06-09,57.15195083618164
2020-06-10,54.91779327392578
2020-06-11,51.624046325683594
2020-06-12,52.28114318847656
2020-06-15,52.88896560668945
2020-06-16,55.69811248779297
2020-06-17,55.772029876708984
2020-06-18,56.002010345458984
2020-06-19,55.73094940185547
2020-06-22,56.18272399902344
2020-06-23,56.09236526489258
2020-06-24,54.21961975097656
2020-06-25,55.574893951416016
2020-06-26,54.51530838012695
2020-06-29,55.788455963134766
2020-06-30,55.574893951416016
2020-07-01,55.41062545776367
2020-07-02,55.97737503051758
2020-07-06,56.79875564575195
2020-07-07,55.9034538269043
