,MET
2021-06-22,53.15282440185547
2021-06-23,53.1348876953125
2021-06-24,53.81645202636719
2021-06-25,54.72220230102539
2021-06-28,53.583282470703125
2021-06-29,53.34114456176758
2021-06-30,53.67295837402344
2021-07-01,54.264835357666016
2021-07-02,54.18413162231445
2021-07-06,52.82100296020508
2021-07-07,52.767208099365234
2021-07-08,50.83909225463867
2021-07-09,52.78513717651367
2021-07-12,53.41288375854492
2021-07-13,52.623714447021484
2021-07-14,52.2291259765625
2021-07-15,52.58784103393555
2021-07-16,51.637237548828125
2021-07-19,50.094764709472656
2021-07-20,51.74485397338867
2021-07-21,52.901710510253906
2021-07-22,51.843505859375
2021-07-23,51.68208694458008
2021-07-26,52.058738708496094
2021-07-27,51.780731201171875
2021-07-28,51.69104766845703
2021-07-29,52.220157623291016
2021-07-30,51.74485397338867
2021-08-02,51.86143493652344
2021-08-03,52.27396774291992
2021-08-04,51.23368835449219
2021-08-05,52.767208099365234
2021-08-06,54.44419860839844
2021-08-09,54.65210723876953
2021-08-10,55.80010986328125
2021-08-11,56.58653259277344
2021-08-12,56.649803161621094
2021-08-13,56.48710250854492
2021-08-16,56.02608871459961
2021-08-17,55.56508255004883
2021-08-18,55.11311340332031
2021-08-19,54.48939895629883
2021-08-20,54.69729995727539
2021-08-23,55.29391098022461
2021-08-24,55.76395034790039
2021-08-25,56.46902084350586
2021-08-26,55.854347229003906
2021-08-27,56.740203857421875
2021-08-30,55.926658630371094
2021-08-31,56.04417037963867
2021-09-01,55.42045211791992
2021-09-02,55.7368278503418
2021-09-03,55.33909225463867
2021-09-07,55.03175735473633
2021-09-08,55.122154235839844
2021-09-09,55.16735076904297
2021-09-10,54.93232727050781
2021-09-13,55.854347229003906
2021-09-14,54.941368103027344
2021-09-15,56.10744094848633
2021-09-16,56.243038177490234
2021-09-17,55.79106521606445
2021-09-20,53.61257553100586
2021-09-21,52.85326385498047
2021-09-22,53.73912811279297
2021-09-23,55.37525177001953
2021-09-24,55.46564483642578
2021-09-27,57.49951171875
2021-09-28,56.75827407836914
2021-09-29,56.56846618652344
2021-09-30,55.80010986328125
2021-10-01,56.514217376708984
2021-10-04,56.37862777709961
2021-10-05,58.09610366821289
2021-10-06,57.8339729309082
2021-10-07,58.34920883178711
2021-10-08,58.746944427490234
2021-10-11,58.86445999145508
2021-10-12,58.55711364746094
2021-10-13,57.987640380859375
2021-10-14,59.22602462768555
2021-10-15,59.271240234375
2021-10-18,58.93677520751953
2021-10-19,59.379703521728516
2021-10-20,60.2022819519043
2021-10-21,59.48818588256836
2021-10-22,59.54240417480469
2021-10-25,59.334503173828125
2021-10-26,59.171791076660156
2021-10-27,58.11418533325195
2021-10-28,59.00004196166992
2021-10-29,56.76731872558594
2021-11-01,57.987640380859375
2021-11-02,57.57182693481445
2021-11-03,59.00907897949219
2021-11-04,57.77069091796875
2021-11-05,57.84300994873047
2021-11-08,58.05249786376953
2021-11-09,57.351192474365234
2021-11-10,57.69728088378906
2021-11-11,57.952301025390625
2021-11-12,58.46232986450195
2021-11-15,58.425899505615234
2021-11-16,57.751930236816406
2021-11-17,57.49691390991211
2021-11-18,57.068851470947266
2021-11-19,55.69358825683594
2021-11-22,56.9322395324707
2021-11-23,57.70639419555664
2021-11-24,57.04153060913086
2021-11-26,54.73728561401367
2021-11-29,54.546016693115234
2021-11-30,53.425777435302734
2021-12-01,52.01408386230469
2021-12-02,54.03598403930664
2021-12-03,54.117958068847656
2021-12-06,54.34564971923828
2021-12-07,55.128910064697266
2021-12-08,55.21088409423828
2021-12-09,55.44767761230469
2021-12-10,55.21998977661133
2021-12-13,54.527801513671875
2021-12-14,55.37481689453125
2021-12-15,55.393035888671875
2021-12-16,55.91217041015625
2021-12-17,54.873897552490234
2021-12-20,53.36201858520508
2021-12-21,54.93765640258789
2021-12-22,55.44767761230469
2021-12-23,56.267372131347656
2021-12-27,56.91402053833008
2021-12-28,57.023319244384766
2021-12-29,57.08707046508789
2021-12-30,56.996002197265625
2021-12-31,56.91402053833008
2022-01-03,57.58799362182617
2022-01-04,59.145416259765625
2022-01-05,58.863075256347656
2022-01-06,60.52067184448242
2022-01-07,61.25839614868164
2022-01-10,61.47698211669922
2022-01-11,61.932376861572266
2022-01-12,61.586280822753906
2022-01-13,61.83218002319336
2022-01-14,62.26935577392578
2022-01-18,62.10541915893555
2022-01-19,60.80301284790039
2022-01-20,60.529781341552734
2022-01-21,59.75563049316406
2022-01-24,59.5734748840332
2022-01-25,59.59169006347656
2022-01-26,60.16547393798828
2022-01-27,59.482391357421875
2022-01-28,60.16547393798828
2022-01-31,61.07624435424805
2022-02-01,62.01432418823242
2022-02-02,62.415077209472656
2022-02-03,61.68646240234375
2022-02-04,62.83403015136719
2022-02-07,63.16421890258789
2022-02-08,64.50325012207031
2022-02-09,64.58578491210938
2022-02-10,64.6591567993164
2022-02-11,65.14525604248047
2022-02-14,64.31980895996094
2022-02-15,65.64051055908203
2022-02-16,65.60381317138672
