,INTC
2014-11-26,28.31077003479004
2014-11-28,28.57929229736328
2014-12-01,28.517913818359375
2014-12-02,28.847816467285156
2014-12-03,28.717391967773438
2014-12-04,28.740400314331055
2014-12-05,28.901527404785156
2014-12-08,28.540931701660156
2014-12-09,28.30309295654297
2014-12-10,27.942485809326172
2014-12-11,28.157323837280273
2014-12-12,27.796714782714844
2014-12-15,27.558881759643555
2014-12-16,27.282665252685547
2014-12-17,27.804399490356445
2014-12-18,28.4028377532959
2014-12-19,27.904123306274414
2014-12-22,28.548601150512695
2014-12-23,28.717391967773438
2014-12-24,28.72505760192871
2014-12-26,28.809467315673828
2014-12-29,28.52558135986328
2014-12-30,28.20335578918457
2014-12-31,27.842756271362305
2015-01-02,27.89646339416504
2015-01-05,27.581893920898438
2015-01-06,27.06785011291504
2015-01-07,27.63559913635254
2015-01-08,28.149635314941406
2015-01-09,28.20335578918457
2015-01-12,28.080589294433594
2015-01-13,28.003873825073242
2015-01-14,27.888778686523438
2015-01-15,27.766035079956055
2015-01-16,27.965511322021484
2015-01-20,27.689306259155273
2015-01-21,27.988525390625
2015-01-22,28.318431854248047
2015-01-23,27.965511322021484
2015-01-26,27.4744873046875
2015-01-27,26.2315673828125
2015-01-28,25.917007446289062
2015-01-29,26.24690818786621
2015-01-30,25.349258422851562
2015-02-02,25.817264556884766
2015-02-03,25.855628967285156
2015-02-04,25.96380615234375
2015-02-05,26.22653579711914
2015-02-06,25.731992721557617
2015-02-09,25.446073532104492
2015-02-10,26.04108238220215
2015-02-11,25.925172805786133
2015-02-12,26.373355865478516
2015-02-13,26.551084518432617
2015-02-17,26.8447265625
2015-02-18,26.481538772583008
2015-02-19,26.435171127319336
2015-02-20,26.58972930908203
2015-02-23,26.087451934814453
2015-02-24,26.58972930908203
2015-02-25,26.23426055908203
2015-02-26,26.0024471282959
2015-02-27,25.693357467651367
2015-03-02,26.31926727294922
2015-03-03,26.35017967224121
2015-03-04,26.365633010864258
2015-03-05,26.064266204833984
2015-03-06,25.646987915039062
2015-03-09,25.283811569213867
2015-03-10,24.495616912841797
2015-03-11,24.98244285583496
2015-03-12,23.800153732299805
2015-03-13,23.90061378479004
2015-03-16,23.823339462280273
2015-03-17,23.63788414001465
2015-03-18,23.869707107543945
2015-03-19,23.753793716430664
2015-03-20,24.194252014160156
2015-03-23,24.109254837036133
2015-03-24,23.79242706298828
2015-03-25,23.096969604492188
2015-03-26,23.243791580200195
2015-03-27,24.72743797302246
2015-03-30,24.310155868530273
2015-03-31,24.163345336914062
2015-04-01,23.80788803100586
2015-04-02,23.80788803100586
2015-04-06,23.98561668395996
2015-04-07,24.155624389648438
2015-04-08,24.194252014160156
2015-04-09,24.140161514282227
2015-04-10,24.6733455657959
2015-04-13,24.518802642822266
2015-04-14,24.33334732055664
2015-04-15,25.368803024291992
2015-04-16,25.399717330932617
2015-04-17,25.09062385559082
2015-04-20,25.291542053222656
2015-04-21,25.05971336364746
2015-04-22,25.268352508544922
2015-04-23,24.997894287109375
2015-04-24,24.78925323486328
2015-04-27,25.113805770874023
2015-04-28,25.515628814697266
2015-04-29,25.415164947509766
2015-04-30,25.152442932128906
2015-05-01,25.82471466064453
2015-05-04,25.832443237304688
2015-05-05,25.40436553955078
2015-05-06,25.077472686767578
2015-05-07,25.093046188354492
2015-05-08,25.52890396118164
2015-05-11,25.44328498840332
2015-05-12,25.100826263427734
2015-05-13,25.40436553955078
2015-05-14,25.66122055053711
2015-05-15,25.676780700683594
2015-05-18,26.003673553466797
2015-05-19,25.801313400268555
2015-05-20,25.972545623779297
2015-05-21,26.112638473510742
2015-05-22,26.03481674194336
2015-05-26,25.762392044067383
2015-05-27,26.2371768951416
2015-05-28,26.47066307067871
2015-05-29,26.820911407470703
2015-06-01,26.392841339111328
2015-06-02,25.894712448120117
2015-06-03,25.47442054748535
2015-06-04,25.147523880004883
2015-06-05,24.78171157836914
2015-06-08,24.361419677734375
2015-06-09,24.322509765625
2015-06-10,24.766145706176758
2015-06-11,24.78949737548828
2015-06-12,24.37698745727539
2015-06-15,24.431474685668945
2015-06-16,24.626054763793945
2015-06-17,24.86733055114746
2015-06-18,25.202011108398438
2015-06-19,24.960725784301758
2015-06-22,25.108604431152344
2015-06-23,24.976289749145508
2015-06-24,24.836198806762695
2015-06-25,24.898460388183594
2015-06-26,24.143491744995117
2015-06-29,23.653148651123047
2015-06-30,23.676494598388672
2015-07-01,23.48970603942871
2015-07-02,23.78546714782715
2015-07-06,23.380733489990234
2015-07-07,23.271772384643555
2015-07-08,22.960447311401367
2015-07-09,22.51680564880371
2015-07-10,22.703601837158203
2015-07-13,23.13945770263672
2015-07-14,23.077192306518555
2015-07-15,23.10832405090332
2015-07-16,23.271772384643555
2015-07-17,22.93709373474121
2015-07-20,22.649120330810547
2015-07-21,22.35335350036621
2015-07-22,22.267742156982422
2015-07-23,22.259960174560547
2015-07-24,21.839664459228516
2015-07-27,22.065378189086914
2015-07-28,22.540149688720703
2015-07-29,22.579065322875977
2015-07-30,22.501230239868164
2015-07-31,22.532373428344727
2015-08-03,22.61019515991211
2015-08-04,22.672462463378906
2015-08-05,22.85297203063965
2015-08-06,22.766637802124023
2015-08-07,22.664615631103516
2015-08-10,23.261058807373047
2015-08-11,22.735248565673828
2015-08-12,23.119796752929688
2015-08-13,22.656774520874023
2015-08-14,22.77448844909668
2015-08-17,22.82157325744629
2015-08-18,22.688156127929688
2015-08-19,22.256528854370117
2015-08-20,21.60515594482422
2015-08-21,20.843917846679688
2015-08-24,20.600629806518555
2015-08-25,20.302412033081055
2015-08-26,21.424657821655273
2015-08-27,21.75426483154297
2015-08-28,22.303613662719727
2015-08-31,22.397789001464844
2015-09-01,21.832748413085938
2015-09-02,22.444883346557617
2015-09-03,22.82157325744629
2015-09-04,22.382091522216797
2015-09-08,23.151187896728516
2015-09-09,22.9471378326416
2015-09-10,22.97068214416504
2015-09-11,23.127641677856445
2015-09-14,23.064857482910156
2015-09-15,23.33168601989746
2015-09-16,23.36307716369629
2015-09-17,23.315994262695312
2015-09-18,22.77448844909668
2015-09-21,22.884357452392578
2015-09-22,22.49981689453125
2015-09-23,22.554750442504883
2015-09-24,22.350706100463867
2015-09-25,22.609683990478516
2015-09-28,22.57044792175293
2015-09-29,22.9471378326416
2015-09-30,23.653446197509766
2015-10-01,23.5435791015625
2015-10-02,23.943815231323242
2015-10-05,24.4931697845459
2015-10-06,24.909107208251953
2015-10-07,25.36428451538086
2015-10-08,25.521240234375
2015-10-09,25.223018646240234
2015-10-12,25.277957916259766
2015-10-13,25.14454460144043
2015-10-14,25.740983963012695
2015-10-15,25.701745986938477
2015-10-16,25.9293270111084
2015-10-19,26.360958099365234
2015-10-20,26.243244171142578
2015-10-21,26.188308715820312
2015-10-22,26.996639251708984
2015-10-23,27.3890323638916
2015-10-26,27.1457462310791
2015-10-27,27.05156898498535
2015-10-28,27.239917755126953
2015-10-29,26.706268310546875
2015-10-30,26.572853088378906
2015-11-02,26.76904296875
2015-11-03,26.926008224487305
2015-11-04,26.989233016967773
2015-11-05,26.87067985534668
2015-11-06,26.744237899780273
2015-11-09,26.356979370117188
2015-11-10,26.246334075927734
2015-11-11,25.9697265625
2015-11-12,25.606184005737305
2015-11-13,25.376991271972656
2015-11-16,25.36908531188965
2015-11-17,25.79585838317871
2015-11-18,26.206819534301758
2015-11-19,27.10778045654297
2015-11-20,27.392295837402344
2015-11-23,27.250036239624023
2015-11-24,27.155197143554688
2015-11-25,27.22632598876953
2015-11-27,27.234220504760742
2015-11-30,27.479225158691406
2015-12-01,27.732131958007812
2015-12-02,27.52664566040039
2015-12-03,26.902297973632812
2015-12-04,27.61358070373535
2015-12-07,27.65310287475586
2015-12-08,27.46341896057129
2015-12-09,27.51083755493164
2015-12-10,27.479225158691406
2015-12-11,27.084068298339844
2015-12-14,27.242128372192383
2015-12-15,27.803255081176758
