,BK
2018-03-12,46.45094299316406
2018-03-13,46.0558967590332
2018-03-14,45.1588134765625
2018-03-15,45.14234924316406
2018-03-16,45.265811920166016
2018-03-19,44.72261428833008
2018-03-20,44.79668426513672
2018-03-21,44.9448356628418
2018-03-22,42.813232421875
2018-03-23,41.75153350830078
2018-03-26,42.91197967529297
2018-03-27,41.74330520629883
2018-03-28,41.65277099609375
2018-03-29,42.409950256347656
2018-04-02,41.27418518066406
2018-04-03,41.96553039550781
2018-04-04,42.36879348754883
2018-04-05,42.574546813964844
2018-04-06,41.43879318237305
2018-04-09,41.57870101928711
2018-04-10,42.2864990234375
2018-04-11,41.93260192871094
2018-04-12,42.804988861083984
2018-04-13,42.4428596496582
2018-04-16,42.78852844238281
2018-04-17,42.95314025878906
2018-04-18,43.010746002197266
2018-04-19,45.46332931518555
2018-04-20,45.611473083496094
2018-04-23,45.866615295410156
2018-04-24,45.58678436279297
2018-04-25,45.595008850097656
2018-04-26,45.627933502197266
2018-04-27,45.529178619384766
2018-04-30,45.058006286621094
2018-05-01,44.79349136352539
2018-05-02,44.628177642822266
2018-05-03,44.512447357177734
2018-05-04,45.04147720336914
2018-05-07,45.95075225830078
2018-05-08,46.35576248168945
2018-05-09,47.00053024291992
2018-05-10,47.33942413330078
2018-05-11,47.26502227783203
2018-05-14,47.36423110961914
2018-05-15,47.02531814575195
2018-05-16,47.16584014892578
2018-05-17,47.347686767578125
2018-05-18,47.08317947387695
2018-05-21,47.711395263671875
2018-05-22,47.60393142700195
2018-05-23,47.48820877075195
2018-05-24,47.31461715698242
2018-05-25,47.11623764038086
2018-05-29,45.62009811401367
2018-05-30,45.793678283691406
2018-05-31,45.25639724731445
2018-06-01,45.752349853515625
2018-06-04,46.09953308105469
2018-06-05,45.95075225830078
2018-06-06,46.76080322265625
2018-06-07,47.653533935546875
2018-06-08,47.57914733886719
2018-06-11,47.694862365722656
2018-06-12,47.67006301879883
2018-06-13,47.38075256347656
2018-06-14,46.95092010498047
2018-06-15,47.05837631225586
2018-06-18,47.31461715698242
2018-06-19,47.39729690551758
2018-06-20,47.422088623046875
2018-06-21,47.240230560302734
2018-06-22,46.90959548950195
2018-06-25,46.01686096191406
2018-06-26,45.61183166503906
2018-06-27,44.80175018310547
2018-06-28,44.884429931640625
2018-06-29,44.578575134277344
2018-07-02,44.710838317871094
2018-07-03,43.96689987182617
2018-07-05,43.975162506103516
2018-07-06,43.975162506103516
2018-07-09,44.72737121582031
2018-07-10,44.66123580932617
2018-07-11,44.1322135925293
2018-07-12,44.223140716552734
2018-07-13,43.83464431762695
2018-07-16,44.38846969604492
2018-07-17,44.67776107788086
2018-07-18,45.992069244384766
2018-07-19,43.5866584777832
2018-07-20,43.36348342895508
2018-07-23,44.01648712158203
2018-07-24,44.79349136352539
2018-07-25,44.05782699584961
2018-07-26,44.140480041503906
2018-07-27,44.14874267578125
2018-07-30,44.4229621887207
2018-07-31,44.431270599365234
2018-08-01,44.273399353027344
2018-08-02,43.73325729370117
2018-08-03,43.849605560302734
2018-08-06,44.06565475463867
2018-08-07,43.99085998535156
2018-08-08,44.15705490112305
2018-08-09,43.450740814208984
2018-08-10,42.39543533325195
2018-08-13,41.6641731262207
2018-08-14,42.3538818359375
2018-08-15,42.34557342529297
2018-08-16,42.8109016418457
2018-08-17,42.9521598815918
2018-08-20,43.1599006652832
2018-08-21,43.65847396850586
2018-08-22,43.625244140625
2018-08-23,43.48398971557617
2018-08-24,43.67509460449219
2018-08-27,44.02410125732422
2018-08-28,43.949317932128906
2018-08-29,43.625244140625
2018-08-30,43.4008903503418
2018-08-31,43.334407806396484
2018-09-04,43.54215621948242
2018-09-05,43.41749954223633
2018-09-06,43.36764907836914
2018-09-07,43.35934066772461
2018-09-10,43.23468780517578
2018-09-11,43.40919876098633
2018-09-12,43.218074798583984
2018-09-13,42.56162643432617
2018-09-14,42.9189338684082
2018-09-17,42.56162643432617
2018-09-18,42.75274658203125
2018-09-19,43.567081451416016
2018-09-20,44.31494140625
2018-09-21,44.36478805541992
2018-09-24,43.51721954345703
2018-09-25,43.467369079589844
2018-09-26,43.14328384399414
2018-09-27,42.8275260925293
2018-09-28,42.37049865722656
2018-10-01,43.126670837402344
2018-10-02,43.00203323364258
2018-10-03,43.35934066772461
2018-10-04,43.77481460571289
2018-10-05,43.70003128051758
2018-10-08,43.8578987121582
2018-10-09,43.4008903503418
2018-10-10,42.146141052246094
2018-10-11,40.87477111816406
2018-10-12,40.79998779296875
2018-10-15,40.2598762512207
2018-10-16,41.007720947265625
2018-10-17,40.84154510498047
2018-10-18,39.7114372253418
2018-10-19,39.387367248535156
2018-10-22,38.614566802978516
2018-10-23,38.45668411254883
2018-10-24,37.66728591918945
2018-10-25,38.348663330078125
2018-10-26,37.78361892700195
2018-10-29,38.26856231689453
2018-10-30,39.230079650878906
2018-10-31,39.57288360595703
2018-11-01,39.73173522949219
2018-11-02,39.47255325317383
2018-11-05,40.107994079589844
2018-11-06,40.400630950927734
2018-11-07,40.77687072753906
2018-11-08,40.994266510009766
2018-11-09,40.55112838745117
2018-11-12,40.11635971069336
2018-11-13,40.300289154052734
2018-11-14,40.32537841796875
2018-11-15,41.15311813354492
2018-11-16,41.29525375366211
2018-11-19,41.90562057495117
2018-11-20,41.286903381347656
2018-11-21,41.771846771240234
2018-11-23,41.688232421875
2018-11-26,42.58287048339844
2018-11-27,42.950748443603516
2018-11-28,43.15141677856445
2018-11-29,42.37382888793945
2018-11-30,42.90058135986328
2018-12-03,42.340389251708984
2018-12-04,40.718345642089844
2018-12-06,39.999298095703125
2018-12-07,39.89059829711914
2018-12-10,39.76519012451172
2018-12-11,39.8571662902832
2018-12-12,40.1832389831543
2018-12-13,40.20832824707031
2018-12-14,40.69325637817383
2018-12-17,40.95245361328125
2018-12-18,39.07122039794922
2018-12-19,38.04280471801758
2018-12-20,37.633121490478516
2018-12-21,37.323760986328125
2018-12-24,37.19833755493164
2018-12-26,38.594635009765625
2018-12-27,39.14646530151367
2018-12-28,39.00433349609375
2018-12-31,39.355491638183594
2019-01-02,39.71501922607422
2019-01-03,38.9290885925293
2019-01-04,40.05781936645508
2019-01-07,39.965843200683594
2019-01-08,39.81535720825195
2019-01-09,39.93239974975586
2019-01-10,39.689937591552734
2019-01-11,40.1999626159668
2019-01-14,40.484230041503906
2019-01-15,41.311981201171875
2019-01-16,42.16481018066406
2019-01-17,43.08452224731445
2019-01-18,44.029327392578125
2019-01-22,43.970802307128906
2019-01-23,44.363765716552734
2019-01-24,44.90724182128906
2019-01-25,44.882015228271484
2019-01-28,44.9156379699707
2019-01-29,44.21804428100586
2019-01-30,44.15079879760742
2019-01-31,43.974300384521484
2019-02-01,44.226436614990234
2019-02-04,44.02471923828125
2019-02-05,44.226436614990234
2019-02-06,43.974300384521484
2019-02-07,43.797794342041016
2019-02-08,43.56246566772461
2019-02-11,43.713741302490234
2019-02-12,44.41134262084961
2019-02-13,44.06675338745117
2019-02-14,43.51203155517578
2019-02-15,44.53742218017578
2019-02-19,44.53742218017578
2019-02-20,44.81479263305664
2019-02-21,44.503807067871094
2019-02-22,44.73072814941406
2019-02-25,44.486995697021484
2019-02-26,44.57945251464844
2019-02-27,44.33570098876953
2019-02-28,44.10877227783203
2019-03-01,44.28528594970703
2019-03-04,43.629695892333984
2019-03-05,44.25166320800781
2019-03-06,43.75577926635742
2019-03-07,43.058162689208984
2019-03-08,43.26828384399414
2019-03-11,43.56246566772461
2019-03-12,43.629695892333984
2019-03-13,44.07516098022461
2019-03-14,44.344112396240234
2019-03-15,44.646690368652344
2019-03-18,45.369510650634766
2019-03-19,44.646690368652344
