,ES
2016-09-14,41.1046028137207
2016-09-15,41.50210189819336
2016-09-16,41.81855010986328
2016-09-19,42.135009765625
2016-09-20,42.01151657104492
2016-09-21,42.79879379272461
2016-09-22,43.084381103515625
2016-09-23,43.400840759277344
2016-09-26,43.485740661621094
2016-09-27,42.7679328918457
2016-09-28,42.63671112060547
2016-09-29,42.212196350097656
2016-09-30,41.81855010986328
2016-10-03,41.32456970214844
2016-10-04,40.606754302978516
2016-10-05,40.56816482543945
2016-10-06,40.691654205322266
2016-10-07,40.47553634643555
2016-10-10,40.72252655029297
2016-10-11,40.12049102783203
2016-10-12,40.58359909057617
2016-10-13,41.13932418823242
2016-10-14,41.04670715332031
2016-10-17,41.48666763305664
2016-10-18,41.77996063232422
2016-10-19,41.65646743774414
2016-10-20,41.772247314453125
2016-10-21,41.67961120605469
2016-10-24,41.77996063232422
2016-10-25,41.91117477416992
2016-10-26,41.918888092041016
2016-10-27,41.61014938354492
2016-10-28,41.83399200439453
2016-10-31,42.49777603149414
2016-11-01,41.741371154785156
2016-11-02,41.24738693237305
2016-11-03,41.201072692871094
2016-11-04,41.04670715332031
2016-11-07,41.90346145629883
2016-11-08,42.4746208190918
2016-11-09,41.085304260253906
2016-11-10,40.398372650146484
2016-11-11,40.09733200073242
2016-11-14,39.89665985107422
2016-11-15,40.46782302856445
2016-11-16,40.1127815246582
2016-11-17,40.29030990600586
2016-11-18,39.997005462646484
2016-11-21,40.29030990600586
2016-11-22,40.48326110839844
2016-11-23,39.93524932861328
2016-11-25,40.59130859375
2016-11-28,41.55612564086914
2016-11-29,41.48666763305664
2016-11-30,39.842628479003906
2016-12-01,39.44127655029297
2016-12-02,39.88893127441406
2016-12-05,40.081912994384766
2016-12-06,40.14365005493164
2016-12-07,40.88462448120117
2016-12-08,41.13932418823242
2016-12-09,41.494380950927734
2016-12-12,41.90346145629883
2016-12-13,42.1041259765625
2016-12-14,41.298709869384766
2016-12-15,41.773406982421875
2016-12-16,42.46598815917969
2016-12-19,42.85509490966797
2016-12-20,43.00294494628906
2016-12-21,42.76171112060547
2016-12-22,43.14302444458008
2016-12-23,43.15858840942383
2016-12-27,43.09634017944336
2016-12-28,42.582725524902344
2016-12-29,43.24419021606445
2016-12-30,42.97959518432617
2017-01-03,42.862876892089844
2017-01-04,43.01073455810547
2017-01-05,43.01850891113281
2017-01-06,43.00294494628906
2017-01-09,42.46598815917969
2017-01-10,42.240318298339844
2017-01-11,42.84730911254883
2017-01-12,43.04185104370117
2017-01-13,42.9173583984375
2017-01-17,43.360923767089844
2017-01-18,43.205284118652344
2017-01-19,42.85509490966797
2017-01-20,42.800621032714844
2017-01-23,42.598289489746094
2017-01-24,42.45043182373047
2017-01-25,42.25588607788086
2017-01-26,42.43486785888672
2017-01-27,42.216976165771484
2017-01-30,42.357059478759766
2017-01-31,43.049644470214844
2017-02-01,42.567161560058594
2017-02-02,43.07298278808594
2017-02-03,43.360923767089844
2017-02-06,43.32979965209961
2017-02-07,43.40760803222656
2017-02-08,43.96012496948242
2017-02-09,43.61771774291992
2017-02-10,43.9056510925293
2017-02-13,43.96012496948242
2017-02-14,43.539913177490234
2017-02-15,43.39204406738281
2017-02-16,43.80449295043945
2017-02-17,43.69554138183594
2017-02-21,44.23249816894531
2017-02-22,44.82392120361328
2017-02-23,45.22857666015625
2017-02-24,45.93673324584961
2017-02-27,45.69549560546875
2017-02-28,46.021080017089844
2017-03-01,45.65234375
2017-03-02,45.966163635253906
2017-03-03,45.72295379638672
2017-03-06,45.77787399291992
2017-03-07,45.942630767822266
2017-03-08,45.126708984375
2017-03-09,45.016876220703125
2017-03-10,45.27577209472656
2017-03-13,45.534664154052734
2017-03-14,45.762176513671875
2017-03-15,46.38981628417969
2017-03-16,45.926937103271484
2017-03-17,46.23290252685547
2017-03-20,45.879859924316406
2017-03-21,46.633018493652344
2017-03-22,46.8448486328125
2017-03-23,46.8134651184082
2017-03-24,47.080204010009766
2017-03-27,46.71932601928711
2017-03-28,46.6722526550293
2017-03-29,46.34274673461914
2017-03-30,45.989707946777344
2017-03-31,46.11521530151367
2017-04-03,46.20151901245117
2017-04-04,46.1779899597168
2017-04-05,46.6094856262207
2017-04-06,46.71147918701172
2017-04-07,46.60165023803711
2017-04-10,46.50748062133789
2017-04-11,46.452579498291016
2017-04-12,46.978214263916016
2017-04-13,46.77423095703125
2017-04-17,47.29987716674805
2017-04-18,47.18220520019531
2017-04-19,46.78993225097656
2017-04-20,46.633018493652344
2017-04-21,46.91545486450195
2017-04-24,47.09589385986328
2017-04-25,47.07237243652344
2017-04-26,46.868385314941406
2017-04-27,46.89191818237305
2017-04-28,46.60165023803711
2017-05-01,46.39765930175781
2017-05-02,46.460426330566406
2017-05-03,46.37413024902344
2017-05-04,46.6722526550293
2017-05-05,46.71932601928711
2017-05-08,46.884071350097656
2017-05-09,46.562416076660156
2017-05-10,46.4682731628418
2017-05-11,46.66441345214844
2017-05-12,46.978214263916016
2017-05-15,47.19004821777344
2017-05-16,46.78209686279297
2017-05-17,47.221431732177734
2017-05-18,47.26065444946289
2017-05-19,47.15866470336914
2017-05-22,47.652923583984375
2017-05-23,47.966739654541016
2017-05-24,48.17856979370117
2017-05-25,48.51591491699219
2017-05-26,48.5435791015625
2017-05-30,48.606834411621094
2017-05-31,49.073299407958984
2017-06-01,49.2946662902832
2017-06-02,49.31048583984375
2017-06-05,49.24723434448242
2017-06-06,49.144447326660156
2017-06-07,49.47651290893555
2017-06-08,49.10493087768555
2017-06-09,49.255130767822266
2017-06-12,49.21560287475586
2017-06-13,49.144447326660156
2017-06-14,49.37373352050781
2017-06-15,49.508148193359375
2017-06-16,49.99831771850586
2017-06-19,49.64254379272461
2017-06-20,49.689979553222656
2017-06-21,49.58720016479492
2017-06-22,49.17607879638672
2017-06-23,49.21560287475586
2017-06-26,49.539772033691406
2017-06-27,49.01005935668945
2017-06-28,48.4091796875
2017-06-29,47.990150451660156
2017-06-30,47.99806213378906
2017-07-03,47.76087188720703
2017-07-05,47.4920654296875
2017-07-06,47.4288330078125
2017-07-07,47.4920654296875
2017-07-10,47.36557388305664
2017-07-11,47.29442596435547
2017-07-12,47.45255661010742
2017-07-13,47.357666015625
2017-07-14,47.61067199707031
2017-07-17,47.689727783203125
2017-07-18,47.78459548950195
2017-07-19,47.96644592285156
2017-07-20,48.39337158203125
2017-07-21,48.654273986816406
2017-07-24,48.02178955078125
2017-07-25,47.816219329833984
2017-07-26,48.179901123046875
2017-07-27,47.99806213378906
2017-07-28,47.855751037597656
2017-07-31,48.06131362915039
2017-08-01,48.140377044677734
2017-08-02,48.27478790283203
2017-08-03,48.92308807373047
2017-08-04,48.68590545654297
2017-08-07,49.0574951171875
2017-08-08,49.26303482055664
2017-08-09,48.80448532104492
2017-08-10,49.19188690185547
2017-08-11,48.90727233886719
2017-08-14,49.15235137939453
2017-08-15,49.46860885620117
2017-08-16,49.65045166015625
2017-08-17,49.38163757324219
2017-08-18,49.85601043701172
2017-08-21,49.784854888916016
2017-08-22,49.737422943115234
2017-08-23,49.91925048828125
2017-08-24,49.784854888916016
2017-08-25,49.87181854248047
2017-08-28,50.022029876708984
2017-08-29,50.037845611572266
2017-08-30,49.99831771850586
2017-08-31,49.808570861816406
2017-09-01,49.46860885620117
