,RJF
2020-08-27,48.01372146606445
2020-08-28,48.0012092590332
2020-08-31,47.375545501708984
2020-09-01,47.23789596557617
2020-09-02,48.132598876953125
2020-09-03,47.613304138183594
2020-09-04,47.93865203857422
2020-09-08,45.86768341064453
2020-09-09,46.02409744262695
2020-09-10,45.64244079589844
2020-09-11,46.05538558959961
2020-09-14,47.5382194519043
2020-09-15,46.51211929321289
2020-09-16,46.73109817504883
2020-09-17,46.142974853515625
2020-09-18,45.65496063232422
2020-09-21,44.0469970703125
2020-09-22,43.94689178466797
2020-09-23,43.22737503051758
2020-09-24,43.52143096923828
2020-09-25,44.29100036621094
2020-09-28,45.479774475097656
2020-09-29,45.23575973510742
2020-09-30,45.75773620605469
2020-10-01,45.71371841430664
2020-10-02,46.86457443237305
2020-10-05,47.89594268798828
2020-10-06,47.22304153442383
2020-10-07,48.222965240478516
2020-10-08,49.21031951904297
2020-10-09,49.222896575927734
2020-10-12,50.336021423339844
2020-10-13,48.883296966552734
2020-10-14,48.990211486816406
2020-10-15,49.93354034423828
2020-10-16,50.13478088378906
2020-10-19,49.398990631103516
2020-10-20,49.562503814697266
2020-10-21,49.43043518066406
2020-10-22,50.5938720703125
2020-10-23,51.008934020996094
2020-10-26,50.19139099121094
2020-10-27,49.20403289794922
2020-10-28,47.29850769042969
2020-10-29,47.512325286865234
2020-10-30,48.07204055786133
2020-11-02,49.34239196777344
2020-11-03,50.29829025268555
2020-11-04,48.4808235168457
2020-11-05,50.08447265625
2020-11-06,48.74494552612305
2020-11-09,53.82634353637695
2020-11-10,53.96470260620117
2020-11-11,53.31066131591797
2020-11-12,52.065467834472656
2020-11-13,53.61252212524414
2020-11-16,55.165863037109375
2020-11-17,56.24126052856445
2020-11-18,56.021148681640625
2020-11-19,56.096622467041016
2020-11-20,55.66268539428711
2020-11-23,56.90159606933594
2020-11-24,59.09010696411133
2020-11-25,58.79454040527344
2020-11-27,58.30400848388672
2020-11-30,57.197166442871094
2020-12-01,58.480098724365234
2020-12-02,59.55549621582031
2020-12-03,59.335384368896484
2020-12-04,60.266136169433594
2020-12-07,59.43600845336914
2020-12-08,58.44236373901367
2020-12-09,58.209686279296875
2020-12-10,58.26628112792969
2020-12-11,58.07132339477539
2020-12-14,57.517906188964844
2020-12-15,58.79454040527344
2020-12-16,58.71279525756836
2020-12-17,59.599525451660156
2020-12-18,59.02722930908203
2020-12-21,59.083831787109375
2020-12-22,58.951759338378906
2020-12-23,59.14672088623047
2020-12-24,58.436073303222656
2020-12-28,59.605804443359375
2020-12-29,59.10898971557617
2020-12-30,59.25992202758789
2020-12-31,60.16550827026367
2021-01-04,59.376190185546875
2021-01-05,59.609832763671875
2021-01-06,63.139713287353516
2021-01-07,64.23844146728516
2021-01-08,64.40892028808594
2021-01-11,65.23614501953125
2021-01-12,65.37505340576172
2021-01-13,64.3331527709961
2021-01-14,64.85094451904297
2021-01-15,65.00248718261719
2021-01-19,65.58344268798828
2021-01-20,65.34349060058594
2021-01-21,64.78780364990234
2021-01-22,64.43418884277344
2021-01-25,63.25335693359375
2021-01-26,62.29352951049805
2021-01-27,60.24760437011719
2021-01-28,62.89973449707031
2021-01-29,63.1018180847168
2021-02-01,64.67414093017578
2021-02-02,66.20228576660156
2021-02-03,66.63166809082031
2021-02-04,68.12822723388672
2021-02-05,69.08805847167969
2021-02-08,69.59953308105469
2021-02-09,69.99105072021484
2021-02-10,71.16555786132812
2021-02-11,71.6391372680664
2021-02-12,72.06853485107422
2021-02-16,74.18392181396484
2021-02-17,73.81766510009766
2021-02-18,73.38829040527344
2021-02-19,74.67015838623047
2021-02-22,75.46578979492188
2021-02-23,75.09955596923828
2021-02-24,77.4485855102539
2021-02-25,76.0404281616211
2021-02-26,73.71662902832031
2021-03-01,76.42561340332031
2021-03-02,74.68277740478516
2021-03-03,74.91011047363281
2021-03-04,73.68507385253906
2021-03-05,74.24075317382812
2021-03-08,74.25969696044922
2021-03-09,73.45772552490234
2021-03-10,74.15234375
2021-03-11,74.36072540283203
2021-03-12,75.61735534667969
2021-03-15,75.95831298828125
2021-03-16,75.0679702758789
2021-03-17,75.9520263671875
2021-03-18,75.98990631103516
2021-03-19,75.59207916259766
2021-03-22,75.49736022949219
2021-03-23,74.5059814453125
2021-03-24,74.86590576171875
2021-03-25,76.55821990966797
2021-03-26,78.04214477539062
2021-03-29,76.62767028808594
2021-03-30,77.5306625366211
2021-03-31,77.63835144042969
2021-04-01,80.14055633544922
2021-04-05,81.66090393066406
2021-04-06,80.66002655029297
2021-04-07,80.64737701416016
2021-04-08,79.73514556884766
2021-04-09,80.46997833251953
2021-04-12,81.21114349365234
2021-04-13,80.36227416992188
2021-04-14,81.93962860107422
2021-04-15,82.35138702392578
2021-04-16,82.19935607910156
2021-04-19,81.97762298583984
2021-04-20,80.26725769042969
2021-04-21,80.5459976196289
2021-04-22,80.10888671875
2021-04-23,82.06632995605469
2021-04-26,82.30072784423828
2021-04-27,82.75049591064453
2021-04-28,83.09256744384766
2021-04-29,83.66268157958984
