,KO
2019-10-29,45.4024543762207
2019-10-30,45.85298156738281
2019-10-31,46.26952362060547
2019-11-01,45.8189811706543
2019-11-04,45.17292785644531
2019-11-05,44.56087112426758
2019-11-06,44.8838996887207
2019-11-07,44.45036697387695
2019-11-08,44.38235092163086
2019-11-11,44.06782913208008
2019-11-12,43.95732116699219
2019-11-13,44.55237579345703
2019-11-14,44.7393913269043
2019-11-15,44.77338409423828
2019-11-18,45.07941818237305
2019-11-19,45.121925354003906
2019-11-20,45.240928649902344
2019-11-21,45.01990509033203
2019-11-22,45.07941818237305
2019-11-25,45.240928649902344
2019-11-26,45.8189811706543
2019-11-27,45.861480712890625
2019-11-29,45.7330207824707
2019-12-02,46.032772064208984
2019-12-03,46.075584411621094
2019-12-04,46.495235443115234
2019-12-05,46.40959930419922
2019-12-06,46.60657501220703
2019-12-09,46.306827545166016
2019-12-10,46.04989242553711
2019-12-11,46.20405578613281
2019-12-12,46.36677169799805
2019-12-13,46.60657501220703
2019-12-16,46.60657501220703
2019-12-17,46.60657501220703
2019-12-18,46.169795989990234
2019-12-19,46.52092742919922
2019-12-20,47.07761001586914
2019-12-23,47.026214599609375
2019-12-24,46.85493850708008
2019-12-26,47.12042999267578
2019-12-27,47.403045654296875
2019-12-30,47.33453369140625
2019-12-31,47.403045654296875
2020-01-02,47.09474563598633
2020-01-03,46.83780288696289
2020-01-06,46.82068634033203
2020-01-07,46.46098327636719
2020-01-08,46.54662322998047
2020-01-09,47.39448165893555
2020-01-10,47.55720901489258
2020-01-13,48.0710563659668
2020-01-14,47.959720611572266
2020-01-15,48.5592155456543
2020-01-16,48.66199493408203
2020-01-17,48.764766693115234
2020-01-21,48.96173858642578
2020-01-22,49.338565826416016
2020-01-23,49.5269775390625
2020-01-24,49.39851760864258
2020-01-27,49.227230072021484
2020-01-28,48.824710845947266
2020-01-29,48.824710845947266
2020-01-30,50.409095764160156
2020-01-31,50.01514434814453
2020-02-03,50.1693000793457
2020-02-04,50.39197540283203
2020-02-05,50.4005241394043
2020-02-06,50.520423889160156
