,BMY
2018-09-10,49.00160598754883
2018-09-11,48.70370101928711
2018-09-12,48.57488250732422
2018-09-13,48.94524383544922
2018-09-14,48.86473083496094
2018-09-17,49.35588455200195
2018-09-18,49.50080871582031
2018-09-19,48.953304290771484
2018-09-20,49.71819305419922
2018-09-21,50.12077713012695
2018-09-24,49.5893669128418
2018-09-25,49.77455520629883
2018-09-26,49.61353302001953
2018-09-27,49.87922286987305
2018-09-28,49.98389434814453
2018-10-01,49.999996185302734
2018-10-02,50.563602447509766
2018-10-03,50.44282913208008
2018-10-04,50.531978607177734
2018-10-05,50.57248306274414
2018-10-08,50.96955108642578
2018-10-09,51.23694610595703
2018-10-10,49.243553161621094
2018-10-11,46.59377670288086
2018-10-12,46.60187911987305
2018-10-15,46.682918548583984
2018-10-16,46.8611946105957
2018-10-17,47.728233337402344
2018-10-18,45.362091064453125
2018-10-19,44.0007438659668
2018-10-22,41.22941589355469
2018-10-23,41.04304504394531
2018-10-24,39.5682487487793
2018-10-25,39.876163482666016
2018-10-26,40.86477279663086
2018-10-29,40.297550201416016
2018-10-30,40.53253936767578
2018-10-31,40.95391845703125
2018-11-01,42.2423210144043
2018-11-02,41.07544708251953
2018-11-05,42.161293029785156
2018-11-06,41.61027908325195
2018-11-07,42.93921661376953
2018-11-08,42.7933464050293
2018-11-09,43.263343811035156
2018-11-12,42.82575988769531
2018-11-13,42.61508560180664
2018-11-14,42.61508560180664
2018-11-15,43.16610336303711
2018-11-16,43.814361572265625
2018-11-19,43.33626174926758
2018-11-20,43.36869812011719
2018-11-21,43.10938262939453
2018-11-23,42.89058303833008
2018-11-26,42.728519439697266
2018-11-27,41.44821548461914
2018-11-28,42.13698196411133
2018-11-29,41.991127014160156
2018-11-30,43.320068359375
2018-12-03,43.174198150634766
2018-12-04,42.161293029785156
2018-12-06,43.14988708496094
2018-12-07,43.01213836669922
2018-12-10,42.60697555541992
2018-12-11,42.48542022705078
2018-12-12,43.30385208129883
2018-12-13,43.46591567993164
2018-12-14,42.234222412109375
2018-12-17,41.261837005615234
2018-12-18,41.78044509887695
2018-12-19,40.83235549926758
2018-12-20,40.56496047973633
2018-12-21,40.37047576904297
2018-12-24,39.51152420043945
2018-12-26,40.54063415527344
2018-12-27,40.84857177734375
2018-12-28,41.278038024902344
2018-12-31,42.12077713012695
2019-01-02,42.48542022705078
2019-01-03,36.850101470947266
2019-01-04,38.295692443847656
2019-01-07,39.5370979309082
2019-01-08,39.1940803527832
2019-01-09,38.53253936767578
2019-01-10,38.97355651855469
2019-01-11,39.1940803527832
2019-01-14,39.17774200439453
2019-01-15,40.606998443603516
2019-01-16,40.12512969970703
2019-01-17,40.50897979736328
2019-01-18,40.93367004394531
2019-01-22,40.606998443603516
2019-01-23,40.80299377441406
2019-01-24,40.03529357910156
2019-01-25,39.961769104003906
2019-01-28,39.46358108520508
2019-01-29,39.46358108520508
2019-01-30,39.90461730957031
2019-01-31,40.321144104003906
2019-02-01,40.745826721191406
2019-02-04,41.529869079589844
2019-02-05,40.95817947387695
2019-02-06,41.76671600341797
2019-02-07,40.876495361328125
2019-02-08,41.01534652709961
2019-02-11,40.917335510253906
2019-02-12,40.59882354736328
2019-02-13,41.636043548583984
2019-02-14,41.51354217529297
2019-02-15,42.199581146240234
2019-02-19,41.94639587402344
2019-02-20,41.89738845825195
2019-02-21,40.94184112548828
2019-02-22,41.636043548583984
2019-02-25,41.36653137207031
2019-02-26,40.96633529663086
2019-02-27,41.61970520019531
2019-02-28,42.191402435302734
2019-03-01,43.46548843383789
2019-03-04,43.32664489746094
2019-03-05,43.939178466796875
2019-03-06,43.19596862792969
2019-03-07,42.068904876708984
2019-03-08,41.97089767456055
2019-03-11,41.570709228515625
2019-03-12,41.146018981933594
2019-03-13,41.62787628173828
2019-03-14,40.745826721191406
2019-03-15,40.80299377441406
2019-03-18,40.721317291259766
2019-03-19,40.50897979736328
2019-03-20,40.17412567138672
2019-03-21,39.95361328125
2019-03-22,39.33291244506836
2019-03-25,38.785709381103516
2019-03-26,39.479923248291016
2019-03-27,39.18590545654297
2019-03-28,39.071556091308594
2019-03-29,38.965396881103516
2019-04-01,38.459022521972656
2019-04-02,38.140506744384766
2019-04-03,38.28752136230469
2019-04-04,38.45230484008789
2019-04-05,38.42757797241211
2019-04-08,38.551170349121094
2019-04-09,37.88379669189453
2019-04-10,37.80965042114258
2019-04-11,37.97443389892578
2019-04-12,37.54599380493164
2019-04-15,38.31223678588867
2019-04-16,37.9167594909668
2019-04-17,37.735496520996094
2019-04-18,37.50479507446289
2019-04-22,37.274105072021484
2019-04-23,37.34001159667969
2019-04-24,36.76325607299805
2019-04-25,37.603660583496094
2019-04-26,37.80965042114258
2019-04-29,38.163936614990234
2019-04-30,38.25456237792969
2019-05-01,38.37815475463867
2019-05-02,38.625328063964844
2019-05-03,40.05894470214844
2019-05-06,39.6305046081543
2019-05-07,38.90545654296875
2019-05-08,39.094970703125
2019-05-09,38.913700103759766
2019-05-10,38.7324333190918
2019-05-13,37.81788635253906
2019-05-14,37.82612609863281
2019-05-15,38.41935348510742
2019-05-16,38.823062896728516
2019-05-17,38.600608825683594
2019-05-20,38.155696868896484
2019-05-21,39.0784912109375
2019-05-22,39.333892822265625
2019-05-23,38.971370697021484
2019-05-24,38.56765365600586
2019-05-28,37.78493118286133
