,DIS
2020-11-12,133.86627197265625
2020-11-13,136.67160034179688
2020-11-16,142.90460205078125
2020-11-17,142.73667907714844
2020-11-18,142.14401245117188
2020-11-19,139.99061584472656
2020-11-20,139.34854125976562
2020-11-23,144.19862365722656
2020-11-24,149.64138793945312
2020-11-25,147.2706756591797
2020-11-27,145.3345947265625
2020-11-30,146.20382690429688
2020-12-01,147.61639404296875
2020-12-02,151.7355194091797
2020-12-03,151.37002563476562
2020-12-04,152.25904846191406
2020-12-07,151.80465698242188
2020-12-08,151.84417724609375
2020-12-09,152.54550170898438
2020-12-10,152.80233764648438
2020-12-11,173.57569885253906
2020-12-14,167.2340545654297
2020-12-15,171.8174285888672
2020-12-16,171.00743103027344
2020-12-17,171.43218994140625
2020-12-18,170.78024291992188
2020-12-21,168.60708618164062
2020-12-22,168.37001037597656
2020-12-23,171.43218994140625
2020-12-24,171.6099853515625
2020-12-28,176.67739868164062
2020-12-29,175.1364288330078
2020-12-30,178.95919799804688
2020-12-31,178.9690704345703
2021-01-04,175.51177978515625
2021-01-05,176.2625274658203
2021-01-06,176.93421936035156
2021-01-07,176.4008026123047
2021-01-08,176.50946044921875
2021-01-11,176.9045867919922
2021-01-12,173.84242248535156
2021-01-13,173.97080993652344
2021-01-14,171.3136444091797
2021-01-15,169.34793090820312
2021-01-19,170.15792846679688
2021-01-20,171.52108764648438
2021-01-21,169.1898956298828
2021-01-22,170.6715850830078
2021-01-25,169.7924346923828
2021-01-26,167.49087524414062
2021-01-27,161.04055786132812
2021-01-28,169.78256225585938
2021-01-29,166.11782836914062
2021-02-01,168.8836669921875
2021-02-02,174.8005828857422
2021-02-03,174.27703857421875
2021-02-04,178.03067016601562
2021-02-05,178.94932556152344
2021-02-08,187.6814422607422
2021-02-09,185.91329956054688
2021-02-10,187.3159637451172
2021-02-11,188.58035278320312
2021-02-12,185.3798828125
2021-02-16,184.0760040283203
2021-02-17,184.16490173339844
2021-02-18,180.76686096191406
2021-02-19,181.40892028808594
2021-02-22,189.4199676513672
2021-02-23,194.6849365234375
2021-02-24,195.0998077392578
2021-02-25,188.6494903564453
2021-02-26,186.733154296875
