,VTRS
2015-04-17,59.97150421142578
2015-04-20,58.451175689697266
2015-04-21,63.62202072143555
2015-04-22,62.18758773803711
2015-04-23,63.295631408691406
2015-04-24,65.33130645751953
2015-04-27,61.6035041809082
2015-04-28,62.4538459777832
2015-04-29,63.99135971069336
2015-04-30,62.06733703613281
2015-05-01,63.46739959716797
2015-05-04,62.74590301513672
2015-05-05,62.608482360839844
2015-05-06,61.028018951416016
2015-05-07,60.46112060546875
2015-05-08,61.2513313293457
2015-05-11,61.52619934082031
2015-05-12,60.40957260131836
2015-05-13,60.856224060058594
2015-05-14,61.4403076171875
2015-05-15,60.70161819458008
2015-05-18,61.311466217041016
2015-05-19,61.28569793701172
2015-05-20,60.51264572143555
2015-05-21,60.074581146240234
2015-05-22,59.834083557128906
2015-05-26,60.59854507446289
2015-05-27,61.87836837768555
2015-05-28,62.428104400634766
2015-05-29,62.38513946533203
2015-06-01,62.97780990600586
2015-06-02,62.08451461791992
2015-06-03,62.17899703979492
2015-06-04,63.81098556518555
2015-06-05,63.682151794433594
2015-06-08,63.261260986328125
2015-06-09,63.390106201171875
2015-06-10,63.6134147644043
2015-06-11,63.65639114379883
2015-06-12,63.30420684814453
2015-06-15,63.20972442626953
2015-06-16,61.886966705322266
2015-06-17,61.18263244628906
2015-06-18,62.32502365112305
2015-06-19,61.51760482788086
2015-06-22,61.345821380615234
2015-06-23,61.00223159790039
2015-06-24,60.864803314208984
2015-06-25,60.43534469604492
2015-06-26,59.318702697753906
2015-06-29,58.09041976928711
2015-06-30,58.28797912597656
2015-07-01,59.868438720703125
2015-07-02,60.229190826416016
2015-07-06,60.770328521728516
2015-07-07,61.40596008300781
2015-07-08,59.232818603515625
2015-07-09,60.4267463684082
2015-07-10,61.174034118652344
2015-07-13,61.0366096496582
2015-07-14,61.345821380615234
2015-07-15,60.17765808105469
2015-07-16,58.78616714477539
2015-07-17,58.81193542480469
2015-07-20,57.53211212158203
2015-07-21,57.72966003417969
2015-07-22,58.32233810424805
2015-07-23,57.17135238647461
2015-07-24,56.63881301879883
2015-07-27,48.41870880126953
2015-07-28,48.401527404785156
2015-07-29,49.16598892211914
2015-07-30,48.401527404785156
2015-07-31,48.09230422973633
2015-08-03,47.41373825073242
2015-08-04,46.958492279052734
2015-08-05,46.898372650146484
2015-08-06,47.58552551269531
2015-08-07,48.401527404785156
2015-08-10,49.415077209472656
2015-08-11,49.071502685546875
2015-08-12,47.551170349121094
2015-08-13,46.57197952270508
2015-08-14,46.69221878051758
2015-08-17,47.662837982177734
2015-08-18,47.88616180419922
2015-08-19,47.319252014160156
2015-08-20,45.549835205078125
2015-08-21,44.23564147949219
2015-08-24,42.784027099609375
2015-08-25,42.18276596069336
2015-08-26,43.9178352355957
2015-08-27,44.227054595947266
2015-08-28,43.26504135131836
2015-08-31,42.595062255859375
2015-09-01,41.47843933105469
2015-09-02,41.76188278198242
2015-09-03,40.731143951416016
2015-09-04,41.27228927612305
2015-09-08,41.847782135009766
2015-09-09,40.851402282714844
2015-09-10,41.057552337646484
2015-09-11,41.78765106201172
2015-09-14,42.13982009887695
2015-09-15,42.569297790527344
2015-09-16,42.09687423706055
2015-09-17,42.406097412109375
2015-09-18,42.595062255859375
2015-09-21,41.366764068603516
2015-09-22,40.06977081298828
2015-09-23,39.00467300415039
2015-09-24,39.133514404296875
2015-09-25,37.45857238769531
2015-09-28,35.09647750854492
2015-09-29,34.18599319458008
2015-09-30,34.58110427856445
2015-10-01,35.56889343261719
2015-10-02,37.501522064208984
2015-10-05,37.707664489746094
2015-10-06,36.8057746887207
2015-10-07,36.27322769165039
2015-10-08,36.65115737915039
2015-10-09,36.548091888427734
2015-10-12,36.848724365234375
2015-10-13,35.57748031616211
2015-10-14,36.281822204589844
2015-10-15,36.70270538330078
2015-10-16,37.40703582763672
2015-10-19,37.57024002075195
2015-10-20,36.548091888427734
2015-10-21,35.12224197387695
2015-10-22,33.63626480102539
2015-10-23,35.1823616027832
2015-10-26,35.94682693481445
2015-10-27,37.87086486816406
2015-10-28,38.55801773071289
2015-10-29,39.32249069213867
2015-10-30,37.87086486816406
2015-11-02,39.34824752807617
2015-11-03,40.00105285644531
2015-11-04,40.009639739990234
2015-11-05,38.47213363647461
2015-11-06,38.61814498901367
2015-11-09,38.77275466918945
2015-11-10,39.03044128417969
2015-11-11,38.21444320678711
2015-11-12,37.106407165527344
2015-11-13,41.89931869506836
2015-11-16,42.947227478027344
2015-11-17,43.51412582397461
2015-11-18,44.68229293823242
2015-11-19,43.99514389038086
2015-11-20,44.55344772338867
2015-11-23,43.70310592651367
2015-11-24,43.282222747802734
2015-11-25,44.49333190917969
2015-11-27,44.441795349121094
2015-11-30,44.06385803222656
2015-12-01,45.592777252197266
2015-12-02,44.73383331298828
2015-12-03,43.866294860839844
2015-12-04,44.15834426879883
2015-12-07,43.883480072021484
2015-12-08,44.02949905395508
2015-12-09,43.548492431640625
2015-12-10,45.46393585205078
2015-12-11,45.14612579345703
2015-12-14,45.84186553955078
2015-12-15,46.37442398071289
2015-12-16,46.71799087524414
2015-12-17,45.498294830322266
2015-12-18,45.67007827758789
2015-12-21,46.07378387451172
2015-12-22,46.546199798583984
2015-12-23,47.06157684326172
2015-12-24,47.087337493896484
2015-12-28,46.666465759277344
2015-12-29,47.482460021972656
2015-12-30,46.915550231933594
2015-12-31,46.44313049316406
2016-01-04,45.764564514160156
2016-01-05,46.4603157043457
2016-01-06,45.83327865600586
2016-01-07,44.33012771606445
2016-01-08,42.44903564453125
2016-01-11,42.51775360107422
2016-01-12,43.0245361328125
2016-01-13,41.993797302246094
2016-01-14,43.548492431640625
2016-01-15,42.6981315612793
2016-01-19,43.13619613647461
2016-01-20,44.149749755859375
2016-01-21,44.18410110473633
2016-01-22,45.61854934692383
2016-01-25,45.197662353515625
2016-01-26,46.32288360595703
2016-01-27,44.00373077392578
2016-01-28,43.31657791137695
2016-01-29,45.257789611816406
2016-02-01,44.96574783325195
2016-02-02,43.65156555175781
2016-02-03,44.88843536376953
2016-02-04,44.931392669677734
2016-02-05,44.14115905761719
2016-02-08,43.33375930786133
2016-02-09,43.58285140991211
2016-02-10,43.41105651855469
2016-02-11,35.57748031616211
2016-02-12,35.92965316772461
2016-02-16,37.06346130371094
2016-02-17,39.743370056152344
2016-02-18,38.40341567993164
2016-02-19,38.94454574584961
2016-02-22,40.20719528198242
2016-02-23,40.121299743652344
2016-02-24,40.026817321777344
2016-02-25,40.731143951416016
2016-02-26,40.49064636230469
2016-02-29,38.71263122558594
2016-03-01,39.56298828125
2016-03-02,39.614524841308594
2016-03-03,39.279537200927734
2016-03-04,38.463539123535156
2016-03-07,39.63170623779297
2016-03-08,38.437767028808594
2016-03-09,39.9838752746582
2016-03-10,40.6194953918457
2016-03-11,41.74470520019531
2016-03-14,41.11767578125
2016-03-15,39.44272994995117
2016-03-16,39.85503005981445
2016-03-17,37.9825325012207
2016-03-18,38.69544982910156
2016-03-21,39.04762649536133
2016-03-22,39.691829681396484
2016-03-23,39.00467300415039
2016-03-24,39.40837478637695
2016-03-28,38.82429504394531
2016-03-29,40.37898254394531
2016-03-30,39.85503005981445
2016-03-31,39.81208801269531
2016-04-01,40.799869537353516
2016-04-04,40.567955017089844
2016-04-05,39.44272994995117
2016-04-06,41.52137756347656
2016-04-07,41.289459228515625
2016-04-08,40.370391845703125
2016-04-11,39.133514404296875
2016-04-12,39.72618865966797
2016-04-13,40.55936813354492
2016-04-14,40.87717819213867
2016-04-15,40.275917053222656
2016-04-18,40.88576126098633
2016-04-19,41.03178024291992
2016-04-20,41.169219970703125
2016-04-21,41.91648864746094
2016-04-22,41.47843933105469
2016-04-25,38.669681549072266
2016-04-26,38.6439208984375
2016-04-27,38.20585632324219
2016-04-28,36.59104919433594
2016-04-29,35.826576232910156
2016-05-02,36.68552017211914
2016-05-03,37.52729034423828
2016-05-04,36.02412414550781
2016-05-05,35.560306549072266
2016-05-06,34.05714797973633
2016-05-09,35.019168853759766
2016-05-10,35.05352783203125
2016-05-11,34.04855728149414
2016-05-12,33.17243576049805
2016-05-13,33.63626480102539
2016-05-16,34.74430847167969
2016-05-17,35.233909606933594
2016-05-18,36.11002731323242
2016-05-19,35.319801330566406
2016-05-20,35.65478515625
2016-05-23,35.397098541259766
2016-05-24,36.45360565185547
2016-05-25,36.659759521484375
2016-05-26,36.81436538696289
2016-05-27,36.98616027832031
2016-05-31,37.226654052734375
2016-06-01,38.18867874145508
2016-06-02,38.61814498901367
2016-06-03,38.24021530151367
2016-06-06,39.958099365234375
2016-06-07,40.0354118347168
2016-06-08,39.94950866699219
2016-06-09,39.3052978515625
2016-06-10,38.24880599975586
2016-06-13,38.454952239990234
2016-06-14,38.54084396362305
2016-06-15,38.42918395996094
2016-06-16,38.69544982910156
2016-06-17,38.661094665527344
2016-06-20,38.97890090942383
2016-06-21,38.549442291259766
2016-06-22,38.65251159667969
2016-06-23,39.64888381958008
2016-06-24,37.415626525878906
2016-06-27,35.912471771240234
2016-06-28,36.780006408691406
2016-06-29,37.123592376708984
2016-06-30,37.14076232910156
2016-07-01,37.3469123840332
2016-07-05,36.65115737915039
2016-07-06,37.3984489440918
2016-07-07,37.53588104248047
2016-07-08,38.25739288330078
2016-07-11,38.2659797668457
2016-07-12,38.78993606567383
2016-07-13,38.910186767578125
2016-07-14,38.97890090942383
2016-07-15,39.03902816772461
2016-07-18,39.10774230957031
2016-07-19,38.59238052368164
2016-07-20,40.54218673706055
2016-07-21,40.250152587890625
2016-07-22,40.018226623535156
2016-07-25,40.610904693603516
2016-07-26,39.92374801635742
2016-07-27,40.310272216796875
2016-07-28,40.12989044189453
2016-07-29,40.19001770019531
2016-08-01,40.147071838378906
2016-08-02,39.96669387817383
2016-08-03,41.581504821777344
2016-08-04,41.70175552368164
2016-08-05,41.624454498291016
2016-08-08,41.68458557128906
2016-08-09,42.87851333618164
