,XEL
2016-01-27,28.049333572387695
2016-01-28,28.72991180419922
2016-01-29,29.226980209350586
2016-02-01,29.486984252929688
2016-02-02,29.80815887451172
2016-02-03,30.014616012573242
2016-02-04,29.876983642578125
2016-02-05,30.228748321533203
2016-02-08,30.014616012573242
2016-02-09,30.297555923461914
2016-02-10,30.09108543395996
2016-02-11,29.815805435180664
2016-02-12,29.685794830322266
2016-02-16,29.69344139099121
2016-02-17,29.77756690979004
2016-02-18,30.31285285949707
2016-02-19,30.0758113861084
2016-02-22,30.335798263549805
2016-02-23,30.458147048950195
2016-02-24,30.51932144165039
2016-02-25,30.741086959838867
2016-02-26,30.0299129486084
2016-02-29,30.23638343811035
2016-03-01,30.175222396850586
2016-03-02,30.274621963500977
2016-03-03,30.28226661682129
2016-03-04,30.542268753051758
2016-03-07,30.634035110473633
2016-03-08,31.092853546142578
2016-03-09,31.13873291015625
2016-03-10,31.154037475585938
2016-03-11,31.138614654541016
2016-03-14,31.169462203979492
2016-03-15,31.23114776611328
2016-03-16,31.55502700805664
2016-03-17,32.002288818359375
2016-03-18,31.662979125976562
2016-03-21,31.6552734375
2016-03-22,31.439363479614258
2016-03-23,31.709253311157227
2016-03-24,31.794076919555664
2016-03-28,31.740095138549805
2016-03-29,32.12565994262695
2016-03-30,32.048545837402344
2016-03-31,32.249053955078125
2016-04-01,32.341583251953125
2016-04-04,32.2798957824707
2016-04-05,31.578161239624023
2016-04-06,31.501047134399414
2016-04-07,31.454782485961914
2016-04-08,31.624427795410156
2016-04-11,31.462486267089844
2016-04-12,31.6090030670166
2016-04-13,31.37767219543457
2016-04-14,31.292844772338867
2016-04-15,31.485620498657227
2016-04-18,31.724674224853516
2016-04-19,31.740095138549805
2016-04-20,30.63736343383789
2016-04-21,29.773704528808594
2016-04-22,30.11299705505371
2016-04-25,30.190105438232422
2016-04-26,30.2209529876709
2016-04-27,30.6219425201416
2016-04-28,30.79930877685547
2016-04-29,30.86871337890625
2016-05-02,31.23885726928711
2016-05-03,31.26971435546875
2016-05-04,31.624427795410156
2016-05-05,31.49332618713379
2016-05-06,31.200294494628906
2016-05-09,31.740095138549805
2016-05-10,31.894329071044922
2016-05-11,31.90974998474121
2016-05-12,32.27218246459961
2016-05-13,32.16423034667969
2016-05-16,32.195064544677734
2016-05-17,31.50876235961914
2016-05-18,30.914974212646484
2016-05-19,31.23885726928711
2016-05-20,31.208017349243164
2016-05-23,30.891855239868164
2016-05-24,31.27742576599121
2016-05-25,31.130897521972656
2016-05-26,31.53190040588379
2016-05-27,31.55502700805664
2016-05-31,31.90203857421875
2016-06-01,32.048545837402344
2016-06-02,31.925167083740234
2016-06-03,32.53437423706055
2016-06-06,32.426414489746094
2016-06-07,32.395565032958984
2016-06-08,32.51895523071289
2016-06-09,32.92765426635742
2016-06-10,32.96620178222656
2016-06-13,32.93537521362305
2016-06-14,33.26183319091797
2016-06-15,32.91204833984375
2016-06-16,33.292938232421875
2016-06-17,33.3084716796875
2016-06-20,33.23074722290039
2016-06-21,33.30071258544922
2016-06-22,33.168556213378906
2016-06-23,33.19187927246094
2016-06-24,33.65827941894531
2016-06-27,33.9847526550293
2016-06-28,34.00807571411133
2016-06-29,34.08580780029297
2016-06-30,34.808719635009766
2016-07-01,34.808719635009766
2016-07-05,35.18961715698242
2016-07-06,35.23625183105469
2016-07-07,34.45115661621094
2016-07-08,34.661033630371094
2016-07-11,34.5211067199707
2016-07-12,33.81373977661133
2016-07-13,34.163536071777344
2016-07-14,33.89925765991211
2016-07-15,34.00807571411133
2016-07-18,34.08580780029297
2016-07-19,34.03916549682617
2016-07-20,33.89925765991211
2016-07-21,34.109134674072266
2016-07-22,34.45115661621094
2016-07-25,34.38896179199219
2016-07-26,34.03916549682617
2016-07-27,33.81373977661133
2016-07-28,34.015846252441406
2016-07-29,34.18685531616211
2016-08-01,34.15576934814453
2016-08-02,33.9847526550293
2016-08-03,33.5494499206543
2016-08-04,33.666053771972656
2016-08-05,33.168556213378906
2016-08-08,33.09083557128906
2016-08-09,33.15300750732422
2016-08-10,33.184112548828125
2016-08-11,33.19966125488281
2016-08-12,33.269622802734375
2016-08-15,32.74103546142578
2016-08-16,32.367916107177734
2016-08-17,32.90427017211914
2016-08-18,33.393985748291016
2016-08-19,32.97423553466797
2016-08-22,33.09860610961914
2016-08-23,32.795448303222656
2016-08-24,32.803218841552734
2016-08-25,32.86539840698242
2016-08-26,32.173580169677734
2016-08-29,32.414554595947266
2016-08-30,32.01811599731445
2016-08-31,32.1502685546875
2016-09-01,32.08030319213867
2016-09-02,32.422332763671875
2016-09-06,32.803218841552734
2016-09-07,32.94314193725586
2016-09-08,32.93536376953125
2016-09-09,31.69942283630371
2016-09-12,32.196895599365234
2016-09-13,31.820697784423828
2016-09-14,31.94611167907715
2016-09-15,32.02447509765625
2016-09-16,32.29094314575195
2016-09-19,32.66716003417969
2016-09-20,32.5417594909668
2016-09-21,33.34903335571289
2016-09-22,33.62335205078125
2016-09-23,33.75659942626953
2016-09-26,33.78010559082031
2016-09-27,33.20795440673828
2016-09-28,33.113895416259766
2016-09-29,32.7690544128418
2016-09-30,32.24393081665039
2016-10-03,31.805023193359375
2016-10-04,31.02910041809082
2016-10-05,30.966400146484375
2016-10-06,31.052608489990234
2016-10-07,31.044771194458008
2016-10-10,31.26421546936035
2016-10-11,30.919374465942383
2016-10-12,31.130996704101562
2016-10-13,31.61691665649414
2016-10-14,31.389636993408203
2016-10-17,31.61691665649414
2016-10-18,31.773672103881836
2016-10-19,31.60123634338379
2016-10-20,31.656108856201172
2016-10-21,31.311243057250977
2016-10-24,31.507192611694336
2016-10-25,31.726638793945312
2016-10-26,31.820697784423828
2016-10-27,31.695293426513672
2016-10-28,31.883399963378906
2016-10-31,32.565277099609375
2016-11-01,32.02447509765625
2016-11-02,31.710969924926758
2016-11-03,31.836380004882812
2016-11-04,31.63259506225586
2016-11-07,32.25176239013672
2016-11-08,32.5417594909668
2016-11-09,31.021268844604492
2016-11-10,30.315881729125977
2016-11-11,30.441274642944336
2016-11-14,30.18263816833496
2016-11-15,30.762619018554688
2016-11-16,30.574506759643555
2016-11-17,30.566669464111328
2016-11-18,30.464786529541016
2016-11-21,30.83315658569336
2016-11-22,30.793970108032227
2016-11-23,30.386423110961914
2016-11-25,30.97423553466797
2016-11-28,31.60123634338379
2016-11-29,31.734487533569336
2016-11-30,30.574506759643555
2016-12-01,30.206146240234375
2016-12-02,30.3629093170166
2016-12-05,30.4020938873291
2016-12-06,30.386423110961914
2016-12-07,30.84099769592285
2016-12-08,30.762619018554688
2016-12-09,31.23287582397461
2016-12-12,31.718812942504883
2016-12-13,31.914752960205078
2016-12-14,31.38180160522461
2016-12-15,31.522876739501953
2016-12-16,31.8912410736084
2016-12-19,31.94611167907715
2016-12-20,32.118534088134766
2016-12-21,32.06367111206055
2016-12-22,32.142696380615234
2016-12-23,32.142696380615234
2016-12-27,32.19011688232422
2016-12-28,31.842378616333008
2016-12-29,32.356082916259766
2016-12-30,32.166404724121094
2017-01-03,32.10318374633789
2017-01-04,32.24543380737305
2017-01-05,32.24543380737305
2017-01-06,32.34028625488281
2017-01-09,31.850282669067383
2017-01-10,31.842378616333008
2017-01-11,32.15850830078125
2017-01-12,32.284950256347656
2017-01-13,32.126888275146484
2017-01-17,32.56155776977539
2017-01-18,32.664306640625
2017-01-19,32.31657028198242
2017-01-20,32.45882797241211
2017-01-23,32.25334167480469
2017-01-24,32.237545013427734
2017-01-25,32.22174072265625
2017-01-26,32.33238220214844
2017-01-27,32.18221664428711
2017-01-30,32.19011688232422
2017-01-31,32.656402587890625
2017-02-01,32.111083984375
2017-02-02,32.71173095703125
2017-02-03,32.759159088134766
2017-02-06,32.79867172241211
2017-02-07,32.92512512207031
2017-02-08,33.24126052856445
2017-02-09,33.004146575927734
2017-02-10,33.14640808105469
2017-02-13,33.2175407409668
2017-02-14,32.972537994384766
2017-02-15,32.88560485839844
2017-02-16,33.106895446777344
2017-02-17,33.19382095336914
2017-02-21,33.533687591552734
2017-02-22,33.58109664916992
2017-02-23,33.94465637207031
2017-02-24,34.25288391113281
2017-02-27,34.22917556762695
2017-02-28,34.5452995300293
2017-03-01,34.37932586669922
2017-03-02,34.65594482421875
2017-03-03,34.553192138671875
2017-03-06,34.474178314208984
2017-03-07,34.632232666015625
2017-03-08,34.02367401123047
2017-03-09,34.03949737548828
2017-03-10,34.37932586669922
2017-03-13,34.4510498046875
2017-03-14,34.46699523925781
2017-03-15,35.104522705078125
2017-03-16,34.7299690246582
2017-03-17,34.94514083862305
2017-03-20,34.73794937133789
2017-03-21,35.35158157348633
2017-03-22,35.47111892700195
2017-03-23,35.52690887451172
2017-03-24,35.678314208984375
2017-03-27,35.678314208984375
2017-03-28,35.80582046508789
2017-03-29,35.439247131347656
2017-03-30,35.31172561645508
2017-03-31,35.423301696777344
2017-04-03,35.383460998535156
2017-04-04,35.47111892700195
2017-04-05,35.71816635131836
2017-04-06,35.53487777709961
2017-04-07,35.383460998535156
2017-04-10,35.52690887451172
2017-04-11,35.52690887451172
2017-04-12,35.78190994262695
2017-04-13,35.71816635131836
2017-04-17,35.925357818603516
2017-04-18,35.94130325317383
2017-04-19,35.70222854614258
2017-04-20,35.58268356323242
2017-04-21,35.726131439208984
2017-04-24,35.87754440307617
2017-04-25,35.86957550048828
2017-04-26,35.73409652709961
2017-04-27,35.965206146240234
2017-04-28,35.901451110839844
2017-05-01,35.70222854614258
2017-05-02,35.71019744873047
2017-05-03,35.630496978759766
2017-05-04,35.797855377197266
2017-05-05,35.901451110839844
2017-05-08,35.965206146240234
2017-05-09,35.678314208984375
2017-05-10,35.7739372253418
2017-05-11,35.98114776611328
2017-05-12,36.323822021484375
2017-05-15,36.507118225097656
2017-05-16,36.31586456298828
2017-05-17,36.34771728515625
2017-05-18,36.371639251708984
2017-05-19,36.538997650146484
2017-05-22,36.89760208129883
2017-05-23,37.064964294433594
2017-05-24,37.27216720581055
2017-05-25,37.66266632080078
2017-05-26,37.69452667236328
2017-05-30,37.91767883300781
2017-05-31,38.1806640625
2017-06-01,38.355987548828125
2017-06-02,38.507389068603516
2017-06-05,38.12487030029297
2017-06-06,37.88579559326172
2017-06-07,38.17268371582031
2017-06-08,37.72640609741211
2017-06-09,37.734378814697266
2017-06-12,37.59889602661133
2017-06-13,37.7996711730957
2017-06-14,38.040592193603516
2017-06-15,38.21725845336914
2017-06-16,38.37786102294922
2017-06-19,38.21725845336914
2017-06-20,38.28953552246094
2017-06-21,38.18513107299805
2017-06-22,38.01648712158203
2017-06-23,37.84785079956055
2017-06-26,38.04861068725586
2017-06-27,37.75148010253906
2017-06-28,37.31783676147461
2017-06-29,36.90827560424805
2017-06-30,36.84403991699219
2017-07-03,36.5950927734375
2017-07-05,36.56296920776367
2017-07-06,36.5950927734375
2017-07-07,36.69145584106445
2017-07-10,36.58705520629883
2017-07-11,36.57099914550781
2017-07-12,36.85205841064453
2017-07-13,36.67539596557617
2017-07-14,36.87615203857422
2017-07-17,37.03676986694336
2017-07-18,37.261619567871094
2017-07-19,37.43830108642578
2017-07-20,37.84785079956055
2017-07-21,38.08073806762695
2017-07-24,37.66315841674805
2017-07-25,37.50254440307617
2017-07-26,37.96027374267578
2017-07-27,38.273468017578125
2017-07-28,37.871944427490234
2017-07-31,37.99239730834961
2017-08-01,38.20119094848633
2017-08-02,38.313629150390625
2017-08-03,38.63484191894531
2017-08-04,38.52241516113281
2017-08-07,38.707115173339844
2017-08-08,38.89984130859375
2017-08-09,38.76332473754883
2017-08-10,39.060447692871094
2017-08-11,38.69907760620117
2017-08-14,38.89182662963867
2017-08-15,39.13272476196289
2017-08-16,39.30137634277344
2017-08-17,39.08454132080078
2017-08-18,39.34954833984375
2017-08-21,39.5181999206543
2017-08-22,39.453948974609375
2017-08-23,39.64667892456055
2017-08-24,39.63062286376953
2017-08-25,39.64667892456055
2017-08-28,39.783203125
2017-08-29,39.7510871887207
2017-08-30,39.73501968383789
