,FITB
2018-08-31,23.058391571044922
2018-09-04,23.30127716064453
2018-09-05,23.254270553588867
2018-09-06,23.113237380981445
2018-09-07,23.105403900146484
2018-09-10,23.050554275512695
2018-09-11,23.027055740356445
2018-09-12,22.619632720947266
2018-09-13,22.54128074645996
2018-09-14,22.73716163635254
2018-09-17,22.502107620239258
2018-09-18,22.603961944580078
2018-09-19,23.128910064697266
2018-09-20,23.340450286865234
2018-09-21,23.113237380981445
2018-09-24,22.729324340820312
2018-09-25,22.7058162689209
2018-09-26,22.290565490722656
2018-09-27,22.030363082885742
2018-09-28,22.014591217041016
2018-10-01,21.91996955871582
2018-10-02,22.022478103637695
2018-10-03,22.464031219482422
2018-10-04,22.471914291381836
2018-10-05,22.290565490722656
2018-10-08,22.605958938598633
2018-10-09,22.44037437438965
2018-10-10,22.04613494873047
2018-10-11,21.470537185668945
2018-10-12,21.16302490234375
2018-10-15,21.060518264770508
2018-10-16,21.16302490234375
2018-10-17,21.312843322753906
2018-10-18,20.823972702026367
2018-10-19,20.760892868041992
2018-10-22,20.01183319091797
2018-10-23,20.500694274902344
2018-10-24,19.688549041748047
2018-10-25,20.398195266723633
2018-10-26,20.390308380126953
2018-10-29,20.997440338134766
2018-10-30,21.178794860839844
2018-10-31,21.281301498413086
2018-11-01,21.368030548095703
2018-11-02,21.573040008544922
2018-11-05,21.738624572753906
2018-11-06,22.061899185180664
2018-11-07,21.888431549072266
2018-11-08,21.872663497924805
2018-11-09,22.04613494873047
2018-11-12,21.7938175201416
2018-11-13,21.83323860168457
2018-11-14,21.360151290893555
2018-11-15,21.76227569580078
2018-11-16,21.596694946289062
2018-11-19,21.58092498779297
2018-11-20,21.210330963134766
2018-11-21,21.13149070739746
2018-11-23,21.060518264770508
2018-11-26,21.49418830871582
2018-11-27,21.33649444580078
2018-11-28,21.620349884033203
2018-11-29,21.7149658203125
2018-11-30,22.022478103637695
2018-12-03,21.983057022094727
2018-12-04,20.563770294189453
2018-12-06,20.469154357910156
2018-12-07,20.17741584777832
2018-12-10,19.601818084716797
2018-12-11,19.388925552368164
2018-12-12,19.601818084716797
2018-12-13,19.14449691772461
2018-12-14,18.67140007019043
2018-12-17,18.71870994567871
2018-12-18,18.466394424438477
2018-12-19,17.977529525756836
2018-12-20,18.166772842407227
2018-12-21,17.922340393066406
2018-12-24,17.630599975585938
2018-12-26,18.553129196166992
2018-12-27,18.56101417541504
2018-12-28,18.600811004638672
2018-12-31,18.72815704345703
2019-01-02,19.261430740356445
2019-01-03,19.245508193969727
2019-01-04,19.707149505615234
2019-01-07,19.81857681274414
2019-01-08,19.92205238342285
2019-01-09,19.93796730041504
2019-01-10,19.83449935913086
2019-01-11,19.9459228515625
2019-01-14,20.192665100097656
2019-01-15,20.26429557800293
2019-01-16,20.90104103088379
2019-01-17,21.02042579650879
2019-01-18,21.490028381347656
2019-01-22,21.935741424560547
2019-01-23,21.943706512451172
2019-01-24,22.00737953186035
2019-01-25,22.110851287841797
2019-01-28,22.031259536743164
2019-01-29,21.832271575927734
2019-01-30,21.521860122680664
2019-01-31,21.346757888793945
2019-02-01,21.386554718017578
2019-02-04,21.60145378112793
2019-02-05,21.4024715423584
2019-02-06,21.267162322998047
2019-02-07,21.31492042541504
2019-02-08,21.036348342895508
2019-02-11,21.179615020751953
2019-02-12,21.545740127563477
2019-02-13,21.306961059570312
2019-02-14,21.10798454284668
2019-02-15,21.62533187866211
2019-02-19,21.895950317382812
2019-02-20,22.23023796081543
2019-02-21,22.07900619506836
2019-02-22,22.1506404876709
2019-02-25,22.047170639038086
2019-02-26,21.856151580810547
2019-02-27,22.134721755981445
2019-02-28,21.951663970947266
2019-03-01,21.943706512451172
2019-03-04,21.784513473510742
2019-03-05,21.808395385742188
2019-03-06,21.33880043029785
2019-03-07,21.17165184020996
2019-03-08,21.227367401123047
2019-03-11,21.545740127563477
2019-03-12,22.174524307250977
2019-03-13,22.270029067993164
2019-03-14,22.61228370666504
2019-03-15,22.540645599365234
2019-03-18,22.890857696533203
2019-03-19,22.142683029174805
2019-03-20,21.060218811035156
2019-03-21,20.280216217041016
2019-03-22,19.59571647644043
2019-03-25,19.43653106689453
2019-03-26,19.882253646850586
2019-03-27,19.85837745666504
2019-03-28,20.396390914916992
2019-03-29,20.251850128173828
2019-04-01,21.078941345214844
2019-04-02,21.054851531982422
2019-04-03,21.08698081970215
2019-04-04,21.480451583862305
2019-04-05,21.432268142700195
2019-04-08,21.57680892944336
2019-04-09,21.223487854003906
2019-04-10,21.456357955932617
2019-04-11,21.65711212158203
2019-04-12,22.211185455322266
2019-04-15,21.78558921813965
2019-04-16,22.267393112182617
