,ZTS
2015-11-18,44.198081970214844
2015-11-19,43.93577194213867
2015-11-20,44.3292236328125
2015-11-23,43.99198913574219
2015-11-24,43.963871002197266
2015-11-25,44.0013542175293
2015-11-27,44.10440444946289
2015-11-30,43.74842071533203
2015-12-01,44.03883361816406
2015-12-02,43.439266204833984
2015-12-03,42.34321975708008
2015-12-04,43.523590087890625
2015-12-07,43.008358001708984
2015-12-08,43.03644943237305
2015-12-09,42.35258865356445
2015-12-10,43.18633270263672
2015-12-11,42.93339920043945
2015-12-14,43.645362854003906
2015-12-15,44.0013542175293
2015-12-16,44.11376953125
2015-12-17,43.77650833129883
2015-12-18,43.65473175048828
2015-12-21,44.34797286987305
2015-12-22,44.70395278930664
2015-12-23,44.947509765625
2015-12-24,45.088035583496094
2015-12-28,44.87258529663086
2015-12-29,45.2754020690918
2015-12-30,45.2098274230957
2015-12-31,44.891319274902344
2016-01-04,44.28239059448242
2016-01-05,44.97562789916992
2016-01-06,44.98500061035156
2016-01-07,43.61727523803711
2016-01-08,42.980247497558594
2016-01-11,41.762413024902344
2016-01-12,42.12775802612305
2016-01-13,40.51647186279297
2016-01-14,41.34084701538086
2016-01-15,40.638248443603516
2016-01-19,40.549068450927734
2016-01-20,41.11236572265625
2016-01-21,40.44579315185547
2016-01-22,40.7462272644043
2016-01-25,40.55845642089844
2016-01-26,41.18749237060547
2016-01-27,40.51150894165039
2016-01-28,40.220462799072266
2016-01-29,40.41762924194336
2016-02-01,40.333126068115234
2016-02-02,39.16896438598633
2016-02-03,38.784019470214844
2016-02-04,38.99996566772461
2016-02-05,38.40847396850586
2016-02-08,37.73250198364258
2016-02-09,37.42267990112305
2016-02-10,36.92509460449219
2016-02-11,36.9532585144043
2016-02-12,37.957828521728516
2016-02-16,37.957828521728516
2016-02-17,39.24406051635742
2016-02-18,39.45061492919922
2016-02-19,39.272220611572266
2016-02-22,40.15474319458008
2016-02-23,39.77919387817383
2016-02-24,39.77919387817383
2016-02-25,40.27680206298828
2016-02-26,39.769805908203125
2016-02-29,38.54930877685547
2016-03-01,39.52571487426758
2016-03-02,39.16896438598633
2016-03-03,38.56808090209961
2016-03-04,38.30520248413086
2016-03-07,38.68074035644531
2016-03-08,37.77005386352539
2016-03-09,37.98598861694336
2016-03-10,37.469627380371094
2016-03-11,39.30976867675781
2016-03-14,38.784019470214844
2016-03-15,38.2300910949707
2016-03-16,37.98598861694336
2016-03-17,37.29124069213867
2016-03-18,38.361534118652344
2016-03-21,39.07505798339844
2016-03-22,40.1359748840332
2016-03-23,40.032684326171875
2016-03-24,39.882469177246094
2016-03-28,39.60082244873047
2016-03-29,40.48332595825195
2016-03-30,41.32831573486328
2016-03-31,41.61934280395508
2016-04-01,42.23899841308594
2016-04-04,42.9619140625
2016-04-05,43.13595962524414
2016-04-06,44.4719123840332
2016-04-07,44.396629333496094
2016-04-08,44.16144561767578
2016-04-11,43.90742111206055
2016-04-12,44.227291107177734
2016-04-13,44.688297271728516
2016-04-14,44.84821701049805
2016-04-15,45.26218032836914
2016-04-18,45.6949577331543
2016-04-19,45.685546875
2016-04-20,45.60087203979492
2016-04-21,45.572635650634766
2016-04-22,45.760807037353516
2016-04-25,44.518951416015625
2016-04-26,44.791786193847656
2016-04-27,44.650657653808594
2016-04-28,44.396629333496094
2016-04-29,44.24612045288086
2016-05-02,45.18690872192383
2016-05-03,45.29981231689453
2016-05-04,44.26492691040039
2016-05-05,45.384490966796875
2016-05-06,44.537757873535156
2016-05-09,44.688297271728516
2016-05-10,43.80393600463867
2016-05-11,43.27707290649414
2016-05-12,43.51227951049805
2016-05-13,43.64399719238281
2016-05-16,44.001495361328125
2016-05-17,43.74748229980469
2016-05-18,44.180240631103516
2016-05-19,43.681617736816406
2016-05-20,44.27433395385742
2016-05-23,43.653404235839844
2016-05-24,44.49073028564453
2016-05-25,44.21788787841797
2016-05-26,44.52835464477539
2016-05-27,44.38723373413086
2016-05-31,44.6130256652832
2016-06-01,45.01757049560547
2016-06-02,45.281002044677734
2016-06-03,45.092838287353516
2016-06-06,45.54441833496094
2016-06-07,45.487979888916016
2016-06-08,45.582069396972656
2016-06-09,45.290428161621094
2016-06-10,44.58481979370117
2016-06-13,43.45583724975586
2016-06-14,44.396629333496094
2016-06-15,44.42487335205078
2016-06-16,44.462493896484375
2016-06-17,43.691036224365234
2016-06-20,44.13321304321289
2016-06-21,44.49073028564453
2016-06-22,44.52835464477539
2016-06-23,45.06461715698242
2016-06-24,43.756893157958984
2016-06-27,42.731414794921875
2016-06-28,43.763755798339844
2016-06-29,44.53683090209961
2016-06-30,44.74424743652344
2016-07-01,44.734825134277344
2016-07-05,44.781959533691406
2016-07-06,45.338191986083984
2016-07-07,44.96106719970703
2016-07-08,45.724735260009766
2016-07-11,45.52675247192383
2016-07-12,46.07356262207031
2016-07-13,46.375240325927734
2016-07-14,47.12004852294922
2016-07-15,46.837215423583984
2016-07-18,46.87492370605469
2016-07-19,46.544952392578125
2016-07-20,47.37459182739258
2016-07-21,47.27089309692383
2016-07-22,47.3840217590332
2016-07-25,47.129478454589844
2016-07-26,47.0634765625
2016-07-27,46.997474670410156
2016-07-28,47.19548416137695
2016-07-29,47.58200454711914
2016-08-01,47.51601791381836
2016-08-02,46.87492370605469
2016-08-03,48.279659271240234
2016-08-04,48.468223571777344
2016-08-05,48.166526794433594
2016-08-08,47.89311981201172
2016-08-09,48.01567840576172
2016-08-10,48.845340728759766
2016-08-11,49.09044647216797
2016-08-12,49.005611419677734
2016-08-15,49.38273239135742
2016-08-16,49.10929870605469
2016-08-17,49.30729293823242
2016-08-18,49.2978515625
2016-08-19,49.5335693359375
2016-08-22,48.29851531982422
2016-08-23,48.3173828125
2016-08-24,47.73284912109375
2016-08-25,47.58200454711914
2016-08-26,47.85541534423828
2016-08-29,47.85541534423828
2016-08-30,47.84599304199219
2016-08-31,48.175960540771484
2016-09-01,48.185386657714844
2016-09-02,48.32680130004883
2016-09-06,48.35508728027344
2016-09-07,49.06216812133789
2016-09-08,48.468223571777344
2016-09-09,47.50658416748047
2016-09-12,48.22309494018555
2016-09-13,47.440589904785156
2016-09-14,47.65742492675781
2016-09-15,47.817691802978516
2016-09-16,47.619720458984375
2016-09-19,47.440589904785156
2016-09-20,47.70457077026367
2016-09-21,48.13825225830078
2016-09-22,48.675628662109375
2016-09-23,48.562496185302734
2016-09-26,48.279659271240234
2016-09-27,48.90189743041992
2016-09-28,48.78877639770508
2016-09-29,48.10054397583008
2016-09-30,49.03387451171875
2016-10-03,49.363853454589844
2016-10-04,49.31671905517578
2016-10-05,49.194156646728516
2016-10-06,48.694480895996094
2016-10-07,48.88302993774414
2016-10-10,49.67497634887695
2016-10-11,48.043968200683594
2016-10-12,48.4776611328125
2016-10-13,48.10054397583008
2016-10-14,47.30860137939453
2016-10-17,47.16717529296875
2016-10-18,48.13825225830078
2016-10-19,48.185386657714844
2016-10-20,48.36450958251953
2016-10-21,48.02510452270508
2016-10-24,48.10996627807617
2016-10-25,47.129478454589844
2016-10-26,45.979286193847656
2016-10-27,45.979286193847656
2016-10-28,45.78130340576172
2016-10-31,45.06480026245117
2016-11-01,44.63496398925781
2016-11-02,47.336692810058594
2016-11-03,46.24087905883789
2016-11-04,47.17609786987305
2016-11-07,47.21388244628906
2016-11-08,47.54451370239258
2016-11-09,48.17742919921875
2016-11-10,48.26244354248047
2016-11-11,47.80902099609375
2016-11-14,46.250328063964844
2016-11-15,46.42982482910156
2016-11-16,46.136966705322266
2016-11-17,46.48649978637695
2016-11-18,47.128868103027344
2016-11-21,47.23276901245117
2016-11-22,46.88324737548828
2016-11-23,47.40280532836914
2016-11-25,47.40280532836914
2016-11-28,47.37446975708008
2016-11-29,47.65787124633789
2016-11-30,47.59174728393555
2016-12-01,46.43925857543945
2016-12-02,46.38259506225586
2016-12-05,47.062740325927734
2016-12-06,47.44059753417969
2016-12-07,48.42304229736328
2016-12-08,48.819793701171875
