,WST
2019-10-29,141.77276611328125
2019-10-30,142.84031677246094
2019-10-31,142.1781005859375
2019-11-01,145.43991088867188
2019-11-04,146.032958984375
2019-11-05,145.2125701904297
2019-11-06,145.64749145507812
2019-11-07,146.08245849609375
2019-11-08,146.02310180664062
2019-11-11,145.64749145507812
2019-11-12,145.85507202148438
2019-11-13,146.49758911132812
2019-11-14,146.97203063964844
2019-11-15,148.41514587402344
2019-11-18,147.40692138671875
2019-11-19,147.99012756347656
2019-11-20,147.87152099609375
2019-11-21,145.64749145507812
2019-11-22,144.70846557617188
2019-11-25,144.49099731445312
2019-11-26,146.4283905029297
2019-11-27,148.5041046142578
2019-11-29,145.33116149902344
2019-12-02,147.70346069335938
2019-12-03,145.65737915039062
2019-12-04,145.87486267089844
2019-12-05,145.6672821044922
2019-12-06,145.76614379882812
2019-12-09,143.05776977539062
2019-12-10,143.6804656982422
2019-12-11,144.97535705566406
2019-12-12,144.71836853027344
2019-12-13,144.67881774902344
2019-12-16,145.5486602783203
2019-12-17,146.67552185058594
2019-12-18,147.57498168945312
2019-12-19,147.7133331298828
2019-12-20,149.09719848632812
2019-12-23,149.46290588378906
2019-12-24,148.98843383789062
2019-12-26,149.02798461914062
2019-12-27,149.06753540039062
2019-12-30,149.06753540039062
2019-12-31,148.59307861328125
2020-01-02,149.98680114746094
2020-01-03,150.38214111328125
2020-01-06,150.4612274169922
2020-01-07,150.07574462890625
2020-01-08,148.04942321777344
2020-01-09,149.7100067138672
2020-01-10,150.8665008544922
2020-01-13,154.1382293701172
2020-01-14,154.681884765625
2020-01-15,155.373779296875
2020-01-16,156.53024291992188
2020-01-17,155.76914978027344
2020-01-21,155.9473114013672
2020-01-22,155.5614013671875
2020-01-23,154.89849853515625
2020-01-24,154.10693359375
2020-01-27,153.8496551513672
2020-01-28,155.6702423095703
2020-01-29,156.44203186035156
2020-01-30,156.28367614746094
2020-01-31,154.30477905273438
2020-02-03,156.6201171875
2020-02-04,157.26329040527344
2020-02-05,157.88662719726562
2020-02-06,158.68804931640625
2020-02-07,157.41171264648438
2020-02-10,158.37144470214844
2020-02-11,160.4888458251953
2020-02-12,160.4888458251953
2020-02-13,172.5403594970703
2020-02-14,172.72837829589844
2020-02-18,171.39259338378906
2020-02-19,172.91635131835938
2020-02-20,169.85897827148438
2020-02-21,168.36488342285156
2020-02-24,165.12937927246094
2020-02-25,160.85494995117188
2020-02-26,156.62998962402344
2020-02-27,153.1768035888672
2020-02-28,148.97169494628906
2020-03-02,154.83909606933594
2020-03-03,152.35556030273438
2020-03-04,157.2236328125
2020-03-05,151.86085510253906
2020-03-06,148.3680877685547
2020-03-09,138.32521057128906
2020-03-10,142.0257568359375
2020-03-11,146.2704620361328
2020-03-12,141.25393676757812
2020-03-13,144.568603515625
2020-03-16,129.0936279296875
2020-03-17,141.58045959472656
2020-03-18,141.9762420654297
2020-03-19,137.81065368652344
2020-03-20,129.27169799804688
2020-03-23,127.59954833984375
2020-03-24,134.0507354736328
2020-03-25,133.88253784179688
2020-03-26,144.88522338867188
2020-03-27,139.59169006347656
2020-03-30,150.20846557617188
2020-03-31,150.64381408691406
2020-04-01,148.2196502685547
2020-04-02,154.03762817382812
2020-04-03,149.7533416748047
2020-04-06,159.59835815429688
2020-04-07,156.4716796875
2020-04-08,163.05152893066406
2020-04-09,161.21116638183594
2020-04-13,158.19337463378906
2020-04-14,165.3272705078125
2020-04-15,163.2692108154297
2020-04-16,165.81210327148438
2020-04-17,168.18678283691406
2020-04-20,168.57266235351562
2020-04-21,163.6108856201172
2020-04-22,168.48353576660156
2020-04-23,185.6171417236328
2020-04-24,193.65899658203125
2020-04-27,195.9368896484375
2020-04-28,191.16326904296875
2020-04-29,187.7761993408203
2020-04-30,187.4394073486328
2020-05-01,189.79652404785156
2020-05-04,186.50848388671875
2020-05-05,192.92613220214844
2020-05-06,195.12478637695312
2020-05-07,196.0656280517578
2020-05-08,198.08602905273438
2020-05-11,208.2275390625
2020-05-12,203.69155883789062
2020-05-13,201.9088592529297
2020-05-14,208.32656860351562
2020-05-15,212.1098175048828
2020-05-18,216.29910278320312
2020-05-19,209.53482055664062
2020-05-20,208.0690460205078
2020-05-21,208.9900665283203
2020-05-22,209.4060821533203
2020-05-26,203.9688720703125
2020-05-27,199.35369873046875
2020-05-28,204.04808044433594
2020-05-29,213.96185302734375
2020-06-01,210.09934997558594
2020-06-02,209.28721618652344
2020-06-03,207.35597229003906
2020-06-04,203.41424560546875
2020-06-05,203.75099182128906
2020-06-08,205.6624298095703
2020-06-09,204.3055877685547
2020-06-10,210.82228088378906
2020-06-11,201.8098602294922
2020-06-12,198.79910278320312
