,EVRG
2017-08-10,38.81418228149414
2017-08-11,38.73821258544922
2017-08-14,38.77620315551758
2017-08-15,39.102882385253906
2017-08-16,39.18645477294922
2017-08-17,38.669837951660156
2017-08-18,38.761016845703125
2017-08-21,38.78379440307617
2017-08-22,39.026893615722656
2017-08-23,39.140865325927734
2017-08-24,39.12567901611328
2017-08-25,39.277610778808594
2017-08-28,39.383968353271484
2017-08-29,39.148460388183594
2017-08-30,38.9509391784668
2017-08-31,38.9813232421875
2017-09-01,38.8217887878418
2017-09-05,38.47990798950195
2017-09-06,38.312767028808594
2017-09-07,38.6956787109375
2017-09-08,38.94837951660156
2017-09-11,39.270023345947266
2017-09-12,39.04026794433594
2017-09-13,38.7186393737793
2017-09-14,38.80287170410156
2017-09-15,39.10920333862305
2017-09-18,38.619075775146484
2017-09-19,38.73395538330078
2017-09-20,38.45060729980469
2017-09-21,38.38167953491211
2017-09-22,38.052398681640625
2017-09-25,38.36637496948242
2017-09-26,38.174922943115234
2017-09-27,38.03707504272461
2017-09-28,38.18258285522461
2017-09-29,37.983482360839844
2017-10-02,38.56548309326172
2017-10-03,38.5501708984375
2017-10-04,38.81819534301758
2017-10-05,38.77223587036133
2017-10-06,38.6343994140625
2017-10-09,39.04793167114258
2017-10-10,39.270023345947266
2017-10-11,39.89030456542969
2017-10-12,40.03580856323242
2017-10-13,39.86733627319336
2017-10-16,39.920936584472656
2017-10-17,40.25788879394531
2017-10-18,40.2502326965332
2017-10-19,40.541229248046875
2017-10-20,40.579524993896484
2017-10-23,40.50294494628906
2017-10-24,40.533573150634766
2017-10-25,40.3880729675293
2017-10-26,40.449344635009766
2017-10-27,40.87051773071289
2017-10-30,40.916473388671875
2017-10-31,40.95477294921875
2017-11-01,40.47230529785156
2017-11-02,40.824581146240234
2017-11-03,41.35298156738281
2017-11-06,41.35298156738281
2017-11-07,41.80480194091797
2017-11-08,41.873722076416016
2017-11-09,41.751190185546875
2017-11-10,41.176841735839844
2017-11-13,41.90435028076172
2017-11-14,42.49401092529297
2017-11-15,42.42510223388672
2017-11-16,42.78501510620117
2017-11-17,42.440406799316406
2017-11-20,42.42510223388672
2017-11-21,42.593563079833984
2017-11-22,42.915199279785156
2017-11-24,43.0070915222168
2017-11-27,42.938167572021484
2017-11-28,43.275123596191406
2017-11-29,43.10664749145508
2017-11-30,43.811187744140625
2017-12-01,43.5584831237793
2017-12-04,43.29810333251953
2017-12-05,43.183231353759766
2017-12-06,43.25979995727539
2017-12-07,43.50661087036133
2017-12-08,43.776546478271484
2017-12-11,43.76884841918945
2017-12-12,42.92044448852539
2017-12-13,42.689083099365234
2017-12-14,42.411434173583984
2017-12-15,42.4808464050293
2017-12-18,41.917816162109375
2017-12-19,41.23912048339844
2017-12-20,40.98460006713867
2017-12-21,40.32131576538086
2017-12-22,40.70693588256836
2017-12-26,40.46786117553711
2017-12-27,40.5681266784668
2017-12-28,40.67609786987305
2017-12-29,40.722373962402344
2018-01-02,40.98460006713867
2018-01-03,40.352176666259766
2018-01-04,40.1824951171875
2018-01-05,39.843143463134766
2018-01-08,39.8894157409668
2018-01-09,40.298187255859375
2018-01-10,39.3341064453125
2018-01-11,39.0796012878418
2018-01-12,38.78652572631836
2018-01-16,39.21071243286133
2018-01-17,39.750587463378906
2018-01-18,39.395809173583984
2018-01-19,39.2955436706543
2018-01-22,39.19528579711914
2018-01-23,39.68890380859375
2018-01-24,39.48065185546875
2018-01-25,39.81228256225586
2018-01-26,39.60404586791992
2018-01-29,38.91762924194336
2018-01-30,39.326393127441406
2018-01-31,39.843143463134766
2018-02-01,38.79423904418945
2018-02-02,38.5242919921875
2018-02-05,37.791603088378906
2018-02-06,37.52936553955078
2018-02-07,37.64506912231445
2018-02-08,37.54480743408203
