,ZBH
2017-05-03,109.34614562988281
2017-05-04,106.9839859008789
2017-05-05,106.70014190673828
2017-05-08,107.03890991210938
2017-05-09,108.64114379882812
2017-05-10,109.40108489990234
2017-05-11,110.8019027709961
2017-05-12,111.0216293334961
2017-05-15,112.00130462646484
2017-05-16,109.66659545898438
2017-05-17,107.78050994873047
2017-05-18,107.35936737060547
2017-05-19,107.73474884033203
2017-05-22,107.84461212158203
2017-05-23,107.86293029785156
2017-05-24,109.04399871826172
2017-05-25,109.22711181640625
2017-05-26,109.16303253173828
2017-05-30,108.43058013916016
2017-05-31,109.14470672607422
2017-06-01,112.31256866455078
2017-06-02,113.47535705566406
2017-06-05,113.46619415283203
2017-06-06,113.68592071533203
2017-06-07,113.85074615478516
2017-06-08,114.60149383544922
2017-06-09,114.45498657226562
2017-06-12,114.44583892822266
2017-06-13,114.87617492675781
2017-06-14,114.99516296386719
2017-06-15,115.21493530273438
2017-06-16,115.28816986083984
2017-06-19,116.35938262939453
2017-06-20,116.47840881347656
2017-06-21,117.89104461669922
2017-06-22,118.68909454345703
2017-06-23,118.41390228271484
2017-06-26,118.38639068603516
2017-06-27,117.64336395263672
2017-06-28,117.8818588256836
2017-06-29,117.31314849853516
2017-06-30,117.78096008300781
2017-07-03,117.76260375976562
2017-07-05,117.20306396484375
2017-07-06,115.24004364013672
2017-07-07,116.5976333618164
2017-07-10,116.8636703491211
2017-07-11,116.02891540527344
2017-07-12,115.9096908569336
2017-07-13,118.31299591064453
2017-07-14,121.53272247314453
2017-07-17,121.64278411865234
2017-07-18,120.33106994628906
2017-07-19,120.23015594482422
2017-07-20,118.7624740600586
2017-07-21,118.89089965820312
2017-07-24,118.13871765136719
2017-07-25,118.1203384399414
2017-07-26,118.05615234375
2017-07-27,115.06578826904297
2017-07-28,113.54304504394531
2017-07-31,111.2864990234375
2017-08-01,110.36921691894531
2017-08-02,107.95671081542969
2017-08-03,107.4705581665039
2017-08-04,108.1768569946289
2017-08-07,107.4980697631836
2017-08-08,105.52587890625
2017-08-09,103.52615356445312
2017-08-10,101.02196502685547
2017-08-11,102.46210479736328
2017-08-14,103.2051010131836
2017-08-15,103.62706756591797
2017-08-16,103.72798156738281
2017-08-17,103.12255859375
2017-08-18,102.16857147216797
2017-08-21,103.44359588623047
2017-08-22,104.5351791381836
2017-08-23,102.99412536621094
2017-08-24,103.5169906616211
2017-08-25,103.82887268066406
2017-08-28,103.55370330810547
2017-08-29,103.48945617675781
2017-08-30,103.66375732421875
2017-08-31,104.81956481933594
2017-09-01,104.87459564208984
2017-09-05,104.79203033447266
2017-09-06,106.06709289550781
2017-09-07,106.1037826538086
2017-09-08,106.13130187988281
2017-09-11,106.22300720214844
2017-09-12,106.8009262084961
2017-09-13,106.3055648803711
2017-09-14,106.39732360839844
2017-09-15,105.9203109741211
2017-09-18,106.68167114257812
2017-09-19,105.92948150634766
2017-09-20,106.60829162597656
2017-09-21,103.92423248291016
2017-09-22,105.15596008300781
2017-09-25,105.12838745117188
2017-09-26,105.47769165039062
2017-09-27,106.8564682006836
2017-09-28,106.31412506103516
2017-09-29,107.62860107421875
2017-10-02,108.18930053710938
2017-10-03,106.76454162597656
2017-10-04,108.03305053710938
2017-10-05,109.53132629394531
2017-10-06,109.6324462890625
2017-10-09,108.02383422851562
2017-10-10,108.84193420410156
2017-10-11,109.05337524414062
2017-10-12,110.88255310058594
2017-10-13,110.02772521972656
2017-10-16,109.85305786132812
2017-10-17,110.23908996582031
2017-10-18,110.93769073486328
2017-10-19,112.03153991699219
2017-10-20,112.46355438232422
2017-10-23,111.86607360839844
2017-10-24,111.41567993164062
2017-10-25,111.64546203613281
2017-10-26,111.2226333618164
2017-10-27,114.40306091308594
2017-10-30,111.54435729980469
2017-10-31,111.79253387451172
2017-11-01,105.7901840209961
2017-11-02,103.24406433105469
2017-11-03,100.42210388183594
2017-11-06,100.50484466552734
2017-11-07,99.93492126464844
2017-11-08,100.34856414794922
2017-11-09,102.80281829833984
2017-11-10,101.80088806152344
2017-11-13,102.08584594726562
2017-11-14,103.14290618896484
2017-11-15,102.10423278808594
2017-11-16,103.17047882080078
2017-11-17,102.59138488769531
2017-11-20,103.11532592773438
2017-11-21,104.38382720947266
2017-11-22,103.93343353271484
2017-11-24,103.93343353271484
2017-11-27,104.22756958007812
2017-11-28,105.90049743652344
2017-11-29,107.10466766357422
2017-11-30,107.6377944946289
2017-12-01,105.31221008300781
2017-12-04,105.54200744628906
