,MA
2018-10-26,190.9813690185547
2018-10-29,184.743896484375
2018-10-30,181.5430450439453
2018-10-31,191.1554412841797
2018-11-01,193.12820434570312
2018-11-02,191.20379638671875
2018-11-05,191.4552001953125
2018-11-06,192.58660888671875
2018-11-07,201.37709045410156
2018-11-08,201.9766387939453
2018-11-09,198.84336853027344
2018-11-12,192.57696533203125
2018-11-13,191.63893127441406
2018-11-14,191.06838989257812
2018-11-15,194.09521484375
2018-11-16,192.48028564453125
2018-11-19,183.04193115234375
2018-11-20,180.8950958251953
2018-11-21,181.47532653808594
2018-11-23,176.58213806152344
2018-11-26,185.5272674560547
2018-11-27,186.61997985839844
2018-11-28,195.61349487304688
2018-11-29,190.1787109375
2018-11-30,194.44338989257812
2018-12-03,202.9436798095703
2018-12-04,193.88247680664062
2018-12-06,196.30010986328125
2018-12-07,190.0240020751953
2018-12-10,191.53257751464844
2018-12-11,191.2230987548828
2018-12-12,193.68907165527344
2018-12-13,192.4029083251953
2018-12-14,188.8925323486328
2018-12-17,184.17340087890625
2018-12-18,185.29513549804688
2018-12-19,180.953125
2018-12-20,176.68849182128906
2018-12-21,169.41629028320312
2018-12-24,168.8940887451172
2018-12-26,180.28585815429688
2018-12-27,182.47140502929688
2018-12-28,180.0247802734375
2018-12-31,182.43270874023438
2019-01-02,183.48680114746094
2019-01-03,175.20889282226562
2019-01-04,183.5061492919922
2019-01-07,184.9180145263672
2019-01-08,186.2645263671875
2019-01-09,189.64535522460938
2019-01-10,190.7884063720703
2019-01-11,189.77125549316406
2019-01-14,189.3159637451172
2019-01-15,190.37188720703125
2019-01-16,191.582763671875
2019-01-17,193.0745849609375
2019-01-18,195.68040466308594
2019-01-22,193.2198944091797
2019-01-23,192.1446075439453
2019-01-24,193.53953552246094
2019-01-25,196.59097290039062
2019-01-28,193.8979949951172
2019-01-29,193.00674438476562
2019-01-30,197.63720703125
2019-01-31,204.52481079101562
2019-02-01,207.0821990966797
2019-02-04,208.1865692138672
2019-02-05,209.10679626464844
2019-02-06,208.56434631347656
2019-02-07,207.2759552001953
2019-02-08,209.80429077148438
2019-02-11,210.30801391601562
2019-02-12,212.06141662597656
2019-02-13,213.64041137695312
2019-02-14,212.93328857421875
2019-02-15,215.16128540039062
2019-02-19,213.6888427734375
2019-02-20,214.1925811767578
2019-02-21,212.4488983154297
2019-02-22,216.3334197998047
2019-02-25,216.3334197998047
2019-02-26,216.99215698242188
2019-02-27,217.5443572998047
2019-02-28,217.7381134033203
2019-03-01,220.14047241210938
2019-03-04,219.21051025390625
2019-03-05,219.14273071289062
2019-03-06,217.44749450683594
2019-03-07,215.451904296875
2019-03-08,214.92877197265625
2019-03-11,218.5808563232422
2019-03-12,219.8401641845703
2019-03-13,221.35137939453125
2019-03-14,222.32977294921875
2019-03-15,223.93783569335938
2019-03-18,223.1822052001953
2019-03-19,223.78285217285156
2019-03-20,222.69789123535156
2019-03-21,228.49081420898438
2019-03-22,223.54066467285156
2019-03-25,223.2113037109375
2019-03-26,225.9915008544922
2019-03-27,225.24557495117188
2019-03-28,227.5124053955078
2019-03-29,228.08395385742188
2019-04-01,231.57131958007812
2019-04-02,231.77474975585938
2019-04-03,231.45506286621094
2019-04-04,228.6748504638672
2019-04-05,229.22703552246094
2019-04-08,229.19793701171875
2019-04-09,228.8487091064453
2019-04-10,229.9642791748047
2019-04-11,228.97483825683594
2019-04-12,231.68130493164062
2019-04-15,231.9917449951172
2019-04-16,232.903564453125
2019-04-17,233.78634643554688
2019-04-18,233.67962646484375
2019-04-22,235.7750244140625
2019-04-23,236.20184326171875
2019-04-24,237.94793701171875
2019-04-25,238.2583770751953
2019-04-26,239.29632568359375
2019-04-29,239.7328338623047
2019-04-30,246.63006591796875
2019-05-01,241.30435180664062
2019-05-02,239.7910614013672
2019-05-03,240.52833557128906
2019-05-06,241.1976318359375
2019-05-07,237.7248077392578
2019-05-08,237.98675537109375
2019-05-09,237.96739196777344
2019-05-10,240.0238494873047
2019-05-13,234.1549835205078
2019-05-14,238.5784912109375
2019-05-15,241.69241333007812
2019-05-16,245.8345489501953
2019-05-17,244.99061584472656
2019-05-20,245.90249633789062
2019-05-21,247.716552734375
2019-05-22,249.21038818359375
2019-05-23,242.25502014160156
2019-05-24,243.95262145996094
2019-05-28,245.84426879882812
2019-05-29,245.9703826904297
2019-05-30,246.58152770996094
2019-05-31,243.96234130859375
2019-06-03,235.00860595703125
2019-06-04,241.72149658203125
2019-06-05,248.58958435058594
2019-06-06,250.11251831054688
2019-06-07,257.84405517578125
2019-06-10,258.13507080078125
2019-06-11,255.76809692382812
2019-06-12,255.952392578125
2019-06-13,253.38172912597656
2019-06-14,252.31463623046875
2019-06-17,251.4416046142578
2019-06-18,251.06326293945312
2019-06-19,252.0915069580078
2019-06-20,258.8043518066406
2019-06-21,256.5538330078125
2019-06-24,257.3591003417969
2019-06-25,251.9557342529297
2019-06-26,253.47874450683594
2019-06-27,253.28475952148438
2019-06-28,256.61199951171875
2019-07-01,258.7849426269531
2019-07-02,262.47125244140625
2019-07-03,264.9060974121094
2019-07-05,263.9942321777344
2019-07-08,263.43096923828125
2019-07-09,265.4803161621094
2019-07-10,267.4615173339844
2019-07-11,270.3170166015625
2019-07-12,271.501953125
2019-07-15,271.3369445800781
2019-07-16,268.6658935546875
2019-07-17,267.3644714355469
2019-07-18,268.8212890625
2019-07-19,267.6752624511719
2019-07-22,270.59869384765625
2019-07-23,270.9483337402344
2019-07-24,272.1916198730469
2019-07-25,271.3175048828125
2019-07-26,273.959228515625
2019-07-29,273.3473205566406
2019-07-30,270.16168212890625
2019-07-31,264.4410095214844
2019-08-01,266.276611328125
2019-08-02,261.7021484375
2019-08-05,249.45468139648438
2019-08-06,257.06927490234375
2019-08-07,261.566162109375
2019-08-08,270.04510498046875
2019-08-09,267.0439758300781
