,SRE
2015-08-18,39.24262619018555
2015-08-19,38.98249816894531
2015-08-20,38.759521484375
2015-08-21,37.88994598388672
2015-08-24,36.69335174560547
2015-08-25,35.89436721801758
2015-08-26,36.02072525024414
2015-08-27,36.358890533447266
2015-08-28,36.180519104003906
2015-08-31,35.24775314331055
2015-09-01,34.27041244506836
2015-09-02,34.18865203857422
2015-09-03,34.7052001953125
2015-09-04,34.426490783691406
2015-09-08,34.541690826416016
2015-09-09,33.99540710449219
2015-09-10,33.478858947753906
2015-09-11,33.56435012817383
2015-09-14,33.56062316894531
2015-09-15,33.761287689208984
2015-09-16,33.98798370361328
2015-09-17,34.53425598144531
2015-09-18,34.34843063354492
2015-09-21,34.58256530761719
2015-09-22,34.56026840209961
2015-09-23,34.4891357421875
2015-09-24,34.72502136230469
2015-09-25,35.174346923828125
2015-09-28,35.20804214477539
2015-09-29,35.36906051635742
2015-09-30,36.21525955200195
2015-10-01,36.09545135498047
2015-10-02,36.200294494628906
2015-10-05,36.829349517822266
2015-10-06,36.57096862792969
2015-10-07,36.61591720581055
2015-10-08,37.31610870361328
2015-10-09,37.33857727050781
2015-10-12,37.56697082519531
2015-10-13,37.64186477661133
2015-10-14,37.21500015258789
2015-10-15,37.70925521850586
2015-10-16,38.04624938964844
2015-10-19,38.13236999511719
2015-10-20,37.990081787109375
2015-10-21,37.87026596069336
2015-10-22,38.38323211669922
2015-10-23,37.993831634521484
2015-10-26,37.98634338378906
2015-10-27,37.821590423583984
2015-10-28,37.784149169921875
2015-10-29,37.93018341064453
2015-10-30,38.3458137512207
2015-11-02,38.33831024169922
2015-11-03,39.10963439941406
2015-11-04,39.510292053222656
2015-11-05,38.986080169677734
2015-11-06,37.78788375854492
2015-11-09,37.574459075927734
2015-11-10,37.93018341064453
2015-11-11,37.997581481933594
2015-11-12,37.25619125366211
2015-11-13,37.016563415527344
2015-11-16,37.997581481933594
2015-11-17,37.48460388183594
2015-11-18,37.85529327392578
2015-11-19,38.06496810913086
2015-11-20,38.25594711303711
2015-11-23,37.847801208496094
2015-11-24,37.54826736450195
2015-11-25,37.13637161254883
2015-11-27,37.30860900878906
2015-11-30,37.155094146728516
2015-12-01,37.46588134765625
2015-12-02,36.836830139160156
2015-12-03,36.305137634277344
2015-12-04,36.57096862792969
2015-12-07,35.57123947143555
2015-12-08,35.20429611206055
2015-12-09,35.10319519042969
2015-12-10,34.642635345458984
2015-12-11,34.178348541259766
2015-12-14,34.410484313964844
2015-12-15,34.747493743896484
2015-12-16,36.03927993774414
2015-12-17,35.92695617675781
2015-12-18,35.35032272338867
2015-12-21,35.260459899902344
2015-12-22,35.166847229003906
2015-12-23,36.4193229675293
2015-12-24,36.223140716552734
2015-12-28,36.23447036743164
2015-12-29,36.15901184082031
2015-12-30,35.78175735473633
2015-12-31,35.46487045288086
2016-01-04,35.15176010131836
2016-01-05,35.57049560546875
2016-01-06,34.70661163330078
2016-01-07,32.82038116455078
2016-01-08,33.133506774902344
2016-01-11,33.83517074584961
2016-01-12,33.552242279052734
2016-01-13,34.04265213012695
2016-01-14,35.061222076416016
2016-01-15,34.70283126831055
2016-01-19,34.89522933959961
2016-01-20,33.97097396850586
2016-01-21,34.344451904296875
2016-01-22,35.3139762878418
2016-01-25,34.7330207824707
2016-01-26,34.789608001708984
2016-01-27,34.453857421875
2016-01-28,35.01973342895508
2016-01-29,35.7440299987793
2016-02-01,36.091102600097656
2016-02-02,36.03451156616211
2016-02-03,36.07979202270508
2016-02-04,35.95529556274414
2016-02-05,35.86096954345703
2016-02-08,35.87606430053711
2016-02-09,36.17787551879883
2016-02-10,36.634334564208984
2016-02-11,35.6308708190918
2016-02-12,35.26116180419922
2016-02-16,35.62709045410156
2016-02-17,36.0269775390625
2016-02-18,36.54756546020508
2016-02-19,36.68715286254883
2016-02-22,37.253021240234375
2016-02-23,37.283203125
2016-02-24,37.30959701538086
2016-02-25,37.31337356567383
2016-02-26,36.04960250854492
2016-02-29,36.407989501953125
2016-03-01,36.43062210083008
2016-03-02,36.75505828857422
2016-03-03,37.18134307861328
2016-03-04,36.91727828979492
2016-03-07,36.743743896484375
2016-03-08,37.09834289550781
2016-03-09,37.29829788208008
2016-03-10,37.060630798339844
2016-03-11,37.52085494995117
2016-03-14,37.75098419189453
2016-03-15,37.80002975463867
2016-03-16,37.95846176147461
2016-03-17,38.87140655517578
2016-03-18,38.943084716796875
2016-03-21,38.818580627441406
2016-03-22,39.044708251953125
2016-03-23,38.698875427246094
2016-03-24,38.97249984741211
2016-03-28,39.044708251953125
2016-03-29,39.580562591552734
2016-03-30,39.3221435546875
2016-03-31,39.542564392089844
2016-04-01,40.25323486328125
2016-04-04,39.95298767089844
2016-04-05,39.17393112182617
2016-04-06,39.21952438354492
2016-04-07,39.27653503417969
2016-04-08,39.61475372314453
2016-04-11,39.2651252746582
2016-04-12,39.55775451660156
2016-04-13,39.51216125488281
2016-04-14,39.48935317993164
2016-04-15,39.7515754699707
2016-04-18,39.70597839355469
2016-04-19,39.60335922241211
2016-04-20,38.92689514160156
2016-04-21,38.18203353881836
2016-04-22,38.43665313720703
2016-04-25,38.49746322631836
2016-04-26,38.4594612121582
2016-04-27,39.09410858154297
2016-04-28,39.17771911621094
2016-04-29,39.27653503417969
2016-05-02,39.86178970336914
2016-05-03,39.86178970336914
2016-05-04,39.93019104003906
2016-05-05,40.07080841064453
2016-05-06,39.812374114990234
2016-05-09,39.76298141479492
2016-05-10,39.77437973022461
2016-05-11,40.036598205566406
2016-05-12,40.0442008972168
2016-05-13,39.67557144165039
2016-05-16,39.755367279052734
2016-05-17,39.51595687866211
2016-05-18,38.88510513305664
2016-05-19,39.13591384887695
2016-05-20,39.3829460144043
2016-05-23,39.07890701293945
2016-05-24,39.648963928222656
2016-05-25,39.74397659301758
2016-05-26,39.81616973876953
2016-05-27,40.036598205566406
2016-05-31,40.70927429199219
2016-06-01,40.58004379272461
2016-06-02,40.561065673828125
2016-06-03,41.598541259765625
2016-06-06,41.43513488769531
2016-06-07,41.3059196472168
2016-06-08,41.63275146484375
2016-06-09,41.80375671386719
2016-06-10,41.52634048461914
2016-06-13,41.57575225830078
2016-06-14,41.83416748046875
2016-06-15,41.4731330871582
2016-06-16,41.57194137573242
2016-06-17,41.67074966430664
2016-06-20,41.54153823852539
2016-06-21,41.970977783203125
2016-06-22,41.62513732910156
2016-06-23,42.214202880859375
2016-06-24,41.93296813964844
2016-06-27,42.332008361816406
2016-06-28,42.257389068603516
2016-06-29,42.57497787475586
2016-06-30,43.62720489501953
2016-07-01,43.424415588378906
2016-07-05,43.46650314331055
2016-07-06,43.81085968017578
2016-07-07,43.25987243652344
2016-07-08,43.66163635253906
2016-07-11,43.730506896972656
2016-07-12,43.32109451293945
2016-07-13,43.67311096191406
2016-07-14,43.25605010986328
2016-07-15,43.21013641357422
2016-07-18,43.21778869628906
2016-07-19,42.972900390625
2016-07-20,42.8504638671875
2016-07-21,43.25987243652344
2016-07-22,43.535369873046875
2016-07-25,43.19865798950195
2016-07-26,42.99203872680664
2016-07-27,42.43339920043945
2016-07-28,42.617069244384766
2016-07-29,42.80836868286133
2016-08-01,42.70507049560547
2016-08-02,42.39130401611328
2016-08-03,42.22296905517578
2016-08-04,42.20001220703125
2016-08-05,40.956459045410156
2016-08-08,40.93350601196289
2016-08-09,40.7077522277832
2016-08-10,40.84931945800781
2016-08-11,40.93733215332031
2016-08-12,40.93733215332031
2016-08-15,40.52408981323242
2016-08-16,40.09938049316406
2016-08-17,40.63888168334961
2016-08-18,41.499794006347656
2016-08-19,41.30465316772461
2016-08-22,41.23194885253906
2016-08-23,40.891414642333984
2016-08-24,40.8646354675293
2016-08-25,40.753662109375
2016-08-26,39.961639404296875
2016-08-29,40.08023452758789
2016-08-30,39.812400817871094
2016-08-31,40.034332275390625
2016-09-01,39.67848205566406
2016-09-02,39.9080696105957
2016-09-06,40.592960357666016
2016-09-07,40.573829650878906
2016-09-08,40.964107513427734
2016-09-09,39.372379302978516
2016-09-12,39.996063232421875
2016-09-13,39.23081970214844
2016-09-14,39.843013763427734
2016-09-15,40.2524299621582
2016-09-16,40.795753479003906
2016-09-19,41.300819396972656
2016-09-20,41.48447799682617
2016-09-21,42.19234848022461
2016-09-22,42.31096649169922
2016-09-23,42.054603576660156
2016-09-26,42.37983703613281
2016-09-27,41.676753997802734
2016-09-28,41.85782241821289
2016-09-29,41.202880859375
2016-09-30,41.295345306396484
2016-10-03,40.48246383666992
2016-10-04,39.573265075683594
2016-10-05,39.577117919921875
2016-10-06,39.71581268310547
2016-10-07,39.550148010253906
2016-10-10,40.185813903808594
2016-10-11,39.592529296875
2016-10-12,39.86991500854492
2016-10-13,40.29754638671875
2016-10-14,40.07024002075195
2016-10-17,40.24360656738281
2016-10-18,40.474754333496094
2016-10-19,40.31680679321289
2016-10-20,40.58648681640625
2016-10-21,40.39385223388672
2016-10-24,40.53254699707031
2016-10-25,40.99484634399414
2016-10-26,40.58648681640625
2016-10-27,40.28598403930664
2016-10-28,40.49017333984375
2016-10-31,41.26067352294922
2016-11-01,40.39385223388672
2016-11-02,38.278812408447266
2016-11-03,38.90293502807617
2016-11-04,39.33440399169922
2016-11-07,40.093360900878906
2016-11-08,40.21278381347656
2016-11-09,38.398231506347656
2016-11-10,37.46206283569336
2016-11-11,36.864925384521484
2016-11-14,36.498939514160156
2016-11-15,37.388877868652344
2016-11-16,37.87428283691406
2016-11-17,38.344303131103516
2016-11-18,38.45602798461914
