,EOG
2020-10-01,28.053312301635742
2020-10-02,28.013078689575195
2020-10-05,29.340904235839844
2020-10-06,28.962671279907227
2020-10-07,29.542081832885742
2020-10-08,30.314638137817383
2020-10-09,30.22612190246582
2020-10-12,30.74920082092285
2020-10-13,31.095247268676758
2020-10-14,30.27440071105957
2020-10-15,30.953134536743164
2020-10-16,30.416650772094727
2020-10-19,29.416854858398438
2020-10-20,29.490009307861328
2020-10-21,28.54710578918457
2020-10-22,30.01835823059082
2020-10-23,30.489805221557617
2020-10-26,28.392662048339844
2020-10-27,28.108171463012695
2020-10-28,26.425580978393555
2020-10-29,27.612342834472656
2020-10-30,27.831806182861328
2020-11-02,28.571495056152344
2020-11-03,28.46582794189453
2020-11-04,29.2949275970459
2020-11-05,28.937265396118164
2020-11-06,28.108171463012695
2020-11-09,32.76578140258789
2020-11-10,34.29392623901367
2020-11-11,34.06632614135742
2020-11-12,32.91209030151367
2020-11-13,34.684078216552734
2020-11-16,36.862510681152344
2020-11-17,37.12261962890625
2020-11-18,36.521114349365234
2020-11-19,36.9519157409668
2020-11-20,36.895023345947266
2020-11-23,40.95111846923828
2020-11-24,44.23501205444336
2020-11-25,43.08076858520508
2020-11-27,41.80459976196289
2020-11-30,38.106170654296875
2020-12-01,37.82167434692383
2020-12-02,38.8702507019043
2020-12-03,39.15473175048828
2020-12-04,43.08076858520508
2020-12-07,41.91840744018555
2020-12-08,42.38985061645508
2020-12-09,43.048255920410156
2020-12-10,44.446353912353516
2020-12-11,43.5684814453125
2020-12-14,42.33295440673828
2020-12-15,43.2108268737793
2020-12-16,42.8369255065918
2020-12-17,42.38985061645508
2020-12-18,42.08097839355469
2020-12-21,40.7072639465332
2020-12-22,39.707462310791016
2020-12-23,40.7072639465332
2020-12-24,40.31709289550781
2020-12-28,39.78062057495117
2020-12-29,39.56114959716797
2020-12-30,41.09742736816406
2020-12-31,40.53656768798828
2021-01-04,40.52843475341797
2021-01-05,43.82859420776367
2021-01-06,44.7552375793457
2021-01-07,47.648956298828125
2021-01-08,47.852176666259766
2021-01-11,48.453678131103516
2021-01-12,50.754024505615234
2021-01-13,49.15272903442383
2021-01-14,50.907161712646484
2021-01-15,48.41250991821289
2021-01-19,49.46762466430664
2021-01-20,49.23860549926758
2021-01-21,45.00997543334961
2021-01-22,44.87092590332031
2021-01-25,45.149017333984375
2021-01-26,43.750389099121094
2021-01-27,44.99361801147461
2021-01-28,43.93850326538086
2021-01-29,41.681053161621094
2021-02-01,41.98368835449219
2021-02-02,41.926429748535156
2021-02-03,45.705204010009766
2021-02-04,47.00569152832031
2021-02-05,46.302284240722656
2021-02-08,48.59244918823242
2021-02-09,47.619140625
2021-02-10,49.24678421020508
2021-02-11,48.78056335449219
