,TSN
2019-10-07,70.04891967773438
2019-10-08,69.4188461303711
2019-10-09,70.54088592529297
2019-10-10,70.88612365722656
2019-10-11,72.15487670898438
2019-10-14,72.55188751220703
2019-10-15,72.27569580078125
2019-10-16,70.653076171875
2019-10-17,70.23017120361328
2019-10-18,71.13640594482422
2019-10-21,69.8849105834961
2019-10-22,68.33135986328125
2019-10-23,66.88998413085938
2019-10-24,67.16618347167969
2019-10-25,67.73580932617188
2019-10-28,70.84298706054688
2019-10-29,71.02422332763672
2019-10-30,70.59266662597656
2019-10-31,71.45574951171875
2019-11-01,72.24115753173828
2019-11-04,70.81708526611328
2019-11-05,70.7135009765625
2019-11-06,72.04266357421875
2019-11-07,71.85279083251953
2019-11-08,71.31764221191406
2019-11-11,71.40398406982422
2019-11-12,76.71202087402344
2019-11-13,76.70338439941406
2019-11-14,77.97213745117188
2019-11-15,77.96350860595703
2019-11-18,77.66143035888672
2019-11-19,78.14476013183594
2019-11-20,78.21380615234375
2019-11-21,76.40995025634766
2019-11-22,74.5801773071289
2019-11-25,76.4962387084961
2019-11-26,77.41976165771484
2019-11-27,78.12216186523438
2019-11-29,77.94871520996094
2019-12-02,77.6799087524414
2019-12-03,77.13360595703125
2019-12-04,77.38507080078125
2019-12-05,77.57584381103516
2019-12-06,77.56716918945312
2019-12-09,77.75794219970703
2019-12-10,76.83876037597656
2019-12-11,76.7347183227539
2019-12-12,75.88489532470703
2019-12-13,76.28378295898438
2019-12-16,78.00077056884766
2019-12-17,78.3736343383789
2019-12-18,77.05555725097656
2019-12-19,77.81867218017578
2019-12-20,78.78987884521484
2019-12-23,79.24945068359375
2019-12-24,79.04133605957031
2019-12-26,79.17142486572266
2019-12-27,79.27548217773438
2019-12-30,78.33894348144531
2019-12-31,78.9459457397461
2020-01-02,78.01811981201172
2020-01-03,78.54707336425781
2020-01-06,78.17418670654297
2020-01-07,77.03820037841797
2020-01-08,77.51515197753906
2020-01-09,77.35906982421875
2020-01-10,79.70905303955078
2020-01-13,81.04447174072266
2020-01-14,79.72640991210938
2020-01-15,78.72916412353516
2020-01-16,78.06144714355469
2020-01-17,77.92272186279297
2020-01-21,75.8501968383789
2020-01-22,75.97161102294922
2020-01-23,76.27511596679688
2020-01-24,74.51477813720703
2020-01-27,72.97125244140625
2020-01-28,73.33544921875
2020-01-29,73.19669342041016
2020-01-30,73.49153137207031
2020-01-31,71.65314483642578
2020-02-03,72.20814514160156
2020-02-04,72.74576568603516
2020-02-05,72.93657684326172
2020-02-06,69.17310333251953
2020-02-07,69.67606353759766
2020-02-10,70.74263763427734
2020-02-11,70.23104095458984
2020-02-12,69.6847152709961
2020-02-13,70.39578247070312
2020-02-14,69.81478118896484
2020-02-18,69.50260925292969
2020-02-19,67.49081420898438
2020-02-20,68.33195495605469
2020-02-21,67.49081420898438
2020-02-24,65.54839324951172
2020-02-25,62.18381881713867
2020-02-26,61.64617919921875
2020-02-27,60.35515594482422
2020-02-28,59.1688232421875
2020-03-02,61.532779693603516
2020-03-03,59.75326919555664
