,PNW
2015-06-29,38.950157165527344
2015-06-30,39.16355514526367
2015-07-01,39.63856506347656
2015-07-02,40.147979736328125
2015-07-06,40.26500701904297
2015-07-07,41.53856658935547
2015-07-08,41.497257232666016
2015-07-09,41.08421325683594
2015-07-10,41.52479934692383
2015-07-13,41.42841720581055
2015-07-14,41.38023376464844
2015-07-15,41.449066162109375
2015-07-16,42.109947204589844
2015-07-17,41.59364318847656
2015-07-20,41.862117767333984
2015-07-21,41.27695846557617
2015-07-22,41.53856658935547
2015-07-23,41.09109878540039
2015-07-24,41.29761505126953
2015-07-27,41.97224807739258
2015-07-28,42.05488204956055
2015-07-29,42.350887298583984
2015-07-30,42.5907096862793
2015-07-31,42.896568298339844
2015-08-03,43.042537689208984
2015-08-04,42.26399612426758
2015-08-05,42.298744201660156
2015-08-06,42.757537841796875
2015-08-07,43.529136657714844
2015-08-10,43.271942138671875
2015-08-11,43.848899841308594
2015-08-12,44.32853317260742
2015-08-13,44.39109420776367
2015-08-14,44.745609283447266
2015-08-17,45.079280853271484
2015-08-18,44.752567291259766
2015-08-19,44.898536682128906
2015-08-20,44.72475814819336
2015-08-21,43.98097610473633
2015-08-24,42.88266372680664
2015-08-25,41.4367790222168
2015-08-26,41.93728256225586
2015-08-27,42.25008773803711
2015-08-28,42.041561126708984
2015-08-31,41.381168365478516
2015-09-01,40.324581146240234
2015-09-02,40.324581146240234
2015-09-03,40.50532150268555
2015-09-04,40.03957748413086
2015-09-08,41.485443115234375
2015-09-09,41.172637939453125
2015-09-10,41.05447006225586
2015-09-11,41.56190872192383
2015-09-14,41.62446212768555
2015-09-15,41.83300018310547
2015-09-16,42.465599060058594
2015-09-17,42.938270568847656
2015-09-18,42.938270568847656
2015-09-21,43.299747467041016
2015-09-22,43.2371826171875
2015-09-23,43.25802993774414
2015-09-24,43.53607177734375
2015-09-25,44.154754638671875
2015-09-28,43.911460876464844
2015-09-29,43.94621658325195
2015-09-30,44.58573532104492
2015-10-01,44.099151611328125
2015-10-02,44.43280029296875
2015-10-05,44.544029235839844
2015-10-06,43.74462127685547
2015-10-07,43.73072052001953
2015-10-08,44.53011703491211
2015-10-09,44.47450637817383
2015-10-12,44.919403076171875
2015-10-13,44.98196029663086
2015-10-14,45.162689208984375
2015-10-15,45.72575759887695
2015-10-16,45.7744026184082
2015-10-19,45.551963806152344
2015-10-20,45.697933197021484
2015-10-21,45.593666076660156
2015-10-22,46.323570251464844
2015-10-23,45.67708969116211
2015-10-26,45.72575759887695
2015-10-27,45.53805923461914
2015-10-28,44.82208251953125
2015-10-29,44.34124755859375
2015-10-30,44.57991027832031
2015-11-02,45.043190002441406
2015-11-03,44.902801513671875
2015-11-04,45.7591667175293
2015-11-05,45.4222297668457
2015-11-06,43.19710159301758
2015-11-09,43.519996643066406
2015-11-10,44.3903923034668
2015-11-11,44.45356750488281
2015-11-12,43.57614517211914
2015-11-13,43.22517013549805
2015-11-16,44.172786712646484
2015-11-17,43.414695739746094
2015-11-18,43.618263244628906
2015-11-19,44.130672454833984
2015-11-20,44.46057891845703
2015-11-23,44.130672454833984
2015-11-24,44.264041900634766
2015-11-25,43.99729537963867
2015-11-27,44.18681716918945
2015-11-30,44.47461700439453
2015-12-01,44.586936950683594
2015-12-02,43.562103271484375
2015-12-03,42.895263671875
2015-12-04,43.786720275878906
2015-12-07,44.313175201416016
2015-12-08,44.60797882080078
2015-12-09,44.30615997314453
2015-12-10,42.96546936035156
2015-12-11,43.190067291259766
2015-12-14,43.13392639160156
2015-12-15,43.562103271484375
2015-12-16,44.6571159362793
2015-12-17,44.63606262207031
2015-12-18,44.11663055419922
2015-12-21,44.19384765625
2015-12-22,44.5728874206543
2015-12-23,45.225685119628906
2015-12-24,45.12741470336914
2015-12-28,45.513484954833984
2015-12-29,45.7591667175293
2015-12-30,45.78723907470703
2015-12-31,45.26079177856445
2016-01-04,44.980010986328125
2016-01-05,45.20463180541992
2016-01-06,45.267799377441406
2016-01-07,45.25376510620117
2016-01-08,44.93790054321289
2016-01-11,45.47137451171875
2016-01-12,44.71328353881836
2016-01-13,44.83260726928711
2016-01-14,45.492427825927734
2016-01-15,44.930877685546875
2016-01-19,45.541561126708984
2016-01-20,44.6571159362793
2016-01-21,44.404422760009766
2016-01-22,44.99405288696289
2016-01-25,44.748382568359375
2016-01-26,44.92385482788086
2016-01-27,44.944908142089844
2016-01-28,45.84162139892578
2016-01-29,47.00413131713867
2016-02-01,47.68464660644531
2016-02-02,48.400577545166016
2016-02-03,49.41425704956055
2016-02-04,48.79045104980469
2016-02-05,48.57071304321289
2016-02-08,48.54945373535156
2016-02-09,48.54235076904297
2016-02-10,48.733741760253906
2016-02-11,47.90438461303711
2016-02-12,47.649200439453125
2016-02-16,47.67045593261719
2016-02-17,47.372745513916016
2016-02-18,47.82640838623047
2016-02-19,48.379310607910156
2016-02-22,49.30082321166992
2016-02-23,49.54184341430664
2016-02-24,49.72614288330078
2016-02-25,50.47753143310547
2016-02-26,48.58489227294922
2016-02-29,48.79045104980469
2016-03-01,48.14539337158203
2016-03-02,48.54945373535156
2016-03-03,48.54235076904297
2016-03-04,48.91094207763672
2016-03-07,49.03855514526367
2016-03-08,49.70486831665039
2016-03-09,50.14436340332031
2016-03-10,50.590946197509766
2016-03-11,50.45626449584961
2016-03-14,50.68309783935547
2016-03-15,50.90991973876953
2016-03-16,51.399024963378906
2016-03-17,52.0228271484375
2016-03-18,51.53370666503906
2016-03-21,51.64713668823242
2016-03-22,51.484100341796875
2016-03-23,51.95193099975586
2016-03-24,52.093711853027344
2016-03-28,52.05118942260742
2016-03-29,52.908897399902344
2016-03-30,52.9443359375
2016-03-31,53.213706970214844
2016-04-01,53.51142501831055
2016-04-04,53.42636489868164
2016-04-05,52.660797119140625
2016-04-06,52.56865310668945
2016-04-07,52.53319549560547
2016-04-08,52.710411071777344
2016-04-11,52.52611541748047
2016-04-12,52.908897399902344
2016-04-13,52.62534713745117
2016-04-14,52.28510284423828
2016-04-15,52.69624328613281
2016-04-18,52.97268295288086
2016-04-19,53.05775451660156
2016-04-20,51.682579040527344
2016-04-21,50.37827682495117
2016-04-22,50.65474319458008
2016-04-25,50.76105880737305
2016-04-26,50.52005386352539
2016-04-27,51.15095138549805
2016-04-28,51.18312072753906
2016-04-29,51.94822311401367
2016-05-02,52.448753356933594
2016-05-03,52.184181213378906
