,UPS
2020-12-28,148.98068237304688
2020-12-29,146.95498657226562
2020-12-30,144.52066040039062
2020-12-31,146.40724182128906
2021-01-04,142.4080047607422
2021-01-05,140.42575073242188
2021-01-06,140.00845336914062
2021-01-07,138.23487854003906
2021-01-08,137.70457458496094
2021-01-11,140.72132873535156
2021-01-12,142.50364685058594
2021-01-13,141.80812072753906
2021-01-14,142.12107849121094
2021-01-15,138.14791870117188
2021-01-19,135.8701171875
2021-01-20,138.9651641845703
2021-01-21,139.1912078857422
2021-01-22,138.22621154785156
2021-01-25,140.62574768066406
2021-01-26,140.34754943847656
2021-01-27,137.0612030029297
2021-01-28,136.73080444335938
2021-01-29,134.7572784423828
2021-02-01,135.85272216796875
2021-02-02,139.35638427734375
2021-02-03,138.85218811035156
2021-02-04,141.0691375732422
2021-02-05,142.9122772216797
2021-02-08,142.1037139892578
2021-02-09,145.12054443359375
2021-02-10,144.0251007080078
2021-02-11,141.1647491455078
2021-02-12,142.05157470703125
2021-02-16,140.62574768066406
2021-02-17,139.9736785888672
2021-02-18,140.9474334716797
2021-02-19,140.45742797851562
2021-02-22,141.38487243652344
2021-02-23,140.6936798095703
2021-02-24,140.04623413085938
2021-02-25,137.80648803710938
2021-02-26,138.0865020751953
2021-03-01,141.27113342285156
2021-03-02,141.18365478515625
2021-03-03,140.36119079589844
2021-03-04,139.50381469726562
2021-03-05,143.8345947265625
2021-03-08,140.74620056152344
2021-03-09,142.845947265625
2021-03-10,144.560791015625
2021-03-11,146.31935119628906
2021-03-12,146.7130126953125
2021-03-15,142.29476928710938
2021-03-16,142.45225524902344
2021-03-17,140.55369567871094
2021-03-18,140.1599884033203
2021-03-19,139.36383056640625
2021-03-22,140.9123992919922
2021-03-23,139.86253356933594
2021-03-24,139.90626525878906
2021-03-25,142.82846069335938
2021-03-26,146.9667510986328
2021-03-29,147.10678100585938
2021-03-30,147.54421997070312
2021-03-31,148.72532653808594
2021-04-01,149.85397338867188
2021-04-05,150.4401397705078
2021-04-06,151.33251953125
2021-04-07,150.4401397705078
2021-04-08,151.37632751464844
2021-04-09,153.9310302734375
2021-04-12,156.24078369140625
2021-04-13,156.97569274902344
2021-04-14,154.16725158691406
2021-04-15,157.1681671142578
2021-04-16,157.22943115234375
2021-04-19,155.78582763671875
2021-04-20,157.2119140625
2021-04-21,156.23202514648438
2021-04-22,155.3046112060547
2021-04-23,156.5732421875
2021-04-26,153.81727600097656
2021-04-27,169.84556579589844
2021-04-28,173.55517578125
2021-04-29,178.2359161376953
2021-04-30,178.35841369628906
2021-05-03,185.6551513671875
2021-05-04,187.50115966796875
2021-05-05,187.68490600585938
2021-05-06,187.91238403320312
2021-05-07,190.29214477539062
2021-05-10,189.093505859375
2021-05-11,187.51866149902344
2021-05-12,184.34275817871094
2021-05-13,188.69105529785156
2021-05-14,189.31222534179688
2021-05-17,189.23348999023438
2021-05-18,187.22120666503906
2021-05-19,187.53616333007812
2021-05-20,187.17747497558594
2021-05-21,186.25439453125
2021-05-24,187.62579345703125
2021-05-25,185.9203643798828
2021-05-26,187.95989990234375
2021-05-27,187.07199096679688
2021-05-28,188.6543426513672
2021-06-01,187.5027313232422
2021-06-02,186.28958129882812
2021-06-03,186.35107421875
2021-06-04,185.1643524169922
2021-06-07,187.17747497558594
2021-06-08,184.39952087402344
2021-06-09,176.75137329101562
2021-06-10,178.6326446533203
2021-06-11,178.6326446533203
2021-06-14,176.77772521972656
2021-06-15,177.87661743164062
2021-06-16,176.18875122070312
2021-06-17,174.10528564453125
2021-06-18,173.85916137695312
2021-06-21,178.73812866210938
2021-06-22,180.56661987304688
2021-06-23,179.353515625
2021-06-24,181.18202209472656
2021-06-25,180.7512664794922
2021-06-28,180.41720581054688
2021-06-29,182.5094451904297
2021-06-30,182.825927734375
2021-07-01,184.8039093017578
2021-07-02,185.95553588867188
2021-07-06,185.7445526123047
2021-07-07,188.35546875
2021-07-08,186.4302520751953
2021-07-09,188.0565643310547
2021-07-12,187.5379180908203
2021-07-13,185.72694396972656
2021-07-14,185.95553588867188
2021-07-15,187.12472534179688
2021-07-16,185.111572265625
2021-07-19,185.8500518798828
2021-07-20,186.77308654785156
2021-07-21,186.7642822265625
2021-07-22,187.4499969482422
2021-07-23,186.05221557617188
2021-07-26,184.4874267578125
2021-07-27,171.59107971191406
2021-07-28,168.8218994140625
2021-07-29,168.61973571777344
2021-07-30,168.22413635253906
2021-08-02,168.73399353027344
2021-08-03,170.6768035888672
2021-08-04,167.72303771972656
2021-08-05,167.39776611328125
2021-08-06,169.31422424316406
2021-08-09,167.89004516601562
2021-08-10,167.5647735595703
2021-08-11,169.13839721679688
2021-08-12,170.2284698486328
2021-08-13,170.52735900878906
2021-08-16,173.2437744140625
2021-08-17,173.850341796875
2021-08-18,171.24822998046875
2021-08-19,170.59768676757812
2021-08-20,170.77444458007812
2021-08-23,170.56234741210938
2021-08-24,170.8009796142578
2021-08-25,170.44744873046875
2021-08-26,169.9967498779297
2021-08-27,170.82748413085938
2021-08-30,171.45494079589844
2021-08-31,172.88658142089844
2021-09-01,173.56704711914062
2021-09-02,175.14892578125
2021-09-03,174.39779663085938
2021-09-07,172.82472229003906
2021-09-08,171.94981384277344
2021-09-09,167.03622436523438
2021-09-10,170.79209899902344
2021-09-13,171.79074096679688
2021-09-14,168.8036651611328
2021-09-15,170.87167358398438
2021-09-16,170.5358428955078
2021-09-17,167.9376220703125
2021-09-20,167.37203979492188
2021-09-21,167.6724853515625
2021-09-22,163.75753784179688
2021-09-23,165.07431030273438
2021-09-24,166.16131591796875
2021-09-27,165.11851501464844
2021-09-28,165.0477752685547
2021-09-29,163.26263427734375
2021-09-30,160.92958068847656
2021-10-01,160.3904571533203
2021-10-04,157.67738342285156
2021-10-05,158.78204345703125
2021-10-06,159.69232177734375
2021-10-07,160.4876708984375
2021-10-08,162.15794372558594
2021-10-11,160.61138916015625
2021-10-12,160.8323516845703
2021-10-13,162.6616668701172
2021-10-14,169.166015625
2021-10-15,171.22515869140625
2021-10-18,170.90699768066406
2021-10-19,171.260498046875
2021-10-20,172.56845092773438
2021-10-21,176.25364685058594
2021-10-22,180.1156005859375
2021-10-25,180.1951446533203
2021-10-26,192.7177734375
2021-10-27,187.53904724121094
2021-10-28,189.0325469970703
2021-10-29,188.6525421142578
2021-11-01,186.38133239746094
2021-11-02,184.82594299316406
2021-11-03,188.00741577148438
2021-11-04,186.22225952148438
2021-11-05,184.01287841796875
2021-11-08,184.9673309326172
2021-11-09,185.55062866210938
2021-11-10,187.03529357910156
2021-11-11,188.4934844970703
2021-11-12,188.40509033203125
2021-11-15,186.9292449951172
2021-11-16,187.23854064941406
2021-11-17,183.68592834472656
2021-11-18,183.35009765625
2021-11-19,185.1440887451172
2021-11-22,187.28443908691406
2021-11-23,188.1103515625
2021-11-24,185.1440887451172
2021-11-26,182.32875061035156
2021-11-29,181.7426300048828
2021-11-30,176.17420959472656
2021-12-01,172.4263458251953
2021-12-02,177.53298950195312
2021-12-03,178.27011108398438
2021-12-06,179.4512939453125
2021-12-07,182.40870666503906
2021-12-08,181.8136444091797
2021-12-09,183.4300079345703
2021-12-10,185.7124786376953
2021-12-13,183.2257537841797
2021-12-14,180.94334411621094
2021-12-15,182.7461700439453
2021-12-16,184.7000274658203
2021-12-17,183.4744110107422
2021-12-20,179.77989196777344
2021-12-21,183.9273681640625
2021-12-22,185.11744689941406
2021-12-23,188.44784545898438
2021-12-27,191.04110717773438
2021-12-28,190.65924072265625
2021-12-29,190.5881805419922
2021-12-30,189.96649169921875
2021-12-31,190.35726928710938
2022-01-03,189.61126708984375
2022-01-04,192.97718811035156
2022-01-05,190.55267333984375
2022-01-06,192.39991760253906
2022-01-07,193.74984741210938
2022-01-10,188.03932189941406
2022-01-11,187.63079833984375
2022-01-12,187.58639526367188
2022-01-13,186.9202880859375
2022-01-14,183.4300079345703
2022-01-18,182.58633422851562
2022-01-19,180.96109008789062
2022-01-20,179.6555633544922
2022-01-21,179.35360717773438
2022-01-24,181.28968811035156
2022-01-25,179.34474182128906
2022-01-26,176.73370361328125
2022-01-27,173.03028869628906
2022-01-28,176.06764221191406
2022-01-31,179.58448791503906
2022-02-01,204.87786865234375
2022-02-02,206.13897705078125
2022-02-03,203.1016387939453
2022-02-04,199.63800048828125
2022-02-07,199.87779235839844
2022-02-08,200.00213623046875
2022-02-09,199.88668823242188
2022-02-10,195.98788452148438
2022-02-11,189.60240173339844
2022-02-14,190.04644775390625
2022-02-15,192.9505615234375
2022-02-16,191.21876525878906
2022-02-17,187.13345336914062
2022-02-18,187.2855224609375
2022-02-22,186.93661499023438
2022-02-23,182.92005920410156
2022-02-24,185.34434509277344
2022-02-25,187.8133087158203
2022-02-28,188.2337646484375
2022-03-01,183.90408325195312
2022-03-02,189.1641082763672
2022-03-03,190.03179931640625
2022-03-04,188.20689392089844
2022-03-07,179.9679718017578
2022-03-08,181.96286010742188
2022-03-09,184.9775390625
2022-03-10,185.33535766601562
2022-03-11,182.40121459960938
2022-03-14,182.759033203125
2022-03-15,188.33213806152344
2022-03-16,194.92507934570312
2022-03-17,198.87904357910156
2022-03-18,196.6068572998047
2022-03-21,195.51548767089844
2022-03-22,195.39024353027344
2022-03-23,191.9551544189453
2022-03-24,192.0267333984375
2022-03-25,192.64395141601562
2022-03-28,196.40110778808594
2022-03-29,198.9953155517578
2022-03-30,196.9825439453125
2022-03-31,191.8477783203125
2022-04-01,184.852294921875
2022-04-04,183.5730743408203
2022-04-05,176.4165802001953
2022-04-06,173.8939208984375
2022-04-07,172.38211059570312
2022-04-08,170.83450317382812
2022-04-11,170.7182159423828
2022-04-12,168.07928466796875
2022-04-13,168.9559326171875
2022-04-14,168.195556640625
2022-04-18,167.4262237548828
2022-04-19,170.5840301513672
2022-04-20,170.35147094726562
2022-04-21,168.893310546875
2022-04-22,167.4173126220703
2022-04-25,169.64476013183594
2022-04-26,163.7495880126953
2022-04-27,166.7463836669922
2022-04-28,170.10992431640625
2022-04-29,161.0032958984375
2022-05-02,159.75091552734375
2022-05-03,159.3394012451172
2022-05-04,164.42050170898438
2022-05-05,160.8332977294922
2022-05-06,160.94961547851562
2022-05-09,162.30043029785156
2022-05-10,162.8192138671875
2022-05-11,158.74899291992188
2022-05-12,159.8135223388672
2022-05-13,160.6345672607422
2022-05-16,162.1954345703125
2022-05-17,165.2359619140625
2022-05-18,155.39256286621094
2022-05-19,151.02569580078125
2022-05-20,154.31887817382812
2022-05-23,157.3413848876953
2022-05-24,157.08876037597656
2022-05-25,156.86318969726562
2022-05-26,160.94129943847656
2022-05-27,164.6856231689453
2022-05-31,164.4329833984375
2022-06-01,162.61045837402344
2022-06-02,166.07505798339844
2022-06-03,167.3562469482422
2022-06-06,168.81785583496094
2022-06-07,167.374267578125
2022-06-08,161.89768981933594
2022-06-09,159.29022216796875
2022-06-10,156.1324005126953
2022-06-13,155.8346710205078
2022-06-14,157.1338653564453
2022-06-15,158.6857452392578
2022-06-16,155.35646057128906
2022-06-17,154.345947265625
2022-06-21,157.44064331054688
2022-06-22,158.92933654785156
2022-06-23,161.16688537597656
2022-06-24,165.38034057617188
2022-06-27,164.03599548339844
2022-06-28,162.3307647705078
2022-06-29,163.4224853515625
2022-06-30,164.69459533691406
2022-07-01,166.9051055908203
2022-07-05,166.58030700683594
2022-07-06,167.0675048828125
2022-07-07,167.9878387451172
2022-07-08,167.27500915527344
2022-07-11,166.58932495117188
2022-07-12,161.8345184326172
2022-07-13,160.5262908935547
2022-07-14,160.85107421875
2022-07-15,164.73971557617188
2022-07-18,162.4751434326172
2022-07-19,167.6449432373047
2022-07-20,168.58328247070312
2022-07-21,168.7276153564453
2022-07-22,169.60279846191406
2022-07-25,169.5396728515625
2022-07-26,163.78334045410156
2022-07-27,165.92164611816406
2022-07-28,169.83740234375
2022-07-29,175.83726501464844
2022-08-01,176.2432861328125
2022-08-02,174.6102294921875
2022-08-03,174.510986328125
2022-08-04,175.50344848632812
2022-08-05,177.52447509765625
2022-08-08,176.91998291015625
2022-08-09,177.4252166748047
2022-08-10,182.58599853515625
2022-08-11,184.44461059570312
2022-08-12,186.2444305419922
2022-08-15,187.14434814453125
2022-08-16,187.57159423828125
2022-08-17,186.32626342773438
2022-08-18,189.1168670654297
2022-08-19,189.46231079101562
2022-08-22,187.6170196533203
2022-08-23,186.5898895263672
2022-08-24,184.56277465820312
2022-08-25,186.34445190429688
2022-08-26,180.8268280029297
2022-08-29,179.31788635253906
2022-08-30,177.2999267578125
2022-08-31,176.80906677246094
2022-09-01,178.7179412841797
2022-09-02,178.2089080810547
2022-09-06,178.12710571289062
2022-09-07,178.42706298828125
2022-09-08,178.28163146972656
2022-09-09,180.60865783691406
2022-09-12,181.95399475097656
2022-09-13,175.17286682128906
2022-09-14,173.5821075439453
2022-09-15,168.1645050048828
2022-09-16,160.62890625
2022-09-19,163.6467742919922
2022-09-20,159.692626953125
