,ALLE
2021-07-07,133.9261932373047
2021-07-08,131.53501892089844
2021-07-09,132.25238037109375
2021-07-12,132.1088409423828
2021-07-13,128.2064208984375
2021-07-14,129.95677185058594
2021-07-15,131.34371948242188
2021-07-16,132.47232055664062
2021-07-19,129.99502563476562
2021-07-20,135.19833374023438
2021-07-21,134.35658264160156
2021-07-22,130.0524444580078
2021-07-23,133.1227264404297
2021-07-26,132.0419158935547
2021-07-27,130.75067138671875
2021-07-28,129.68899536132812
2021-07-29,129.60287475585938
2021-07-30,130.655029296875
2021-08-02,129.95677185058594
2021-08-03,131.81234741210938
2021-08-04,129.57421875
2021-08-05,131.3245849609375
2021-08-06,131.55410766601562
2021-08-09,130.42547607421875
2021-08-10,130.5402374267578
2021-08-11,131.20018005371094
2021-08-12,131.1332550048828
2021-08-13,132.003662109375
2021-08-16,133.87835693359375
2021-08-17,133.99310302734375
2021-08-18,133.86878967285156
2021-08-19,134.1174774169922
2021-08-20,132.54885864257812
2021-08-23,133.03663635253906
2021-08-24,134.2896728515625
2021-08-25,134.99742126464844
2021-08-26,133.94532775878906
2021-08-27,135.33224487304688
2021-08-30,136.85301208496094
2021-08-31,137.72340393066406
2021-09-01,138.259033203125
2021-09-02,141.28150939941406
2021-09-03,141.68324279785156
2021-09-07,136.91998291015625
2021-09-08,138.54598999023438
2021-09-09,137.0443572998047
2021-09-10,138.26858520507812
2021-09-13,136.07827758789062
2021-09-14,133.48623657226562
2021-09-15,135.41371154785156
2021-09-16,135.4040985107422
2021-09-17,132.7574005126953
2021-09-20,131.62583923339844
2021-09-21,129.75588989257812
2021-09-22,130.7723388671875
2021-09-23,132.92999267578125
2021-09-24,131.70254516601562
2021-09-27,131.27101135253906
2021-09-28,129.0654296875
2021-09-29,129.66957092285156
2021-09-30,126.75434112548828
2021-10-01,127.03246307373047
2021-10-04,124.91315460205078
2021-10-05,124.3665542602539
2021-10-06,124.01175689697266
2021-10-07,126.14061737060547
2021-10-08,126.0543212890625
2021-10-11,123.80078125
2021-10-12,123.09117126464844
2021-10-13,123.6281509399414
2021-10-14,126.92695617675781
2021-10-15,128.59552001953125
2021-10-18,129.2955780029297
2021-10-19,129.1900634765625
2021-10-20,131.232666015625
2021-10-21,126.12145233154297
2021-10-22,128.03933715820312
2021-10-25,125.7282943725586
2021-10-26,124.17477416992188
2021-10-27,122.16097259521484
2021-10-28,122.6979751586914
2021-10-29,123.03363037109375
2021-11-01,124.53917694091797
2021-11-02,125.8145751953125
2021-11-03,124.07886505126953
2021-11-04,125.69950103759766
2021-11-05,126.01597595214844
2021-11-08,126.6009292602539
2021-11-09,127.51192474365234
2021-11-10,127.18586730957031
2021-11-11,126.97490692138672
2021-11-12,129.63121032714844
2021-11-15,128.5380096435547
2021-11-16,130.09152221679688
2021-11-17,130.8682861328125
2021-11-18,129.3914794921875
2021-11-19,128.307861328125
2021-11-22,127.137939453125
2021-11-23,126.62008666992188
2021-11-24,126.6009292602539
2021-11-26,124.05967712402344
2021-11-29,123.39800262451172
2021-11-30,118.56489562988281
2021-12-01,117.74979400634766
2021-12-02,123.15827178955078
2021-12-03,123.91585540771484
2021-12-06,126.19817352294922
2021-12-07,126.3324203491211
2021-12-08,127.04206085205078
2021-12-09,125.51729583740234
2021-12-10,125.6803207397461
2021-12-13,125.1049575805664
2021-12-14,124.30903625488281
2021-12-15,125.00907135009766
2021-12-16,126.21733093261719
2021-12-17,122.97679901123047
2021-12-20,119.47664642333984
2021-12-21,121.50559997558594
2021-12-22,121.39981079101562
2021-12-23,122.3902359008789
2021-12-27,124.60187530517578
2021-12-28,126.0250244140625
2021-12-29,127.2846908569336
2021-12-30,126.5058364868164
2021-12-31,127.35199737548828
2022-01-03,124.39032745361328
2022-01-04,127.31354522705078
2022-01-05,124.34224700927734
2022-01-06,123.14990234375
2022-01-07,121.76520538330078
2022-01-10,120.28437042236328
2022-01-11,122.70755004882812
2022-01-12,122.67871856689453
2022-01-13,121.27479553222656
2022-01-14,119.67858123779297
2022-01-18,119.1304702758789
2022-01-19,118.20735168457031
2022-01-20,116.11109924316406
2022-01-21,116.62074279785156
2022-01-24,118.80355834960938
2022-01-25,116.04379272460938
2022-01-26,115.76494598388672
2022-01-27,115.88032531738281
2022-01-28,116.55342864990234
2022-01-31,118.01504516601562
2022-02-01,115.3899154663086
2022-02-02,115.56299591064453
2022-02-03,111.64936828613281
2022-02-04,114.66873168945312
2022-02-07,115.83223724365234
2022-02-08,117.0438461303711
2022-02-09,120.37091827392578
2022-02-10,116.05340576171875
2022-02-11,114.30332946777344
2022-02-14,113.7840805053711
2022-02-15,112.59171295166016
2022-02-16,110.8127670288086
2022-02-17,110.187744140625
2022-02-18,109.74542236328125
2022-02-22,109.14926147460938
2022-02-23,105.35099792480469
2022-02-24,107.40878295898438
2022-02-25,110.67815399169922
2022-02-28,110.12043762207031
2022-03-01,110.22621154785156
2022-03-02,112.86095428466797
2022-03-03,113.18790435791016
