,PWR
2018-06-18,35.118167877197266
2018-06-19,34.784175872802734
2018-06-20,34.76453399658203
2018-06-21,34.12601852416992
2018-06-22,33.57590866088867
2018-06-25,33.26158142089844
2018-06-26,33.24192428588867
2018-06-27,32.809696197509766
2018-06-28,32.662353515625
2018-06-29,32.809696197509766
2018-07-02,32.96687698364258
2018-07-03,33.0552864074707
2018-07-05,33.153526306152344
2018-07-06,33.24192428588867
2018-07-09,33.63486099243164
2018-07-10,33.73309326171875
2018-07-11,33.015995025634766
2018-07-12,32.94722366333008
2018-07-13,33.08475875854492
2018-07-16,32.69181442260742
2018-07-17,32.603424072265625
2018-07-18,32.59358596801758
2018-07-19,32.809696197509766
2018-07-20,32.7016487121582
2018-07-23,32.239959716796875
2018-07-24,32.485538482666016
2018-07-25,33.13386917114258
2018-07-26,33.0552864074707
2018-07-27,33.10440444946289
2018-07-30,32.69181442260742
2018-07-31,33.467864990234375
2018-08-01,33.49732208251953
2018-08-02,34.48948669433594
2018-08-03,34.302833557128906
2018-08-06,34.460018157958984
2018-08-07,34.13584899902344
2018-08-08,34.20460510253906
2018-08-09,34.08672332763672
2018-08-10,33.84114074707031
2018-08-13,33.10440444946289
2018-08-14,33.41875076293945
2018-08-15,33.34016418457031
2018-08-16,32.59358596801758
2018-08-17,33.5366325378418
2018-08-20,33.51697540283203
2018-08-21,33.84114074707031
2018-08-22,33.566097259521484
2018-08-23,33.39908981323242
2018-08-24,33.17315673828125
2018-08-27,33.3892822265625
2018-08-28,33.51697540283203
2018-08-29,34.076900482177734
2018-08-30,33.84114074707031
2018-08-31,33.97866439819336
2018-09-04,33.359806060791016
2018-09-05,33.556270599365234
2018-09-06,33.65449905395508
2018-09-07,33.32050323486328
2018-09-10,33.79202651977539
2018-09-11,34.008148193359375
2018-09-12,34.52876663208008
2018-09-13,33.87062072753906
2018-09-14,33.949195861816406
2018-09-17,34.194786071777344
2018-09-18,33.644691467285156
2018-09-19,33.89026641845703
2018-09-20,34.0572509765625
2018-09-21,33.87062072753906
2018-09-24,33.742916107177734
2018-09-25,33.09457015991211
2018-09-26,32.62306213378906
2018-09-27,32.298892974853516
2018-09-28,32.790061950683594
2018-10-01,32.89811325073242
2018-10-02,33.035640716552734
2018-10-03,33.074920654296875
2018-10-04,32.06313705444336
2018-10-05,31.83719825744629
2018-10-08,31.98455238342285
2018-10-09,31.83719825744629
2018-10-10,31.129924774169922
2018-10-11,30.884342193603516
2018-10-12,30.786115646362305
2018-10-15,31.19869041442871
2018-10-16,32.181026458740234
2018-10-17,32.00419998168945
2018-10-18,31.738964080810547
2018-10-19,31.52285385131836
2018-10-22,31.2674503326416
2018-10-23,30.903987884521484
2018-10-24,29.764493942260742
2018-10-25,30.501237869262695
2018-10-26,30.412826538085938
2018-10-29,30.26547622680664
2018-10-30,30.864696502685547
2018-10-31,30.648588180541992
2018-11-01,32.83917236328125
2018-11-02,33.77238845825195
2018-11-05,34.29302215576172
2018-11-06,34.194786071777344
2018-11-07,34.92170333862305
2018-11-08,34.715415954589844
2018-11-09,34.22425842285156
2018-11-12,33.035640716552734
2018-11-13,33.08475875854492
2018-11-14,33.153526306152344
2018-11-15,33.67414474487305
2018-11-16,33.811676025390625
2018-11-19,33.39908981323242
2018-11-20,33.1436882019043
2018-11-21,33.4089241027832
2018-11-23,33.10440444946289
2018-11-26,33.96885299682617
2018-11-27,34.09654998779297
2018-11-28,34.09654998779297
2018-11-29,33.77238845825195
2018-11-30,34.47965621948242
2018-12-03,35.19676208496094
2018-12-04,32.91775894165039
2018-12-06,32.07295227050781
2018-12-07,30.776287078857422
2018-12-10,30.167245864868164
2018-12-11,30.157419204711914
2018-12-12,30.795934677124023
2018-12-13,30.06900978088379
2018-12-14,29.735021591186523
2018-12-17,28.86075210571289
2018-12-18,28.674116134643555
2018-12-19,28.0454158782959
2018-12-20,28.133831024169922
2018-12-21,27.75071907043457
2018-12-24,27.436378479003906
2018-12-26,29.25368309020996
2018-12-27,29.636789321899414
2018-12-28,29.489437103271484
2018-12-31,29.60747718811035
2019-01-02,29.4304256439209
2019-01-03,29.066469192504883
2019-01-04,30.65996551513672
2019-01-07,30.77800750732422
2019-01-08,31.25014877319336
2019-01-09,31.289499282836914
2019-01-10,31.88951873779297
2019-01-11,31.771486282348633
2019-01-14,31.56491470336914
2019-01-15,31.387855529785156
2019-01-16,31.397693634033203
2019-01-17,32.00754928588867
2019-01-18,32.95185089111328
2019-01-22,32.863304138183594
2019-01-23,32.6862678527832
2019-01-24,33.08955383300781
2019-01-25,34.181392669677734
2019-01-28,34.44696807861328
2019-01-29,34.32893371582031
2019-01-30,34.60435104370117
2019-01-31,34.76173782348633
2019-02-01,33.925636291503906
2019-02-04,34.20106506347656
2019-02-05,34.05352020263672
2019-02-06,34.19122314453125
2019-02-07,33.73875045776367
2019-02-08,33.74858856201172
2019-02-11,34.04368209838867
2019-02-12,34.84042739868164
2019-02-13,35.01747131347656
2019-02-14,34.850257873535156
2019-02-15,35.17485809326172
2019-02-19,35.10600662231445
2019-02-20,36.010955810546875
2019-02-21,35.58798599243164
2019-02-22,35.883079528808594
2019-02-25,35.951934814453125
2019-02-26,35.31258010864258
2019-02-27,35.381431579589844
2019-02-28,35.056819915771484
2019-03-01,35.35191345214844
2019-03-04,35.33224105834961
2019-03-05,35.13551330566406
2019-03-06,34.91911697387695
2019-03-07,34.41746520996094
2019-03-08,34.61418151855469
2019-03-11,35.302738189697266
2019-03-12,35.62733459472656
2019-03-13,36.02078628540039
2019-03-14,36.30603790283203
2019-03-15,36.73884582519531
2019-03-18,36.79785919189453
2019-03-19,36.788028717041016
2019-03-20,36.62081527709961
2019-03-21,36.95524215698242
2019-03-22,36.08964920043945
2019-03-25,36.31587219238281
2019-03-26,36.53227996826172
2019-03-27,36.51261520385742
2019-03-28,36.778202056884766
2019-03-29,37.12246322631836
2019-04-01,38.00774383544922
2019-04-02,38.07658767700195
2019-04-03,38.115943908691406
2019-04-04,38.509796142578125
2019-04-05,38.903656005859375
2019-04-08,39.356597900390625
2019-04-09,38.39164352416992
2019-04-10,38.71657180786133
2019-04-11,39.08089065551758
2019-04-12,39.77014923095703
2019-04-15,39.622459411621094
2019-04-16,39.533843994140625
2019-04-17,39.474754333496094
