,HUBB
2019-10-07,116.63297271728516
2019-10-08,116.38021087646484
2019-10-09,117.0933609008789
2019-10-10,118.70925903320312
2019-10-11,119.29603576660156
2019-10-14,120.1806869506836
2019-10-15,121.36331176757812
2019-10-16,118.57384490966797
2019-10-17,121.18275451660156
2019-10-18,121.96812438964844
2019-10-21,122.68128204345703
2019-10-22,123.67427062988281
2019-10-23,125.61514282226562
2019-10-24,125.26311492919922
2019-10-25,125.27212524414062
2019-10-28,126.56305694580078
2019-10-29,128.18792724609375
2019-10-30,129.659423828125
2019-10-31,127.91709899902344
2019-11-01,129.8128662109375
2019-11-04,131.53707885742188
2019-11-05,131.0225372314453
2019-11-06,130.00242614746094
2019-11-07,130.02951049804688
2019-11-08,131.34750366210938
2019-11-11,130.93223571777344
2019-11-12,131.91622924804688
2019-11-13,132.09677124023438
2019-11-14,133.21617126464844
2019-11-15,134.24526977539062
2019-11-18,133.378662109375
2019-11-19,133.8480682373047
2019-11-20,131.9342803955078
2019-11-21,131.16693115234375
2019-11-22,131.53707885742188
2019-11-25,133.6404266357422
2019-11-26,134.3626251220703
2019-11-27,134.70777893066406
2019-11-29,133.53607177734375
2019-12-02,133.32717895507812
2019-12-03,132.17367553710938
2019-12-04,132.3008270263672
2019-12-05,133.28173828125
2019-12-06,133.55426025390625
2019-12-09,133.80856323242188
2019-12-10,133.10008239746094
2019-12-11,133.0274658203125
2019-12-12,134.11741638183594
2019-12-13,133.0183563232422
2019-12-16,133.86306762695312
2019-12-17,134.02655029296875
2019-12-18,134.6078643798828
2019-12-19,133.7358856201172
2019-12-20,134.98934936523438
2019-12-23,135.1346435546875
2019-12-24,134.21726989746094
2019-12-26,134.4988555908203
2019-12-27,134.72593688964844
2019-12-30,134.46250915527344
2019-12-31,134.26272583007812
2020-01-02,134.88035583496094
2020-01-03,134.90760803222656
2020-01-06,134.2808837890625
2020-01-07,134.0810546875
2020-01-08,134.61695861816406
2020-01-09,132.18275451660156
2020-01-10,131.06558227539062
2020-01-13,132.6278076171875
2020-01-14,131.5287628173828
2020-01-15,132.84579467773438
2020-01-16,134.76226806640625
2020-01-17,135.47982788085938
2020-01-21,134.83494567871094
2020-01-22,135.3708038330078
2020-01-23,135.06199645996094
2020-01-24,133.46343994140625
2020-01-27,132.20997619628906
2020-01-28,133.12738037109375
2020-01-29,133.7358856201172
2020-01-30,134.4352569580078
2020-01-31,130.09368896484375
2020-02-03,132.24630737304688
2020-02-04,130.48426818847656
2020-02-05,134.78042602539062
2020-02-06,133.8267059326172
2020-02-07,132.0828399658203
2020-02-10,133.79949951171875
2020-02-11,135.824951171875
