,GD
2016-11-10,139.3185272216797
2016-11-11,141.025390625
2016-11-14,142.39756774902344
2016-11-15,140.58193969726562
2016-11-16,138.7578887939453
2016-11-17,138.5821990966797
2016-11-18,139.41055297851562
2016-11-21,140.92494201660156
2016-11-22,142.3891143798828
2016-11-23,142.69871520996094
2016-11-25,143.97889709472656
2016-11-28,144.47256469726562
2016-11-29,146.53085327148438
2016-11-30,146.7149200439453
2016-12-01,147.59347534179688
2016-12-02,149.49273681640625
2016-12-05,149.36724853515625
2016-12-06,149.0074462890625
2016-12-07,149.2919464111328
2016-12-08,145.3092803955078
2016-12-09,146.74835205078125
2016-12-12,145.3678741455078
2016-12-13,145.84478759765625
2016-12-14,145.3678741455078
2016-12-15,145.6857452392578
2016-12-16,145.92843627929688
2016-12-19,146.11248779296875
2016-12-20,146.63961791992188
2016-12-21,145.66905212402344
2016-12-22,146.0288543701172
2016-12-23,146.63128662109375
2016-12-27,146.07069396972656
2016-12-28,144.79051208496094
2016-12-29,144.9243621826172
2016-12-30,144.46420288085938
2017-01-03,146.79856872558594
2017-01-04,146.8738555908203
2017-01-05,147.3759002685547
2017-01-06,148.48033142089844
2017-01-09,147.3173828125
2017-01-10,147.56002807617188
2017-01-11,148.15399169921875
2017-01-12,147.69386291503906
2017-01-13,148.84010314941406
2017-01-17,147.233642578125
2017-01-18,147.88912963867188
2017-01-19,149.4185333251953
2017-01-20,149.81349182128906
2017-01-23,148.93115234375
2017-01-24,148.94793701171875
2017-01-25,147.3260955810547
2017-01-26,148.989990234375
2017-01-27,155.578125
2017-01-30,153.33445739746094
2017-01-31,152.16639709472656
2017-02-01,152.1243438720703
2017-02-02,151.5613555908203
2017-02-03,153.8806915283203
2017-02-06,153.8134307861328
2017-02-07,153.95626831054688
2017-02-08,153.89744567871094
2017-02-09,153.43524169921875
2017-02-10,154.95623779296875
2017-02-13,156.80503845214844
2017-02-14,157.33441162109375
2017-02-15,157.9730224609375
2017-02-16,158.60328674316406
2017-02-17,158.8721923828125
2017-02-21,159.31756591796875
2017-02-22,159.5696563720703
2017-02-23,158.2335662841797
2017-02-24,159.35116577148438
2017-02-27,159.9982147216797
2017-02-28,159.50245666503906
2017-03-01,161.6873016357422
2017-03-02,160.54444885253906
2017-03-03,159.3679656982422
2017-03-06,160.4519805908203
2017-03-07,160.89736938476562
2017-03-08,159.98141479492188
2017-03-09,159.94781494140625
2017-03-10,160.3679962158203
2017-03-13,160.97303771972656
2017-03-14,159.4520263671875
2017-03-15,161.0570526123047
2017-03-16,160.2083282470703
2017-03-17,162.4099578857422
2017-03-20,161.32595825195312
2017-03-21,158.561279296875
2017-03-22,159.3259735107422
2017-03-23,159.29232788085938
2017-03-24,157.57806396484375
2017-03-27,155.87225341796875
2017-03-28,158.3511505126953
2017-03-29,158.22509765625
2017-03-30,158.63687133789062
2017-03-31,157.30917358398438
2017-04-03,157.7629852294922
2017-04-04,157.7461700439453
2017-04-05,156.876708984375
2017-04-06,157.25660705566406
2017-04-07,158.72531127929688
2017-04-10,158.40457153320312
2017-04-11,159.01231384277344
2017-04-12,157.2903289794922
2017-04-13,157.61956787109375
2017-04-17,159.4428253173828
2017-04-18,158.168212890625
2017-04-19,158.4805145263672
2017-04-20,158.80130004882812
2017-04-21,159.48501586914062
2017-04-24,161.9919891357422
2017-04-25,163.11465454101562
2017-04-26,164.47366333007812
2017-04-27,164.62562561035156
2017-04-28,163.5789031982422
2017-05-01,163.0386962890625
2017-05-02,163.8152618408203
2017-05-03,163.90811157226562
2017-05-04,164.22042846679688
2017-05-05,165.41908264160156
2017-05-08,165.7229461669922
2017-05-09,165.94241333007812
2017-05-10,164.08534240722656
2017-05-11,164.5833740234375
2017-05-12,165.0983428955078
2017-05-15,164.75222778320312
2017-05-16,164.8450927734375
2017-05-17,162.0764617919922
2017-05-18,162.60821533203125
2017-05-19,165.33462524414062
2017-05-22,166.92156982421875
2017-05-23,168.2468719482422
2017-05-24,168.8039093017578
2017-05-25,169.74087524414062
2017-05-26,170.7116241455078
2017-05-30,170.51742553710938
2017-05-31,171.56414794921875
2017-06-01,170.9479522705078
2017-06-02,171.9440155029297
2017-06-05,170.06163024902344
2017-06-06,167.50399780273438
2017-06-07,167.86695861816406
2017-06-08,168.5169677734375
2017-06-09,168.37344360351562
