,NKE
2019-08-08,77.95568084716797
2019-08-09,76.9976806640625
2019-08-12,76.68773651123047
2019-08-13,78.2562484741211
2019-08-14,76.10541534423828
2019-08-15,74.67776489257812
2019-08-16,75.4010009765625
2019-08-19,76.19932556152344
2019-08-20,75.63580322265625
2019-08-21,77.71147155761719
2019-08-22,78.2468490600586
2019-08-23,75.55127716064453
2019-08-26,77.25125885009766
2019-08-27,77.04462432861328
2019-08-28,78.4065170288086
2019-08-29,80.1910400390625
2019-08-30,79.56954956054688
2019-09-03,79.72962188720703
2019-09-04,81.31158447265625
2019-09-05,83.26080322265625
2019-09-06,83.51506805419922
2019-09-09,83.4962158203125
2019-09-10,81.76359558105469
2019-09-11,81.68826293945312
2019-09-12,82.5545654296875
2019-09-13,82.2249984741211
2019-09-16,82.17790985107422
2019-09-17,82.4792251586914
2019-09-18,82.94065856933594
2019-09-19,82.58283233642578
2019-09-20,81.62235260009766
2019-09-23,82.57341766357422
2019-09-24,82.09317016601562
2019-09-25,85.5113754272461
2019-09-26,86.79200744628906
2019-09-27,86.9238510131836
2019-09-30,88.43989562988281
2019-10-01,86.89559173583984
2019-10-02,86.15167236328125
2019-10-03,86.8390884399414
2019-10-04,87.63949584960938
2019-10-07,87.73365020751953
2019-10-08,86.3965072631836
2019-10-09,87.12161254882812
2019-10-10,87.57357025146484
2019-10-11,88.40222930908203
2019-10-14,89.34387969970703
2019-10-15,89.25914001464844
2019-10-16,89.34387969970703
2019-10-17,89.98420715332031
2019-10-18,90.49269104003906
2019-10-21,90.60572052001953
2019-10-22,90.0218734741211
2019-10-23,86.93325805664062
2019-10-24,86.16109466552734
2019-10-25,85.61495208740234
2019-10-28,85.54904174804688
2019-10-29,84.07064056396484
2019-10-30,84.92752838134766
2019-10-31,84.32489013671875
2019-11-01,83.97647094726562
2019-11-04,84.61678314208984
2019-11-05,84.63563537597656
2019-11-06,84.25897979736328
2019-11-07,85.12528991699219
2019-11-08,84.5697250366211
2019-11-11,84.79570770263672
2019-11-12,84.2778091430664
2019-11-13,85.96336364746094
2019-11-14,85.94451141357422
2019-11-15,87.61124420166016
2019-11-18,88.68473815917969
2019-11-19,88.14799499511719
2019-11-20,87.62065124511719
2019-11-21,86.78258514404297
