,SJM
2017-06-29,94.70728302001953
2017-06-30,94.95608520507812
2017-07-03,94.81163787841797
2017-07-05,93.32707977294922
2017-07-06,92.37213134765625
2017-07-07,92.59680938720703
2017-07-10,91.81037902832031
2017-07-11,91.8425064086914
2017-07-12,92.4122314453125
2017-07-13,93.35913848876953
2017-07-14,93.68817901611328
2017-07-17,95.14866638183594
2017-07-18,93.47150421142578
2017-07-19,93.6961898803711
2017-07-20,94.89186096191406
2017-07-21,95.07644653320312
2017-07-24,95.98322296142578
2017-07-25,97.11471557617188
2017-07-26,96.86593627929688
2017-07-27,98.00543212890625
2017-07-28,98.23816680908203
2017-07-31,97.82088470458984
2017-08-01,96.8900146484375
2017-08-02,96.94618225097656
2017-08-03,97.23509216308594
2017-08-04,97.47582244873047
2017-08-07,98.35853576660156
2017-08-08,97.73260498046875
2017-08-09,98.68561553955078
2017-08-10,98.30602264404297
2017-08-11,98.75830841064453
2017-08-14,99.34790802001953
2017-08-15,99.27520751953125
2017-08-16,99.48518371582031
2017-08-17,99.06521606445312
2017-08-18,98.45140838623047
2017-08-21,98.41101837158203
2017-08-22,96.80381774902344
2017-08-23,95.98809814453125
2017-08-24,86.82945251464844
2017-08-25,84.92342376708984
2017-08-28,85.12532806396484
2017-08-29,84.55998229980469
2017-08-30,84.18848419189453
2017-08-31,84.60843658447266
2017-09-01,84.67306518554688
2017-09-05,85.67453002929688
2017-09-06,85.779541015625
2017-09-07,85.6260757446289
2017-09-08,86.53063201904297
2017-09-11,86.49830627441406
2017-09-12,87.0232925415039
2017-09-13,86.45796203613281
2017-09-14,87.62094116210938
2017-09-15,89.01815795898438
2017-09-18,89.69658660888672
2017-09-19,88.44474792480469
2017-09-20,86.13488006591797
2017-09-21,85.54530334472656
2017-09-22,84.47113800048828
2017-09-25,85.26262664794922
2017-09-26,85.67453002929688
2017-09-27,86.25601196289062
2017-09-28,84.89920043945312
2017-09-29,84.74574279785156
2017-10-02,84.5761489868164
2017-10-03,84.22886657714844
2017-10-04,84.81842803955078
2017-10-05,85.2868423461914
2017-10-06,84.18848419189453
2017-10-09,83.1062240600586
2017-10-10,83.74427032470703
2017-10-11,84.21269989013672
2017-10-12,85.61798858642578
2017-10-13,84.8911361694336
2017-10-16,85.57762145996094
2017-10-17,84.51960754394531
2017-10-18,84.10771179199219
2017-10-19,83.99464416503906
2017-10-20,84.17230987548828
2017-10-23,84.6326675415039
2017-10-24,84.33385467529297
2017-10-25,83.93811798095703
2017-10-26,84.10771179199219
2017-10-27,83.76040649414062
2017-10-30,82.30667877197266
2017-10-31,85.65029907226562
2017-11-01,84.97997283935547
2017-11-02,83.2919921875
2017-11-03,82.55704498291016
2017-11-06,80.75601196289062
2017-11-07,82.19358825683594
2017-11-08,83.49388885498047
2017-11-09,83.49393463134766
2017-11-10,84.73085021972656
2017-11-13,86.65949249267578
2017-11-14,88.0429458618164
2017-11-15,86.67578887939453
2017-11-16,94.92752838134766
2017-11-17,92.92559814453125
2017-11-20,92.77913665771484
2017-11-21,92.39667510986328
2017-11-22,91.71307373046875
2017-11-24,90.63078308105469
2017-11-27,92.16069030761719
2017-11-28,93.52783203125
2017-11-29,95.74943542480469
2017-11-30,94.94379425048828
2017-12-01,94.0811767578125
2017-12-04,97.15726470947266
2017-12-05,95.58670043945312
2017-12-06,96.76668548583984
2017-12-07,96.40859985351562
2017-12-08,96.52253723144531
2017-12-11,95.42393493652344
2017-12-12,95.9854507446289
2017-12-13,96.14818572998047
2017-12-14,96.44930267333984
2017-12-15,97.1979751586914
2017-12-18,98.15010833740234
2017-12-19,98.84992980957031
2017-12-20,100.43681335449219
2017-12-21,100.8355712890625
