,RVTY
2016-01-27,47.33493423461914
2016-01-28,45.73794937133789
2016-01-29,47.05254364013672
2016-02-01,46.964900970458984
2016-02-02,46.283260345458984
2016-02-03,45.57240676879883
2016-02-04,45.35816955566406
2016-02-05,42.1252555847168
2016-02-08,40.36273956298828
2016-02-09,41.355995178222656
2016-02-10,42.83610534667969
2016-02-11,42.27133560180664
2016-02-12,43.245086669921875
2016-02-16,44.472042083740234
2016-02-17,44.50126266479492
2016-02-18,44.48179626464844
2016-02-19,45.73794937133789
2016-02-22,46.53643798828125
2016-02-23,45.961917877197266
2016-02-24,46.127464294433594
2016-02-25,46.37089538574219
2016-02-26,46.692237854003906
2016-02-29,46.020328521728516
2016-03-01,46.70199203491211
2016-03-02,47.87051010131836
2016-03-03,47.65627670288086
2016-03-04,47.5394287109375
2016-03-07,47.58811569213867
2016-03-08,46.380638122558594
2016-03-09,46.53643798828125
2016-03-10,46.39036178588867
2016-03-11,47.43229293823242
2016-03-14,47.247291564941406
2016-03-15,46.448795318603516
2016-03-16,46.692237854003906
2016-03-17,46.2637825012207
2016-03-18,47.646541595458984
2016-03-21,47.17912292480469
2016-03-22,47.40308380126953
2016-03-23,47.373878479003906
2016-03-24,47.1499137878418
2016-03-28,47.03306198120117
2016-03-29,48.03603744506836
2016-03-30,48.0457763671875
2016-03-31,48.162635803222656
2016-04-01,49.01955795288086
2016-04-04,48.84426498413086
2016-04-05,47.30572509765625
2016-04-06,48.95138931274414
2016-04-07,47.96788024902344
2016-04-08,48.68846130371094
2016-04-11,48.49372100830078
2016-04-12,48.59110641479492
2016-04-13,49.449214935302734
2016-04-14,49.38093948364258
2016-04-15,49.614986419677734
2016-04-18,50.053802490234375
2016-04-19,49.47846603393555
2016-04-20,50.073307037353516
2016-04-21,50.14155578613281
2016-04-22,50.30732727050781
2016-04-25,50.13180160522461
2016-04-26,49.69300079345703
2016-04-27,50.180564880371094
2016-04-28,49.57596969604492
2016-04-29,49.16641616821289
2016-05-02,50.375587463378906
