,HBAN
2018-03-01,11.453659057617188
2018-03-02,11.593070030212402
2018-03-05,11.747153282165527
2018-03-06,11.886565208435059
2018-03-07,11.945260047912598
2018-03-08,11.857215881347656
2018-03-09,12.106685638427734
2018-03-12,12.092011451721191
2018-03-13,11.952601432800293
2018-03-14,11.776503562927246
2018-03-15,11.769168853759766
2018-03-16,11.872599601745605
2018-03-19,11.761777877807617
2018-03-20,11.69528579711914
2018-03-21,11.732224464416504
2018-03-22,11.311105728149414
2018-03-23,10.860434532165527
2018-03-26,11.288942337036133
2018-03-27,11.03036117553711
2018-03-28,11.096853256225586
2018-03-29,11.155960083007812
2018-04-02,10.838271141052246
2018-04-03,10.956480979919434
2018-04-04,11.096853256225586
2018-04-05,11.133793830871582
2018-04-06,10.757003784179688
2018-04-09,10.80133056640625
2018-04-10,10.98603343963623
2018-04-11,10.823493957519531
2018-04-12,11.074688911437988
2018-04-13,10.83088493347168
2018-04-16,10.838271141052246
2018-04-17,10.697898864746094
2018-04-18,10.705286026000977
2018-04-19,10.845660209655762
2018-04-20,10.897377014160156
2018-04-23,11.089466094970703
2018-04-24,10.971257209777832
2018-04-25,11.126405715942383
2018-04-26,11.104241371154785
2018-04-27,11.18550968170166
2018-04-30,11.015585899353027
2018-05-01,10.941703796386719
2018-05-02,10.83088493347168
2018-05-03,10.683122634887695
2018-05-04,10.860434532165527
2018-05-07,10.882600784301758
2018-05-08,10.978644371032715
2018-05-09,11.148571968078613
2018-05-10,11.18550968170166
2018-05-11,11.178123474121094
2018-05-14,11.16334342956543
2018-05-15,11.19289779663086
2018-05-16,11.155960083007812
2018-05-17,11.340659141540527
2018-05-18,11.170732498168945
2018-05-21,11.244613647460938
2018-05-22,11.34804916381836
2018-05-23,11.21506404876709
2018-05-24,11.19289779663086
2018-05-25,11.155960083007812
2018-05-29,10.668346405029297
2018-05-30,10.978644371032715
2018-05-31,10.98603343963623
2018-06-01,11.222451210021973
2018-06-04,11.281554222106934
2018-06-05,11.288942337036133
2018-06-06,11.517973899841309
2018-06-07,11.495810508728027
2018-06-08,11.591851234436035
2018-06-11,11.495810508728027
2018-06-12,11.517973899841309
2018-06-13,11.488419532775879
2018-06-14,11.392374038696289
2018-06-15,11.407257080078125
2018-06-18,11.407257080078125
2018-06-19,11.437021255493164
2018-06-20,11.496550559997559
2018-06-21,11.61561107635498
2018-06-22,11.422140121459961
2018-06-25,11.31052303314209
2018-06-26,11.198904991149902
2018-06-27,11.072406768798828
2018-06-28,11.07984733581543
2018-06-29,10.983114242553711
2018-07-02,11.035201072692871
2018-07-03,10.953349113464355
2018-07-05,10.975671768188477
2018-07-06,11.06496524810791
2018-07-09,11.317963600158691
2018-07-10,11.146818161010742
2018-07-11,11.035201072692871
2018-07-12,10.975671768188477
2018-07-13,10.901260375976562
2018-07-16,11.087288856506348
2018-07-17,11.102173805236816
2018-07-18,11.198904991149902
2018-07-19,11.161701202392578
2018-07-20,11.236111640930176
2018-07-23,11.437021255493164
2018-07-24,11.377492904663086
2018-07-25,11.236111640930176
2018-07-26,11.392374992370605
2018-07-27,11.541199684143066
2018-07-30,11.526315689086914
2018-07-31,11.489109992980957
2018-08-01,11.526315689086914
2018-08-02,11.69746208190918
2018-08-03,11.704903602600098
2018-08-06,11.749549865722656
2018-08-07,11.80907917022705
2018-08-08,11.965343475341797
2018-08-09,11.853726387023926
2018-08-10,11.786757469177246
2018-08-13,11.690019607543945
2018-08-14,11.853726387023926
2018-08-15,11.838841438293457
2018-08-16,11.905813217163086
2018-08-17,11.980226516723633
2018-08-20,11.987664222717285
2018-08-21,12.062077522277832
2018-08-22,12.062077522277832
2018-08-23,12.039755821228027
2018-08-24,12.062077522277832
2018-08-27,12.10672378540039
2018-08-28,12.10672378540039
2018-08-29,12.136487007141113
2018-08-30,12.099284172058105
2018-08-31,12.062077522277832
2018-09-04,12.203460693359375
2018-09-05,12.203460693359375
2018-09-06,12.158812522888184
2018-09-07,12.091841697692871
2018-09-10,12.009989738464355
2018-09-11,12.091841697692871
2018-09-12,11.80907917022705
2018-09-13,11.73466968536377
2018-09-14,11.757189750671387
2018-09-17,11.74968147277832
2018-09-18,11.629560470581055
2018-09-19,11.802238464355469
2018-09-20,11.99743938446045
2018-09-21,11.974916458129883
2018-09-24,11.839776039123535
2018-09-25,11.764698028564453
2018-09-26,11.501925468444824
2018-09-27,11.314231872558594
2018-09-28,11.201616287231445
2018-10-01,11.209120750427246
2018-10-02,11.15656852722168
2018-10-03,11.464386940002441
2018-10-04,11.569497108459473
2018-10-05,11.524450302124023
2018-10-08,11.682114601135254
2018-10-09,11.592019081115723
2018-10-10,11.37429428100586
2018-10-11,11.036442756652832
2018-10-12,10.788686752319336
2018-10-15,10.683578491210938
2018-10-16,10.721116065979004
2018-10-17,10.803704261779785
2018-10-18,10.668563842773438
2018-10-19,10.661055564880371
2018-10-22,10.255631446838379
2018-10-23,10.38326644897461
2018-10-24,9.880245208740234
2018-10-25,10.203081130981445
2018-10-26,10.218095779418945
2018-10-29,10.420805931091309
2018-10-30,10.570961952209473
2018-10-31,10.758655548095703
2018-11-01,10.796195030212402
2018-11-02,10.72862434387207
2018-11-05,10.788686752319336
2018-11-06,10.953858375549316
2018-11-07,11.0064115524292
2018-11-08,11.058968544006348
2018-11-09,11.013920783996582
2018-11-12,10.938844680786133
2018-11-13,10.98388957977295
2018-11-14,10.856256484985352
2018-11-15,11.09650707244873
2018-11-16,11.104016304016113
2018-11-19,11.14155387878418
2018-11-20,10.938844680786133
2018-11-21,10.826225280761719
2018-11-23,10.86376667022705
2018-11-26,11.073982238769531
2018-11-27,10.98388957977295
2018-11-28,11.021429061889648
2018-11-29,10.886287689208984
2018-11-30,10.953858375549316
2018-12-03,10.871273040771484
2018-12-04,10.270649909973145
2018-12-06,10.233110427856445
2018-12-07,10.075448989868164
2018-12-10,9.775136947631836
2018-12-11,9.579933166503906
2018-12-12,9.54990291595459
2018-12-13,9.317161560058594
2018-12-14,9.13697338104248
2018-12-17,9.038238525390625
2018-12-18,8.931905746459961
2018-12-19,8.734429359436035
2018-12-20,8.802785873413086
2018-12-21,8.802785873413086
2018-12-24,8.574932098388672
2018-12-26,8.954689979553223
2018-12-27,8.969880104064941
2018-12-28,9.03064250946045
2018-12-31,9.053426742553711
2019-01-02,9.220520973205566
2019-01-03,9.144570350646973
2019-01-04,9.40280532836914
2019-01-07,9.440780639648438
2019-01-08,9.531922340393066
2019-01-09,9.607874870300293
2019-01-10,9.539518356323242
2019-01-11,9.592684745788574
2019-01-14,9.744586944580078
2019-01-15,9.782564163208008
2019-01-16,10.078774452209473
2019-01-17,10.14713191986084
2019-01-18,10.321820259094238
2019-01-22,10.26865291595459
2019-01-23,10.299034118652344
2019-01-24,10.215487480163574
2019-01-25,10.291438102722168
2019-01-28,10.30663013458252
2019-01-29,10.299034118652344
2019-01-30,10.245866775512695
2019-01-31,10.055988311767578
2019-02-01,10.116745948791504
2019-02-04,10.18510627746582
2019-02-05,10.10155963897705
2019-02-06,10.16231918334961
2019-02-07,10.602840423583984
2019-02-08,10.344605445861816
2019-02-11,10.42815113067627
2019-02-12,10.526887893676758
2019-02-13,10.549671173095703
2019-02-14,10.397769927978516
2019-02-15,10.640814781188965
2019-02-19,10.724360466003418
2019-02-20,10.838290214538574
2019-02-21,10.785124778747559
2019-02-22,10.883859634399414
2019-02-25,10.93702507019043
2019-02-26,10.861074447631836
2019-02-27,10.914239883422852
2019-02-28,10.944621086120605
2019-03-01,10.93702507019043
2019-03-04,10.914239883422852
2019-03-05,10.838290214538574
2019-03-06,10.656004905700684
2019-03-07,10.397769927978516
2019-03-08,10.450937271118164
2019-03-11,10.405364036560059
2019-03-12,10.42055606842041
2019-03-13,10.572460174560547
2019-03-14,10.686386108398438
2019-03-15,10.548297882080078
2019-03-18,10.678711891174316
2019-03-19,10.417882919311523
2019-03-20,9.942253112792969
2019-03-21,9.681422233581543
2019-03-22,9.397575378417969
2019-03-25,9.451277732849121
2019-03-26,9.643064498901367
2019-03-27,9.673748016357422
2019-03-28,9.796493530273438
2019-03-29,9.727450370788574
2019-04-01,10.080337524414062
2019-04-02,10.111026763916016
2019-04-03,10.134037971496582
2019-04-04,10.218422889709473
2019-04-05,10.210755348205566
2019-04-08,10.279796600341797
2019-04-09,10.103352546691895
2019-04-10,10.203082084655762
2019-04-11,10.241439819335938
2019-04-12,10.502270698547363
2019-04-15,10.325826644897461
2019-04-16,10.479253768920898
2019-04-17,10.609670639038086
2019-04-18,10.440898895263672
2019-04-22,10.463913917541504
2019-04-23,10.578985214233398
2019-04-24,10.540629386901855
2019-04-25,10.494599342346191
2019-04-26,10.540629386901855
2019-04-29,10.686388969421387
2019-04-30,10.678711891174316
2019-05-01,10.563644409179688
2019-05-02,10.694055557250977
2019-05-03,10.80912971496582
2019-05-06,10.709402084350586
2019-05-07,10.471583366394043
2019-05-08,10.387197494506836
2019-05-09,10.417882919311523
2019-05-10,10.479253768920898
2019-05-13,10.018965721130371
2019-05-14,10.172396659851074
2019-05-15,9.949922561645508
2019-05-16,10.103352546691895
2019-05-17,10.14171028137207
2019-05-20,10.218422889709473
2019-05-21,10.318155288696289
2019-05-22,10.22609806060791
2019-05-23,10.018965721130371
2019-05-24,10.134037971496582
2019-05-28,10.034309387207031
2019-05-29,10.057323455810547
2019-05-30,9.926909446716309
2019-05-31,9.704437255859375
2019-06-03,9.842520713806152
2019-06-04,10.256781578063965
2019-06-05,10.287467956542969
2019-06-06,10.256781578063965
2019-06-07,10.172396659851074
2019-06-10,10.302811622619629
2019-06-11,10.387197494506836
2019-06-12,10.287467956542969
2019-06-13,10.302811622619629
2019-06-14,10.357076644897461
2019-06-17,10.178775787353516
2019-06-18,10.364830017089844
2019-06-19,10.248547554016113
2019-06-20,10.279556274414062
2019-06-21,10.333820343017578
2019-06-24,10.38033390045166
2019-06-25,10.39583969116211
2019-06-26,10.426846504211426
2019-06-27,10.581894874572754
2019-06-28,10.71368408203125
2019-07-01,10.71368408203125
2019-07-02,10.558639526367188
2019-07-03,10.721436500549316
2019-07-05,10.79120922088623
2019-07-08,10.643913269042969
2019-07-09,10.73694133758545
2019-07-10,10.636161804199219
2019-07-11,10.7446928024292
2019-07-12,10.752447128295898
2019-07-15,10.60515022277832
2019-07-16,10.62065601348877
2019-07-17,10.535382270812988
2019-07-18,10.667169570922852
2019-07-19,10.760197639465332
2019-07-22,10.690425872802734
2019-07-23,10.915243148803711
2019-07-24,11.116803169250488
2019-07-25,11.17106819152832
2019-07-26,11.3261137008667
2019-07-29,11.109051704406738
2019-07-30,11.194327354431152
2019-07-31,11.04703426361084
2019-08-01,10.519875526428223
2019-08-02,10.450103759765625
2019-08-05,10.023728370666504
2019-08-06,10.12450885772705
2019-08-07,9.92294979095459
2019-08-08,10.077997207641602
2019-08-09,10.077997207641602
2019-08-12,9.884187698364258
2019-08-13,10.000471115112305
2019-08-14,9.643864631652832
2019-08-15,9.628361701965332
2019-08-16,10.023728370666504
2019-08-19,10.155518531799316
2019-08-20,10.000471115112305
2019-08-21,10.023728370666504
2019-08-22,10.008224487304688
2019-08-23,9.651618957519531
2019-08-26,9.783408164978027
2019-08-27,9.736893653869629
2019-08-28,9.977216720581055
2019-08-29,10.248547554016113
2019-08-30,10.271803855895996
2019-09-03,9.984965324401855
2019-09-04,10.116756439208984
2019-09-05,10.496618270874023
2019-09-06,10.496618270874023
2019-09-09,10.985014915466309
2019-09-10,11.140059471130371
2019-09-11,11.3261137008667
2019-09-12,11.357125282287598
2019-09-13,11.434649467468262
2019-09-16,11.450312614440918
2019-09-17,11.395488739013672
2019-09-18,11.426816940307617
2019-09-19,11.332833290100098
2019-09-20,11.278010368347168
2019-09-23,11.317169189453125
2019-09-24,11.129201889038086
2019-09-25,11.254512786865234
2019-09-26,11.160531044006348
2019-09-27,11.238848686218262
2019-09-30,11.176193237304688
2019-10-01,10.902076721191406
2019-10-02,10.706277847290039
2019-10-03,10.792427062988281
2019-10-04,10.902076721191406
2019-10-07,10.839418411254883
2019-10-08,10.573134422302246
2019-10-09,10.627957344055176
2019-10-10,10.753268241882324
2019-10-11,10.95689868927002
2019-10-14,10.988226890563965
2019-10-15,11.160531044006348
2019-10-16,11.12137222290039
2019-10-17,11.105707168579102
2019-10-18,11.11353874206543
2019-10-21,11.246682167053223
2019-10-22,11.301506996154785
2019-10-23,11.332833290100098
2019-10-24,11.223184585571289
2019-10-25,11.340665817260742
2019-10-28,11.41898250579834
2019-10-29,11.325000762939453
2019-10-30,11.129201889038086
2019-10-31,11.066547393798828
2019-11-01,11.231017112731934
2019-11-04,11.512967109680176
2019-11-05,11.646110534667969
2019-11-06,11.677437782287598
2019-11-07,11.732259750366211
2019-11-08,11.732259750366211
2019-11-11,11.693103790283203
2019-11-12,11.677437782287598
2019-11-13,11.489473342895508
2019-11-14,11.505135536193848
2019-11-15,11.583455085754395
2019-11-18,11.536462783813477
