,HIG
2019-12-27,53.90815734863281
2019-12-30,54.02387237548828
2019-12-31,54.0950927734375
2020-01-02,54.255313873291016
2020-01-03,53.979373931884766
2020-01-06,53.83694839477539
2020-01-07,53.35626220703125
2020-01-08,53.6411018371582
2020-01-09,53.96156311035156
2020-01-10,53.19602966308594
2020-01-13,52.96458435058594
2020-01-14,53.19602966308594
2020-01-15,53.0535888671875
2020-01-16,53.6500129699707
2020-01-17,54.49565505981445
2020-01-21,53.84584045410156
2020-01-22,53.32065200805664
2020-01-23,52.35036849975586
2020-01-24,52.50170135498047
2020-01-27,51.70944595336914
2020-01-28,52.234649658203125
2020-01-29,52.092227935791016
2020-01-30,52.98238754272461
2020-01-31,52.76874542236328
2020-02-03,53.53428268432617
2020-02-04,51.38009262084961
2020-02-05,52.88446807861328
2020-02-06,53.07139587402344
2020-02-07,53.24053192138672
2020-02-10,52.519500732421875
2020-02-11,52.94678497314453
2020-02-12,52.43048095703125
2020-02-13,52.73313522338867
2020-02-14,52.6085205078125
2020-02-18,52.10112380981445
2020-02-19,51.70944595336914
2020-02-20,51.700565338134766
2020-02-21,51.67384338378906
2020-02-24,50.37421798706055
2020-02-25,49.199195861816406
2020-02-26,48.469276428222656
2020-02-27,46.252769470214844
2020-02-28,44.743404388427734
2020-03-02,47.582977294921875
2020-03-03,46.20349884033203
2020-03-04,48.28166961669922
2020-03-05,46.31099319458008
2020-03-06,45.648136138916016
2020-03-09,41.7605094909668
2020-03-10,43.2653923034668
2020-03-11,40.42583084106445
2020-03-12,35.991798400878906
2020-03-13,38.08788299560547
2020-03-16,30.008092880249023
2020-03-17,29.837894439697266
2020-03-18,23.51380157470703
2020-03-19,30.0260066986084
2020-03-20,28.01053810119629
2020-03-23,27.5089054107666
2020-03-24,31.020305633544922
2020-03-25,29.748323440551758
2020-03-26,31.297990798950195
2020-03-27,31.46817970275879
2020-03-30,32.10417175292969
2020-03-31,31.566720962524414
2020-04-01,29.972257614135742
2020-04-02,29.80206871032715
2020-04-03,28.798812866210938
2020-04-06,30.411182403564453
2020-04-07,33.071598052978516
2020-04-08,34.66606903076172
2020-04-09,37.51458740234375
2020-04-13,36.66361999511719
2020-04-14,36.93234634399414
2020-04-15,34.69293212890625
2020-04-16,33.51948165893555
2020-04-17,35.839508056640625
2020-04-20,34.612308502197266
2020-04-21,32.92827606201172
2020-04-22,31.960853576660156
2020-04-23,32.18479537963867
2020-04-24,32.2833251953125
2020-04-27,34.06590270996094
2020-04-28,35.23935317993164
2020-04-29,36.86068344116211
2020-04-30,34.030067443847656
2020-05-01,31.96980857849121
2020-05-04,31.70107650756836
2020-05-05,31.495059967041016
2020-05-06,30.034957885742188
2020-05-07,31.2711181640625
2020-05-08,32.56101608276367
2020-05-11,31.289039611816406
2020-05-12,30.5903377532959
2020-05-13,28.727144241333008
2020-05-14,29.82893943786621
2020-05-15,29.784149169921875
2020-05-18,31.575674057006836
2020-05-19,30.760536193847656
2020-05-20,31.360692977905273
2020-05-21,33.241798400878906
2020-05-22,33.13431167602539
2020-05-26,34.58544158935547
2020-05-27,35.17665100097656
2020-05-28,35.140811920166016
2020-05-29,34.58531188964844
2020-06-01,35.10920715332031
2020-06-02,36.50019836425781
2020-06-03,38.008628845214844
2020-06-04,39.99575424194336
2020-06-05,42.15452575683594
2020-06-08,42.1274299621582
2020-06-09,40.628028869628906
2020-06-10,38.74929428100586
2020-06-11,35.307918548583984
2020-06-12,36.15696716308594
2020-06-15,36.90666961669922
2020-06-16,37.4757080078125
2020-06-17,37.09634780883789
2020-06-18,37.22279739379883
2020-06-19,36.1118049621582
2020-06-22,35.34405517578125
2020-06-23,35.68727493286133
2020-06-24,34.19691848754883
2020-06-25,34.64854431152344
2020-06-26,33.81755828857422
2020-06-29,34.6214485168457
2020-06-30,34.820159912109375
2020-07-01,34.05241394042969
2020-07-02,33.87174987792969
2020-07-06,34.59434509277344
2020-07-07,33.58271789550781
2020-07-08,34.00724411010742
2020-07-09,32.34526443481445
2020-07-10,33.790462493896484
2020-07-13,33.962074279785156
2020-07-14,34.99177932739258
2020-07-15,36.50019836425781
2020-07-16,38.21636962890625
2020-07-17,37.891204833984375
2020-07-20,37.11440658569336
2020-07-21,37.6111946105957
2020-07-22,38.04475402832031
2020-07-23,38.29765701293945
2020-07-24,37.4666748046875
2020-07-27,36.88859558105469
2020-07-28,36.53633117675781
2020-07-29,37.430545806884766
2020-07-30,36.58149719238281
2020-07-31,38.22541046142578
2020-08-03,37.936363220214844
2020-08-04,36.644718170166016
2020-08-05,37.96345901489258
2020-08-06,37.5570068359375
2020-08-07,38.658958435058594
2020-08-10,39.43575668334961
2020-08-11,39.58027267456055
2020-08-12,38.658958435058594
2020-08-13,38.35185241699219
2020-08-14,38.667999267578125
2020-08-17,37.78281021118164
2020-08-18,37.28603744506836
2020-08-19,36.84343719482422
2020-08-20,36.391815185546875
2020-08-21,35.99439239501953
2020-08-24,37.3492546081543
2020-08-25,37.5028076171875
2020-08-26,36.54536437988281
2020-08-27,37.4757080078125
2020-08-28,37.493770599365234
2020-08-31,36.82465744018555
2020-09-01,37.36177444458008
2020-09-02,37.83516311645508
2020-09-03,37.3526725769043
2020-09-04,37.270729064941406
2020-09-08,36.00531768798828
2020-09-09,35.94158935546875
2020-09-10,35.41356658935547
2020-09-11,35.17686462402344
2020-09-14,35.40446472167969
2020-09-15,34.1208381652832
2020-09-16,34.7216796875
2020-09-17,34.275604248046875
2020-09-18,33.91145706176758
2020-09-21,32.99197006225586
2020-09-22,32.62782669067383
2020-09-23,32.12710952758789
2020-09-24,32.23635482788086
2020-09-25,32.59140396118164
2020-09-28,33.574615478515625
2020-09-29,33.255977630615234
2020-09-30,33.5564079284668
2020-10-01,33.4744758605957
2020-10-02,34.193668365478516
2020-10-05,35.713985443115234
2020-10-06,34.512298583984375
2020-10-07,34.548709869384766
2020-10-08,35.805023193359375
2020-10-09,35.14956283569336
2020-10-12,35.541015625
2020-10-13,34.357540130615234
2020-10-14,34.06620788574219
2020-10-15,34.4394645690918
2020-10-16,34.32112121582031
2020-10-19,33.85681915283203
2020-10-20,34.949275970458984
2020-10-21,36.77912902832031
2020-10-22,36.38766860961914
2020-10-23,36.97030258178711
2020-10-26,35.50460433959961
2020-10-27,34.193668365478516
2020-10-28,34.00248718261719
