,COP
2018-05-01,52.73762130737305
2018-05-02,52.528953552246094
2018-05-03,52.962345123291016
2018-05-04,53.66059494018555
2018-05-07,53.5883674621582
2018-05-08,54.36686706542969
2018-05-09,55.137332916259766
2018-05-10,55.65098571777344
2018-05-11,55.96126174926758
2018-05-14,56.08214569091797
2018-05-15,56.48508834838867
2018-05-16,56.29167938232422
2018-05-17,56.9444580078125
2018-05-18,56.0499153137207
2018-05-21,56.9444580078125
2018-05-22,56.51731872558594
2018-05-23,55.703372955322266
2018-05-24,55.163429260253906
2018-05-25,52.761871337890625
2018-05-29,52.95526885986328
2018-05-30,54.8410758972168
2018-05-31,54.30916976928711
2018-06-01,55.03449630737305
2018-06-04,54.72019577026367
2018-06-05,54.446197509765625
2018-06-06,54.70407485961914
2018-06-07,55.99351501464844
2018-06-08,55.95320129394531
2018-06-11,56.80744552612305
2018-06-12,55.95320129394531
2018-06-13,56.1063232421875
2018-06-14,54.9055290222168
2018-06-15,52.673221588134766
2018-06-18,53.672523498535156
2018-06-19,53.398529052734375
2018-06-20,54.3736572265625
2018-06-21,52.47175216674805
2018-06-22,54.62347412109375
2018-06-25,53.30181121826172
2018-06-26,54.26889419555664
2018-06-27,55.39714431762695
2018-06-28,55.13119888305664
2018-06-29,56.1063232421875
2018-07-02,55.27626037597656
2018-07-03,56.05796813964844
2018-07-05,55.550270080566406
2018-07-06,56.13050842285156
2018-07-09,57.218448638916016
2018-07-10,57.81481170654297
2018-07-11,56.452857971191406
2018-07-12,57.58110046386719
2018-07-13,58.024349212646484
2018-07-16,56.87997817993164
2018-07-17,56.638214111328125
2018-07-18,56.69463348388672
2018-07-19,56.162742614746094
2018-07-20,56.65231704711914
2018-07-23,56.628028869628906
2018-07-24,57.332027435302734
2018-07-25,57.86612319946289
2018-07-26,58.10076904296875
2018-07-27,57.81754684448242
2018-07-30,58.481109619140625
2018-07-31,58.40018081665039
2018-08-01,58.108863830566406
2018-08-02,57.90657043457031
2018-08-03,57.688072204589844
2018-08-06,58.044132232666016
2018-08-07,58.99090576171875
2018-08-08,57.769004821777344
2018-08-09,58.06031036376953
2018-08-10,58.214073181152344
2018-08-13,57.51005172729492
2018-08-14,58.383995056152344
2018-08-15,54.88016128540039
2018-08-16,56.166786193847656
2018-08-17,56.45808410644531
2018-08-20,57.06499099731445
2018-08-21,57.3643913269043
2018-08-22,58.26261520385742
2018-08-23,58.303062438964844
2018-08-24,58.75623321533203
2018-08-27,58.942344665527344
2018-08-28,58.303062438964844
2018-08-29,59.50879669189453
2018-08-30,59.52497100830078
2018-08-31,59.419803619384766
2018-09-04,59.16083526611328
2018-09-05,59.07181930541992
2018-09-06,57.0811767578125
2018-09-07,56.822235107421875
2018-09-10,57.57480239868164
2018-09-11,57.83375549316406
2018-09-12,58.23834228515625
2018-09-13,58.70768356323242
2018-09-14,59.4764289855957
2018-09-17,60.075233459472656
2018-09-18,60.72260284423828
2018-09-19,61.11910629272461
2018-09-20,60.98154067993164
2018-09-21,61.726009368896484
2018-09-24,62.357173919677734
2018-09-25,63.206844329833984
2018-09-26,62.53519821166992
2018-09-27,62.72941207885742
2018-09-28,62.63233184814453
2018-10-01,64.64722442626953
2018-10-02,63.344425201416016
2018-10-03,63.57908248901367
2018-10-04,63.344425201416016
2018-10-05,63.43343734741211
2018-10-08,63.344425201416016
2018-10-09,64.25072479248047
2018-10-10,60.763057708740234
2018-10-11,58.90188980102539
2018-10-12,59.994850158691406
2018-10-15,59.53977966308594
2018-10-16,59.970458984375
2018-10-17,58.8978385925293
2018-10-18,58.987220764160156
2018-10-19,58.90595626831055
2018-10-22,58.548397064208984
2018-10-23,56.24872589111328
2018-10-24,53.380218505859375
2018-10-25,55.273590087890625
2018-10-26,55.647396087646484
2018-10-29,54.72916030883789
2018-10-30,56.49250411987305
2018-10-31,56.801300048828125
2018-11-01,56.541255950927734
2018-11-02,55.127323150634766
2018-11-05,56.09432601928711
2018-11-06,56.47625732421875
2018-11-07,56.90694046020508
2018-11-08,54.37159729003906
2018-11-09,54.22533416748047
2018-11-12,52.93328857421875
2018-11-13,51.77937698364258
2018-11-14,52.104434967041016
2018-11-15,52.990169525146484
2018-11-16,53.72965621948242
2018-11-19,53.98967742919922
2018-11-20,51.998783111572266
2018-11-21,53.20957946777344
2018-11-23,51.84438705444336
2018-11-26,52.57572555541992
2018-11-27,53.047054290771484
2018-11-28,53.916542053222656
2018-11-29,54.339107513427734
2018-11-30,53.77838897705078
2018-12-03,56.15935516357422
2018-12-04,54.379730224609375
2018-12-06,54.1278190612793
2018-12-07,53.55899429321289
2018-12-10,52.98204803466797
2018-12-11,53.177066802978516
2018-12-12,53.03892135620117
2018-12-13,53.737762451171875
2018-12-14,52.45384979248047
2018-12-17,51.29181671142578
2018-12-18,50.30855178833008
2018-12-19,49.7966194152832
2018-12-20,48.75646209716797
2018-12-21,48.593955993652344
2018-12-24,46.3267822265625
2018-12-26,49.97539138793945
2018-12-27,50.568603515625
2018-12-28,50.11353302001953
2018-12-31,50.666107177734375
2019-01-02,51.50310134887695
2019-01-03,50.52796936035156
2019-01-04,51.80375671386719
2019-01-07,51.576229095458984
2019-01-08,52.266944885253906
2019-01-09,53.9977912902832
2019-01-10,55.208580017089844
2019-01-11,53.94905471801758
2019-01-14,53.31521987915039
2019-01-15,53.6565055847168
2019-01-16,53.3558349609375
2019-01-17,54.49348449707031
2019-01-18,55.176090240478516
2019-01-22,53.4289665222168
2019-01-23,53.518367767333984
2019-01-24,53.72965621948242
2019-01-25,54.436607360839844
2019-01-28,53.10393524169922
2019-01-29,53.06330490112305
2019-01-30,53.380218505859375
2019-01-31,55.005428314208984
2019-02-01,55.80990982055664
2019-02-04,56.825679779052734
2019-02-05,56.28121566772461
2019-02-06,56.15935516357422
2019-02-07,54.834781646728516
2019-02-08,54.08787155151367
2019-02-11,54.47969436645508
2019-02-12,55.05927276611328
2019-02-13,55.32864761352539
2019-02-14,56.40616226196289
2019-02-15,57.287757873535156
2019-02-19,56.72450637817383
2019-02-20,57.671424865722656
2019-02-21,57.33673858642578
2019-02-22,57.116329193115234
2019-02-25,56.528602600097656
2019-02-26,56.25923156738281
2019-02-27,56.50411605834961
2019-02-28,55.38579177856445
2019-03-01,56.26739501953125
2019-03-04,57.059200286865234
2019-03-05,56.33269500732422
2019-03-06,55.744972229003906
2019-03-07,55.4674072265625
2019-03-08,53.41034698486328
2019-03-11,53.76952362060547
2019-03-12,53.573604583740234
2019-03-13,54.97765350341797
2019-03-14,54.70825958251953
2019-03-15,55.173545837402344
2019-03-18,55.18987274169922
2019-03-19,54.97765350341797
2019-03-20,55.13274383544922
2019-03-21,55.622520446777344
2019-03-22,53.932777404785156
2019-03-25,54.74908447265625
2019-03-26,55.96535873413086
2019-03-27,55.43476867675781
2019-03-28,55.00211715698242
2019-03-29,54.47969436645508
2019-04-01,55.25517654418945
2019-04-02,54.16135025024414
2019-04-03,53.47565841674805
2019-04-04,53.1899528503418
2019-04-05,53.973609924316406
2019-04-08,54.324615478515625
2019-04-09,53.630741119384766
2019-04-10,54.66746139526367
2019-04-11,54.177677154541016
2019-04-12,54.99396896362305
2019-04-15,54.15317153930664
2019-04-16,53.745033264160156
2019-04-17,53.696048736572266
2019-04-18,53.79401397705078
2019-04-22,54.659271240234375
2019-04-23,54.24296951293945
2019-04-24,52.8144416809082
2019-04-25,52.218563079833984
2019-04-26,51.24715805053711
2019-04-29,51.14103317260742
2019-04-30,51.52470397949219
2019-05-01,51.1573600769043
2019-05-02,50.0308837890625
2019-05-03,50.61861038208008
2019-05-06,50.51250076293945
2019-05-07,49.794151306152344
2019-05-08,50.1451530456543
2019-05-09,50.23494338989258
2019-05-10,50.79689025878906
2019-05-13,50.19804000854492
2019-05-14,51.12504196166992
2019-05-15,50.89535140991211
2019-05-16,51.33013153076172
2019-05-17,50.94456100463867
2019-05-20,51.231693267822266
2019-05-21,52.191524505615234
2019-05-22,51.723907470703125
2019-05-23,48.811614990234375
2019-05-24,49.12335205078125
2019-05-28,49.262821197509766
2019-05-29,49.33665084838867
2019-05-30,48.36042022705078
2019-05-31,48.368629455566406
2019-06-03,48.74599075317383
2019-06-04,48.48347854614258
2019-06-05,46.82634353637695
2019-06-06,47.745147705078125
2019-06-07,48.368629455566406
2019-06-10,48.61473083496094
2019-06-11,48.17993927001953
2019-06-12,48.032283782958984
2019-06-13,48.45066833496094
2019-06-14,48.25376892089844
2019-06-17,48.40963363647461
2019-06-18,49.08233642578125
2019-06-19,48.93467330932617
2019-06-20,49.79606246948242
2019-06-21,49.49253463745117
2019-06-24,49.648399353027344
