,FDS
2020-10-09,315.1951904296875
2020-10-12,317.206787109375
2020-10-13,322.9722900390625
2020-10-14,322.6739196777344
2020-10-15,325.08013916015625
2020-10-16,326.83197021484375
2020-10-19,321.41302490234375
2020-10-20,320.8065490722656
2020-10-21,320.3254089355469
2020-10-22,315.6764221191406
2020-10-23,316.1673583984375
2020-10-26,310.19012451171875
2020-10-27,306.9463806152344
2020-10-28,299.5639343261719
2020-10-29,298.62060546875
2020-10-30,295.0111999511719
2020-11-02,299.5157775878906
2020-11-03,307.5046691894531
2020-11-04,315.5897216796875
2020-11-05,320.489013671875
2020-11-06,323.2417907714844
2020-11-09,304.8385314941406
2020-11-10,310.989013671875
2020-11-11,322.5872802734375
2020-11-12,312.5867919921875
2020-11-13,315.9555358886719
2020-11-16,317.58221435546875
2020-11-17,311.13330078125
2020-11-18,305.1753845214844
2020-11-19,306.0416259765625
2020-11-20,309.4970397949219
2020-11-23,306.9271545410156
2020-11-24,307.8896789550781
2020-11-25,310.19970703125
2020-11-27,311.39605712890625
2020-11-30,322.018798828125
2020-12-01,330.1908264160156
2020-12-02,324.3247375488281
2020-12-03,334.3782043457031
2020-12-04,338.6619567871094
2020-12-07,339.3372497558594
2020-12-08,336.30780029296875
2020-12-09,333.59661865234375
2020-12-10,336.4236145019531
2020-12-11,339.10577392578125
2020-12-14,332.75726318359375
2020-12-15,335.7481994628906
2020-12-16,333.2300109863281
2020-12-17,333.08526611328125
2020-12-18,334.8218994140625
2020-12-21,320.9478454589844
2020-12-22,319.3558654785156
2020-12-23,313.6441345214844
2020-12-24,315.9114990234375
2020-12-28,318.41033935546875
2020-12-29,315.81500244140625
2020-12-30,316.82806396484375
2020-12-31,320.8031005859375
2021-01-04,318.9603271484375
2021-01-05,317.9857482910156
2021-01-06,320.5426330566406
2021-01-07,322.6362609863281
2021-01-08,322.6845397949219
2021-01-11,320.5618591308594
2021-01-12,323.6397399902344
2021-01-13,319.3463134765625
2021-01-14,309.3603210449219
2021-01-15,307.0061950683594
2021-01-19,308.1156921386719
2021-01-20,315.93072509765625
2021-01-21,313.2967834472656
2021-01-22,308.96484375
2021-01-25,306.35003662109375
2021-01-26,300.9278259277344
2021-01-27,301.6899719238281
2021-01-28,297.92718505859375
2021-01-29,291.7041015625
2021-02-01,301.2751159667969
2021-02-02,306.5238037109375
2021-02-03,304.25640869140625
2021-02-04,304.7291259765625
2021-02-05,306.78424072265625
2021-02-08,309.65948486328125
2021-02-09,302.56793212890625
2021-02-10,298.5254211425781
2021-02-11,305.98345947265625
2021-02-12,304.883544921875
2021-02-16,301.60321044921875
2021-02-17,303.95733642578125
2021-02-18,307.29559326171875
2021-02-19,302.64520263671875
2021-02-22,293.1802673339844
2021-02-23,292.1382751464844
2021-02-24,290.3533630371094
2021-02-25,284.72369384765625
2021-02-26,293.9710693359375
2021-03-01,301.0032958984375
2021-03-02,300.7518005371094
2021-03-03,298.7687683105469
2021-03-04,295.1124267578125
2021-03-05,303.972900390625
2021-03-08,305.5689392089844
2021-03-09,302.2703857421875
2021-03-10,302.07696533203125
2021-03-11,302.5122375488281
2021-03-12,300.73248291015625
2021-03-15,308.1031799316406
2021-03-16,307.3680725097656
2021-03-17,305.9558410644531
2021-03-18,299.95855712890625
2021-03-19,301.2547912597656
2021-03-22,304.09869384765625
2021-03-23,309.92181396484375
2021-03-24,310.8406677246094
2021-03-25,310.6666259765625
2021-03-26,314.9710388183594
2021-03-29,313.3556823730469
2021-03-30,301.1580505371094
2021-03-31,298.49798583984375
2021-04-01,306.6425476074219
2021-04-05,310.0668640136719
2021-04-06,307.77435302734375
2021-04-07,299.2428283691406
2021-04-08,299.9973449707031
2021-04-09,299.0202941894531
2021-04-12,301.0806579589844
2021-04-13,301.2160949707031
2021-04-14,299.1460876464844
2021-04-15,304.6016845703125
2021-04-16,308.82867431640625
2021-04-19,306.9617919921875
2021-04-20,308.4224853515625
2021-04-21,311.2275695800781
2021-04-22,313.2008972167969
2021-04-23,335.7486267089844
2021-04-26,325.8917541503906
2021-04-27,330.9700927734375
2021-04-28,325.3984375
2021-04-29,330.1091613769531
2021-04-30,325.22442626953125
2021-05-03,330.8734436035156
2021-05-04,334.297607421875
2021-05-05,325.5436096191406
2021-05-06,327.00421142578125
2021-05-07,326.0272216796875
2021-05-10,324.150634765625
2021-05-11,321.00689697265625
2021-05-12,315.8319396972656
2021-05-13,317.785888671875
2021-05-14,320.08795166015625
2021-05-17,315.8512878417969
2021-05-18,311.19854736328125
2021-05-19,311.8564147949219
2021-05-20,316.605712890625
2021-05-21,317.4183654785156
2021-05-24,318.1824951171875
2021-05-25,318.9466552734375
2021-05-26,320.6684265136719
2021-05-27,322.19085693359375
2021-05-28,324.2272033691406
2021-06-01,314.287841796875
2021-06-02,317.5654296875
2021-06-03,315.1315002441406
2021-06-04,315.5581359863281
2021-06-07,313.3569030761719
2021-06-08,313.59930419921875
2021-06-09,312.0284118652344
2021-06-10,314.60784912109375
2021-06-11,318.4477844238281
2021-06-14,318.0599670410156
2021-06-15,318.0405578613281
2021-06-16,316.5763244628906
2021-06-17,318.6223449707031
2021-06-18,315.4804992675781
2021-06-21,319.6793518066406
2021-06-22,320.765380859375
2021-06-23,318.5641174316406
2021-06-24,320.6101989746094
2021-06-25,322.01629638671875
2021-06-28,326.8162841796875
2021-06-29,325.9241638183594
2021-06-30,325.4393005371094
2021-07-01,325.652587890625
2021-07-02,328.2126159667969
2021-07-06,330.6756286621094
2021-07-07,329.2987060546875
2021-07-08,330.5107727050781
2021-07-09,332.7992858886719
2021-07-12,329.250244140625
2021-07-13,325.3326416015625
2021-07-14,325.5362854003906
2021-07-15,328.5714416503906
2021-07-16,330.8404846191406
2021-07-19,326.9617004394531
2021-07-20,329.62835693359375
2021-07-21,330.1714172363281
2021-07-22,330.5011291503906
2021-07-23,334.7677917480469
2021-07-26,332.3629150390625
2021-07-27,333.6622619628906
2021-07-28,334.88409423828125
2021-07-29,338.6175231933594
2021-07-30,346.45257568359375
2021-08-02,348.33380126953125
2021-08-03,347.1313171386719
2021-08-04,347.9168701171875
2021-08-05,348.1107482910156
2021-08-06,351.2138671875
2021-08-09,351.62103271484375
2021-08-10,351.029541015625
2021-08-11,353.298583984375
2021-08-12,351.785888671875
2021-08-13,356.9641418457031
2021-08-16,362.60772705078125
2021-08-17,363.2186279296875
2021-08-18,350.2247009277344
2021-08-19,354.0937805175781
2021-08-20,357.79803466796875
2021-08-23,355.4998779296875
2021-08-24,356.4986572265625
2021-08-25,364.6052551269531
2021-08-26,362.6755676269531
2021-08-27,365.1677551269531
2021-08-30,369.36590576171875
2021-08-31,369.501953125
2021-09-01,374.9635925292969
2021-09-02,376.00341796875
2021-09-03,375.0316162109375
2021-09-07,371.63018798828125
2021-09-08,373.9917297363281
2021-09-09,372.7575988769531
2021-09-10,373.1851501464844
2021-09-13,371.79547119140625
2021-09-14,372.9324035644531
2021-09-15,372.9518737792969
2021-09-16,371.4067077636719
2021-09-17,367.5874938964844
2021-09-20,363.9529724121094
2021-09-21,360.64874267578125
2021-09-22,363.8751525878906
2021-09-23,362.9714660644531
2021-09-24,362.27166748046875
2021-09-27,358.71484375
2021-09-28,372.4854431152344
2021-09-29,383.3891906738281
2021-09-30,383.6515808105469
2021-10-01,383.0198974609375
2021-10-04,385.4299621582031
2021-10-05,385.55633544921875
2021-10-06,383.6903991699219
2021-10-07,390.3376159667969
2021-10-08,389.822509765625
2021-10-11,393.729248046875
2021-10-12,399.2782897949219
2021-10-13,398.1801452636719
2021-10-14,402.97119140625
2021-10-15,403.1947326660156
2021-10-18,404.0789794921875
2021-10-19,410.4443359375
2021-10-20,409.44342041015625
2021-10-21,414.95355224609375
2021-10-22,418.8214111328125
2021-10-25,420.5706787109375
2021-10-26,423.0876770019531
2021-10-27,419.6863098144531
2021-10-28,426.4209289550781
2021-10-29,431.377197265625
2021-11-01,422.5628967285156
2021-11-02,423.6902160644531
2021-11-03,427.82037353515625
2021-11-04,431.0467224121094
2021-11-05,434.30230712890625
2021-11-08,435.34222412109375
2021-11-09,433.2138671875
2021-11-10,435.9349365234375
2021-11-11,443.9232482910156
2021-11-12,443.7969970703125
2021-11-15,449.9194030761719
2021-11-16,447.90771484375
2021-11-17,448.1798095703125
2021-11-18,448.646240234375
2021-11-19,448.1991882324219
2021-11-22,442.9320373535156
2021-11-23,451.9018249511719
2021-11-24,455.8473815917969
2021-11-26,445.56561279296875
2021-11-29,457.0145568847656
2021-11-30,456.17742919921875
2021-12-01,450.5794372558594
2021-12-02,457.9978942871094
2021-12-03,454.0452575683594
2021-12-06,447.610107421875
2021-12-07,454.4833984375
2021-12-08,461.9310607910156
2021-12-09,450.43341064453125
2021-12-10,453.7434997558594
2021-12-13,454.2010803222656
2021-12-14,449.6740417480469
2021-12-15,456.9270324707031
2021-12-16,458.9324951171875
2021-12-17,460.60699462890625
2021-12-20,458.513916015625
2021-12-21,462.27178955078125
2021-12-22,464.80303955078125
2021-12-23,466.82806396484375
2021-12-27,472.77642822265625
2021-12-28,474.83062744140625
2021-12-29,475.9210205078125
2021-12-30,471.919677734375
2021-12-31,473.1561279296875
2022-01-03,463.43035888671875
2022-01-04,459.9644775390625
2022-01-05,439.3543701171875
2022-01-06,437.54351806640625
2022-01-07,430.1834716796875
2022-01-10,431.196044921875
2022-01-11,432.75372314453125
2022-01-12,435.927490234375
2022-01-13,422.6092834472656
2022-01-14,415.8138732910156
2022-01-18,417.37158203125
2022-01-19,418.14068603515625
2022-01-20,414.34375
2022-01-21,409.0087585449219
2022-01-24,409.8459777832031
2022-01-25,403.5276794433594
2022-01-26,396.09942626953125
2022-01-27,396.0799865722656
2022-01-28,401.25921630859375
2022-01-31,410.73199462890625
2022-02-01,410.1867980957031
2022-02-02,417.3618469238281
2022-02-03,408.1131286621094
2022-02-04,409.1645202636719
2022-02-07,406.4775695800781
2022-02-08,408.3661804199219
2022-02-09,406.5456237792969
2022-02-10,397.3650817871094
2022-02-11,396.29412841796875
2022-02-14,389.4500732421875
2022-02-15,397.2093200683594
2022-02-16,401.4150695800781
2022-02-17,394.9506530761719
2022-02-18,392.351318359375
2022-02-22,393.4610900878906
2022-02-23,383.57952880859375
2022-02-24,382.4307861328125
2022-02-25,396.80120849609375
2022-02-28,396.1767883300781
2022-03-01,401.80596923828125
2022-03-02,407.7961120605469
2022-03-03,401.6011047363281
2022-03-04,402.9669189453125
2022-03-07,402.7620544433594
2022-03-08,397.23046875
2022-03-09,404.8302917480469
2022-03-10,397.0645751953125
2022-03-11,397.8352966308594
2022-03-14,398.3035888671875
2022-03-15,406.25469970703125
2022-03-16,409.01556396484375
2022-03-17,416.71295166015625
2022-03-18,428.42974853515625
2022-03-21,426.839599609375
2022-03-22,425.1713562011719
2022-03-23,416.46905517578125
2022-03-24,409.1522216796875
2022-03-25,404.06939697265625
2022-03-28,420.8104248046875
2022-03-29,426.6737365722656
2022-03-30,429.1614685058594
2022-03-31,423.5518493652344
2022-04-01,418.6446228027344
2022-04-04,422.5957946777344
2022-04-05,430.0296936035156
2022-04-06,431.8248596191406
2022-04-07,433.7174987792969
2022-04-08,431.0345764160156
2022-04-11,421.5909423828125
2022-04-12,415.2105407714844
2022-04-13,416.93731689453125
2022-04-14,410.3033447265625
2022-04-18,411.9227600097656
2022-04-19,423.8835754394531
2022-04-20,432.57598876953125
2022-04-21,427.7078552246094
2022-04-22,416.8008117675781
2022-04-25,418.56658935546875
2022-04-26,406.6936340332031
2022-04-27,406.3522033691406
2022-04-28,409.13262939453125
2022-04-29,393.64031982421875
2022-05-02,385.1722106933594
2022-05-03,389.4647521972656
2022-05-04,389.6013488769531
2022-05-05,373.30902099609375
2022-05-06,368.93841552734375
2022-05-09,354.95819091796875
2022-05-10,358.1581115722656
2022-05-11,356.8605651855469
2022-05-12,357.4752502441406
2022-05-13,362.733642578125
2022-05-16,363.3580322265625
2022-05-17,365.0262756347656
2022-05-18,347.40716552734375
2022-05-19,351.6217041015625
2022-05-20,355.67041015625
2022-05-23,363.14337158203125
2022-05-24,361.748291015625
2022-05-25,361.5921630859375
2022-05-26,369.601806640625
2022-05-27,379.4295654296875
2022-05-31,373.3373718261719
2022-06-01,366.3062744140625
2022-06-02,376.0069274902344
2022-06-03,370.9317321777344
2022-06-06,369.4648742675781
2022-06-07,373.1514892578125
2022-06-08,368.13494873046875
2022-06-09,361.4266662597656
2022-06-10,354.91400146484375
2022-06-13,344.9591064453125
2022-06-14,342.9641418457031
2022-06-15,348.0002746582031
2022-06-16,340.99859619140625
2022-06-17,341.6048583984375
2022-06-21,350.8361511230469
2022-06-22,351.9802551269531
2022-06-23,380.1629638671875
2022-06-24,383.83978271484375
2022-06-27,382.5001220703125
2022-06-28,367.6850891113281
2022-06-29,374.6280822753906
2022-06-30,376.0655822753906
2022-07-01,385.482666015625
2022-07-05,387.05706787109375
2022-07-06,392.9634704589844
2022-07-07,392.9634704589844
2022-07-08,392.7483215332031
2022-07-11,394.9583435058594
2022-07-12,384.6025390625
2022-07-13,384.18206787109375
2022-07-14,387.69268798828125
2022-07-15,391.1348571777344
2022-07-18,382.20672607421875
2022-07-19,390.8316955566406
2022-07-20,392.1714172363281
2022-07-21,401.96002197265625
2022-07-22,399.0068359375
2022-07-25,397.2466125488281
2022-07-26,396.27850341796875
2022-07-27,399.7695617675781
