,BEN
2019-12-06,21.42173194885254
2019-12-09,21.43759536743164
2019-12-10,20.50139045715332
2019-12-11,20.572797775268555
2019-12-12,21.255117416381836
2019-12-13,20.620397567749023
2019-12-16,20.763208389282227
2019-12-17,20.818748474121094
2019-12-18,20.70767593383789
2019-12-19,20.73940658569336
2019-12-20,20.469654083251953
2019-12-23,20.77907371520996
2019-12-24,20.73940658569336
2019-12-26,20.882217407226562
2019-12-27,20.82668113708496
2019-12-30,20.69841766357422
2019-12-31,20.82668113708496
2020-01-02,20.53007698059082
2020-01-03,20.113218307495117
2020-01-06,20.273548126220703
2020-01-07,20.489990234375
2020-01-08,20.377763748168945
2020-01-09,20.20140266418457
2020-01-10,20.05710220336914
2020-01-13,20.449913024902344
2020-01-14,20.24148178100586
2020-01-15,20.13727378845215
2020-01-16,20.65032386779785
2020-01-17,20.63429069519043
2020-01-21,20.449913024902344
2020-01-22,20.730485916137695
2020-01-23,20.586191177368164
2020-01-24,20.24949836730957
2020-01-27,19.75248146057129
2020-01-28,20.113218307495117
2020-01-29,19.912811279296875
2020-01-30,21.01106071472168
2020-01-31,20.281564712524414
2020-02-03,20.20140266418457
2020-02-04,20.506027221679688
2020-02-05,21.091224670410156
2020-02-06,20.90684700012207
2020-02-07,20.522058486938477
2020-02-10,20.522058486938477
2020-02-11,20.16933250427246
2020-02-12,19.72843360900879
2020-02-13,19.40777587890625
2020-02-14,19.52802085876465
2020-02-18,20.882797241210938
2020-02-19,20.337684631347656
2020-02-20,20.578174591064453
2020-02-21,20.20140266418457
2020-02-24,19.391740798950195
2020-02-25,18.90274429321289
2020-02-26,18.4458065032959
2020-02-27,18.149194717407227
2020-02-28,17.443750381469727
2020-03-02,18.718360900878906
2020-03-03,18.75042724609375
2020-03-04,18.774477005004883
2020-03-05,17.740358352661133
2020-03-06,17.355567932128906
2020-03-09,15.640054702758789
2020-03-10,16.153106689453125
2020-03-11,15.07088851928711
2020-03-12,13.435535430908203
2020-03-13,14.517754554748535
2020-03-16,14.237178802490234
2020-03-17,16.16112518310547
2020-03-18,15.872529983520508
2020-03-19,15.575922966003418
2020-03-20,13.547765731811523
2020-03-23,12.26513671875
2020-03-24,13.275205612182617
2020-03-25,13.459587097167969
2020-03-26,14.605934143066406
2020-03-27,13.908504486083984
2020-03-30,14.462241172790527
2020-03-31,13.590923309326172
2020-04-01,12.915037155151367
2020-04-02,13.077903747558594
2020-04-03,12.711459159851074
2020-04-06,13.639778137207031
2020-04-07,13.55020523071289
2020-04-08,13.998078346252441
2020-04-09,13.688639640808105
2020-04-13,13.102334976196289
2020-04-14,13.289621353149414
2020-04-15,12.467167854309082
2020-04-16,12.556740760803223
2020-04-17,13.30591106414795
2020-04-20,13.25705337524414
2020-04-21,13.012757301330566
2020-04-22,13.134905815124512
2020-04-23,12.915037155151367
2020-04-24,12.963899612426758
2020-04-27,13.713068962097168
2020-04-28,14.169084548950195
2020-04-29,15.05669116973877
2020-04-30,15.341699600219727
2020-05-01,14.682104110717773
2020-05-04,14.926398277282715
2020-05-05,14.625100135803223
2020-05-06,14.445952415466309
2020-05-07,14.771677017211914
2020-05-08,15.63485336303711
2020-05-11,15.936147689819336
2020-05-12,14.665816307067871
2020-05-13,14.112080574035645
2020-05-14,14.682104110717773
2020-05-15,14.462241172790527
2020-05-18,14.93454360961914
2020-05-19,14.60067367553711
2020-05-20,14.820540428161621
2020-05-21,14.625100135803223
2020-05-22,14.568098068237305
2020-05-26,15.439416885375977
2020-05-27,15.757006645202637
2020-05-28,15.398698806762695
2020-05-29,15.366131782531738
2020-06-01,15.871007919311523
2020-06-02,16.123441696166992
2020-06-03,17.173908233642578
2020-06-04,17.581066131591797
2020-06-05,18.484956741333008
2020-06-08,19.73085594177246
2020-06-09,19.2585506439209
2020-06-10,18.354665756225586
2020-06-11,16.978471755981445
2020-06-12,17.743934631347656
2020-06-15,18.102230072021484
2020-06-16,18.313949584960938
2020-06-17,18.322093963623047
2020-06-18,18.370952606201172
2020-06-19,17.874216079711914
2020-06-22,17.66249656677246
2020-06-23,17.54849624633789
2020-06-24,16.954042434692383
2020-06-25,17.1657657623291
2020-06-26,16.318878173828125
2020-06-29,16.644601821899414
2020-06-30,17.076189041137695
2020-07-01,16.449167251586914
2020-07-02,16.59574317932129
2020-07-06,17.04361915588379
2020-07-07,16.83189582824707
2020-07-08,17.20648193359375
2020-07-09,16.50617027282715
2020-07-10,17.18205451965332
2020-07-13,16.98661994934082
2020-07-14,17.12686538696289
2020-07-15,17.75385856628418
2020-07-16,17.580610275268555
2020-07-17,17.366113662719727
2020-07-20,16.829866409301758
2020-07-21,17.53936195373535
2020-07-22,17.2506160736084
2020-07-23,17.15986442565918
2020-07-24,16.9948673248291
2020-07-27,17.341365814208984
2020-07-28,16.96186637878418
2020-07-29,17.423864364624023
2020-07-30,17.052614212036133
2020-07-31,17.366113662719727
2020-08-03,17.712610244750977
2020-08-04,17.49811363220215
2020-08-05,18.298357009887695
2020-08-06,18.026107788085938
2020-08-07,18.40560531616211
2020-08-10,18.46335792541504
2020-08-11,18.702600479125977
2020-08-12,18.158105850219727
2020-08-13,18.050857543945312
2020-08-14,18.108606338500977
2020-08-17,17.984859466552734
2020-08-18,17.91885757446289
2020-08-19,17.877609252929688
2020-08-20,17.46511459350586
