,JBHT
2021-01-07,143.43751525878906
2021-01-08,144.28768920898438
2021-01-11,143.1186981201172
2021-01-12,143.978515625
2021-01-13,144.16207885742188
2021-01-14,146.79953002929688
2021-01-15,146.37445068359375
2021-01-19,143.48580932617188
2021-01-20,144.93496704101562
2021-01-21,142.30718994140625
2021-01-22,141.18646240234375
2021-01-25,141.7661590576172
2021-01-26,138.5972900390625
2021-01-27,131.1293182373047
2021-01-28,132.14376831054688
2021-01-29,130.09559631347656
2021-02-01,132.2693328857422
2021-02-02,135.83424377441406
2021-02-03,134.33680725097656
2021-02-04,137.53134155273438
2021-02-05,140.02896118164062
2021-02-08,141.35520935058594
2021-02-09,143.6107635498047
2021-02-10,142.03285217285156
2021-02-11,142.61366271972656
2021-02-12,143.58172607421875
2021-02-16,141.64559936523438
2021-02-17,139.22547912597656
2021-02-18,142.2070770263672
2021-02-19,141.8779296875
2021-02-22,140.90020751953125
2021-02-23,139.89341735839844
2021-02-24,141.97476196289062
2021-02-25,141.8004913330078
2021-02-26,142.1780548095703
2021-03-01,144.61753845214844
2021-03-02,145.91470336914062
2021-03-03,147.7152862548828
2021-03-04,144.52072143554688
2021-03-05,150.65817260742188
2021-03-08,154.2980499267578
2021-03-09,155.55654907226562
2021-03-10,151.9844207763672
2021-03-11,154.20126342773438
2021-03-12,157.628173828125
2021-03-15,156.30198669433594
2021-03-16,153.1170196533203
2021-03-17,154.791748046875
2021-03-18,156.91183471679688
2021-03-19,157.12477111816406
2021-03-22,153.34938049316406
2021-03-23,150.9679412841797
2021-03-24,154.43359375
2021-03-25,156.26324462890625
2021-03-26,161.56813049316406
2021-03-29,161.99411010742188
2021-03-30,163.93019104003906
2021-03-31,162.7007598876953
2021-04-01,164.37550354003906
2021-04-05,165.60494995117188
2021-04-06,163.89151000976562
2021-04-07,163.90115356445312
2021-04-08,162.25546264648438
2021-04-09,164.0947723388672
2021-04-12,166.0211944580078
2021-04-13,164.96603393554688
2021-04-14,163.7753143310547
2021-04-15,164.3464813232422
2021-04-16,166.66014099121094
2021-04-19,161.59718322753906
2021-04-20,162.99118041992188
2021-04-21,161.45201110839844
2021-04-22,164.17222595214844
2021-04-23,163.794677734375
2021-04-26,162.40066528320312
2021-04-27,164.22061157226562
2021-04-28,163.5236053466797
2021-04-29,166.5246124267578
2021-04-30,165.25645446777344
2021-05-03,168.5381622314453
2021-05-04,170.9292449951172
2021-05-05,168.10250854492188
2021-05-06,169.60560607910156
2021-05-07,172.87359619140625
2021-05-10,175.0070037841797
2021-05-11,171.09896850585938
2021-05-12,167.9376678466797
2021-05-13,170.66262817382812
2021-05-14,171.1474609375
