,HCA
2015-07-13,88.79214477539062
2015-07-14,88.7078628540039
2015-07-15,88.14595794677734
2015-07-16,87.79006958007812
2015-07-17,87.32181549072266
2015-07-20,87.25624084472656
2015-07-21,86.42274475097656
2015-07-22,87.34990692138672
2015-07-23,87.396728515625
2015-07-24,86.93782806396484
2015-07-27,86.18861389160156
2015-07-28,86.43212890625
2015-07-29,87.6214828491211
2015-07-30,87.0595932006836
2015-07-31,87.10641479492188
2015-08-03,86.98464965820312
2015-08-04,88.07102966308594
2015-08-05,86.40400695800781
2015-08-06,85.57984924316406
2015-08-07,85.65477752685547
2015-08-10,85.626708984375
2015-08-11,84.71826171875
2015-08-12,85.11160278320312
2015-08-13,85.0835189819336
2015-08-14,85.59858703613281
2015-08-17,85.52366638183594
2015-08-18,84.73699188232422
2015-08-19,84.11888885498047
2015-08-20,81.52470397949219
2015-08-21,80.77545928955078
2015-08-24,78.95860290527344
2015-08-25,77.83480072021484
2015-08-26,81.4310531616211
2015-08-27,83.20108032226562
2015-08-28,83.18234252929688
2015-08-31,81.12200927734375
2015-09-01,78.96797180175781
2015-09-02,80.04498291015625
2015-09-03,80.91596221923828
2015-09-04,79.98878479003906
2015-09-08,81.87124633789062
2015-09-09,80.51324462890625
2015-09-10,79.86703491210938
2015-09-11,79.31449127197266
2015-09-14,79.5860824584961
2015-09-15,80.39148712158203
2015-09-16,79.79214477539062
2015-09-17,80.56006622314453
2015-09-18,77.2447738647461
2015-09-21,77.02002716064453
2015-09-22,77.45081329345703
2015-09-23,78.81813049316406
2015-09-24,76.70156860351562
2015-09-25,74.40709686279297
2015-09-28,69.33113098144531
2015-09-29,69.37794494628906
2015-09-30,72.44977569580078
2015-10-01,72.19686889648438
2015-10-02,72.94612884521484
2015-10-05,73.84516906738281
2015-10-06,72.2999038696289
2015-10-07,72.62771606445312
2015-10-08,71.7942123413086
2015-10-09,72.96485900878906
2015-10-12,72.85247802734375
2015-10-13,71.0449447631836
2015-10-14,71.19480895996094
2015-10-15,67.62665557861328
2015-10-16,68.31967163085938
2015-10-19,68.84413146972656
2015-10-20,67.82333374023438
2015-10-21,66.68074798583984
2015-10-22,61.88572311401367
2015-10-23,64.60164642333984
2015-10-26,64.69529724121094
2015-10-27,64.43309020996094
2015-10-28,64.60164642333984
2015-10-29,63.40286636352539
2015-10-30,64.42372131347656
