,MDLZ
2020-01-16,49.47062301635742
2020-01-17,49.44373321533203
2020-01-21,49.784366607666016
2020-01-22,49.72161865234375
2020-01-23,49.69472122192383
2020-01-24,49.380985260009766
2020-01-27,49.02244567871094
2020-01-28,49.165863037109375
2020-01-29,48.90591812133789
2020-01-30,52.706512451171875
2020-01-31,51.43368148803711
2020-02-03,51.586055755615234
2020-02-04,51.478492736816406
2020-02-05,51.91770935058594
2020-02-06,52.36589813232422
2020-02-07,52.581016540527344
2020-02-10,52.85890579223633
2020-02-11,52.769264221191406
2020-02-12,52.84098434448242
2020-02-13,52.912681579589844
2020-02-14,53.495338439941406
2020-02-18,53.47740936279297
2020-02-19,53.15471267700195
2020-02-20,52.92164611816406
2020-02-21,52.661705017089844
2020-02-24,51.75636672973633
2020-02-25,51.11098098754883
2020-02-26,50.96757125854492
2020-02-27,48.8162841796875
2020-02-28,47.32830810546875
2020-03-02,49.838138580322266
2020-03-03,49.11207962036133
2020-03-04,51.998390197753906
2020-03-05,50.96757125854492
2020-03-06,49.891910552978516
2020-03-09,48.35016632080078
2020-03-10,49.21964645385742
2020-03-11,46.915977478027344
2020-03-12,42.586517333984375
2020-03-13,45.64312744140625
2020-03-16,40.4262580871582
2020-03-17,43.7607536315918
2020-03-18,41.72599411010742
2020-03-19,40.75791549682617
2020-03-20,38.83072280883789
2020-03-23,37.58477020263672
2020-03-24,41.82459259033203
2020-03-25,41.33159637451172
2020-03-26,43.83246994018555
2020-03-27,42.92713928222656
2020-03-30,46.10575485229492
2020-03-31,45.1589241027832
2020-04-01,43.89649963378906
2020-04-02,45.42945098876953
2020-04-03,45.799163818359375
2020-04-06,46.91730880737305
2020-04-07,46.70991134643555
2020-04-08,46.70089340209961
2020-04-09,47.19685363769531
2020-04-13,46.908294677734375
2020-04-14,49.153602600097656
2020-04-15,48.43223190307617
2020-04-16,48.179744720458984
2020-04-17,48.22483444213867
2020-04-20,48.233848571777344
2020-04-21,46.060665130615234
2020-04-22,47.088645935058594
2020-04-23,46.286094665527344
2020-04-24,46.35823440551758
2020-04-27,46.421356201171875
2020-04-28,46.14181137084961
2020-04-29,46.03361892700195
2020-04-30,46.38528823852539
