,EQIX
2020-02-04,558.869873046875
2020-02-05,552.8109741210938
2020-02-06,555.0819091796875
2020-02-07,557.1688842773438
2020-02-10,562.713134765625
2020-02-11,564.12890625
2020-02-12,572.9277954101562
2020-02-13,584.5216064453125
2020-02-14,596.3822021484375
2020-02-18,591.72998046875
2020-02-19,591.8495483398438
2020-02-20,596.1432495117188
2020-02-21,603.1307983398438
2020-02-24,592.9344482421875
2020-02-25,583.4619750976562
2020-02-26,581.4862670898438
2020-02-27,551.6199340820312
2020-02-28,528.8253784179688
2020-03-02,571.3678588867188
2020-03-03,567.9332885742188
2020-03-04,595.934814453125
2020-03-05,569.327392578125
2020-03-06,561.941650390625
2020-03-09,529.9888305664062
2020-03-10,563.4281005859375
2020-03-11,552.829345703125
2020-03-12,521.7442016601562
2020-03-13,573.4081420898438
2020-03-16,500.78692626953125
2020-03-17,531.0226440429688
2020-03-18,528.2161865234375
2020-03-19,507.77569580078125
2020-03-20,467.6337890625
2020-03-23,451.588134765625
2020-03-24,503.9813232421875
2020-03-25,511.3948059082031
2020-03-26,542.4708251953125
2020-03-27,548.64697265625
2020-03-30,595.3624267578125
2020-03-31,576.6209106445312
2020-04-01,549.7457885742188
2020-04-02,578.07958984375
2020-04-03,576.731689453125
2020-04-06,602.148193359375
2020-04-07,575.7439575195312
2020-04-08,613.2638549804688
2020-04-09,634.2026977539062
2020-04-13,606.7366333007812
2020-04-14,636.0031127929688
2020-04-15,623.6687622070312
2020-04-16,630.3252563476562
2020-04-17,641.5977783203125
2020-04-20,619.255615234375
2020-04-21,620.59423828125
2020-04-22,632.2178344726562
2020-04-23,632.8639526367188
2020-04-24,632.5040283203125
2020-04-27,648.1065673828125
2020-04-28,631.2667846679688
2020-04-29,627.1676635742188
2020-04-30,623.3640747070312
2020-05-01,619.3479614257812
2020-05-04,624.0748291015625
2020-05-05,633.6949462890625
2020-05-06,631.6639404296875
2020-05-07,623.4933471679688
2020-05-08,626.0967407226562
2020-05-11,625.9491577148438
2020-05-12,612.7008056640625
2020-05-13,626.6876831054688
2020-05-14,608.6477661132812
2020-05-15,608.0938720703125
2020-05-18,611.5281982421875
2020-05-19,602.6387939453125
2020-05-20,607.5978393554688
2020-05-21,597.3274536132812
