,WMT
2016-11-02,19.902587890625
2016-11-03,19.954172134399414
2016-11-04,19.819482803344727
2016-11-07,19.997159957885742
2016-11-08,20.00002670288086
2016-11-09,20.375438690185547
2016-11-10,20.45854377746582
2016-11-11,20.412696838378906
2016-11-14,20.200626373291016
2016-11-15,20.46713638305664
2016-11-16,20.45854377746582
2016-11-17,19.828083038330078
2016-11-18,19.64181137084961
2016-11-21,19.87966537475586
2016-11-22,20.09459686279297
2016-11-23,20.298063278198242
2016-11-25,20.412696838378906
2016-11-28,20.401229858398438
2016-11-29,20.45281219482422
2016-11-30,20.183433532714844
2016-12-01,20.25221061706543
2016-12-02,20.312393188476562
2016-12-05,20.043010711669922
2016-12-06,20.163375854492188
2016-12-07,20.376956939697266
2016-12-08,20.301916122436523
2016-12-09,20.22687339782715
2016-12-12,20.685791015625
2016-12-13,20.72330665588379
2016-12-14,20.59053611755371
2016-12-15,20.515501022338867
2016-12-16,20.486637115478516
2016-12-19,20.65981101989746
2016-12-20,20.729076385498047
2016-12-21,20.561683654785156
2016-12-22,20.0854434967041
2016-12-23,20.071014404296875
2016-12-27,20.117189407348633
2016-12-28,20.004629135131836
2016-12-29,19.990201950073242
2016-12-30,19.94978904724121
2017-01-03,19.817026138305664
2017-01-04,19.932466506958008
2017-01-05,19.975770950317383
2017-01-06,19.701574325561523
2017-01-09,19.831453323364258
2017-01-10,19.692913055419922
2017-01-11,19.779499053955078
2017-01-12,19.617870330810547
2017-01-13,19.37542724609375
2017-01-17,19.747753143310547
2017-01-18,19.658281326293945
2017-01-19,19.51685333251953
2017-01-20,19.38985824584961
2017-01-23,19.236879348754883
2017-01-24,19.45335578918457
2017-01-25,19.306154251098633
2017-01-26,19.259981155395508
2017-01-27,18.951143264770508
2017-01-30,19.170495986938477
2017-01-31,19.262861251831055
2017-02-01,19.115663528442383
2017-02-02,19.251312255859375
2017-02-03,19.19359016418457
2017-02-06,19.164724349975586
2017-02-07,19.306154251098633
2017-02-08,19.571687698364258
2017-02-09,19.938249588012695
2017-02-10,19.632299423217773
2017-02-13,19.560148239135742
2017-02-14,19.817026138305664
2017-02-15,19.825679779052734
2017-02-16,19.877634048461914
2017-02-17,20.02195167541504
2017-02-21,20.622289657592773
2017-02-22,20.69733238220215
2017-02-23,20.581876754760742
2017-02-24,20.893598556518555
2017-02-27,20.705989837646484
2017-02-28,20.472198486328125
2017-03-01,20.333662033081055
2017-03-02,20.42313575744629
2017-03-03,20.212438583374023
2017-03-06,20.169147491455078
2017-03-07,20.166261672973633
2017-03-08,20.2941837310791
2017-03-09,20.311634063720703
2017-03-10,20.381406784057617
2017-03-13,20.337799072265625
2017-03-14,20.561677932739258
2017-03-15,20.520971298217773
2017-03-16,20.48026466369629
2017-03-17,20.32035255432129
2017-03-20,20.34652328491211
2017-03-21,20.32326889038086
2017-03-22,20.42502784729004
2017-03-23,20.311634063720703
2017-03-24,20.23894500732422
2017-03-27,20.25348472595215
2017-03-28,20.44537925720215
2017-03-29,20.567485809326172
2017-03-30,20.814626693725586
2017-03-31,20.95709228515625
2017-04-03,20.88440704345703
2017-04-04,20.93674087524414
2017-04-05,20.83206558227539
2017-04-06,20.76810073852539
2017-04-07,21.195507049560547
2017-04-10,21.242023468017578
2017-04-11,21.3496036529541
2017-04-12,21.352514266967773
2017-04-13,21.268192291259766
2017-04-17,21.367050170898438
2017-04-18,21.48334312438965
2017-04-19,21.53567886352539
2017-04-20,21.7479248046875
2017-04-21,21.78862762451172
