,EQR
2015-10-09,48.3350830078125
2015-10-12,48.734291076660156
2015-10-13,48.154197692871094
2015-10-14,47.64894485473633
2015-10-15,48.79667663574219
2015-10-16,49.114784240722656
2015-10-19,49.9818115234375
2015-10-20,49.588829040527344
2015-10-21,49.55763626098633
2015-10-22,49.72605895996094
2015-10-23,49.57011795043945
2015-10-26,50.487060546875
2015-10-27,49.676177978515625
2015-10-28,49.220821380615234
2015-10-29,48.74052429199219
2015-10-30,48.22905349731445
2015-11-02,49.969329833984375
2015-11-03,49.56388473510742
2015-11-04,49.364280700683594
2015-11-05,49.376766204833984
2015-11-06,47.96706008911133
2015-11-09,47.530418395996094
2015-11-10,48.38497543334961
2015-11-11,48.89646530151367
2015-11-12,48.466064453125
2015-11-13,48.2103271484375
2015-11-16,48.83409118652344
2015-11-17,49.05864334106445
2015-11-18,49.108551025390625
2015-11-19,49.35803985595703
2015-11-20,49.676177978515625
2015-11-23,49.76973342895508
2015-11-24,49.3518180847168
2015-11-25,49.813392639160156
2015-11-27,50.3061637878418
2015-11-30,49.7884407043457
2015-12-01,50.60558319091797
2015-12-02,49.85704803466797
2015-12-03,48.42240524291992
2015-12-04,49.688655853271484
2015-12-07,49.34556198120117
2015-12-08,49.05864334106445
2015-12-09,48.38497543334961
2015-12-10,48.16044616699219
2015-12-11,48.37250900268555
2015-12-14,48.77171325683594
2015-12-15,49.4765510559082
2015-12-16,50.41844940185547
2015-12-17,50.262508392333984
2015-12-18,49.83833694458008
2015-12-21,49.95061111450195
2015-12-22,49.91943359375
2015-12-23,50.72529602050781
2015-12-24,50.79438400268555
2015-12-28,50.995365142822266
2015-12-29,51.48528289794922
2015-12-30,51.435035705566406
2015-12-31,51.246604919433594
2016-01-04,50.18511199951172
2016-01-05,51.19007873535156
2016-01-06,50.70643997192383
2016-01-07,50.54941177368164
2016-01-08,49.506771087646484
2016-01-11,50.109737396240234
2016-01-12,50.21025085449219
2016-01-13,49.72659683227539
2016-01-14,49.3497314453125
2016-01-15,49.35602951049805
2016-01-19,49.732887268066406
2016-01-20,47.98675537109375
2016-01-21,48.011878967285156
2016-01-22,48.81585693359375
2016-01-25,49.117340087890625
2016-01-26,50.084617614746094
2016-01-27,49.16131591796875
2016-01-28,47.60362243652344
2016-01-29,48.42015838623047
2016-02-01,48.19404602050781
2016-02-02,47.48428726196289
2016-02-03,47.5345458984375
2016-02-04,47.905113220214844
2016-02-05,46.2217903137207
2016-02-08,45.36760711669922
2016-02-09,44.808597564697266
2016-02-10,45.07866668701172
2016-02-11,44.41916275024414
2016-02-12,44.77718734741211
2016-02-16,45.3361930847168
2016-02-17,45.49950408935547
2016-02-18,45.832401275634766
2016-02-19,45.926597595214844
2016-02-22,46.60495376586914
2016-02-23,46.36000442504883
2016-02-24,45.995697021484375
2016-02-25,46.79338455200195
2016-02-26,46.82478713989258
2016-02-29,46.7870979309082
2016-03-01,48.285911560058594
2016-03-02,49.27106475830078
2016-03-03,49.93954849243164
2016-03-04,50.2913818359375
2016-03-07,50.42508316040039
2016-03-08,49.93954849243164
2016-03-09,50.439151763916016
2016-03-10,50.00289535522461
2016-03-11,51.297637939453125
2016-03-14,51.079498291015625
2016-03-15,51.149871826171875
2016-03-16,51.62132263183594
2016-03-17,52.38832092285156
2016-03-18,52.25463104248047
2016-03-21,51.38206100463867
2016-03-22,51.54078674316406
2016-03-23,51.39909362792969
2016-03-24,51.363643646240234
2016-03-28,52.221012115478516
2016-03-29,53.29094696044922
2016-03-30,53.03583908081055
2016-03-31,53.16339111328125
2016-04-01,53.26259231567383
2016-04-04,52.908321380615234
2016-04-05,52.44776153564453
2016-04-06,52.85162353515625
2016-04-07,52.36273193359375
