,CTSH
2019-06-18,58.748661041259766
2019-06-19,57.725257873535156
2019-06-20,59.163551330566406
2019-06-21,59.43094253540039
2019-06-24,59.052921295166016
2019-06-25,58.23236083984375
2019-06-26,58.14015579223633
2019-06-27,58.14015579223633
2019-06-28,58.44441223144531
2019-07-01,59.26496887207031
2019-07-02,59.338741302490234
2019-07-03,59.17277908325195
2019-07-05,59.661415100097656
2019-07-08,59.19121551513672
2019-07-09,59.35717010498047
2019-07-10,59.0621337890625
2019-07-11,60.19619369506836
2019-07-12,60.721702575683594
2019-07-15,60.684844970703125
2019-07-16,60.80466842651367
2019-07-17,60.150089263916016
2019-07-18,60.78623962402344
2019-07-19,60.0578727722168
2019-07-22,60.43589782714844
2019-07-23,60.730934143066406
2019-07-24,60.6295166015625
2019-07-25,60.64794158935547
2019-07-26,61.219566345214844
2019-07-29,60.887664794921875
2019-07-30,60.23305130004883
2019-07-31,60.0578727722168
2019-08-01,61.22880935668945
2019-08-02,58.536617279052734
2019-08-05,57.19974136352539
2019-08-06,57.69761657714844
2019-08-07,57.35646438598633
2019-08-08,58.969947814941406
2019-08-09,57.586971282958984
2019-08-12,56.39760971069336
2019-08-13,56.92313766479492
2019-08-14,55.91818618774414
2019-08-15,55.85365676879883
2019-08-16,56.4437141418457
2019-08-19,57.033782958984375
2019-08-20,56.77561950683594
2019-08-21,57.29361343383789
2019-08-22,56.609134674072266
2019-08-23,55.4991455078125
2019-08-26,55.37889862060547
2019-08-27,55.221656799316406
2019-08-28,55.72114181518555
2019-08-29,56.77561950683594
2019-08-30,56.78487014770508
2019-09-03,56.86811828613281
2019-09-04,57.728363037109375
2019-09-05,59.4395866394043
2019-09-06,59.61532974243164
2019-09-09,59.36559295654297
2019-09-10,59.883567810058594
2019-09-11,60.457069396972656
2019-09-12,59.97606658935547
2019-09-13,59.50433349609375
2019-09-16,59.18983459472656
2019-09-17,59.19908905029297
2019-09-18,58.745845794677734
2019-09-19,58.70884323120117
2019-09-20,57.164119720458984
2019-09-23,56.26688766479492
2019-09-24,55.42514419555664
2019-09-25,55.67488479614258
2019-09-26,55.18464660644531
2019-09-27,54.3429069519043
2019-09-30,55.748878479003906
2019-10-01,56.072635650634766
2019-10-02,55.44365310668945
2019-10-03,55.6656494140625
2019-10-04,55.970882415771484
2019-10-07,55.758140563964844
2019-10-08,54.48166275024414
2019-10-09,54.98115158081055
2019-10-10,55.314151763916016
2019-10-11,56.06338882446289
2019-10-14,55.85063552856445
2019-10-15,56.738624572753906
2019-10-16,56.78487014770508
2019-10-17,56.77561950683594
2019-10-18,56.09113311767578
2019-10-21,56.220638275146484
2019-10-22,55.40665054321289
2019-10-23,55.82289123535156
2019-10-24,55.970882415771484
2019-10-25,55.92463684082031
2019-10-28,56.11888885498047
2019-10-29,55.91538619995117
2019-10-30,55.397396087646484
2019-10-31,56.36863327026367
2019-11-01,56.63687515258789
2019-11-04,57.41386795043945
2019-11-05,57.27511215209961
2019-11-06,57.589603424072266
2019-11-07,58.301856994628906
2019-11-08,58.14460372924805
2019-11-11,57.94110107421875
2019-11-12,58.12610626220703
2019-11-13,57.82085037231445
2019-11-14,58.37584686279297
2019-11-15,58.625587463378906
2019-11-18,59.04315185546875
2019-11-19,59.31224822998047
2019-11-20,58.93180847167969
2019-11-21,58.829742431640625
2019-11-22,58.6348762512207
2019-11-25,58.792625427246094
2019-11-26,59.13594055175781
2019-11-27,59.52566909790039
2019-11-29,59.48856735229492
2019-12-02,58.95964431762695
2019-12-03,58.22660827636719
2019-12-04,57.901824951171875
2019-12-05,57.72551727294922
2019-12-06,58.14308166503906
2019-12-09,57.419315338134766
2019-12-10,56.69552993774414
2019-12-11,56.305816650390625
2019-12-12,57.31724166870117
2019-12-13,57.19662094116211
2019-12-16,57.215171813964844
2019-12-17,57.30795669555664
2019-12-18,57.82759094238281
2019-12-19,58.189476013183594
2019-12-20,58.662715911865234
2019-12-23,58.11524200439453
2019-12-24,57.901824951171875
2019-12-26,57.64200973510742
2019-12-27,57.67912292480469
2019-12-30,57.20588302612305
2019-12-31,57.54920959472656
2020-01-02,57.456424713134766
2020-01-03,56.936798095703125
2020-01-06,56.37076950073242
2020-01-07,55.97176742553711
2020-01-08,56.35220718383789
2020-01-09,56.70481872558594
2020-01-10,56.26869201660156
2020-01-13,56.751216888427734
2020-01-14,56.94607162475586
2020-01-15,57.3914680480957
2020-01-16,57.94822692871094
2020-01-17,58.245155334472656
2020-01-21,57.79975891113281
2020-01-22,57.70695877075195
2020-01-23,58.041011810302734
2020-01-24,57.920379638671875
2020-01-27,57.31724166870117
2020-01-28,58.08740997314453
2020-01-29,58.38434600830078
2020-01-30,57.966773986816406
2020-01-31,56.955352783203125
2020-02-03,58.09669494628906
2020-02-04,58.857574462890625
2020-02-05,60.286556243896484
2020-02-06,66.27159118652344
2020-02-07,64.57351684570312
2020-02-10,64.37866973876953
2020-02-11,64.21163177490234
2020-02-12,64.425048828125
2020-02-13,64.59208679199219
2020-02-14,63.68915939331055
2020-02-18,64.07080841064453
2020-02-19,64.11734771728516
2020-02-20,64.75033569335938
2020-02-21,65.24368286132812
