,EIX
2021-06-24,47.456600189208984
2021-06-25,48.93318176269531
2021-06-28,49.47402572631836
2021-06-29,49.29374694824219
2021-06-30,49.63713455200195
2021-07-01,49.714393615722656
2021-07-02,49.54331970214844
2021-07-06,49.82121276855469
2021-07-07,50.064369201660156
2021-07-08,49.95146942138672
2021-07-09,50.611473083496094
2021-07-12,50.5420036315918
2021-07-13,49.76911163330078
2021-07-14,49.70832443237305
2021-07-15,50.073055267333984
2021-07-16,50.35963821411133
2021-07-19,48.79647445678711
2021-07-20,49.369632720947266
2021-07-21,48.8051643371582
2021-07-22,48.54463577270508
2021-07-23,48.83121871948242
2021-07-26,48.18858337402344
2021-07-27,49.630157470703125
2021-07-28,49.34357833862305
2021-07-29,49.69094467163086
2021-07-30,47.3288459777832
2021-08-02,47.84989929199219
2021-08-03,48.101741790771484
2021-08-04,47.6414794921875
2021-08-05,47.962799072265625
2021-08-06,47.8238525390625
2021-08-09,48.14515686035156
2021-08-10,48.52726745605469
2021-08-11,49.62147521972656
2021-08-12,49.52595138549805
2021-08-13,49.49989700317383
2021-08-16,49.7430534362793
2021-08-17,50.01226806640625
2021-08-18,50.86331558227539
2021-08-19,50.5420036315918
2021-08-20,51.69700241088867
2021-08-23,51.37568283081055
2021-08-24,51.19330978393555
2021-08-25,50.69831085205078
2021-08-26,50.073055267333984
2021-08-27,49.96015548706055
2021-08-30,49.96015548706055
2021-08-31,50.229373931884766
2021-09-01,50.57673645019531
2021-09-02,51.349632263183594
2021-09-03,50.93278884887695
2021-09-07,50.91542053222656
2021-09-08,51.31489562988281
2021-09-09,50.94147491455078
2021-09-10,50.48120880126953
2021-09-13,51.288841247558594
2021-09-14,50.785152435302734
2021-09-15,51.2714729309082
2021-09-16,49.96885299682617
2021-09-17,50.151214599609375
2021-09-20,50.01226806640625
2021-09-21,50.125160217285156
2021-09-22,50.67226028442383
2021-09-23,50.029632568359375
2021-09-24,49.99489212036133
2021-09-27,50.10779571533203
2021-09-28,49.60410690307617
2021-09-29,49.580387115478516
2021-09-30,48.73691940307617
2021-10-01,48.35911178588867
2021-10-04,49.404666900634766
2021-10-05,48.92142105102539
2021-10-06,49.73854064941406
2021-10-07,50.1866340637207
2021-10-08,50.20420455932617
2021-10-11,49.281654357910156
2021-10-12,48.78963851928711
2021-10-13,49.57160568237305
2021-10-14,49.72975158691406
2021-10-15,50.38871383666992
2021-10-18,50.22177505493164
2021-10-19,50.53807830810547
2021-10-20,51.79450225830078
2021-10-21,52.10202407836914
2021-10-22,53.112422943115234
2021-10-25,53.68352508544922
2021-10-26,54.00862121582031
2021-10-27,54.65878677368164
2021-10-28,55.17718505859375
2021-10-29,55.29139709472656
2021-11-01,55.616485595703125
2021-11-02,55.82735824584961
2021-11-03,55.17718505859375
2021-11-04,55.38804626464844
2021-11-05,56.27545166015625
2021-11-08,56.293025970458984
2021-11-09,56.758689880371094
2021-11-10,57.51430892944336
2021-11-11,57.30343246459961
2021-11-12,56.44239044189453
2021-11-15,56.74112319946289
2021-11-16,56.02943420410156
2021-11-17,56.635684967041016
2021-11-18,56.758689880371094
2021-11-19,57.02227783203125
2021-11-22,57.01348876953125
2021-11-23,57.567020416259766
2021-11-24,58.12055587768555
2021-11-26,57.05741882324219
2021-11-29,58.050262451171875
2021-11-30,57.356143951416016
2021-12-01,57.654884338378906
2021-12-02,57.540653228759766
2021-12-03,58.524715423583984
