,WRB
2018-04-30,19.005035400390625
2018-05-01,19.109542846679688
2018-05-02,18.844453811645508
2018-05-03,18.816415786743164
2018-05-04,19.0764102935791
2018-05-07,19.155418395996094
2018-05-08,19.201305389404297
2018-05-09,19.18601417541504
2018-05-10,19.40522575378418
2018-05-11,19.60403823852539
2018-05-14,19.400121688842773
2018-05-15,19.423070907592773
2018-05-16,19.486785888671875
2018-05-17,19.553068161010742
2018-05-18,19.507184982299805
2018-05-21,19.71875
2018-05-22,19.624433517456055
2018-05-23,19.576000213623047
2018-05-24,19.581104278564453
2018-05-25,19.555614471435547
2018-05-29,19.191110610961914
2018-05-30,19.616788864135742
2018-05-31,19.491886138916016
2018-06-01,19.634632110595703
2018-06-04,19.779926300048828
2018-06-05,19.649919509887695
2018-06-06,19.83089828491211
2018-06-07,19.932859420776367
2018-06-08,20.089344024658203
2018-06-11,20.002120971679688
2018-06-12,19.753284454345703
2018-06-13,19.637840270996094
2018-06-14,19.349956512451172
2018-06-15,19.37052345275879
2018-06-18,19.092914581298828
2018-06-19,19.221439361572266
2018-06-20,19.077495574951172
2018-06-21,18.877004623413086
2018-06-22,18.9515438079834
2018-06-25,18.938692092895508
2018-06-26,18.792177200317383
2018-06-27,18.470884323120117
2018-06-28,18.537710189819336
2018-06-29,18.61225700378418
2018-07-02,18.478595733642578
2018-07-03,18.55056381225586
2018-07-05,18.59682846069336
2018-07-06,18.622541427612305
2018-07-09,18.92327308654785
2018-07-10,18.974679946899414
2018-07-11,19.000377655029297
2018-07-12,18.864154815673828
2018-07-13,18.859010696411133
2018-07-16,19.128896713256836
2018-07-17,18.969539642333984
2018-07-18,19.18031120300293
2018-07-19,19.1263370513916
2018-07-20,19.185449600219727
2018-07-23,19.19573402404785
2018-07-24,19.092914581298828
2018-07-25,19.10834312438965
2018-07-26,19.560726165771484
2018-07-27,19.383371353149414
2018-07-30,19.37822914123535
2018-07-31,19.486183166503906
2018-08-01,19.493894577026367
2018-08-02,19.478479385375977
2018-08-03,19.53245735168457
2018-08-06,19.517032623291016
2018-08-07,19.391082763671875
2018-08-08,19.429637908935547
2018-08-09,19.5812931060791
2018-08-10,19.527315139770508
2018-08-13,19.529884338378906
2018-08-14,19.64041519165039
2018-08-15,19.66354751586914
2018-08-16,19.851184844970703
2018-08-17,19.905160903930664
2018-08-20,20.05938720703125
2018-08-21,20.074811935424805
2018-08-22,19.820337295532227
2018-08-23,19.95914077758789
2018-08-24,20.077375411987305
2018-08-27,20.131357192993164
2018-08-28,20.2598819732666
2018-08-29,20.19561767578125
2018-08-30,20.08509063720703
2018-08-31,20.115934371948242
2018-09-04,20.24445343017578
2018-09-05,20.21875762939453
2018-09-06,20.247024536132812
2018-09-07,20.190481185913086
2018-09-10,20.115934371948242
2018-09-11,20.221323013305664
2018-09-12,20.19304656982422
2018-09-13,20.483505249023438
2018-09-14,20.6737117767334
2018-09-17,20.460369110107422
2018-09-18,20.470733642578125
2018-09-19,20.276371002197266
2018-09-20,20.434452056884766
2018-09-21,20.424087524414062
2018-09-24,20.253042221069336
2018-09-25,20.556255340576172
2018-09-26,20.455184936523438
2018-09-27,20.50701904296875
2018-09-28,20.714340209960938
2018-10-01,20.338565826416016
2018-10-02,20.45777702331543
2018-10-03,20.514795303344727
2018-10-04,20.548480987548828
2018-10-05,20.4111270904541
2018-10-08,20.486286163330078
2018-10-09,20.56403350830078
2018-10-10,19.96796989440918
2018-10-11,19.283803939819336
2018-10-12,19.073883056640625
2018-10-15,19.032419204711914
2018-10-16,19.364139556884766
2018-10-17,19.33304214477539
2018-10-18,19.19569206237793
2018-10-19,19.159404754638672
2018-10-22,19.024642944335938
2018-10-23,18.711063385009766
2018-10-24,18.926166534423828
2018-10-25,19.206056594848633
2018-10-26,19.17236328125
2018-10-29,19.33563232421875
2018-10-30,19.514448165893555
2018-10-31,19.669940948486328
2018-11-01,19.633665084838867
2018-11-02,19.60256004333496
2018-11-05,19.812477111816406
2018-11-06,20.017210006713867
2018-11-07,20.348928451538086
2018-11-08,20.41631317138672
2018-11-09,20.32042121887207
2018-11-12,20.063859939575195
2018-11-13,20.004253387451172
2018-11-14,19.62329864501953
2018-11-15,20.001667022705078
2018-11-16,20.330791473388672
2018-11-19,20.35411262512207
2018-11-20,20.276371002197266
2018-11-21,20.208986282348633
2018-11-23,20.120878219604492
2018-11-26,20.307466506958008
2018-11-27,20.2578182220459
2018-11-28,20.5531063079834
2018-11-29,20.50084686279297
2018-11-30,20.587081909179688
2018-12-03,20.440744400024414
2018-12-04,20.025239944458008
2018-12-06,19.95990562438965
2018-12-07,19.790048599243164
2018-12-10,19.654159545898438
2018-12-11,19.573144912719727
2018-12-12,19.628028869628906
2018-12-13,19.638473510742188
2018-12-14,19.52349853515625
2018-12-17,19.097537994384766
2018-12-18,19.20729637145996
2018-12-19,19.100154876708984
2018-12-20,18.726459503173828
2018-12-21,18.611480712890625
2018-12-24,18.177677154541016
2018-12-26,18.83360481262207
2018-12-27,19.05572509765625
2018-12-28,19.068790435791016
2018-12-31,19.314435958862305
2019-01-02,18.925065994262695
2019-01-03,18.611480712890625
2019-01-04,18.898937225341797
2019-01-07,18.95380973815918
2019-01-08,18.815305709838867
2019-01-09,18.867572784423828
2019-01-10,19.071407318115234
2019-01-11,18.969491958618164
2019-01-14,19.136737823486328
2019-01-15,19.306594848632812
2019-01-16,19.570539474487305
2019-01-17,19.575761795043945
2019-01-18,19.7769775390625
2019-01-22,19.52088737487793
2019-01-23,19.71164894104004
2019-01-24,19.513044357299805
2019-01-25,19.599275588989258
2019-01-28,19.625411987304688
2019-01-29,19.507814407348633
2019-01-30,20.13760757446289
2019-01-31,20.09317970275879
2019-02-01,20.312692642211914
2019-02-04,20.55572509765625
2019-02-05,20.81182289123535
2019-02-06,20.874544143676758
2019-02-07,21.125415802001953
2019-02-08,20.950319290161133
