,BWA
2015-09-25,30.55496597290039
2015-09-28,30.417470932006836
2015-09-29,30.87579917907715
2015-09-30,31.769535064697266
2015-10-01,31.876476287841797
2015-10-02,32.266048431396484
2015-10-05,33.00700759887695
2015-10-06,33.22853469848633
2015-10-07,34.22156524658203
2015-10-08,34.32850646972656
2015-10-09,34.51946258544922
2015-10-12,34.25212097167969
2015-10-13,33.22088623046875
2015-10-14,33.14449691772461
2015-10-15,33.6257438659668
2015-10-16,33.335472106933594
2015-10-19,32.686180114746094
2015-10-20,32.930625915527344
2015-10-21,32.75492858886719
2015-10-22,32.28132247924805
2015-10-23,33.35075759887695
2015-10-26,34.07642364501953
2015-10-27,33.36601638793945
2015-10-28,34.77918243408203
2015-10-29,31.754247665405273
2015-10-30,32.709083557128906
2015-11-02,32.693817138671875
2015-11-03,32.70146179199219
2015-11-04,32.464664459228516
2015-11-05,32.31188201904297
2015-11-06,31.84591293334961
2015-11-09,32.288978576660156
2015-11-10,32.12091064453125
2015-11-11,31.6778621673584
2015-11-12,31.211891174316406
2015-11-13,30.455669403076172
2015-11-16,30.982738494873047
2015-11-17,31.04384994506836
2015-11-18,32.563968658447266
2015-11-19,32.372989654541016
2015-11-20,33.014644622802734
2015-11-23,32.884788513183594
2015-11-24,32.90769958496094
2015-11-25,32.83895492553711
2015-11-27,32.77764892578125
2015-11-30,32.708709716796875
2015-12-01,33.26802062988281
2015-12-02,32.77764892578125
2015-12-03,32.35625076293945
2015-12-04,33.17607116699219
2015-12-07,32.76234436035156
2015-12-08,31.636035919189453
2015-12-09,31.620710372924805
2015-12-10,31.50577735900879
2015-12-11,30.50973129272461
2015-12-14,30.624662399291992
2015-12-15,31.245281219482422
2015-12-16,32.271968841552734
2015-12-17,31.46746063232422
2015-12-18,31.275930404663086
2015-12-21,31.858224868774414
2015-12-22,32.27963638305664
2015-12-23,33.38295364379883
2015-12-24,33.336978912353516
2015-12-28,33.24502944946289
2015-12-29,33.74306106567383
2015-12-30,33.65111541748047
2015-12-31,33.1224365234375
2016-01-04,32.371578216552734
2016-01-05,31.850563049316406
2016-01-06,30.808549880981445
2016-01-07,28.893064498901367
2016-01-08,28.042593002319336
2016-01-11,28.264785766601562
2016-01-12,28.655550003051758
2016-01-13,25.927906036376953
2016-01-14,25.17703628540039
2016-01-15,23.805559158325195
2016-01-19,23.246240615844727
2016-01-20,23.085338592529297
2016-01-21,22.395769119262695
2016-01-22,22.28084373474121
2016-01-25,21.629575729370117
2016-01-26,22.027997970581055
2016-01-27,22.211885452270508
2016-01-28,21.813461303710938
2016-01-29,22.4953670501709
2016-02-01,22.809511184692383
2016-02-02,22.01266860961914
2016-02-03,21.798141479492188
2016-02-04,22.778858184814453
2016-02-05,22.564327239990234
2016-02-08,22.242530822753906
2016-02-09,22.68691635131836
2016-02-10,23.25390625
2016-02-11,23.131309509277344
2016-02-12,24.318910598754883
2016-02-16,24.824594497680664
2016-02-17,25.736366271972656
2016-02-18,25.008480072021484
2016-02-19,24.74798011779785
2016-02-22,25.184703826904297
2016-02-23,24.61005973815918
2016-02-24,24.832258224487305
2016-02-25,24.97783660888672
2016-02-26,25.41631317138672
2016-02-29,25.139375686645508
2016-03-01,26.277883529663086
2016-03-02,26.716352462768555
2016-03-03,26.977901458740234
2016-03-04,26.92405891418457
2016-03-07,27.27791404724121
2016-03-08,26.47788429260254
2016-03-09,27.016366958618164
2016-03-10,26.63942527770996
2016-03-11,27.64715576171875
2016-03-14,27.64715576171875
2016-03-15,27.424076080322266
2016-03-16,28.524118423461914
2016-03-17,28.93181610107422
2016-03-18,29.208755493164062
2016-03-21,29.070293426513672
2016-03-22,28.893360137939453
2016-03-23,28.262563705444336
2016-03-24,28.40103530883789
2016-03-28,28.554885864257812
2016-03-29,28.793357849121094
2016-03-30,29.1702938079834
2016-03-31,29.53953742980957
2016-04-01,28.98567008972168
2016-04-04,27.13945198059082
2016-04-05,27.06252670288086
2016-04-06,26.754823684692383
2016-04-07,26.193260192871094
2016-04-08,26.29326629638672
2016-04-11,26.770200729370117
2016-04-12,26.862518310546875
2016-04-13,28.2702579498291
2016-04-14,28.50103759765625
2016-04-15,28.70873260498047
2016-04-18,28.770278930664062
2016-04-19,29.624147415161133
2016-04-20,29.685693740844727
2016-04-21,29.662614822387695
2016-04-22,29.601072311401367
2016-04-25,29.570301055908203
2016-04-26,30.716501235961914
2016-04-27,29.708768844604492
2016-04-28,28.03948402404785
2016-04-29,27.63178062438965
2016-05-02,27.45484161376953
2016-05-03,27.53177261352539
2016-05-04,26.447118759155273
2016-05-05,26.039403915405273
2016-05-06,26.1009464263916
2016-05-09,26.031715393066406
2016-05-10,26.339418411254883
2016-05-11,26.154794692993164
2016-05-12,25.962480545043945
2016-05-13,25.362459182739258
2016-05-16,25.70862579345703
2016-05-17,25.739398956298828
2016-05-18,25.7163143157959
2016-05-19,24.862443923950195
2016-05-20,25.26245880126953
2016-05-23,24.970134735107422
2016-05-24,25.485544204711914
2016-05-25,25.908634185791016
2016-05-26,25.6547794342041
2016-05-27,25.9482421875
2016-05-31,26.280315399169922
2016-06-01,25.90191078186035
2016-06-02,26.566055297851562
2016-06-03,26.010019302368164
2016-06-06,26.542888641357422
2016-06-07,26.91357421875
2016-06-08,26.73595428466797
2016-06-09,26.766849517822266
2016-06-10,25.994579315185547
2016-06-13,25.291810989379883
2016-06-14,24.828453063964844
2016-06-15,25.175975799560547
2016-06-16,25.430822372436523
2016-06-17,25.855567932128906
2016-06-20,26.820913314819336
2016-06-21,25.755176544189453
2016-06-22,25.60072135925293
2016-06-23,26.025470733642578
2016-06-24,23.55420684814453
2016-06-27,21.38412857055664
2016-06-28,21.947887420654297
2016-06-29,22.61976432800293
2016-06-30,22.797386169433594
2016-07-01,23.392038345336914
2016-07-05,22.02511215209961
2016-07-06,22.1486759185791
2016-07-07,22.72015953063965
2016-07-08,23.6082706451416
2016-07-11,23.94806480407715
2016-07-12,24.20290756225586
2016-07-13,24.071624755859375
2016-07-14,24.35736656188965
2016-07-15,24.604496002197266
2016-07-18,24.843896865844727
2016-07-19,24.604496002197266
2016-07-20,24.913402557373047
2016-07-21,25.639333724975586
2016-07-22,25.500322341918945
2016-07-25,25.685672760009766
2016-07-26,26.210811614990234
2016-07-27,26.419328689575195
2016-07-28,25.091022491455078
2016-07-29,25.62388801574707
2016-08-01,25.5698299407959
2016-08-02,24.81300926208496
2016-08-03,25.260923385620117
2016-08-04,25.160533905029297
2016-08-05,25.685672760009766
2016-08-08,25.816959381103516
2016-08-09,26.03318214416504
2016-08-10,26.03318214416504
2016-08-11,26.257150650024414
2016-08-12,26.11041831970215
2016-08-15,26.488832473754883
2016-08-16,26.450212478637695
2016-08-17,26.257150650024414
2016-08-18,26.26487159729004
2016-08-19,26.419328689575195
2016-08-22,26.434768676757812
2016-08-23,26.612390518188477
2016-08-24,26.249427795410156
2016-08-25,26.079532623291016
2016-08-26,25.98685073852539
2016-08-29,26.257150650024414
2016-08-30,26.613750457763672
2016-08-31,26.660274505615234
2016-09-01,26.83082389831543
2016-09-02,27.210683822631836
2016-09-06,27.559539794921875
2016-09-07,28.001420974731445
2016-09-08,27.784358978271484
2016-09-09,26.466459274291992
2016-09-12,27.3502254486084
2016-09-13,26.985868453979492
2016-09-14,27.063396453857422
2016-09-15,27.202939987182617
2016-09-16,27.047889709472656
2016-09-19,26.792062759399414
2016-09-20,26.559492111206055
