,PHM
2018-02-05,27.074268341064453
2018-02-06,27.821462631225586
2018-02-07,27.59084701538086
2018-02-08,26.44699478149414
2018-02-09,26.4838924407959
2018-02-12,26.917451858520508
2018-02-13,26.751401901245117
2018-02-14,27.175737380981445
2018-02-15,27.21263885498047
2018-02-16,27.43402862548828
2018-02-20,27.184967041015625
2018-02-21,27.065046310424805
2018-02-22,26.926673889160156
2018-02-23,27.000469207763672
2018-02-26,27.065046310424805
2018-02-27,26.290170669555664
2018-02-28,25.893510818481445
2018-03-01,26.493114471435547
2018-03-02,26.705284118652344
2018-03-05,27.037370681762695
2018-03-06,27.58161735534668
2018-03-07,27.323331832885742
2018-03-08,27.2310848236084
2018-03-09,27.710769653320312
2018-03-12,27.83991050720215
2018-03-13,28.079757690429688
2018-03-14,27.25876235961914
2018-03-15,26.805368423461914
2018-03-16,27.18473243713379
2018-03-19,26.9256591796875
2018-03-20,26.76836395263672
2018-03-21,27.19399070739746
2018-03-22,26.8331298828125
2018-03-23,26.50928497314453
2018-03-26,26.99043083190918
2018-03-27,27.045942306518555
2018-03-28,26.907154083251953
2018-03-29,27.28652000427246
2018-04-02,26.43526268005371
2018-04-03,26.53704071044922
2018-04-04,28.221050262451172
2018-04-05,28.507884979248047
2018-04-06,27.786170959472656
2018-04-09,27.628873825073242
2018-04-10,27.60111427307129
2018-04-11,27.342037200927734
2018-04-12,26.93490982055664
2018-04-13,27.101463317871094
2018-04-16,27.36054039001465
2018-04-17,27.638124465942383
2018-04-18,27.712142944335938
2018-04-19,26.611061096191406
2018-04-20,26.40750503540039
2018-04-23,26.666582107543945
2018-04-24,27.434566497802734
2018-04-25,28.248811721801758
2018-04-26,28.748464584350586
2018-04-27,28.73921012878418
2018-04-30,28.09151268005371
2018-05-01,28.572656631469727
2018-05-02,28.276569366455078
2018-05-03,28.5819034576416
2018-05-04,28.665184020996094
2018-05-07,28.69294548034668
2018-05-08,28.840988159179688
2018-05-09,28.461624145507812
2018-05-10,28.729961395263672
2018-05-11,28.979774475097656
2018-05-14,28.646677017211914
2018-05-15,27.110715866088867
2018-05-16,27.212495803833008
2018-05-17,27.369792938232422
2018-05-18,27.675140380859375
2018-05-21,27.665882110595703
2018-05-22,27.277267456054688
2018-05-23,27.767662048339844
2018-05-24,27.869441986083984
2018-05-25,28.19329261779785
2018-05-29,28.387605667114258
2018-05-30,27.989734649658203
2018-05-31,27.989734649658203
2018-06-01,28.09151268005371
2018-06-04,28.100765228271484
2018-06-05,28.424610137939453
2018-06-06,28.907169342041016
2018-06-07,29.092769622802734
2018-06-08,30.215652465820312
2018-06-11,29.937246322631836
2018-06-12,30.60541343688965
2018-06-13,28.563812255859375
2018-06-14,28.582372665405273
2018-06-15,28.183332443237305
2018-06-18,27.487333297729492
2018-06-19,27.31101417541504
2018-06-20,27.264610290527344
2018-06-21,27.06973648071289
2018-06-22,26.707815170288086
2018-06-25,26.206693649291992
2018-06-26,26.55005645751953
2018-06-27,26.14173698425293
2018-06-28,26.308773040771484
2018-06-29,26.679969787597656
2018-07-02,26.791332244873047
2018-07-03,26.77277374267578
2018-07-05,27.06973648071289
2018-07-06,27.19965362548828
2018-07-09,27.505897521972656
2018-07-10,27.375974655151367
2018-07-11,27.273893356323242
2018-07-12,27.496610641479492
2018-07-13,27.515174865722656
2018-07-16,27.960615158081055
2018-07-17,28.69373893737793
2018-07-18,28.740127563476562
2018-07-19,29.037090301513672
2018-07-20,28.870058059692383
2018-07-23,28.600933074951172
2018-07-24,27.969892501831055
2018-07-25,26.893415451049805
2018-07-26,26.893415451049805
2018-07-27,26.1046142578125
2018-07-30,26.113893508911133
2018-07-31,26.438692092895508
2018-08-01,26.698530197143555
2018-08-02,26.503660202026367
2018-08-03,26.577892303466797
2018-08-06,26.652130126953125
2018-08-07,27.24605369567871
2018-08-08,27.30173110961914
2018-08-09,27.218215942382812
2018-08-10,26.67069435119629
2018-08-13,25.659175872802734
2018-08-14,25.844778060913086
2018-08-15,25.74270248413086
2018-08-16,26.030376434326172
2018-08-17,26.067495346069336
2018-08-20,26.1046142578125
2018-08-21,27.53373908996582
2018-08-22,27.264610290527344
2018-08-23,26.679969787597656
2018-08-24,26.494373321533203
2018-08-27,26.884130477905273
2018-08-28,26.392295837402344
2018-08-29,26.290218353271484
2018-08-30,25.900453567504883
2018-08-31,25.93758201599121
2018-09-04,25.983976364135742
2018-09-05,26.466535568237305
2018-09-06,26.048931121826172
2018-09-07,24.96317481994629
2018-09-10,24.953895568847656
2018-09-11,25.158056259155273
2018-09-12,25.49213218688965
2018-09-13,24.907495498657227
2018-09-14,25.074539184570312
2018-09-17,24.813831329345703
2018-09-18,25.083847045898438
2018-09-19,24.851072311401367
2018-09-20,24.571741104125977
2018-09-21,24.45070457458496
2018-09-24,23.919973373413086
2018-09-25,24.115501403808594
2018-09-26,23.770998001098633
2018-09-27,23.258886337280273
2018-09-28,23.0633602142334
2018-10-01,22.821273803710938
2018-10-02,22.94231605529785
2018-10-03,22.430212020874023
2018-10-04,22.150876998901367
2018-10-05,22.2160587310791
2018-10-08,22.53263282775879
2018-10-09,22.2160587310791
2018-10-10,21.9460391998291
2018-10-11,21.70395278930664
2018-10-12,21.312889099121094
2018-10-15,21.35944366455078
2018-10-16,21.99259376525879
2018-10-17,21.24771499633789
2018-10-18,20.893890380859375
2018-10-19,20.093149185180664
2018-10-22,19.441377639770508
2018-10-23,20.856653213500977
2018-10-24,20.614566802978516
2018-10-25,21.564285278320312
2018-10-26,22.281232833862305
2018-10-29,21.80636978149414
2018-10-30,23.18440055847168
2018-10-31,22.87713623046875
2018-11-01,22.9609375
2018-11-02,22.597808837890625
2018-11-05,23.035430908203125
2018-11-06,23.17508888244629
2018-11-07,23.370622634887695
2018-11-08,22.560565948486328
2018-11-09,22.756099700927734
2018-11-12,22.35572624206543
2018-11-13,22.70954132080078
2018-11-14,22.84920883178711
2018-11-15,22.448833465576172
2018-11-16,23.24958038330078
2018-11-19,23.482351303100586
2018-11-20,23.584774017333984
2018-11-21,23.892040252685547
2018-11-23,24.134124755859375
2018-11-26,24.385522842407227
2018-11-27,24.5810546875
2018-11-28,24.897628784179688
2018-11-29,24.88831901550293
2018-11-30,24.692785263061523
2018-12-03,24.97211456298828
2018-12-04,23.864105224609375
2018-12-06,24.813831329345703
2018-12-07,24.42276954650879
2018-12-10,23.79892921447754
2018-12-11,23.975831985473633
2018-12-12,24.348281860351562
2018-12-13,24.031702041625977
2018-12-14,23.845483779907227
2018-12-17,23.976402282714844
2018-12-18,24.752544403076172
2018-12-19,24.126012802124023
2018-12-20,24.126012802124023
2018-12-21,23.499488830566406
2018-12-24,23.07869529724121
2018-12-26,24.172773361206055
2018-12-27,24.313037872314453
2018-12-28,24.350444793701172
2018-12-31,24.30368995666504
2019-01-02,24.53746795654297
2019-01-03,24.256933212280273
2019-01-04,25.4351806640625
2019-01-07,26.37964630126953
2019-01-08,26.50121307373047
2019-01-09,27.071638107299805
2019-01-10,26.75369644165039
2019-01-11,26.725643157958984
2019-01-14,26.05235481262207
2019-01-15,26.248729705810547
2019-01-16,25.594154357910156
2019-01-17,25.107887268066406
2019-01-18,24.864761352539062
2019-01-22,24.62162971496582
2019-01-23,24.976978302001953
2019-01-24,24.967622756958008
2019-01-25,25.21075439453125
2019-01-28,25.27621078491211
2019-01-29,25.481935501098633
2019-01-30,25.472591400146484
2019-01-31,26.005598068237305
2019-02-01,25.575448989868164
2019-02-04,25.051782608032227
2019-02-05,25.575448989868164
2019-02-06,24.752544403076172
2019-02-07,25.145296096801758
2019-02-08,24.883466720581055
2019-02-11,24.780603408813477
2019-02-12,25.53804588317871
2019-02-13,25.425832748413086
2019-02-14,25.16400146484375
2019-02-15,25.360376358032227
2019-02-19,25.285564422607422
2019-02-20,25.379074096679688
2019-02-21,25.809228897094727
2019-02-22,26.16457176208496
2019-02-25,25.771821975708008
2019-02-26,25.659610748291016
2019-02-27,25.332319259643555
2019-02-28,25.248159408569336
2019-03-01,25.005027770996094
2019-03-04,25.8840389251709
2019-03-05,25.135948181152344
2019-03-06,25.0330810546875
2019-03-07,25.743776321411133
2019-03-08,25.790525436401367
2019-03-11,26.370304107666016
2019-03-12,26.192625045776367
2019-03-13,25.734418869018555
2019-03-14,25.43398094177246
2019-03-15,25.227432250976562
2019-03-18,25.039655685424805
2019-03-19,24.635940551757812
2019-03-20,24.222835540771484
2019-03-21,24.69227409362793
2019-03-22,24.955158233642578
2019-03-25,25.546646118164062
2019-03-26,25.70625114440918
2019-03-27,27.02066993713379
2019-03-28,26.57001304626465
2019-03-29,26.250795364379883
2019-04-01,26.185075759887695
2019-04-02,26.072412490844727
2019-04-03,26.072412490844727
2019-04-04,26.842281341552734
2019-04-05,27.170888900756836
2019-04-08,27.067617416381836
2019-04-09,26.823509216308594
2019-04-10,27.15211296081543
2019-04-11,27.612159729003906
2019-04-12,27.593379974365234
2019-04-15,27.696659088134766
2019-04-16,27.940763473510742
2019-04-17,28.203645706176758
2019-04-18,28.532255172729492
2019-04-22,28.372642517089844
2019-04-23,29.433568954467773
2019-04-24,29.91239356994629
2019-04-25,29.734004974365234
2019-04-26,29.53683853149414
2019-04-29,29.414785385131836
2019-04-30,29.53683853149414
