,SPGI
2015-07-13,94.41426086425781
2015-07-14,94.98758697509766
2015-07-15,95.22417449951172
2015-07-16,95.8066177368164
2015-07-17,95.35159301757812
2015-07-20,96.33440399169922
2015-07-21,96.40721893310547
2015-07-22,96.81670379638672
2015-07-23,96.91680145263672
2015-07-24,96.07958984375
2015-07-27,90.62857055664062
2015-07-28,89.5456771850586
2015-07-29,92.3485336303711
2015-07-30,93.58615112304688
2015-07-31,92.59425354003906
2015-08-03,92.11190032958984
2015-08-04,91.99361419677734
2015-08-05,92.4577407836914
2015-08-06,91.54772186279297
2015-08-07,91.65692138671875
2015-08-10,94.05025482177734
2015-08-11,93.02194213867188
2015-08-12,92.30302429199219
2015-08-13,92.08460998535156
2015-08-14,92.54872131347656
2015-08-17,93.51335144042969
2015-08-18,93.3222427368164
2015-08-19,93.34044647216797
2015-08-20,91.27469635009766
2015-08-21,87.7984619140625
2015-08-24,84.56592559814453
2015-08-25,85.0955581665039
2015-08-26,87.90802764892578
2015-08-27,90.48308563232422
2015-08-28,90.81182098388672
2015-08-31,88.56550598144531
2015-09-01,84.7120361328125
2015-09-02,85.52472686767578
2015-09-03,85.59779357910156
2015-09-04,85.0864028930664
2015-09-08,87.80757904052734
2015-09-09,85.02251434326172
2015-09-10,85.4151382446289
2015-09-11,86.35566711425781
2015-09-14,84.73029327392578
2015-09-15,86.65701293945312
2015-09-16,86.4378662109375
2015-09-17,85.88997650146484
2015-09-18,84.20978546142578
2015-09-21,84.64810943603516
2015-09-22,83.3149185180664
2015-09-23,83.21444702148438
2015-09-24,81.45211791992188
2015-09-25,81.39732360839844
2015-09-28,78.10091400146484
2015-09-29,77.98216247558594
2015-09-30,78.98663330078125
2015-10-01,80.71248626708984
2015-10-02,81.56167602539062
2015-10-05,82.53876495361328
2015-10-06,81.41560363769531
2015-10-07,81.18729400634766
2015-10-08,81.7990951538086
2015-10-09,81.94522094726562
2015-10-12,82.39264678955078
2015-10-13,82.39264678955078
2015-10-14,83.022705078125
2015-10-15,85.01336669921875
2015-10-16,84.60245513916016
2015-10-19,84.97686004638672
2015-10-20,84.949462890625
2015-10-21,83.95411682128906
2015-10-22,85.06816864013672
2015-10-23,87.1044692993164
2015-10-26,86.62962341308594
2015-10-27,85.78954315185547
2015-10-28,85.8169174194336
2015-10-29,86.0726089477539
2015-10-30,84.59333038330078
2015-11-02,84.23719787597656
2015-11-03,89.22293090820312
2015-11-04,88.84855651855469
2015-11-05,89.11336517333984
2015-11-06,90.09957122802734
2015-11-09,87.90802764892578
2015-11-10,87.82583618164062
2015-11-11,88.55635070800781
2015-11-12,87.36929321289062
2015-11-13,86.47439575195312
2015-11-16,87.02227783203125
2015-11-17,86.93095397949219
2015-11-18,87.43318176269531
2015-11-19,88.01761627197266
2015-11-20,88.47417449951172
2015-11-23,87.9518814086914
2015-11-24,88.76734161376953
2015-11-25,88.76734161376953
2015-11-27,88.73985290527344
2015-11-30,88.39171600341797
2015-12-01,89.3079605102539
2015-12-02,89.26215362548828
2015-12-03,87.73200225830078
2015-12-04,90.09595489501953
2015-12-07,88.89564514160156
2015-12-08,87.81446838378906
2015-12-09,86.54087829589844
2015-12-10,87.09977722167969
2015-12-11,84.9098892211914
2015-12-14,86.50420379638672
2015-12-15,87.1547622680664
2015-12-16,88.43753051757812
2015-12-17,87.33798217773438
2015-12-18,86.00023651123047
2015-12-21,87.19139862060547
2015-12-22,87.86945343017578
2015-12-23,89.77523803710938
2015-12-24,89.3262939453125
2015-12-28,89.3079605102539
2015-12-29,91.62609100341797
2015-12-30,91.4978256225586
2015-12-31,90.32501983642578
2016-01-04,86.86154174804688
2016-01-05,87.1547622680664
2016-01-06,86.20183563232422
2016-01-07,83.48970031738281
2016-01-08,81.09828186035156
2016-01-11,81.0616226196289
2016-01-12,81.29067993164062
2016-01-13,77.3049545288086
2016-01-14,77.79057312011719
2016-01-15,76.25121307373047
2016-01-19,76.3520278930664
2016-01-20,75.60067749023438
2016-01-21,74.92265319824219
2016-01-22,78.34031677246094
2016-01-25,76.84681701660156
2016-01-26,77.29579162597656
2016-01-27,76.5169677734375
2016-01-28,75.4815902709961
2016-01-29,77.90050506591797
2016-02-01,77.09419250488281
2016-02-02,74.84017944335938
2016-02-03,74.00640869140625
2016-02-04,79.71472930908203
2016-02-05,78.57854461669922
2016-02-08,76.38871002197266
2016-02-09,76.59024047851562
2016-02-10,77.67144012451172
2016-02-11,75.37165069580078
2016-02-12,78.35865020751953
2016-02-16,80.00790405273438
2016-02-17,81.4281234741211
2016-02-18,80.46604919433594
2016-02-19,80.58515930175781
2016-02-22,81.95954132080078
2016-02-23,80.22080993652344
2016-02-24,81.37995910644531
2016-02-25,82.89791870117188
2016-02-26,82.15275573730469
2016-02-29,82.55753326416016
2016-03-01,84.8758544921875
2016-03-02,85.1150131225586
2016-03-03,86.77096557617188
2016-03-04,87.45173645019531
2016-03-07,86.60536193847656
2016-03-08,86.4305648803711
2016-03-09,85.78662109375
2016-03-10,85.47381591796875
2016-03-11,87.51614379882812
2016-03-14,86.32937622070312
2016-03-15,85.67620086669922
2016-03-16,87.02853393554688
2016-03-17,88.2705078125
2016-03-18,89.96324157714844
2016-03-21,88.50047302246094
2016-03-22,89.42047119140625
2016-03-23,89.43885803222656
2016-03-24,88.67530822753906
2016-03-28,89.59524536132812
2016-03-29,91.49958801269531
2016-03-30,91.02119445800781
2016-03-31,91.05799865722656
2016-04-01,91.35237884521484
2016-04-04,90.33124542236328
2016-04-05,88.6661148071289
2016-04-06,89.8896255493164
2016-04-07,88.98806762695312
2016-04-08,89.44805145263672
2016-04-11,88.85929870605469
2016-04-12,89.95401763916016
2016-04-13,91.83995819091797
2016-04-14,92.0699462890625
2016-04-15,91.7847671508789
2016-04-18,92.87953186035156
2016-04-19,94.88507080078125
2016-04-20,95.79580688476562
2016-04-21,95.21623992919922
2016-04-22,95.09662628173828
2016-04-25,94.90343475341797
2016-04-26,98.2153091430664
2016-04-27,99.2824478149414
2016-04-28,99.2824478149414
2016-04-29,98.2981185913086
2016-05-02,98.59246826171875
2016-05-03,96.13619232177734
2016-05-04,95.9430160522461
2016-05-05,96.29258728027344
2016-05-06,95.92460632324219
2016-05-09,96.15458679199219
2016-05-10,96.55937957763672
2016-05-11,96.72496032714844
2016-05-12,97.47935485839844
2016-05-13,96.52257537841797
2016-05-16,97.96693420410156
2016-05-17,97.24014282226562
2016-05-18,98.48213195800781
2016-05-19,98.2981185913086
2016-05-20,99.42046356201172
2016-05-23,100.12881469726562
2016-05-24,103.06404876708984
2016-05-25,102.68560028076172
2016-05-26,101.89179992675781
2016-05-27,102.88865661621094
2016-05-31,103.20246887207031
2016-06-01,102.27024841308594
2016-06-02,101.94718170166016
2016-06-03,101.19953155517578
2016-06-06,101.77179718017578
2016-06-07,101.18107604980469
2016-06-08,101.5687484741211
2016-06-09,101.5687484741211
2016-06-10,99.2334976196289
2016-06-13,98.97508239746094
2016-06-14,98.6335678100586
2016-06-15,98.83660125732422
2016-06-16,99.21504211425781
2016-06-17,98.52276611328125
2016-06-20,99.04889678955078
2016-06-21,99.52888488769531
2016-06-22,98.88272857666016
2016-06-23,102.10408782958984
2016-06-24,96.1229248046875
2016-06-27,91.72938537597656
2016-06-28,93.76924133300781
2016-06-29,97.83975219726562
2016-06-30,99.00274658203125
2016-07-01,99.55655670166016
2016-07-05,97.99664306640625
2016-07-06,98.55970001220703
2016-07-07,99.04889678955078
2016-07-08,100.48880767822266
2016-07-11,101.77179718017578
2016-07-12,104.28239440917969
2016-07-13,105.09467315673828
2016-07-14,106.33148956298828
2016-07-15,106.73763275146484
2016-07-18,107.86373138427734
2016-07-19,107.60526275634766
2016-07-20,108.09442901611328
2016-07-21,107.83601379394531
2016-07-22,108.27906799316406
2016-07-25,108.14063262939453
2016-07-26,108.50059509277344
2016-07-27,108.3805923461914
2016-07-28,112.05419921875
2016-07-29,112.79261779785156
2016-08-01,111.88807678222656
2016-08-02,110.86351776123047
2016-08-03,111.23269653320312
2016-08-04,110.41122436523438
2016-08-05,111.59270477294922
2016-08-08,110.90966033935547
2016-08-09,111.29731750488281
2016-08-10,110.60505676269531
2016-08-11,111.14041900634766
2016-08-12,110.67892456054688
2016-08-15,111.00198364257812
2016-08-16,110.42969512939453
2016-08-17,110.85429382324219
2016-08-18,110.78966522216797
2016-08-19,111.03887939453125
2016-08-22,111.03887939453125
2016-08-23,111.93418884277344
2016-08-24,111.96199798583984
2016-08-25,112.1008529663086
2016-08-26,112.54523468017578
2016-08-29,113.49874877929688
2016-08-30,113.8412857055664
2016-08-31,114.36896514892578
2016-09-01,114.73929595947266
2016-09-02,116.11868286132812
2016-09-06,116.45195770263672
2016-09-07,116.359375
2016-09-08,116.39639282226562
2016-09-09,113.14698028564453
2016-09-12,115.01703643798828
2016-09-13,113.05438232421875
2016-09-14,112.4989242553711
2016-09-15,114.89666748046875
2016-09-16,114.11898040771484
2016-09-19,115.4243392944336
2016-09-20,115.51693725585938
2016-09-21,118.09053802490234
2016-09-22,117.41473388671875
2016-09-23,115.70209503173828
2016-09-26,115.6557846069336
2016-09-27,117.44252014160156
2016-09-28,118.09053802490234
2016-09-29,115.73908996582031
2016-09-30,117.16478729248047
2016-10-03,115.68354797363281
2016-10-04,114.97999572753906
2016-10-05,114.9337158203125
2016-10-06,115.75762176513672
2016-10-07,114.66522979736328
2016-10-10,115.3965835571289
2016-10-11,113.63762664794922
2016-10-12,114.21160125732422
2016-10-13,113.56356811523438
2016-10-14,114.00791931152344
2016-10-17,113.45244598388672
2016-10-18,113.7672348022461
2016-10-19,113.57280731201172
2016-10-20,113.05438232421875
2016-10-21,114.78556823730469
2016-10-24,115.3873291015625
2016-10-25,115.0262680053711
2016-10-26,114.16531372070312
2016-10-27,113.73944854736328
2016-10-28,113.2025375366211
2016-10-31,112.80441284179688
2016-11-01,111.95274353027344
2016-11-02,110.59185028076172
2016-11-03,113.40618133544922
2016-11-04,113.489501953125
2016-11-07,116.14643096923828
2016-11-08,117.0351791381836
2016-11-09,116.30382537841797
2016-11-10,116.95185089111328
2016-11-11,116.14643096923828
2016-11-14,114.53559112548828
2016-11-15,112.87849426269531
2016-11-16,113.27657318115234
2016-11-17,114.76705169677734
2016-11-18,112.7581558227539
2016-11-21,112.69332122802734
2016-11-22,111.84164428710938
2016-11-23,111.61878967285156
2016-11-25,111.34949493408203
2016-11-28,109.9381332397461
2016-11-29,111.06167602539062
2016-11-30,110.4859848022461
2016-12-01,107.95109558105469
2016-12-02,107.42181396484375
2016-12-05,106.11260223388672
2016-12-06,105.4533462524414
2016-12-07,106.16831970214844
2016-12-08,106.05690002441406
2016-12-09,106.78113555908203
2016-12-12,105.38833618164062
2016-12-13,108.3503646850586
2016-12-14,106.71612548828125
2016-12-15,106.13117218017578
2016-12-16,105.0169448852539
2016-12-19,104.55265808105469
2016-12-20,104.29268646240234
2016-12-21,103.71700286865234
2016-12-22,101.85992431640625
2016-12-23,101.22850799560547
2016-12-27,101.60923767089844
2016-12-28,100.91281127929688
2016-12-29,100.84782409667969
2016-12-30,99.85427856445312
2017-01-03,100.64352416992188
2017-01-04,103.7541275024414
2017-01-05,104.54336547851562
2017-01-06,106.40972900390625
2017-01-09,105.18404388427734
2017-01-10,103.39199829101562
2017-01-11,103.96768188476562
2017-01-12,104.54336547851562
2017-01-13,104.38552856445312
2017-01-17,105.7968978881836
2017-01-18,106.2240219116211
2017-01-19,106.2240219116211
2017-01-20,107.70967864990234
2017-01-23,107.81183624267578
2017-01-24,108.56390380859375
2017-01-25,111.82308197021484
2017-01-26,112.4637451171875
2017-01-27,112.06446838378906
2017-01-30,111.99948120117188
2017-01-31,111.59093475341797
2017-02-01,111.02452087402344
2017-02-02,111.81378936767578
2017-02-03,113.83796691894531
2017-02-06,114.09796905517578
2017-02-07,116.84642028808594
2017-02-08,116.1407470703125
2017-02-09,117.18999481201172
2017-02-10,117.26424407958984
2017-02-13,117.48710632324219
2017-02-14,117.84922790527344
2017-02-15,119.15847778320312
2017-02-16,119.41846466064453
2017-02-17,121.07125091552734
2017-02-21,121.41482543945312
2017-02-22,121.81533813476562
2017-02-23,121.81533813476562
2017-02-24,121.85259246826172
2017-02-27,121.07947540283203
2017-02-28,120.59510803222656
2017-03-01,121.08879852294922
2017-03-02,121.08879852294922
2017-03-03,120.75345611572266
2017-03-06,121.48931121826172
2017-03-07,121.73149871826172
2017-03-08,121.6290283203125
2017-03-09,122.0761489868164
2017-03-10,122.66293334960938
2017-03-13,123.50123596191406
2017-03-14,123.11003112792969
2017-03-15,121.41482543945312
2017-03-16,122.70953369140625
2017-03-17,121.07947540283203
2017-03-20,120.80003356933594
2017-03-21,119.41217803955078
2017-03-22,119.68230438232422
2017-03-23,120.29704284667969
2017-03-24,120.80003356933594
2017-03-27,119.6450424194336
2017-03-28,119.89653015136719
2017-03-29,119.51464080810547
2017-03-30,120.52991485595703
2017-03-31,121.77806854248047
2017-04-03,120.48334503173828
2017-04-04,119.98969268798828
2017-04-05,121.24715423583984
2017-04-06,121.05152893066406
2017-04-07,121.13536834716797
2017-04-10,120.7069091796875
2017-04-11,120.34358978271484
2017-04-12,120.09212493896484
2017-04-13,119.4866943359375
2017-04-17,121.79671478271484
2017-04-18,121.57315063476562
2017-04-19,121.61972045898438
2017-04-20,122.83058166503906
2017-04-21,122.50457763671875
2017-04-24,124.72144317626953
2017-04-25,126.31426239013672
2017-04-26,125.02883911132812
2017-04-27,125.82989501953125
2017-04-28,124.99156951904297
2017-05-01,125.76467895507812
2017-05-02,126.17451477050781
2017-05-03,126.08137512207031
2017-05-04,127.24567413330078
2017-05-05,128.12127685546875
2017-05-08,127.47853088378906
2017-05-09,127.89766693115234
2017-05-10,128.41932678222656
2017-05-11,127.92565155029297
2017-05-12,127.32950592041016
2017-05-15,128.8943634033203
2017-05-16,129.490478515625
2017-05-17,127.19910430908203
2017-05-18,128.02804565429688
2017-05-19,128.67080688476562
2017-05-22,129.2669219970703
2017-05-23,128.72669982910156
2017-05-24,130.33352661132812
2017-05-25,131.43594360351562
2017-05-26,130.98751831054688
2017-05-30,131.5480194091797
2017-05-31,133.41648864746094
2017-06-01,134.2479705810547
2017-06-02,134.67771911621094
