,IBM
2016-06-27,94.61827850341797
2016-06-28,96.06887817382812
2016-06-29,97.88867950439453
2016-06-30,100.07775115966797
2016-07-01,100.45359802246094
2016-07-05,100.01182556152344
2016-07-06,100.46678924560547
2016-07-07,100.61842346191406
2016-07-08,101.8448257446289
2016-07-11,102.41850280761719
2016-07-12,103.54598999023438
2016-07-13,104.19214630126953
2016-07-14,105.6823501586914
2016-07-15,105.35264587402344
2016-07-18,105.4053955078125
2016-07-19,105.22077941894531
2016-07-20,106.39446258544922
2016-07-21,105.7944107055664
2016-07-22,106.86259460449219
2016-07-25,107.24501037597656
2016-07-26,106.8955078125
2016-07-27,106.70435333251953
2016-07-28,106.40103149414062
2016-07-29,105.90650939941406
2016-08-01,106.45377349853516
2016-08-02,105.880126953125
2016-08-03,105.93946075439453
2016-08-04,106.51971435546875
2016-08-05,107.80548095703125
2016-08-08,107.76556396484375
2016-08-09,107.58600616455078
2016-08-10,107.79219055175781
2016-08-11,108.7564926147461
2016-08-12,107.70570373535156
2016-08-15,107.6591796875
2016-08-16,106.87439727783203
2016-08-17,106.70149230957031
2016-08-18,107.31334686279297
2016-08-19,106.43547821044922
2016-08-22,106.40888977050781
2016-08-23,106.58177185058594
2016-08-24,105.77705383300781
2016-08-25,105.49771118164062
2016-08-26,105.29156494140625
2016-08-29,106.22264099121094
2016-08-30,106.00984191894531
2016-08-31,105.66400146484375
2016-09-01,106.10294342041016
2016-09-02,106.10960388183594
2016-09-06,106.64164733886719
2016-09-07,107.49955749511719
2016-09-08,105.7437973022461
2016-09-09,103.5424575805664
2016-09-12,105.27162170410156
2016-09-13,103.62226867675781
2016-09-14,102.45177459716797
2016-09-15,103.52250671386719
2016-09-16,102.31212615966797
2016-09-19,102.99712371826172
2016-09-20,102.71776580810547
2016-09-21,103.43607330322266
2016-09-22,103.82181549072266
2016-09-23,103.07027435302734
2016-09-26,102.40522766113281
2016-09-27,104.2607421875
2016-09-28,105.27162170410156
2016-09-29,105.15192413330078
2016-09-30,105.64404296875
2016-10-03,104.81938171386719
2016-10-04,104.05457305908203
2016-10-05,104.4668960571289
