,ALB
2021-07-13,178.7037811279297
2021-07-14,176.44171142578125
2021-07-15,179.64149475097656
2021-07-16,174.64366149902344
2021-07-19,172.14956665039062
2021-07-20,181.0142059326172
2021-07-21,183.8852996826172
2021-07-22,186.34068298339844
2021-07-23,184.01097106933594
2021-07-26,188.35145568847656
2021-07-27,182.69625854492188
2021-07-28,188.06143188476562
2021-07-29,196.065673828125
2021-07-30,199.17848205566406
2021-08-02,200.0098114013672
2021-08-03,200.08714294433594
2021-08-04,199.95181274414062
2021-08-05,211.33950805664062
2021-08-06,219.16012573242188
2021-08-09,223.67459106445312
2021-08-10,231.06982421875
2021-08-11,228.13108825683594
2021-08-12,228.66273498535156
2021-08-13,227.38670349121094
2021-08-16,218.37709045410156
2021-08-17,209.24179077148438
2021-08-18,210.47915649414062
2021-08-19,206.2450408935547
2021-08-20,212.36419677734375
2021-08-23,220.34915161132812
2021-08-24,221.56716918945312
2021-08-25,226.37167358398438
2021-08-26,223.01724243164062
2021-08-27,228.7690887451172
2021-08-30,229.08810424804688
2021-08-31,228.8561248779297
2021-09-01,231.2341766357422
2021-09-02,235.90330505371094
2021-09-03,233.8055877685547
2021-09-07,230.8281707763672
2021-09-08,231.31150817871094
2021-09-09,235.30393981933594
2021-09-10,233.1385498046875
2021-09-13,221.49949645996094
2021-09-14,222.79490661621094
2021-09-15,226.18798828125
2021-09-16,223.92214965820312
2021-09-17,219.66160583496094
2021-09-20,208.65185546875
2021-09-21,209.62985229492188
2021-09-22,216.20472717285156
2021-09-23,221.888671875
2021-09-24,219.22584533691406
2021-09-27,215.20733642578125
2021-09-28,209.59112548828125
2021-09-29,212.0312957763672
2021-09-30,212.0312957763672
2021-10-01,211.9538116455078
2021-10-04,208.3904266357422
2021-10-05,215.34288024902344
2021-10-06,215.3235321044922
2021-10-07,215.25575256347656
2021-10-08,208.2451629638672
2021-10-11,207.3737030029297
2021-10-12,209.99781799316406
2021-10-13,216.57266235351562
2021-10-14,223.99960327148438
2021-10-15,221.52072143554688
2021-10-18,229.40277099609375
2021-10-19,228.47320556640625
2021-10-20,227.71792602539062
2021-10-21,226.7399139404297
2021-10-22,224.17391967773438
2021-10-25,231.85263061523438
2021-10-26,228.67654418945312
2021-10-27,224.4062957763672
2021-10-28,238.4081268310547
2021-10-29,242.53309631347656
2021-11-01,247.7620086669922
2021-11-02,251.78050231933594
2021-11-03,253.64935302734375
2021-11-04,264.0199890136719
2021-11-05,263.87469482421875
2021-11-08,269.6942443847656
2021-11-09,265.86944580078125
2021-11-10,257.3288879394531
2021-11-11,263.680908203125
2021-11-12,267.6413879394531
2021-11-15,262.69342041015625
