,IR
2020-09-21,34.524784088134766
2020-09-22,34.963069915771484
2020-09-23,34.89333724975586
2020-09-24,35.232017517089844
2020-09-25,35.232017517089844
2020-09-28,35.90935516357422
2020-09-29,35.73006057739258
2020-09-30,35.46111297607422
2020-10-01,35.43123245239258
2020-10-02,35.93924331665039
2020-10-05,36.76601028442383
2020-10-06,36.307804107666016
2020-10-07,36.51698303222656
2020-10-08,37.08475875854492
2020-10-09,36.985145568847656
2020-10-12,37.06483459472656
2020-10-13,37.383583068847656
2020-10-14,37.224212646484375
2020-10-15,36.92537689208984
2020-10-16,37.074798583984375
2020-10-19,36.45721054077149
2020-10-20,37.094722747802734
2020-10-21,37.11463928222656
2020-10-22,37.78203201293945
2020-10-23,38.12070083618164
2020-10-26,36.41737365722656
2020-10-27,35.95916748046875
2020-10-28,35.10251998901367
2020-10-29,34.943145751953125
2020-10-30,34.80369186401367
2020-11-02,35.83963394165039
2020-11-03,38.59882736206055
2020-11-04,37.92148208618164
2020-11-05,39.64473342895508
2020-11-06,40.09297561645508
2020-11-09,42.61310958862305
2020-11-10,42.583221435546875
2020-11-11,42.44377136230469
2020-11-12,42.334205627441406
2020-11-13,42.59318542480469
2020-11-16,44.814491271972656
2020-11-17,44.46584701538086
2020-11-18,43.73870086669922
2020-11-19,44.027565002441406
2020-11-20,44.08732986450195
2020-11-23,44.30647277832031
2020-11-24,45.2926139831543
2020-11-25,44.63518905639648
2020-11-27,44.625221252441406
2020-11-30,44.097293853759766
2020-12-01,44.625221252441406
2020-12-02,44.15706634521485
2020-12-03,44.28655624389648
2020-12-04,45.01370620727539
2020-12-07,44.15706634521485
2020-12-08,44.366241455078125
2020-12-09,44.814491271972656
2020-12-10,44.61526870727539
2020-12-11,44.14710235595703
2020-12-14,43.68889236450195
2020-12-15,44.58538055419922
2020-12-16,44.14710235595703
2020-12-17,45.262733459472656
2020-12-18,45.04358673095703
2020-12-21,45.48186874389648
2020-12-22,45.382266998291016
2020-12-23,45.58147430419922
2020-12-24,45.85042953491211
2020-12-28,44.92405700683594
2020-12-29,44.30647277832031
2020-12-30,45.063507080078125
2020-12-31,45.382266998291016
2021-01-04,44.13714218139648
2021-01-05,45.023658752441406
2021-01-06,46.49788665771485
2021-01-07,46.836570739746094
2021-01-08,46.21898651123047
2021-01-11,46.308631896972656
2021-01-12,46.876407623291016
2021-01-13,45.90023422241211
2021-01-14,46.15922164916992
2021-01-15,45.730899810791016
2021-01-19,46.109413146972656
2021-01-20,45.81059265136719
2021-01-21,45.58147430419922
2021-01-22,45.05354690551758
2021-01-25,44.33636093139648
2021-01-26,43.419944763183594
2021-01-27,40.650787353515625
2021-01-28,42.47364807128906
2021-01-29,41.67676544189453
2021-02-01,42.43381118774414
2021-02-02,43.21076202392578
2021-02-03,43.39006805419922
2021-02-04,42.82229232788086
2021-02-05,43.60920333862305
2021-02-08,43.87815475463867
2021-02-09,43.898075103759766
2021-02-10,44.28655624389648
2021-02-11,43.85823822021485
2021-02-12,43.7486572265625
2021-02-16,43.400028228759766
2021-02-17,42.82229232788086
2021-02-18,42.60314178466797
2021-02-19,43.71876907348633
2021-02-22,43.599246978759766
2021-02-23,45.40219497680664
2021-02-24,47.912357330322266
2021-02-25,46.16918182373047
2021-02-26,46.15922164916992
2021-03-01,47.274845123291016
2021-03-02,46.6174201965332
2021-03-03,46.62738037109375
2021-03-04,46.876407623291016
2021-03-05,49.29692840576172
2021-03-08,50.35279846191406
2021-03-09,47.90238952636719
2021-03-10,48.77896499633789
2021-03-11,48.828765869140625
2021-03-12,49.406494140625
2021-03-15,50.561973571777344
2021-03-16,48.74907684326172
2021-03-17,49.58579635620117
2021-03-18,49.545955657958984
2021-03-19,49.2570915222168
2021-03-22,48.61958312988281
2021-03-23,46.95610427856445
2021-03-24,48.15141296386719
2021-03-25,48.53989028930664
2021-03-26,49.516075134277344
2021-03-29,49.396541595458984
2021-03-30,49.844783782958984
2021-03-31,49.01802062988281
2021-04-01,49.41645812988281
2021-04-05,49.89457702636719
2021-04-06,50.03404235839844
2021-04-07,49.94438934326172
2021-04-08,50.12369537353515
2021-04-09,50.3826789855957
2021-04-12,49.9543571472168
2021-04-13,49.03794479370117
2021-04-14,49.20728302001953
2021-04-15,49.14751434326172
2021-04-16,50.04400634765625
2021-04-19,50.71139144897461
2021-04-20,50.143611907958984
2021-04-21,50.75123596191406
2021-04-22,51.04010009765625
2021-04-23,51.41861343383789
2021-04-26,51.0301399230957
2021-04-27,51.01021194458008
2021-04-28,51.73737335205078
2021-04-29,51.04010009765625
2021-04-30,49.217247009277344
2021-05-03,48.111568450927734
2021-05-04,49.01802062988281
2021-05-05,49.217247009277344
2021-05-06,49.33677291870117
2021-05-07,50.33287811279297
2021-05-10,49.92447662353515
2021-05-11,47.97212219238281
2021-05-12,46.946144104003906
2021-05-13,47.38441848754883
2021-05-14,48.35063552856445
2021-05-17,48.56977844238281
2021-05-18,48.231101989746094
2021-05-19,47.55375671386719
2021-05-20,48.081687927246094
2021-05-21,48.679344177246094
2021-05-24,49.396541595458984
2021-05-25,48.490089416503906
2021-05-26,48.978179931640625
2021-05-27,49.476219177246094
2021-05-28,49.446346282958984
2021-06-01,49.8348274230957
2021-06-02,49.53599548339844
2021-06-03,48.948299407958984
2021-06-04,49.01802062988281
2021-06-07,48.02191925048828
2021-06-08,48.310791015625
2021-06-09,47.48401641845703
2021-06-10,47.175235748291016
2021-06-11,47.762935638427734
2021-06-14,47.344573974609375
2021-06-15,47.13539505004883
2021-06-16,47.55375671386719
2021-06-17,45.81059265136719
2021-06-18,45.3224983215332
2021-06-21,46.73695755004883
2021-06-22,46.4182014465332
2021-06-23,46.62738037109375
2021-06-24,47.45415115356445
2021-06-25,48.78892517089844
2021-06-28,48.64946365356445
2021-06-29,48.35063552856445
2021-06-30,48.61958312988281
2021-07-01,48.42036437988281
2021-07-02,48.40044403076172
2021-07-06,48.07172775268555
2021-07-07,49.157470703125
2021-07-08,48.07172775268555
2021-07-09,49.18736267089844
2021-07-12,49.18736267089844
2021-07-13,48.390480041503906
2021-07-14,47.88246536254883
2021-07-15,47.94223403930664
2021-07-16,47.97212219238281
2021-07-19,46.0695686340332
2021-07-20,47.962162017822266
2021-07-21,48.440277099609375
2021-07-22,48.310791015625
2021-07-23,48.42036437988281
2021-07-26,48.659420013427734
2021-07-27,48.02191925048828
2021-07-28,47.28480911254883
2021-07-29,47.99203872680664
2021-07-30,48.679344177246094
2021-08-02,48.18129348754883
2021-08-03,49.476219177246094
2021-08-04,50.12369537353515
2021-08-05,49.9045524597168
2021-08-06,49.62564468383789
2021-08-09,49.32682037353515
2021-08-10,50.86080551147461
2021-08-11,51.32897186279297
2021-08-12,51.807098388671875
2021-08-13,52.225460052490234
2021-08-16,52.09596633911133
2021-08-17,50.6516227722168
2021-08-18,50.2830696105957
2021-08-19,49.545955657958984
2021-08-20,49.8846321105957
2021-08-23,50.75123596191406
2021-08-24,51.5979118347168
2021-08-25,51.88678741455078
2021-08-26,51.61783599853515
2021-08-27,52.64381790161133
2021-08-30,53.04225540161133
2021-08-31,52.81316375732422
2021-09-01,52.53425216674805
2021-09-02,53.58015441894531
2021-09-03,52.73347091674805
2021-09-07,51.558074951171875
2021-09-08,52.51433181762695
2021-09-09,53.67975997924805
2021-09-10,54.516483306884766
2021-09-13,53.789337158203125
2021-09-14,53.341094970703125
2021-09-15,54.7655143737793
2021-09-16,54.35710906982422
2021-09-17,54.08816909790039
2021-09-20,52.78327560424805
2021-09-21,52.71354675292969
2021-09-22,52.693634033203125
2021-09-23,53.43073272705078
2021-09-24,53.30124282836914
2021-09-27,53.171756744384766
2021-09-28,51.358856201171875
2021-09-29,51.20944595336914
2021-09-30,50.213340759277344
2021-10-01,50.67155075073242
2021-10-04,50.54205703735352
2021-10-05,51.01021194458008
2021-10-06,50.97037506103515
2021-10-07,51.4983024597168
2021-10-08,50.79108047485352
2021-10-11,49.87466049194336
2021-10-12,49.69536590576172
2021-10-13,50.54205703735352
2021-10-14,52.06607818603515
2021-10-15,52.30514907836914
2021-10-18,52.71354675292969
2021-10-19,53.36100769042969
2021-10-20,53.351051330566406
2021-10-21,53.89891052246094
2021-10-22,53.988555908203125
2021-10-25,54.33719253540039
2021-10-26,53.72956848144531
2021-10-27,53.01237487792969
2021-10-28,54.11804962158203
2021-10-29,53.550270080566406
2021-11-01,54.27742385864258
2021-11-02,56.01063537597656
2021-11-03,55.8412971496582
2021-11-04,56.92705154418945
2021-11-05,57.02665710449219
2021-11-08,57.684078216552734
2021-11-09,59.288360595703125
2021-11-10,58.18229675292969
2021-11-11,58.04280471801758
2021-11-12,58.24209213256836
2021-11-15,58.83995056152344
2021-11-16,60.085506439208984
2021-11-17,59.128929138183594
2021-11-18,60.68336868286133
2021-11-19,61.231414794921875
2021-11-22,59.70685958862305
2021-11-23,60.474124908447266
2021-11-24,60.80294418334961
2021-11-26,58.730342864990234
2021-11-29,59.5872802734375
2021-11-30,58.132476806640625
2021-12-01,56.89689254760742
2021-12-02,59.02927780151367
2021-12-03,58.29190444946289
2021-12-06,58.53105926513672
2021-12-07,59.51753234863281
2021-12-08,59.93604278564453
2021-12-09,59.70685958862305
2021-12-10,59.37803649902344
2021-12-13,59.427852630615234
2021-12-14,57.87339782714844
2021-12-15,59.32820510864258
2021-12-16,59.20863342285156
2021-12-17,58.01291275024414
2021-12-20,57.664154052734375
2021-12-21,58.95951843261719
2021-12-22,58.53105926513672
2021-12-23,59.52750015258789
2021-12-27,60.99227142333984
2021-12-28,61.15169906616211
2021-12-29,61.18159484863281
2021-12-30,61.032127380371094
2021-12-31,61.64991760253906
2022-01-03,59.41788864135742
2022-01-04,60.52395248413086
2022-01-05,58.999385833740234
2022-01-06,60.085506439208984
2022-01-07,59.08906555175781
2022-01-10,58.78016662597656
2022-01-11,59.756683349609375
2022-01-12,59.76664352416992
2022-01-13,59.30828857421875
2022-01-14,59.14885330200195
2022-01-18,58.40152359008789
2022-01-19,58.17233657836914
2022-01-20,57.4449348449707
2022-01-21,57.06629180908203
2022-01-24,56.9566764831543
2022-01-25,55.38229751586914
2022-01-26,55.74102020263672
2022-01-27,54.634971618652344
2022-01-28,54.92393493652344
2022-01-31,56.01005935668945
2022-02-01,56.60791778564453
2022-02-02,56.54814147949219
2022-02-03,54.90400695800781
2022-02-04,54.42570495605469
2022-02-07,54.37588882446289
2022-02-08,55.00364685058594
2022-02-09,56.119667053222656
2022-02-10,55.14315414428711
2022-02-11,53.13033676147461
2022-02-14,53.6086311340332
2022-02-15,54.913963317871094
2022-02-16,54.724639892578125
2022-02-17,53.12037658691406
2022-02-18,52.8812255859375
2022-02-22,52.901153564453125
2022-02-23,51.81502914428711
2022-02-24,50.15096664428711
2022-02-25,51.2470588684082
2022-02-28,50.340301513671875
2022-03-01,49.07481002807617
2022-03-02,50.26058197021485
2022-03-03,49.51324462890625
2022-03-04,46.16520309448242
2022-03-07,44.74028778076172
2022-03-08,45.7969856262207
2022-03-09,48.41880416870117
2022-03-10,48.41880416870117
2022-03-11,47.44185256958008
2022-03-14,47.51163101196289
2022-03-15,48.24933242797851
2022-03-16,50.043731689453125
2022-03-17,50.66179275512695
2022-03-18,51.239990234375
2022-03-21,50.73157501220703
2022-03-22,50.6119499206543
2022-03-23,49.16646194458008
2022-03-24,49.23624420166016
2022-03-25,49.824405670166016
2022-03-28,49.64496994018555
2022-03-29,50.60198211669922
2022-03-30,50.6418571472168
2022-03-31,50.19325637817383
2022-04-01,50.09356689453125
2022-04-04,48.807586669921875
2022-04-05,48.299171447753906
2022-04-06,47.71100616455078
2022-04-07,47.601348876953125
2022-04-08,46.6842155456543
2022-04-11,46.27548599243164
2022-04-12,46.10602188110352
2022-04-13,47.18266296386719
2022-04-14,46.295433044433594
