,UNH
2016-10-21,128.5930633544922
2016-10-24,127.99156188964844
2016-10-25,127.18656921386719
2016-10-26,125.81546020507812
2016-10-27,125.55894470214844
2016-10-28,124.15248107910156
2016-10-31,125.01934051513672
2016-11-01,123.33863067626953
2016-11-02,122.94056701660156
2016-11-03,121.92324829101562
2016-11-04,121.81713104248047
2016-11-07,125.55010986328125
2016-11-08,126.40811920166016
2016-11-09,125.5235824584961
2016-11-10,129.26536560058594
2016-11-11,129.52197265625
2016-11-14,134.70562744140625
2016-11-15,134.66136169433594
2016-11-16,134.01565551757812
2016-11-17,133.3699188232422
2016-11-18,132.20225524902344
2016-11-21,133.05148315429688
2016-11-22,134.6879425048828
2016-11-23,135.8201904296875
2016-11-25,135.17445373535156
2016-11-28,134.5552520751953
2016-11-29,139.40281677246094
2016-11-30,140.60621643066406
2016-12-01,142.93307495117188
2016-12-02,142.7465362548828
2016-12-05,139.9933624267578
2016-12-06,139.71810913085938
2016-12-07,141.56536865234375
2016-12-08,141.4943084716797
2016-12-09,142.20477294921875
2016-12-12,141.6453094482422
2016-12-13,142.5778045654297
2016-12-14,141.973876953125
2016-12-15,142.6488494873047
2016-12-16,145.59739685058594
2016-12-19,143.4659423828125
2016-12-20,143.51034545898438
2016-12-21,143.2794647216797
2016-12-22,143.50148010253906
2016-12-23,144.7892303466797
2016-12-27,144.44284057617188
2016-12-28,143.37713623046875
2016-12-29,143.02186584472656
2016-12-30,142.13375854492188
2017-01-03,143.385986328125
2017-01-04,143.79452514648438
2017-01-05,144.03427124023438
2017-01-06,144.2385711669922
2017-01-09,143.8300323486328
2017-01-10,143.50148010253906
2017-01-11,143.77679443359375
2017-01-12,144.19422912597656
2017-01-13,143.69683837890625
2017-01-17,142.68441772460938
2017-01-18,140.09109497070312
2017-01-19,140.9436798095703
2017-01-20,140.90814208984375
2017-01-23,141.27230834960938
2017-01-24,142.48013305664062
2017-01-25,143.19949340820312
2017-01-26,144.54055786132812
2017-01-27,144.75369262695312
2017-01-30,143.95437622070312
2017-01-31,143.96328735351562
2017-02-01,144.50502014160156
2017-02-02,142.773193359375
2017-02-03,143.75906372070312
2017-02-06,142.55116271972656
2017-02-07,142.56893920898438
2017-02-08,142.37351989746094
2017-02-09,142.48898315429688
2017-02-10,142.76429748535156
2017-02-13,143.8655548095703
2017-02-14,144.8780059814453
2017-02-15,145.90821838378906
2017-02-16,145.33987426757812
2017-02-17,139.98452758789062
2017-02-21,142.6044464111328
2017-02-22,142.6044464111328
2017-02-23,144.40733337402344
2017-02-24,144.81582641601562
2017-02-27,146.87625122070312
2017-02-28,146.87625122070312
2017-03-01,149.14990234375
2017-03-02,148.59033203125
2017-03-03,149.38076782226562
2017-03-06,149.82479858398438
2017-03-07,149.4695587158203
2017-03-08,149.67906188964844
2017-03-09,149.76820373535156
2017-03-10,151.5242919921875
2017-03-13,151.7293243408203
2017-03-14,150.70419311523438
2017-03-15,153.12887573242188
2017-03-16,152.70101928710938
2017-03-17,151.27468872070312
2017-03-20,149.75927734375
2017-03-21,149.49185180664062
2017-03-22,148.89462280273438
2017-03-23,147.343505859375
2017-03-24,147.0850372314453
2017-03-27,146.72845458984375
2017-03-28,147.39703369140625
2017-03-29,145.69442749023438
2017-03-30,147.07614135742188
2017-03-31,146.20248413085938
2017-04-03,147.61094665527344
2017-04-04,147.05828857421875
2017-04-05,147.41485595703125
2017-04-06,147.3880615234375
2017-04-07,147.99427795410156
2017-04-10,147.5128631591797
2017-04-11,147.82489013671875
2017-04-12,147.58421325683594
2017-04-13,147.0493927001953
2017-04-17,149.02833557128906
2017-04-18,150.2852020263672
2017-04-19,150.87353515625
2017-04-20,152.91490173339844
2017-04-21,152.57618713378906
2017-04-24,153.6191864013672
2017-04-25,155.14349365234375
2017-04-26,155.4466094970703
2017-04-27,155.66943359375
2017-04-28,155.89231872558594
2017-05-01,155.63375854492188
2017-05-02,155.23263549804688
2017-05-03,153.80633544921875
2017-05-04,155.1256561279297
2017-05-05,155.21478271484375
2017-05-08,155.50006103515625
2017-05-09,154.4303436279297
2017-05-10,154.5640411376953
2017-05-11,154.5016632080078
2017-05-12,153.15560913085938
2017-05-15,152.90599060058594
2017-05-16,149.8662567138672
2017-05-17,150.5259246826172
2017-05-18,152.83473205566406
2017-05-19,153.85092163085938
2017-05-22,155.7318115234375
2017-05-23,156.19537353515625
2017-05-24,156.5251922607422
2017-05-25,158.71810913085938
2017-05-26,158.2278289794922
2017-05-30,157.41661071777344
2017-05-31,156.15977478027344
2017-06-01,160.08201599121094
2017-06-02,159.9126434326172
2017-06-05,159.89480590820312
2017-06-06,161.18734741210938
2017-06-07,163.31784057617188
2017-06-08,161.96290588378906
2017-06-09,161.75784301757812
2017-06-12,159.78781127929688
2017-06-13,161.3924102783203
2017-06-14,162.56011962890625
2017-06-15,161.45919799804688
2017-06-16,162.57803344726562
2017-06-19,163.82223510742188
2017-06-20,164.0460205078125
2017-06-21,165.52293395996094
2017-06-22,166.9372100830078
2017-06-23,165.81832885742188
2017-06-26,165.7019500732422
2017-06-27,165.23648071289062
2017-06-28,166.22116088867188
2017-06-29,165.83627319335938
2017-06-30,165.97048950195312
2017-07-03,167.0714874267578
2017-07-05,168.5036163330078
2017-07-06,167.33102416992188
2017-07-07,168.2440948486328
2017-07-10,167.34002685546875
2017-07-11,166.4448699951172
2017-07-12,167.10728454589844
2017-07-13,166.024169921875
2017-07-14,167.2952423095703
2017-07-17,166.802978515625
2017-07-18,167.25050354003906
2017-07-19,169.34507751464844
2017-07-20,171.4127197265625
2017-07-21,171.66336059570312
2017-07-24,170.86671447753906
2017-07-25,170.42813110351562
2017-07-26,170.74139404296875
2017-07-27,169.1122589111328
2017-07-28,171.0994110107422
2017-07-31,171.6902313232422
2017-08-01,172.06613159179688
2017-08-02,172.75538635253906
2017-08-03,174.33970642089844
2017-08-04,174.43820190429688
2017-08-07,174.3486785888672
2017-08-08,174.45611572265625
2017-08-09,174.39344787597656
2017-08-10,172.3704833984375
2017-08-11,172.77330017089844
2017-08-14,173.39093017578125
2017-08-15,174.09805297851562
2017-08-16,173.44464111328125
2017-08-17,172.48683166503906
