,BA
2017-05-08,173.95074462890625
2017-05-09,174.78297424316406
2017-05-10,172.60633850097656
2017-05-11,173.32244873046875
2017-05-12,172.67227172851562
2017-05-15,171.86192321777344
2017-05-16,172.15402221679688
2017-05-17,168.46031188964844
2017-05-18,167.1599884033203
2017-05-19,170.3260040283203
2017-05-22,173.06805419921875
2017-05-23,172.8984375
2017-05-24,174.55685424804688
2017-05-25,176.2718048095703
2017-05-26,175.81948852539062
2017-05-30,176.09275817871094
2017-05-31,176.7994384765625
2017-06-01,176.50733947753906
2017-06-02,179.24937438964844
2017-06-05,178.04327392578125
2017-06-06,175.9702606201172
2017-06-07,177.24232482910156
2017-06-08,178.9666748046875
2017-06-09,179.0609130859375
2017-06-12,179.03265380859375
2017-06-13,180.05975341796875
2017-06-14,181.27528381347656
2017-06-15,184.16807556152344
2017-06-16,185.10092163085938
2017-06-19,187.58853149414062
2017-06-20,186.8818359375
2017-06-21,187.67333984375
2017-06-22,187.92774963378906
2017-06-23,190.55670166015625
2017-06-26,188.43658447265625
2017-06-27,187.4094696044922
2017-06-28,188.0973358154297
2017-06-29,186.06204223632812
2017-06-30,186.33531188964844
2017-07-03,187.1268310546875
2017-07-05,190.16091918945312
2017-07-06,189.85000610351562
2017-07-07,190.68861389160156
2017-07-10,192.18685913085938
2017-07-11,194.363525390625
2017-07-12,194.523681640625
2017-07-13,194.3258056640625
2017-07-14,196.4741973876953
2017-07-17,196.93592834472656
2017-07-18,196.2197723388672
2017-07-19,198.7073974609375
2017-07-20,198.1420440673828
2017-07-21,199.89466857910156
2017-07-24,199.932373046875
2017-07-25,200.19619750976562
2017-07-26,219.974609375
2017-07-27,227.08877563476562
2017-07-28,227.3431854248047
2017-07-31,228.46453857421875
2017-08-01,225.6188507080078
2017-08-02,224.21485900878906
2017-08-03,224.49752807617188
2017-08-04,223.98870849609375
2017-08-07,226.3632354736328
2017-08-08,225.6754150390625
2017-08-09,222.1017608642578
2017-08-10,220.74630737304688
2017-08-11,222.64210510253906
2017-08-14,224.7938232421875
2017-08-15,226.7085723876953
2017-08-16,225.21092224121094
2017-08-17,223.3151092529297
2017-08-18,223.48570251464844
